Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,544.6,530.2,532.0,62719,33351241.1,587
2024-12-04,542.6,530.0,530.0,69630,36964486.1,646
2024-12-05,540.6,523.0,525.0,61452,32305643.4,716
2024-12-08,526.0,513.5,514.5,76545,39566583.4,839
2024-12-09,516.9,505.0,510.0,54624,27932970.6,669
2024-12-10,514.0,505.0,508.1,51966,26432713.9,558
2024-12-11,529.8,506.1,528.0,70328,36146924.2,686
2024-12-12,538.5,518.3,520.0,56954,29999645.9,635
2024-12-16,524.0,509.7,512.9,47147,24175344.3,582
2024-12-17,518.0,509.1,512.0,53169,27268731.1,501
2024-12-18,520.4,501.8,511.8,57475,29470230.7,450
2024-12-19,514.0,508.0,508.0,73723,37610350.0,597
2024-12-22,511.0,497.9,502.9,67080,33761555.0,661
2024-12-23,502.9,498.0,501.0,86473,43272734.6,796
2024-12-24,506.0,499.1,501.0,66517,33391369.2,650
2024-12-26,511.0,498.0,502.0,127622,64123331.6,897
2024-12-29,508.9,499.0,502.7,64296,32322538.0,617
2024-12-31,512.7,498.0,502.0,53222,26562216.3,541
