Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1139.0,1115.0,1129.0,2438,2728535.3,43
2024-12-04,1140.0,1116.0,1124.0,2587,2918602.3,56
2024-12-05,1138.9,1101.2,1103.1,2414,2693703.5,49
2024-12-08,1129.0,1070.0,1070.0,3583,3941026.6,95
2024-12-09,1080.1,1050.1,1071.9,2220,2375951.2,48
2024-12-10,1085.0,1060.1,1061.0,2206,2362859.9,46
2024-12-11,1070.0,1060.0,1067.0,1908,2031876.5,31
2024-12-12,1068.5,1025.0,1030.0,6640,6934867.2,121
2024-12-16,1017.0,1000.0,1002.0,1965,1972331.0,52
2024-12-17,1009.9,991.0,1000.0,1370,1371824.3,33
2024-12-18,1040.0,1000.0,1010.0,3861,3949763.2,60
2024-12-19,1048.9,1000.2,1010.0,1209,1222623.1,30
2024-12-22,1007.9,991.0,1000.0,2674,2668975.5,41
2024-12-23,1000.0,986.0,1000.0,2203,2188906.9,58
2024-12-24,1014.9,988.0,1014.9,4298,4337397.4,59
2024-12-26,1040.0,1015.0,1026.0,2188,2252192.4,46
2024-12-29,1064.8,1007.0,1022.0,3436,3564432.3,93
2024-12-31,1033.5,1000.0,1017.0,3222,3275972.6,66
2025-01-01,1039.5,1001.0,1024.0,2066,2115436.6,26
2025-01-02,1034.3,1005.0,1025.0,1845,1891995.6,36
2025-01-05,1035.0,1020.1,1024.0,2741,2810137.1,56
2025-01-06,1029.0,1011.0,1022.0,4447,4536970.3,78
2025-01-07,1028.0,1012.0,1028.0,3935,4022175.2,59
2025-01-08,1050.0,1030.0,1038.7,3947,4109790.1,84
2025-01-09,1045.0,1010.0,1022.0,2537,2596466.1,60
2025-01-12,1040.0,1018.0,1025.0,2522,2583556.7,37
2025-01-13,1035.0,1014.3,1021.2,1490,1523844.3,37
2025-01-15,1040.0,1013.2,1015.0,2100,2145949.5,54
2025-01-16,1020.0,1002.0,1010.0,4321,4362542.5,82
2025-01-19,1014.0,1000.0,1008.0,5294,5316077.0,92
2025-01-20,1035.0,1011.0,1025.0,3330,3402414.7,63
2025-01-21,1035.0,1007.2,1024.9,2342,2404318.4,53
2025-01-22,1040.0,1019.0,1037.0,5468,5655441.5,90
2025-01-23,1044.0,1024.0,1043.9,6823,7092167.6,105
2025-01-26,1147.0,1057.0,1145.0,29999,33684946.4,555
2025-01-27,1162.1,1117.0,1117.0,21208,24026173.9,243
2025-01-28,1162.0,1117.0,1135.0,5850,6650994.3,110
2025-02-02,1230.0,1121.0,1215.0,28875,34366014.8,410
2025-02-03,1232.0,1195.0,1205.5,16338,19852328.0,239
2025-02-04,1214.0,1172.0,1191.0,11535,13706050.0,178
2025-02-05,1195.0,1160.0,1190.0,16045,18765566.0,195
2025-02-06,1200.0,1170.0,1181.1,3530,4179097.1,76
2025-02-09,1200.0,1158.0,1168.5,6593,7739845.4,117
2025-02-10,1170.0,1140.0,1150.0,7484,8641596.5,117
2025-02-11,1169.0,1154.0,1161.0,6982,8115585.3,83
2025-02-12,1193.4,1170.0,1187.9,6375,7553199.1,111
2025-02-13,1195.0,1177.0,1180.0,4041,4796599.3,80
2025-02-16,1216.2,1176.1,1213.0,11747,14179298.9,200
2025-02-17,1275.0,1218.0,1264.0,24237,30378113.7,346
2025-02-18,1284.9,1240.0,1255.0,12313,15442864.7,161
2025-02-20,1280.0,1240.0,1268.0,13624,17218676.9,162
2025-02-23,1269.0,1225.0,1255.0,17354,21637029.0,209
2025-02-24,1280.0,1231.0,1231.0,14253,17910105.7,174
2025-02-25,1250.0,1222.0,1245.0,7403,9189053.1,113
2025-02-27,1269.0,1224.0,1230.0,6513,8123179.4,98
2025-03-02,1243.9,1224.0,1237.9,5035,6181929.6,106
2025-03-03,1245.0,1211.1,1224.0,7462,9138206.2,119
2025-03-04,1224.0,1160.0,1166.0,12012,14213518.2,196
2025-03-05,1170.0,1148.0,1160.0,4592,5337932.6,90
