Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,825.0,795.0,809.0,298128,240632457.9,1410
2024-12-04,815.9,789.0,790.0,137540,109409134.95,771
2024-12-05,805.0,773.5,773.6,161862,125404395.7,666
2024-12-08,789.0,756.1,757.1,169135,129904981.2,947
2024-12-09,785.0,752.3,784.9,103398,80077365.3,697
2024-12-10,800.5,770.0,774.9,38952,30281585.3,301
2024-12-11,786.0,761.0,779.1,60258,46905648.6,316
2024-12-12,826.0,774.1,776.0,95067,74192756.9,398
2024-12-16,775.0,750.0,750.2,126783,95603131.0,539
2024-12-17,765.0,719.0,730.0,137143,100484319.7,871
2024-12-18,744.5,725.0,730.0,87981,64679240.6,434
2024-12-19,740.5,705.0,705.3,82975,59425675.5,574
2024-12-22,723.2,687.1,701.0,62181,43301418.9,454
2024-12-23,711.9,692.0,704.0,38179,26818798.7,301
2024-12-24,734.0,700.0,722.0,101046,72970643.0,684
2024-12-26,722.0,685.0,688.0,75846,52986465.1,637
2024-12-29,688.0,632.2,638.9,101531,66483548.1,825
2024-12-31,627.0,575.1,605.0,139424,83476181.9,1044
2025-01-01,646.0,615.0,634.0,75417,47726158.9,575
2025-01-02,658.0,621.0,652.1,40477,25956434.6,375
2025-01-05,673.2,635.0,645.0,76557,50340326.8,541
2025-01-06,662.9,637.1,662.0,48116,31549865.1,355
2025-01-07,678.0,652.2,678.0,64912,43118613.0,452
2025-01-08,745.8,670.2,710.0,130682,93201937.8,886
2025-01-09,724.0,682.0,682.0,101756,71275458.7,848
2025-01-12,694.0,656.6,656.6,50269,33415609.5,378
2025-01-13,680.0,637.0,637.0,93045,60563850.2,649
2025-01-15,647.0,620.0,629.0,52738,33428928.4,431
2025-01-16,630.0,600.0,604.0,93049,56474351.1,734
2025-01-19,640.0,600.0,628.9,65123,40711761.2,515
2025-01-20,641.5,606.1,620.9,58582,36309659.3,450
2025-01-21,627.0,605.0,615.0,43087,26358848.1,280
2025-01-22,624.1,603.0,620.0,51080,31598575.1,305
2025-01-23,632.4,598.0,600.0,85229,51520739.0,575
2025-01-26,610.0,555.0,573.0,120483,68538800.4,987
2025-01-27,610.0,560.0,587.0,99307,58365872.9,702
2025-01-28,629.0,586.0,614.8,63394,38624509.4,591
2025-02-02,629.0,603.2,618.0,83290,51431916.7,679
2025-02-03,630.0,605.0,608.1,55634,34111427.0,422
2025-02-04,615.0,590.0,599.0,36836,22155014.4,313
2025-02-05,640.0,581.0,638.0,106186,66219145.5,776
2025-02-06,669.9,630.0,647.1,95107,62194520.7,665
2025-02-09,674.9,625.0,658.8,82522,53637919.4,666
2025-02-10,676.0,642.0,642.0,113812,75467169.5,766
2025-02-11,660.0,632.1,643.4,63127,40576482.3,377
2025-02-12,660.0,633.0,652.9,53294,34755108.5,373
2025-02-13,674.0,656.3,669.0,141873,94788793.8,786
2025-02-16,695.9,677.0,694.8,114910,79196205.0,834
2025-02-17,704.0,667.0,668.0,105352,71274107.5,870
2025-02-18,681.3,648.0,654.0,63047,41594067.8,556
2025-02-20,673.0,635.0,652.0,50797,33449710.0,348
