Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,805.0,774.0,798.0,14024,11138818.4,182
2024-12-04,833.9,795.0,809.0,18611,15226646.1,292
2024-12-05,829.8,785.0,786.0,11794,9503711.4,140
2024-12-08,790.5,759.0,769.0,9462,7320847.2,112
2024-12-09,780.0,755.0,764.8,7652,5815070.5,129
2024-12-10,775.2,751.0,768.8,4954,3795167.9,87
2024-12-11,795.0,765.0,777.9,3103,2399234.2,52
2024-12-12,817.0,770.0,787.0,15690,12515312.3,182
2024-12-16,804.0,765.0,788.0,7430,5796831.6,110
2024-12-17,790.0,766.5,778.0,8696,6741888.4,105
2024-12-18,799.0,765.0,776.0,4083,3169738.9,65
2024-12-19,784.0,755.0,755.0,5314,4061638.4,93
2024-12-22,830.5,740.0,830.5,46199,37515018.0,469
2024-12-23,913.5,813.9,913.5,31013,27432170.9,362
2024-12-24,931.7,872.6,899.9,15682,14040469.9,226
2024-12-26,882.0,832.0,850.0,39310,33227473.8,230
2024-12-29,865.9,819.0,828.0,15397,12862711.4,145
2024-12-31,865.0,802.0,835.1,30550,25675494.3,223
2025-01-01,915.0,843.0,862.9,7770,6641065.3,121
2025-01-02,893.0,830.1,840.1,5773,4862375.2,77
2025-01-05,856.0,820.0,839.9,8464,7047767.5,115
2025-01-06,875.0,837.0,874.9,18108,15495417.5,165
2025-01-07,875.0,850.1,852.6,14188,12117310.9,103
2025-01-08,869.0,770.0,770.0,13672,11514591.9,156
2025-01-09,847.0,754.6,847.0,11160,9422091.0,110
2025-01-12,907.1,855.0,873.0,27159,23585462.5,164
2025-01-13,960.3,870.3,960.3,49360,45787703.4,444
2025-01-15,1050.0,961.0,1040.0,16394,16193363.1,255
2025-01-16,1130.0,973.2,1066.0,30037,31731447.2,374
2025-01-19,1065.9,1020.0,1060.8,25686,26651482.3,239
2025-01-20,1122.0,1039.6,1122.0,19623,21005216.4,212
2025-01-21,1188.0,1061.0,1133.0,28597,30961541.5,188
2025-01-22,1245.0,1019.7,1040.0,43088,45572447.6,554
2025-01-23,1040.0,985.1,1011.0,29316,29415718.4,242
2025-01-26,1025.0,991.0,1006.1,15288,15465901.5,145
2025-01-27,1025.0,995.0,1011.3,10012,10151922.5,125
2025-01-28,1035.9,993.0,1032.0,9829,10100912.6,121
2025-02-02,1044.0,1011.6,1028.0,5254,5395047.2,107
2025-02-03,1092.0,989.0,1060.0,23334,24328034.5,183
