Date,High,Low,Close,Volume,Value_NPR,Trades
2025-11-10,332.6,302.4,332.6,190,61389.0,19
2025-11-11,365.8,339.2,365.8,290,105427.0,29
2025-11-12,402.3,373.1,402.3,520,208479.0,52
2025-11-13,442.5,410.3,442.5,4850,2145334.0,485
2025-11-16,486.7,451.3,486.7,11500,5594965.0,1065
2025-11-17,535.3,451.0,535.3,114540,57033915.0,11213
2025-11-18,588.8,535.0,588.8,40870,23071952.0,4042
2025-11-19,647.6,561.0,647.6,36430,22660841.0,2747
2025-11-20,634.7,582.9,589.0,154398,92764782.5,7334
2025-11-23,593.0,546.9,579.9,87382,50358925.6,6021
2025-11-24,591.4,559.6,568.9,48456,27698688.6,3130
2025-11-25,591.0,554.0,588.1,51448,28896006.2,3780
2025-11-26,585.0,566.0,568.6,35305,20342445.4,1995
2025-11-27,582.0,558.1,565.0,30000,17083086.2,1579
2025-11-30,568.2,555.0,555.2,34190,19153117.5,1613
2025-12-01,565.0,544.0,562.0,32047,17813465.0,1311
2025-12-02,618.2,552.4,618.2,140946,84855338.2,2040
2025-12-03,675.0,620.0,658.0,110513,72603664.8,1999
