Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,587.2,579.0,581.0,34878,20238247.0,208
2024-12-04,586.5,571.1,583.9,35473,20594236.7,178
2024-12-05,582.0,572.0,572.6,36194,20824569.9,207
2024-12-08,576.3,561.4,565.2,51782,29429847.4,243
2024-12-09,573.0,560.0,565.0,21212,12011787.1,150
2024-12-10,570.0,556.0,560.5,17151,9689765.1,162
2024-12-11,574.4,561.2,570.0,29983,17023819.1,149
2024-12-12,577.0,555.0,560.0,40706,22953239.5,195
2024-12-16,560.0,550.2,557.0,32071,17862388.1,166
2024-12-17,572.0,563.1,563.5,65659,37126381.8,406
2024-12-18,569.0,563.1,566.0,27727,15714947.0,208
2024-12-19,567.9,557.5,563.9,36473,20452290.5,216
2024-12-22,567.8,558.0,563.9,24520,13795719.0,196
2024-12-23,568.0,560.0,564.0,22800,12843519.6,160
2024-12-24,575.0,564.0,569.0,27483,15704569.0,193
2024-12-26,580.0,557.7,570.0,33709,19173013.4,211
2024-12-29,575.0,566.0,570.0,91066,51935385.5,537
2024-12-31,520.0,498.0,504.8,64875,32519210.0,443
2025-01-01,508.9,500.0,508.5,18272,9234125.9,128
2025-01-02,514.7,509.0,510.3,18067,9251702.9,135
2025-01-05,519.8,502.7,509.0,27092,13731051.4,164
2025-01-06,515.3,501.0,515.3,37855,19374081.0,212
2025-01-07,525.6,507.0,512.0,29705,15177235.6,195
2025-01-08,522.2,509.0,511.0,22756,11647180.2,138
2025-01-09,517.0,509.2,510.5,119900,61182991.5,141
2025-01-12,520.7,500.2,504.0,17006,8586189.9,130
2025-01-13,513.1,500.0,501.4,124943,63861207.1,179
2025-01-15,512.0,500.0,500.4,14058,7064739.9,123
2025-01-16,509.7,497.1,498.6,17960,9015503.6,126
2025-01-19,507.0,496.0,500.1,28946,14525770.3,156
2025-01-20,509.9,499.0,501.0,60133,30078325.1,167
2025-01-21,501.0,498.0,500.0,31036,15522052.2,138
2025-01-22,514.9,499.0,514.9,71874,36352247.1,264
2025-01-23,520.0,505.1,519.0,38557,19717041.0,180
2025-01-26,516.8,502.2,510.9,19977,10244313.5,131
2025-01-27,511.0,503.3,508.4,26490,13399285.1,180
2025-01-28,510.2,498.0,505.0,58366,29370376.6,269
2025-02-02,520.5,507.0,518.0,88364,45373090.6,306
2025-02-03,541.6,511.0,526.5,160753,85521170.4,668
2025-02-04,533.0,523.0,524.0,78784,41511465.9,227
2025-02-05,527.6,520.0,520.4,59283,31033842.3,177
2025-02-06,543.0,518.0,535.0,156443,83275436.9,469
2025-02-09,536.0,523.0,524.1,62587,33159205.4,256
2025-02-10,531.0,517.5,524.9,48931,25590475.1,237
2025-02-11,529.0,515.1,525.0,44446,23280349.3,190
2025-02-12,531.9,515.6,529.0,59327,31407334.7,223
2025-02-13,540.6,520.0,534.0,103270,55041697.6,360
2025-02-16,534.0,527.0,533.0,33847,17979540.2,176
2025-02-17,535.0,525.0,526.0,30226,16012876.5,159
2025-02-18,530.2,520.0,522.0,37625,19748161.3,175
2025-02-20,524.0,511.6,518.0,37492,19353206.2,210
2025-02-23,520.0,508.0,516.9,43214,22258748.8,186
2025-02-24,525.3,511.0,524.0,51064,26497812.9,236
2025-02-25,530.0,510.6,524.8,100372,51892435.2,210
2025-02-27,540.0,515.0,540.0,73973,39237016.6,270
2025-03-02,551.0,536.0,550.7,125379,68684198.9,503
2025-03-03,558.3,537.0,539.0,91865,49966390.2,428
2025-03-04,541.0,530.0,533.0,57440,30785549.4,290
2025-03-05,533.0,521.0,522.8,47580,24924370.4,226
2025-03-06,529.7,518.0,529.6,43314,22659791.7,215
2025-03-09,533.4,520.0,525.0,68805,36392707.8,284
2025-03-10,534.0,515.1,516.3,23864,12463393.7,167
2025-03-11,525.6,512.0,513.0,43104,22376521.6,189
2025-03-12,515.5,507.1,510.0,29039,14853732.5,215
2025-03-16,512.0,504.0,505.1,29650,15020292.1,224
2025-03-17,510.0,500.0,503.9,25453,12824806.4,185
2025-03-18,507.0,495.0,502.3,53148,26631111.4,323
2025-03-19,503.7,495.0,498.8,28874,14392380.3,201
2025-03-20,499.0,490.1,491.23,31034,15319492.2,236
2025-03-23,496.0,482.0,483.35,43867,21329286.7,312
2025-03-24,496.3,478.6,489.75,46495,22591590.7,250
2025-03-25,485.0,476.0,476.91,53572,25705588.1,301
2025-03-26,483.0,476.5,478.53,33332,15983913.0,198
2025-03-27,498.0,477.3,488.59,45311,21816264.7,315
2025-03-30,498.3,480.0,490.31,68326,33491371.2,373
2025-04-01,491.0,481.0,483.04,39625,19183954.5,240
2025-04-02,487.0,480.0,481.34,31846,15387883.7,193
2025-04-03,486.6,480.2,481.48,27770,13448336.3,213
2025-04-07,483.0,476.9,477.23,108920,52257925.9,304
2025-04-08,478.1,472.5,473.33,35484,16824433.0,264
2025-04-09,482.0,473.0,475.25,44671,21297405.5,213
2025-04-10,479.8,470.0,473.93,50652,23945185.1,253
2025-04-13,480.0,473.0,475.08,24766,11776071.6,172
2025-04-15,487.7,471.0,484.11,42529,20525032.6,224
2025-04-16,485.5,474.5,483.45,72379,34683107.4,261
2025-04-17,498.0,483.0,489.25,74572,36592208.1,348
2025-04-20,512.0,487.0,495.02,127350,63645436.0,592
2025-04-21,504.9,494.0,496.72,71234,35494212.6,266
2025-04-22,499.8,486.1,487.77,49812,24462460.0,250
2025-04-23,492.0,474.1,475.11,145368,69219887.5,567
2025-04-24,480.0,469.7,477.07,54611,25834951.6,319
2025-04-27,498.6,476.3,489.72,101346,49336282.2,409
2025-04-28,497.0,481.0,482.39,86774,42402908.4,311
2025-04-29,497.0,472.8,478.52,65150,31351780.7,279
2025-04-30,494.0,480.3,486.06,73955,36062854.6,344
2025-05-04,502.0,486.2,492.91,99801,49547610.9,477
2025-05-05,500.0,485.0,486.7,54997,26911552.9,210
2025-05-06,500.0,487.9,493.61,78515,38851637.4,331
2025-05-07,528.0,495.0,522.04,340772,176904030.8,1445
2025-05-08,522.9,508.0,514.79,122810,63191768.2,627
2025-05-11,520.0,497.9,498.37,122186,61660943.1,563
2025-05-13,505.0,489.0,490.31,78239,38480240.3,444
2025-05-14,495.5,480.6,482.02,57583,28022429.9,373
2025-05-15,488.0,473.0,482.65,51395,24770027.9,338
2025-05-18,488.8,477.3,479.23,50384,24223915.0,314
2025-05-19,491.9,480.0,482.12,28533,13792202.6,211
2025-05-20,496.0,480.0,494.81,44746,21916331.6,268
2025-05-21,513.8,487.1,490.0,90756,45013501.5,386
2025-05-22,494.1,482.0,486.11,29675,14490949.2,192
2025-05-25,493.0,483.0,488.64,33539,16340264.0,190
2025-05-26,500.0,486.1,487.26,39153,19189681.2,205
2025-05-27,492.9,485.0,487.12,24937,12197920.6,167
2025-05-28,505.0,483.0,495.14,68368,33898012.5,326
2025-06-02,501.5,488.0,488.51,43138,21257531.3,295
2025-06-03,496.9,484.8,488.37,57331,28040961.5,240
2025-06-04,490.0,481.4,483.25,38271,18536105.9,211
2025-06-05,493.6,479.0,486.77,41081,20010813.7,234
2025-06-08,529.9,487.0,525.75,506439,262219785.9,1925
2025-06-09,554.3,522.1,551.66,573296,312158537.0,2117
2025-06-10,570.0,550.1,555.85,494798,278485999.6,1577
2025-06-11,585.9,545.2,581.12,839501,475234308.7,2708
2025-06-12,589.0,564.2,567.37,531596,306559334.1,1722
2025-06-15,584.9,568.0,581.76,726667,419478440.4,1910
2025-06-16,599.6,572.0,574.95,714487,419724005.1,1899
2025-06-17,578.0,563.3,574.13,344830,196681373.0,1158
2025-06-18,582.1,571.0,574.9,306230,176668559.1,1073
2025-06-19,585.0,560.0,564.36,384294,221360532.8,1202
2025-06-22,570.0,539.1,540.99,226790,124546688.0,1001
