Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,431.9,404.9,426.0,142840,60476199.0,853
2024-12-04,439.0,420.0,422.0,68039,29232635.9,436
2024-12-05,426.0,411.0,411.0,49810,20763941.9,299
2024-12-08,425.0,404.0,411.0,54035,22412642.7,327
2024-12-09,424.0,407.0,413.6,39854,16509562.4,283
2024-12-10,427.7,410.0,413.0,31381,13016166.6,203
2024-12-11,420.9,411.2,419.0,28812,12049119.2,156
2024-12-12,435.0,422.1,427.0,82473,35398908.3,501
2024-12-16,438.8,425.1,433.0,96641,41886818.0,582
2024-12-17,440.0,425.0,425.1,28456,12219463.5,218
2024-12-18,429.0,406.1,408.1,33373,13801695.1,229
2024-12-19,416.0,398.2,398.5,29605,11942619.0,208
2024-12-22,400.0,388.0,393.8,36055,14181750.3,250
2024-12-23,424.0,394.6,420.0,35627,14572702.0,217
2024-12-24,425.7,407.7,411.0,28185,11749857.8,187
2024-12-26,415.0,400.0,400.0,28610,11610500.1,179
2024-12-29,404.0,390.0,390.5,16210,6413771.2,130
2024-12-31,393.0,379.1,382.0,22104,8449783.5,156
2025-01-01,402.0,376.0,399.0,12259,4791427.8,100
2025-01-02,400.0,390.0,395.0,13168,5203601.0,99
2025-01-05,404.9,395.0,404.0,14677,5865387.3,125
2025-01-06,416.6,403.2,415.0,33356,13709837.9,173
2025-01-07,431.0,415.0,420.0,53165,22503816.5,263
2025-01-08,428.0,413.3,423.8,32778,13862826.8,203
2025-01-09,431.7,421.2,421.7,34694,14747510.1,220
2025-01-12,430.0,415.1,420.0,21011,8902424.8,137
2025-01-13,428.0,407.7,415.9,36898,15260298.2,219
2025-01-15,424.1,414.3,416.9,27449,11449715.3,136
2025-01-16,430.0,411.0,428.9,65054,27705262.9,280
2025-01-19,470.0,434.2,459.0,203555,92698975.3,1127
2025-01-20,475.0,453.0,455.0,98820,45659191.6,471
2025-01-21,464.1,441.1,450.0,88773,40060096.1,404
2025-01-22,460.0,446.1,458.0,63619,28867940.8,299
2025-01-23,466.0,448.9,459.0,56938,25989321.9,278
2025-01-26,477.0,455.0,464.0,84596,39494051.4,451
2025-01-27,478.0,457.0,457.0,83590,39119577.2,349
2025-01-28,469.0,447.9,464.0,60904,28194606.5,284
2025-02-02,473.0,461.6,463.8,89946,41965680.3,342
2025-02-03,485.0,460.0,471.0,94163,44357332.4,501
2025-02-04,493.9,471.0,481.0,106775,51920379.7,452
2025-02-05,529.1,480.3,529.1,279011,144336134.5,1244
2025-02-06,566.0,539.0,539.6,200287,109977856.9,1119
2025-02-09,545.0,511.0,515.0,190154,99844679.1,888
2025-02-10,534.0,507.0,516.9,108701,56641237.7,568
2025-02-11,530.0,515.0,520.0,64723,33925093.8,301
2025-02-12,529.0,516.0,518.7,73622,38406846.1,298
2025-02-13,552.9,512.0,540.0,137295,73206561.5,671
2025-02-16,547.9,529.2,539.0,187206,100490609.8,458
2025-02-17,549.7,517.1,528.8,71067,37633975.9,316
2025-02-18,530.0,510.0,523.0,77545,40155295.5,362
2025-02-20,529.0,510.0,524.0,96230,49704455.7,394
2025-02-23,576.4,506.0,566.0,240956,130545230.9,695
2025-02-24,599.7,575.0,575.0,274368,159964643.2,1066
2025-02-25,585.0,550.1,551.0,96163,53748385.0,448
2025-02-27,556.0,532.0,532.0,94736,51326786.1,390
2025-03-02,571.0,527.0,556.2,162785,88985310.8,567
2025-03-03,576.0,535.0,536.0,89418,49255067.3,435
2025-03-04,545.0,526.0,526.0,59198,31723035.5,257
2025-03-05,546.0,516.0,533.9,82506,44022723.8,341
2025-03-06,544.5,526.0,531.0,36258,19277751.2,200
2025-03-09,540.0,520.4,531.0,35953,18916018.8,198
2025-03-10,540.0,513.1,520.5,25317,13168240.6,190
2025-03-11,530.9,500.2,504.0,33395,16981608.2,195
2025-03-12,530.0,498.0,519.5,43131,22391297.0,230
2025-03-16,520.3,505.0,520.0,26239,13453313.9,141
2025-03-17,529.0,512.0,524.0,55562,28940592.25,201
2025-03-18,527.5,506.0,523.9,22613,11639613.1,128
2025-03-19,524.9,510.0,522.0,53350,27637474.0,164
2025-03-20,539.9,515.4,523.12,52101,27446724.8,272
2025-03-23,530.0,500.0,502.95,70238,36034514.1,244
2025-03-24,549.0,500.0,523.08,104548,54464253.4,393
2025-03-25,529.5,505.0,510.74,42144,21704763.0,171
2025-03-26,520.0,505.0,515.28,22192,11427148.7,110
2025-03-27,524.0,510.9,517.55,31518,16362689.7,157
2025-03-30,551.0,503.9,511.88,263357,138465687.5,708
2025-04-01,514.9,486.0,489.58,172525,85214270.3,665
2025-04-02,496.9,484.0,485.0,60671,29681995.4,278
2025-04-03,485.0,460.6,479.81,167045,78942930.0,559
2025-04-07,479.0,463.0,463.72,49915,23453281.4,223
2025-04-08,467.4,449.0,457.16,63348,28924521.4,276
2025-04-09,464.8,452.0,453.67,30152,13850860.2,169
2025-04-10,465.0,454.0,456.71,50581,23220339.6,205
2025-04-13,460.0,445.7,447.25,24470,11021054.5,177
2025-04-15,467.0,448.5,461.47,47154,21744014.9,192
2025-04-16,473.9,455.2,470.73,43563,20347700.9,201
2025-04-17,483.9,466.0,467.94,66708,31606858.0,299
2025-04-20,483.0,466.6,473.15,60109,28606217.4,209
2025-04-21,492.9,471.0,490.16,64013,31149214.6,295
2025-04-22,497.5,476.3,479.33,59636,28974889.5,213
2025-04-23,488.0,475.1,476.24,68727,33123750.3,207
2025-04-24,484.0,465.2,473.55,29607,13999096.5,138
2025-04-27,501.0,477.3,478.78,167120,81266152.1,586
2025-04-28,485.0,455.7,458.93,87567,40903549.1,347
2025-04-29,468.0,442.0,445.54,53049,23979233.6,285
2025-04-30,462.0,444.1,451.17,40470,18317905.3,222
2025-05-04,471.0,451.0,457.54,62928,28793489.6,234
2025-05-05,464.0,451.0,457.08,43907,20051238.0,134
2025-05-06,460.0,449.1,450.37,35440,16131191.8,202
2025-05-07,479.0,448.4,459.03,79522,36424653.9,283
2025-05-08,504.9,467.0,504.9,208916,102994566.9,1052
2025-05-11,524.0,507.5,509.74,151822,77947950.4,812
2025-05-13,524.2,490.0,493.76,127218,63945854.5,570
2025-05-14,502.0,474.0,475.96,70358,33827801.0,507
2025-05-15,484.9,475.0,478.22,171412,82172300.5,1060
2025-05-18,318.0,294.8,318.0,41275,13111166.8,77
2025-05-19,349.0,301.9,304.01,185334,58839544.9,1150
2025-05-20,317.2,295.1,312.88,107708,32916719.5,487
2025-05-21,336.0,306.1,308.67,53049,16608783.0,319
2025-05-22,316.0,303.0,304.09,35391,10866662.7,214
2025-05-25,307.7,294.0,297.29,57557,17203183.1,276
2025-05-26,309.0,288.0,288.64,81670,24124811.9,322
2025-05-27,293.9,283.0,285.02,32596,9360083.6,213
2025-05-28,291.0,280.5,286.75,40373,11576939.5,160
2025-06-02,296.0,283.0,283.67,33415,9599274.5,220
2025-06-03,290.0,280.6,283.31,24292,6945172.3,146
2025-06-04,288.0,278.0,278.34,21229,5941153.5,160
2025-06-05,283.5,276.0,278.17,21154,5909530.8,132
2025-06-08,305.9,280.0,300.44,80554,23905200.6,506
2025-06-09,308.0,295.0,296.65,37267,11286703.1,213
2025-06-10,302.0,295.0,298.3,22574,6736114.6,138
2025-06-11,310.0,292.0,301.64,43543,13084571.6,222
2025-06-12,308.0,293.0,295.3,60241,18072672.0,269
2025-06-15,324.8,301.0,324.8,195875,61529550.5,783
2025-06-16,331.5,313.6,315.53,100839,32499221.9,492
2025-06-17,319.8,303.8,309.14,21541,6639396.2,129
2025-06-18,315.0,303.0,307.38,40814,12559270.8,193
2025-06-19,320.0,304.0,306.86,58518,18207821.1,297
2025-06-22,309.8,296.0,298.16,55035,16650682.8,219
2025-06-23,303.9,293.0,302.82,20993,6288991.8,130
2025-06-24,314.0,305.0,307.14,45654,14145758.9,178
2025-06-25,333.0,307.1,326.49,178130,57075358.3,650
2025-06-26,346.4,329.0,337.99,168178,57121927.6,823
2025-06-29,346.0,333.0,343.9,122306,41621117.4,492
2025-06-30,351.7,341.0,347.79,113922,39486291.6,403
2025-07-01,359.5,344.4,355.38,121597,42907247.6,437
2025-07-02,358.0,340.0,347.26,92226,31964950.8,463
2025-07-03,352.0,340.0,342.54,100435,34490252.1,406
2025-07-06,341.0,327.4,329.41,46966,15652480.0,314
2025-07-07,337.4,321.0,323.5,60063,19760638.9,265
2025-07-08,332.5,320.0,328.76,28492,9287666.0,167
2025-07-09,339.0,329.0,330.15,43968,14637189.0,204
2025-07-10,336.7,326.0,326.92,26687,8822570.6,174
2025-07-13,339.0,316.2,317.46,44779,14380020.5,280
2025-07-14,327.0,314.4,318.89,38171,12222482.9,193
2025-07-15,329.0,318.0,322.56,32812,10625143.6,161
2025-07-16,329.0,318.2,319.14,56828,18270265.4,257
2025-07-17,348.8,319.5,334.4,56836,18738973.8,318
2025-07-20,347.9,327.8,331.66,105643,35383477.8,481
2025-07-21,340.0,326.0,334.08,33066,11053852.3,220
2025-07-22,340.0,330.0,330.83,51559,17140558.5,324
2025-07-23,337.4,325.1,329.69,66064,21794131.9,318
2025-07-24,340.4,327.0,335.44,108339,36183053.0,369
2025-07-27,342.0,329.1,330.14,81238,27213694.7,319
2025-07-28,333.0,324.0,328.82,51536,16881204.8,213
2025-07-29,335.3,326.6,327.47,39004,12879330.3,180
2025-07-30,333.9,316.0,319.11,48443,15663307.6,253
2025-07-31,324.8,313.0,316.16,42102,13421827.0,228
2025-08-03,322.3,311.0,311.8,25484,8033310.3,172
2025-08-04,317.0,308.0,311.29,17077,5316310.2,127
2025-08-05,314.9,305.0,305.29,18223,5589369.4,155
2025-08-06,308.8,301.0,302.9,13002,3952549.2,120
2025-08-07,319.0,302.0,315.28,22627,7073178.5,213
2025-08-11,320.0,309.0,310.06,11137,3475372.8,110
2025-08-12,312.0,301.0,302.37,19983,6079236.2,123
2025-08-13,308.0,300.0,300.99,15550,4700280.6,78
2025-08-14,305.0,295.0,302.65,12227,3690717.3,79
2025-08-17,305.0,296.0,298.31,14242,4263873.6,110
2025-08-18,307.0,298.0,305.54,21959,6615316.0,85
2025-08-19,310.0,302.0,305.04,9400,2878189.2,56
2025-08-20,310.5,299.6,301.58,19889,5996423.9,102
2025-08-21,304.0,297.0,297.2,11309,3372411.3,71
2025-08-24,300.9,292.0,294.12,11608,3436126.9,83
2025-08-25,296.0,290.0,295.13,8372,2449480.8,71
2025-08-26,295.0,289.3,290.32,11452,3333557.0,69
2025-08-27,295.9,289.0,294.15,19433,5701982.0,86
2025-08-28,291.0,285.0,285.36,41002,11784434.4,248
2025-08-31,280.0,264.0,265.18,180266,48555150.0,879
2025-09-01,270.3,259.0,261.15,42340,11066913.7,329
2025-09-02,269.8,259.8,260.27,25428,6654954.9,222
2025-09-03,260.1,242.0,243.49,130407,32534390.9,537
2025-09-04,250.6,241.4,246.26,50491,12403423.6,338
2025-09-07,249.9,243.0,244.69,45246,11152506.7,181
2025-09-08,246.8,242.2,242.94,27063,6589938.9,128
2025-09-18,242.0,229.0,229.0,1169,273639.0,7
2025-09-21,243.7,226.0,241.01,64414,15303471.6,343
2025-09-23,265.0,237.1,263.9,71519,18182547.3,361
2025-09-24,267.8,256.1,258.7,38620,10065649.7,280
2025-09-25,267.2,254.7,267.2,41999,11002353.7,264
2025-09-28,273.0,264.5,273.0,55459,14947279.4,315
2025-10-07,272.8,252.1,255.0,60653,15758669.7,344
2025-10-08,264.9,242.5,249.9,53399,13306197.4,285
2025-10-09,264.0,247.6,250.0,54195,13781149.0,248
2025-10-12,250.0,237.1,240.9,43488,10478859.6,215
2025-10-13,245.0,236.0,241.9,48263,11519740.3,199
2025-10-14,246.4,233.4,237.0,18672,4413507.2,153
2025-10-15,239.0,230.2,232.0,18612,4346332.1,127
2025-10-16,236.5,225.0,227.9,26363,5998570.2,179
2025-10-19,232.0,227.9,230.0,14651,3355229.6,80
2025-10-26,231.5,223.4,231.4,22596,5113812.5,92
2025-10-28,244.6,230.0,244.5,45972,10911196.4,212
2025-10-29,252.0,240.7,241.0,40295,9895307.3,195
2025-10-30,252.8,239.5,251.9,48602,12065834.5,246
2025-11-02,265.4,250.0,258.2,68113,17584585.0,343
2025-11-03,267.2,253.1,258.9,64554,16670395.1,264
2025-11-04,260.0,248.2,250.0,34321,8659357.7,170
2025-11-05,254.0,243.0,249.4,35724,8812391.9,184
2025-11-06,255.3,246.2,247.9,31236,7808714.7,147
2025-11-09,252.8,244.3,246.0,23841,5896942.4,124
2025-11-10,249.0,240.0,243.0,43597,10591693.2,161
2025-11-11,249.9,242.2,248.0,13097,3212873.1,102
2025-11-12,251.4,243.7,245.0,15060,3708331.7,103
2025-11-13,247.4,240.1,244.0,14090,3454838.9,107
2025-11-16,249.0,240.2,246.7,25787,6339360.2,130
2025-11-17,256.9,246.1,256.0,44633,11269657.9,244
2025-11-18,261.9,250.9,259.0,49633,12865666.5,267
2025-11-19,262.5,252.6,254.0,37722,9707230.5,212
2025-11-20,263.8,250.0,260.6,76715,19931618.6,310
2025-11-23,279.0,255.4,277.0,185273,50712994.3,864
2025-11-24,282.5,270.5,273.7,94305,26005521.5,466
2025-11-25,282.9,270.1,282.9,132344,36880667.9,478
2025-11-26,283.9,276.4,281.8,91975,25757021.0,338
2025-11-27,285.0,274.7,274.7,69892,19426739.5,281
2025-11-30,279.0,265.0,265.1,82375,22333699.2,307
2025-12-01,273.9,263.3,266.0,45439,12177729.2,191
2025-12-02,274.0,268.1,272.0,49683,13496540.9,212
2025-12-03,277.4,265.6,266.9,49110,13228771.4,192
