Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,227.5,221.0,226.0,80923,18284229.8,199
2024-12-04,230.5,222.2,224.0,53528,12051515.0,186
2024-12-05,226.0,222.2,223.7,32968,7362017.1,148
2024-12-08,225.0,217.0,221.0,121332,26621782.2,282
2024-12-09,224.0,215.0,216.0,72509,15740989.5,234
2024-12-10,218.0,215.0,217.7,38918,8412346.5,189
2024-12-11,226.9,214.0,226.9,82719,18242673.8,288
2024-12-12,231.4,220.0,220.0,89740,20319174.6,225
2024-12-16,220.0,215.7,217.6,78992,17119560.2,179
2024-12-17,219.7,216.0,217.5,46502,10138871.9,148
2024-12-18,220.4,217.0,217.0,40085,8748273.8,156
2024-12-19,219.0,214.0,214.0,45081,9729396.3,168
2024-12-22,222.0,209.8,213.7,39326,8437563.6,165
2024-12-23,217.9,213.0,217.9,59326,12728917.6,179
2024-12-24,222.0,213.8,219.5,55258,12080283.7,195
2024-12-26,228.0,214.3,223.9,119205,26692084.3,393
2024-12-29,228.2,220.5,221.9,36183,8117442.0,205
2024-12-31,226.3,216.1,219.1,59349,12983242.2,183
2025-01-01,222.0,218.2,220.0,23283,5125758.7,109
2025-01-02,224.4,215.6,220.0,72493,15716530.6,233
2025-01-05,220.0,214.3,216.0,34921,7531897.3,206
2025-01-06,219.3,214.0,218.0,46428,10085488.1,201
2025-01-07,222.3,213.7,215.1,51666,11159733.9,211
2025-01-08,219.4,214.6,215.9,40933,8818038.5,206
2025-01-09,220.2,214.7,215.5,46564,10038542.7,185
2025-01-12,215.0,211.7,214.0,35766,7617269.9,139
2025-01-13,216.0,210.0,210.9,60531,12780859.7,258
2025-01-15,211.0,208.2,210.0,86472,18138305.6,155
2025-01-16,211.8,206.0,207.5,51699,10722909.3,201
2025-01-19,209.0,204.0,206.4,37433,7720690.4,191
2025-01-20,209.5,204.1,206.0,42126,8683453.5,205
2025-01-21,206.0,202.1,203.5,42342,8625805.7,198
2025-01-22,208.6,203.1,207.4,106280,21852239.5,239
2025-01-23,211.0,206.1,207.0,54440,11378865.6,202
2025-01-26,209.0,203.1,206.0,24768,5071483.8,128
2025-01-27,207.0,203.2,204.5,16243,3320196.5,117
2025-01-28,207.0,203.0,205.0,56340,11514318.8,186
2025-02-02,212.0,207.0,210.1,72270,15200456.0,251
2025-02-03,214.5,208.2,213.0,81900,17406917.7,263
2025-02-04,216.9,210.0,211.0,70627,15093911.9,261
2025-02-05,213.0,210.2,210.4,36402,7673761.9,154
2025-02-06,211.2,208.0,208.1,67511,14115948.1,163
2025-02-09,214.0,207.9,208.5,58670,12279237.7,171
2025-02-10,212.1,206.8,208.2,43613,9154036.6,165
2025-02-11,212.0,208.1,209.5,18427,3845880.3,115
2025-02-12,212.0,208.0,209.5,42880,8996080.7,202
2025-02-13,210.9,206.7,207.0,31659,6579388.5,148
2025-02-16,213.0,206.1,209.5,65441,13766494.1,195
2025-02-17,216.8,210.0,215.5,78977,16897512.6,327
2025-02-18,219.8,214.1,214.8,83544,18100845.2,293
2025-02-20,216.0,212.2,214.4,45678,9764754.6,183
2025-02-23,217.6,209.0,213.1,108017,23124084.3,283
2025-02-24,220.9,209.0,214.4,51310,11030611.4,181
2025-02-25,217.0,210.2,213.0,75696,16163797.4,191
2025-02-27,231.0,217.0,219.7,173732,38277153.9,511
2025-03-02,229.8,221.0,229.8,205915,46318094.4,592
2025-03-03,233.0,224.0,226.0,155235,35640410.5,456
2025-03-04,228.0,222.0,223.8,133812,30139265.6,334
2025-03-05,223.0,219.4,219.4,89599,19757921.8,267
2025-03-06,227.0,218.0,220.0,68257,15057324.2,255
2025-03-09,220.0,216.0,216.1,58917,12790876.4,215
2025-03-10,218.4,213.6,214.3,45612,9817137.1,186
2025-03-11,217.0,212.3,213.0,57433,12290198.2,169
2025-03-12,216.1,212.0,212.3,38803,8318914.6,190
2025-03-16,214.5,210.7,211.0,45356,9605772.1,206
2025-03-17,215.2,210.2,212.0,37372,7940474.9,150
2025-03-18,216.2,209.6,211.0,48853,10295875.2,171
2025-03-19,213.0,209.0,209.2,38940,8203633.2,169
2025-03-20,211.3,208.0,208.39,72895,15230871.3,168
2025-03-23,210.0,205.7,206.18,63001,13013321.1,180
2025-03-24,210.3,204.3,209.12,55223,11497354.3,182
2025-03-25,209.1,205.1,207.15,46475,9633789.4,127
2025-03-26,209.0,205.2,208.33,36434,7576741.8,134
2025-03-27,212.4,205.2,209.11,28380,5923906.0,135
2025-03-30,214.9,206.1,211.94,56444,12028728.3,203
2025-04-01,214.0,210.3,210.54,36647,7759767.0,142
2025-04-02,214.7,209.6,212.0,49543,10450037.8,168
2025-04-03,221.5,209.1,215.72,105438,23010150.2,400
2025-04-07,218.0,212.5,213.17,25417,5429899.8,124
2025-04-08,213.0,210.3,211.88,25344,5359305.1,108
2025-04-09,216.0,210.2,211.24,24581,5200519.1,131
2025-04-10,213.5,207.5,210.26,122344,25810115.3,143
2025-04-13,213.0,208.7,210.0,104780,22137665.7,94
2025-04-15,214.9,211.0,213.68,38094,8120020.1,144
2025-04-16,217.9,209.1,209.73,55760,11769503.0,205
2025-04-17,214.0,211.0,212.68,49347,10504825.0,193
2025-04-20,215.9,209.1,209.51,45422,9586738.5,163
2025-04-21,211.7,207.6,208.56,69076,14424632.4,207
2025-04-22,209.0,204.4,204.94,62070,12773356.1,238
2025-04-23,206.9,200.0,201.75,120865,24375863.5,382
2025-04-24,203.0,200.0,202.34,52729,10627015.4,183
2025-04-27,206.0,202.0,202.86,42212,8574984.2,202
2025-04-28,204.0,200.2,201.39,26664,5379415.2,138
2025-04-29,203.4,200.0,201.39,39013,7829019.1,133
2025-04-30,203.0,196.7,201.07,88988,17694654.4,283
2025-05-04,203.0,198.5,199.0,70254,14085471.0,228
2025-05-05,201.0,196.0,199.26,24086,4777142.5,145
2025-05-06,200.0,196.3,199.1,29832,5919520.5,145
2025-05-07,207.8,196.2,207.05,67502,13763144.7,242
2025-05-08,209.0,201.1,203.37,106474,21757709.3,248
2025-05-11,205.0,199.4,202.02,67818,13649497.2,218
2025-05-13,202.5,199.0,199.47,53398,10689830.2,199
2025-05-14,201.0,197.0,197.81,37049,7366336.1,165
2025-05-15,200.0,197.0,197.86,27432,5440824.4,133
2025-05-18,200.0,197.5,198.11,33878,6711562.9,153
2025-05-19,201.3,198.6,201.08,38811,7769136.6,164
2025-05-20,207.5,198.0,206.07,61067,12467563.7,202
2025-05-21,216.0,205.0,205.11,90155,18831873.8,265
2025-05-22,217.0,203.1,216.18,280569,59817974.5,693
2025-05-25,219.0,210.1,215.15,199041,42562328.0,372
2025-05-26,227.0,212.0,213.94,155639,33920977.9,382
2025-05-27,217.0,210.3,216.09,96882,20841817.5,188
2025-05-28,225.0,214.4,222.55,223482,49162254.9,410
2025-06-02,226.9,219.1,220.21,177315,39389693.3,362
2025-06-03,224.6,214.0,214.07,94770,20482453.7,203
2025-06-04,216.9,209.2,210.8,57465,12130057.9,158
2025-06-05,213.0,209.1,209.78,70653,14902535.4,148
2025-06-08,210.9,206.0,207.6,58500,12161730.4,199
2025-06-09,210.7,206.0,209.31,57035,11846783.3,154
2025-06-10,211.0,207.4,210.31,51482,10773636.4,153
2025-06-11,211.5,206.5,207.32,72766,15170737.9,187
2025-06-12,208.9,205.1,206.91,43992,9089561.5,179
2025-06-15,209.0,205.2,205.39,38688,7970150.3,158
2025-06-16,211.0,204.2,208.28,38151,7951836.5,167
2025-06-17,210.1,205.5,205.75,41905,8637457.8,137
2025-06-18,209.5,203.0,203.14,158226,32375516.6,306
2025-06-19,206.0,201.4,202.24,152571,30988085.0,304
2025-06-22,204.0,200.0,200.35,74762,15005025.7,258
2025-06-23,203.8,201.0,201.6,26050,5262193.5,141
2025-06-24,206.9,202.0,203.59,73958,15075404.9,203
2025-06-25,205.5,201.5,203.55,25872,5247544.6,112
2025-06-26,204.0,201.9,201.99,23650,4790614.8,127
2025-06-29,208.9,200.1,207.98,58635,12014539.1,204
2025-06-30,212.1,206.0,207.33,75030,15549494.7,164
2025-07-01,209.7,205.7,208.6,45238,9410285.4,137
2025-07-02,212.0,207.0,211.38,75338,15835208.7,258
2025-07-03,215.6,208.9,212.36,74509,15750857.9,236
2025-07-06,215.5,209.1,213.16,81753,17465976.9,212
2025-07-07,217.4,211.0,211.66,110009,23303429.9,171
2025-07-08,212.0,208.4,210.44,46665,9803985.3,120
2025-07-09,218.3,206.3,215.37,84753,18136632.9,241
2025-07-10,224.9,214.6,220.98,280238,61705099.6,758
2025-07-13,234.0,225.3,228.09,259040,59366662.7,793
2025-07-14,229.0,218.2,219.55,199307,44230340.4,422
2025-07-15,226.9,216.0,223.98,150677,33381300.1,309
2025-07-16,232.0,226.0,228.28,210447,48331966.4,609
2025-07-17,234.0,227.0,230.69,219237,50675845.0,541
2025-07-20,235.1,227.0,227.85,289841,66927318.2,594
2025-07-21,232.5,225.5,229.89,357351,82081930.4,481
2025-07-22,237.8,232.0,236.3,233864,54975350.2,648
2025-07-23,238.8,232.5,234.95,101518,23870195.7,382
2025-07-24,239.6,230.5,232.07,207622,48254546.8,366
2025-07-27,234.9,229.0,230.68,224525,52075177.0,523
2025-07-28,234.9,226.0,231.96,214508,49095536.6,552
2025-07-29,239.0,232.0,235.44,271421,64058468.2,749
2025-07-30,240.1,231.0,232.31,178390,41958954.5,400
2025-07-31,232.0,227.0,228.0,100942,23087979.8,323
2025-08-03,228.0,221.3,222.09,129394,28964442.3,414
2025-08-04,226.0,217.7,225.14,140034,31018583.8,429
2025-08-05,227.0,222.0,222.43,77798,17453713.1,239
2025-08-06,226.8,220.0,220.66,67819,14982712.0,236
2025-08-07,226.9,220.0,224.8,93128,20767515.1,265
2025-08-11,228.0,217.6,218.53,100856,22206213.7,337
2025-08-12,222.0,214.2,215.33,64587,13982391.4,219
2025-08-13,216.0,212.4,212.95,47911,10253987.7,202
2025-08-14,214.3,211.1,211.37,53482,11362456.0,171
2025-08-17,214.0,208.1,209.91,59848,12517098.5,219
2025-08-18,211.0,208.2,210.36,27058,5679150.1,123
2025-08-19,213.8,208.9,210.43,49607,10472474.7,160
2025-08-20,212.0,208.4,208.69,41326,8667676.2,149
2025-08-21,211.6,207.1,208.23,91865,19198532.6,187
2025-08-24,210.0,206.3,207.11,36167,7502119.3,149
2025-08-25,209.9,205.5,209.55,31247,6453667.4,144
2025-08-26,210.0,206.6,207.14,30372,6302268.0,143
2025-08-27,212.0,206.4,211.08,47700,10011219.3,160
2025-08-28,211.0,207.4,209.24,53507,11175393.3,186
2025-08-31,210.3,205.1,206.15,70488,14565834.0,218
2025-09-01,210.2,204.5,208.78,66482,13700842.8,201
2025-09-02,212.9,206.5,207.14,20699,4301830.9,102
2025-09-03,208.9,205.0,206.36,27528,5690404.3,109
