Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,642.5,621.0,621.0,22888,14443800.8,221
2024-12-04,640.0,615.1,626.0,51166,32094222.4,375
2024-12-05,630.4,603.0,604.0,40069,24517954.4,279
2024-12-08,664.4,595.1,657.0,166870,106249608.9,1016
2024-12-09,699.7,669.0,669.0,98081,67009185.6,797
2024-12-10,694.0,660.0,693.0,55132,37378606.7,492
2024-12-11,742.0,666.4,687.1,99409,69681436.2,726
2024-12-12,691.2,665.0,669.0,54313,36759134.4,393
2024-12-16,678.0,660.0,671.0,70555,47245532.0,403
2024-12-17,733.0,675.0,732.0,137013,95704951.2,953
2024-12-18,717.4,693.0,693.0,43434,30652106.5,359
2024-12-19,717.0,681.0,683.9,58951,41477350.2,447
2024-12-22,705.0,686.2,691.0,34232,23748011.6,283
2024-12-23,704.0,694.1,698.0,27154,18983060.9,254
2024-12-24,726.0,675.0,693.0,60253,42579361.4,427
2024-12-26,690.0,671.3,678.0,27092,18449607.8,246
2024-12-29,690.0,669.0,685.0,49205,33599220.7,293
2024-12-31,697.0,660.0,670.0,27617,18747192.5,232
2025-01-01,731.0,672.0,714.9,39927,27956755.2,298
2025-01-02,727.0,695.0,710.0,46716,33168885.2,352
2025-01-05,780.0,701.0,777.0,119909,86203315.5,838
2025-01-06,838.0,718.0,838.0,160894,120225417.7,1205
2025-01-07,838.0,754.2,754.2,19605,14801696.8,163
2025-01-08,740.0,696.0,714.0,49877,36055566.5,471
2025-01-09,720.0,695.0,705.0,59865,42226145.5,479
2025-01-12,734.4,704.0,728.0,50786,36762721.6,386
2025-01-13,728.0,711.0,713.3,37807,27159068.1,320
2025-01-15,784.6,700.1,784.6,188240,145401414.0,1004
2025-01-16,817.0,785.2,786.3,88548,70885348.0,664
2025-01-19,806.0,770.6,784.5,41307,32838443.3,553
2025-01-20,862.9,779.5,843.1,114980,95739395.1,991
2025-01-21,909.0,826.3,841.0,94014,80354282.8,852
2025-01-22,925.1,824.2,925.1,83141,72409014.9,624
2025-01-23,1017.0,840.0,995.0,187529,167611673.5,928
2025-01-26,975.1,895.5,895.5,49243,44418471.4,379
2025-01-27,931.6,806.0,913.0,204491,171284803.7,1374
2025-01-28,894.8,821.7,836.0,143096,117775911.6,918
2025-02-02,850.0,803.0,826.0,89445,73639442.2,824
2025-02-03,831.0,801.0,806.0,45509,36932720.8,451
2025-02-04,812.0,783.1,784.1,42885,34091388.1,470
2025-02-05,810.0,785.7,786.0,31343,24950566.9,383
2025-02-06,804.5,788.0,790.0,25768,20447419.2,251
2025-02-09,805.8,767.0,772.0,19325,15030722.7,252
2025-02-10,780.0,760.0,760.0,24970,19135407.8,281
2025-02-11,815.7,758.3,796.9,49801,39751243.7,539
2025-02-12,809.9,779.0,783.0,18929,14943914.8,221
2025-02-13,783.0,768.0,771.0,18374,14251035.3,241
2025-02-16,786.2,765.0,769.1,29882,22975270.9,326
2025-02-17,790.0,753.5,779.9,26836,20892178.8,279
2025-02-18,795.0,770.0,770.0,16716,13025325.8,216
2025-02-20,775.0,760.0,769.8,14010,10733876.5,164
2025-02-23,770.0,750.0,763.5,27237,20626388.0,261
2025-02-24,768.0,738.1,742.0,19016,14313510.9,248
2025-02-25,755.9,723.0,729.0,23408,17082976.1,291
2025-02-27,740.0,715.4,729.0,21345,15499667.5,227
2025-03-02,770.0,721.0,744.0,22408,16685777.7,344
2025-03-03,772.0,730.0,730.0,17077,12666011.8,239
2025-03-04,743.4,721.0,731.0,13304,9761570.8,184
2025-03-05,743.5,720.0,723.7,11772,8541319.7,168
2025-03-06,734.7,718.0,724.9,13083,9480185.8,166
2025-03-09,769.0,712.2,749.0,39666,29579706.7,442
2025-03-10,763.0,723.2,736.0,12790,9416915.4,152
2025-03-11,740.0,712.1,720.0,9809,7056353.3,127
2025-03-12,720.0,707.0,712.0,11893,8461991.6,191
2025-03-16,706.0,685.0,689.0,18790,13009015.0,249
2025-03-17,690.0,672.0,672.0,11253,7641218.1,126
2025-03-18,690.0,668.0,670.0,9203,6229272.0,143
2025-03-19,683.0,665.0,677.0,6678,4517431.0,106
2025-03-20,742.0,677.0,723.72,43193,31177469.3,495
2025-03-23,737.5,690.0,707.82,23964,17334712.4,341
2025-03-24,715.0,686.0,700.4,14519,10189808.0,169
2025-03-25,698.6,673.0,674.41,14194,9618242.2,124
2025-03-26,688.9,663.2,679.76,8824,5977138.5,117
2025-03-27,693.0,672.0,686.69,6418,4389910.0,103
2025-03-30,703.0,680.0,691.84,9933,6904548.5,162
2025-04-01,703.0,681.0,691.78,18193,12608414.7,167
2025-04-02,719.0,690.0,691.34,7573,5250145.5,130
2025-04-03,703.0,685.2,687.08,9172,6324545.1,113
2025-04-07,688.0,673.4,676.68,4959,3369170.6,99
2025-04-08,679.0,665.0,674.99,6056,4045686.9,97
2025-04-09,688.0,670.2,672.39,3413,2304867.0,72
2025-04-10,679.6,666.0,667.82,10261,6880777.8,96
2025-04-13,667.0,660.2,662.98,8009,5314282.0,103
2025-04-15,683.0,650.1,676.87,7356,4988958.4,85
2025-04-16,679.9,665.0,677.92,6003,4046090.3,70
2025-04-17,689.9,670.6,674.33,7752,5262871.1,99
2025-04-20,681.0,660.0,662.9,6570,4395697.4,97
2025-04-21,669.9,661.0,665.34,4338,2887002.2,81
2025-04-22,684.9,655.0,658.3,9177,6073309.4,97
2025-04-23,662.0,651.0,652.3,7198,4700905.0,89
2025-04-24,668.1,642.0,644.38,7884,5116655.6,95
2025-04-27,651.0,629.0,629.97,13169,8337025.6,149
2025-04-28,639.9,600.4,618.68,16546,10199639.1,160
2025-04-29,618.0,600.0,603.37,10868,6580125.9,139
2025-04-30,610.0,591.4,594.81,10054,6020642.7,102
2025-05-04,624.0,575.0,601.5,15653,9297314.2,197
2025-05-05,623.0,586.0,589.07,7094,4216811.0,82
2025-05-06,614.0,590.0,603.08,9072,5481082.8,130
2025-05-07,612.0,595.1,607.22,10602,6423175.4,119
2025-05-08,610.0,598.0,602.76,5501,3317276.6,100
2025-05-11,612.0,580.0,581.35,12241,7222857.0,130
2025-05-13,595.0,575.0,575.05,5561,3221261.6,94
2025-05-14,590.0,575.0,576.52,6242,3611166.6,90
2025-05-15,575.0,554.0,564.7,10815,6115559.9,112
2025-05-18,570.0,535.0,538.78,13739,7532678.0,146
2025-05-19,554.9,530.0,547.8,4798,2623624.9,93
2025-05-20,569.1,545.0,559.83,8121,4513906.5,95
2025-05-21,582.4,560.2,562.32,11045,6288703.3,129
2025-05-22,571.2,555.1,558.42,1533,859090.8,51
2025-05-25,568.0,548.1,553.78,2865,1584870.6,70
2025-05-26,564.8,550.0,554.92,5028,2790106.1,65
2025-05-27,559.0,544.0,555.08,6385,3533352.2,74
2025-05-28,559.9,546.2,556.57,5192,2881066.8,58
2025-06-02,555.1,546.0,547.27,9212,5056290.5,117
2025-06-03,556.0,540.2,548.83,6279,3459084.2,82
2025-06-04,549.7,538.3,543.75,10583,5731483.1,98
2025-06-05,547.9,525.0,535.3,11097,5906860.1,132
2025-06-08,556.0,525.0,538.49,6706,3616793.1,93
2025-06-09,592.3,535.1,592.3,21530,12319747.5,183
2025-06-10,640.0,604.1,619.63,33798,20998165.8,372
2025-06-11,625.0,600.1,604.38,12347,7495475.4,158
2025-06-12,624.0,591.0,595.61,29254,17702891.9,209
2025-06-15,600.0,555.0,575.37,18544,10669227.9,173
2025-06-16,592.0,565.0,567.14,18365,10565753.9,152
2025-06-17,589.0,559.2,563.28,5180,2914617.0,69
2025-06-18,578.0,555.0,557.9,6254,3502932.2,85
2025-06-19,574.9,557.7,570.86,11806,6717759.2,133
2025-06-22,580.0,555.0,557.6,9153,5145687.4,100
2025-06-23,568.7,546.6,558.81,4924,2740572.0,86
2025-06-24,568.0,546.1,547.56,7008,3880329.4,85
2025-06-25,565.0,540.0,559.12,5013,2783789.0,65
2025-06-26,579.0,554.0,561.32,4916,2767735.7,85
2025-06-29,563.9,551.0,559.15,4746,2646137.6,72
2025-06-30,565.0,550.0,550.61,6011,3319488.1,79
2025-07-01,562.0,545.0,560.16,4255,2353373.6,79
2025-07-02,590.0,560.0,574.87,19290,11154481.7,160
2025-07-03,578.0,565.0,566.26,7418,4236395.0,80
2025-07-06,577.0,560.0,560.23,9446,5333709.5,113
2025-07-07,565.0,556.0,558.6,4550,2551358.2,65
2025-07-08,569.0,551.0,560.1,2699,1512915.3,63
2025-07-09,580.0,557.3,565.11,4299,2442148.0,68
2025-07-10,580.0,561.2,566.82,9537,5440800.2,95
2025-07-13,600.0,560.0,562.12,4867,2753107.8,84
2025-07-14,570.0,559.0,560.27,2822,1584650.5,53
2025-07-15,570.0,558.0,560.28,11070,6212003.7,86
2025-07-16,573.0,559.0,568.48,19663,11135875.4,134
2025-07-17,605.6,575.3,603.56,32946,19426506.1,269
2025-07-20,642.6,598.0,615.42,37070,22993998.4,351
2025-07-21,627.0,600.0,608.47,21239,12916133.9,209
2025-07-22,633.0,612.5,626.2,16981,10619654.0,222
2025-07-23,642.0,603.7,614.43,23303,14554771.5,276
2025-07-24,625.0,590.0,611.15,41148,24906624.2,276
2025-07-27,626.7,603.0,606.78,28538,17532647.6,299
2025-07-28,610.0,595.0,600.09,11498,6901797.9,183
2025-07-29,625.0,591.0,615.29,17346,10688758.5,233
2025-07-30,615.0,601.0,602.6,12647,7655694.3,135
2025-07-31,610.0,594.0,595.55,10332,6187122.4,144
2025-08-03,602.0,590.0,591.64,11413,6770232.6,154
2025-08-04,600.0,583.0,592.42,8480,5039412.6,124
2025-08-05,605.0,586.0,589.79,14383,8516799.8,126
2025-08-06,585.0,571.5,576.07,4401,2545118.8,112
2025-08-07,587.0,570.3,575.72,4650,2674448.4,109
2025-08-11,599.9,565.6,576.09,7151,4181435.9,132
2025-08-12,590.0,570.0,575.98,7140,4146359.5,95
2025-08-13,580.0,570.0,575.36,2946,1686004.1,64
2025-08-14,577.0,571.0,575.97,4149,2387363.9,74
2025-08-17,586.0,575.1,584.26,6707,3900330.1,129
2025-08-18,619.0,580.0,603.56,29384,17766823.1,300
2025-08-19,615.0,583.2,591.67,11974,7116111.08,99
2025-08-20,599.9,582.0,586.99,1701,1001314.5,41
2025-08-21,619.0,575.3,589.98,9338,5583612.0,115
2025-08-24,592.0,580.0,580.2,3623,2119210.9,75
2025-08-25,580.0,570.0,577.2,2927,1683749.5,64
2025-08-26,588.7,571.1,578.87,4895,2858010.0,67
2025-08-27,589.0,571.1,578.48,3613,2089336.2,88
2025-08-28,590.0,570.0,575.28,6809,3916200.5,87
