Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1370.0,1350.0,1355.0,3444,4683042.1,61
2024-12-04,1366.0,1340.0,1355.1,4173,5661572.3,41
2024-12-05,1345.0,1305.5,1339.0,4228,5605000.0,81
2024-12-08,1339.0,1299.0,1320.0,5030,6569021.7,71
2024-12-09,1325.0,1225.1,1279.0,5029,6384140.5,119
2024-12-10,1299.0,1220.0,1259.0,6344,7869327.9,137
2024-12-11,1275.0,1250.0,1270.0,739,937473.6,24
2024-12-12,1290.0,1220.1,1255.0,5729,7118382.6,83
2024-12-16,1255.0,1219.1,1230.0,2123,2609706.9,56
2024-12-17,1239.8,1220.0,1237.8,1400,1725484.8,39
2024-12-18,1287.0,1236.0,1250.0,788,987661.5,36
2024-12-19,1275.0,1231.0,1231.0,2179,2714495.0,56
2024-12-22,1255.0,1207.0,1251.0,1715,2118176.2,39
2024-12-23,1301.0,1250.0,1252.0,2222,2839562.5,39
2024-12-24,1297.0,1252.0,1273.0,2726,3490560.5,34
2024-12-26,1289.0,1256.0,1279.0,300,381455.6,20
2024-12-29,1300.0,1250.0,1274.0,3048,3904105.6,58
2024-12-31,1289.9,1230.1,1250.0,796,994354.9,39
2025-01-01,1258.0,1221.0,1238.0,2221,2727190.5,48
2025-01-02,1247.0,1215.1,1247.0,773,956288.4,33
2025-01-05,1253.0,1227.0,1231.1,1771,2183098.9,47
2025-01-06,1255.0,1231.0,1232.1,1812,2242972.8,50
2025-01-07,1254.6,1229.7,1254.0,2732,3379817.2,47
2025-01-08,1300.0,1253.5,1281.0,3244,4144822.9,56
2025-01-09,1295.3,1255.4,1262.3,1717,2173926.9,37
2025-01-12,1260.0,1240.3,1240.3,1868,2336607.0,32
2025-01-13,1260.0,1234.8,1249.0,988,1226599.2,22
2025-01-15,1249.9,1230.0,1245.0,1700,2107309.3,35
2025-01-16,1250.0,1229.0,1237.0,2407,2966912.1,43
2025-01-19,1240.0,1220.0,1234.0,1422,1741982.3,44
2025-01-20,1256.0,1226.1,1228.0,3398,4171618.1,49
2025-01-21,1230.0,1218.0,1218.0,3028,3694222.3,63
2025-01-22,1229.9,1205.0,1225.0,1120,1368649.8,37
2025-01-23,1232.8,1220.0,1220.0,2983,3654998.9,54
2025-01-26,1228.0,1216.0,1220.0,2159,2633689.8,51
2025-01-27,1242.5,1208.0,1230.0,2642,3220205.2,48
2025-01-28,1238.9,1215.2,1236.0,2652,3250642.2,51
2025-02-02,1305.6,1242.0,1305.6,7152,9136430.7,133
2025-02-03,1350.0,1308.0,1320.0,9208,12220403.4,87
2025-02-04,1343.9,1302.0,1320.0,2106,2783426.3,42
2025-02-05,1310.0,1285.0,1290.0,2666,3448552.0,46
2025-02-06,1300.6,1275.1,1290.0,4902,6326580.0,45
2025-02-09,1295.0,1275.5,1294.0,2034,2607196.2,33
2025-02-10,1314.0,1276.1,1277.0,2287,2949297.7,36
2025-02-11,1302.0,1271.0,1273.1,850,1087399.8,23
2025-02-12,1285.0,1250.0,1270.0,2188,2788395.5,47
2025-02-13,1270.0,1255.2,1261.1,2714,3421882.6,65
2025-02-16,1274.0,1250.0,1258.3,3656,4602298.0,78
2025-02-17,1291.5,1260.0,1286.0,4670,5993622.7,82
2025-02-18,1290.0,1271.3,1275.0,3312,4232861.3,75
2025-02-20,1275.0,1252.1,1272.9,3723,4701691.5,40
2025-02-23,1269.0,1254.0,1268.0,2888,3641302.0,55
2025-02-24,1275.0,1250.0,1256.3,6413,8027674.6,48
2025-02-25,1277.5,1253.0,1253.6,1291,1621965.5,36
2025-02-27,1285.0,1265.0,1271.0,1221,1557732.5,40
2025-03-02,1289.0,1272.0,1285.0,3247,4166330.7,66
2025-03-03,1308.0,1280.0,1290.0,4990,6424009.5,77
2025-03-04,1317.0,1294.0,1294.1,11499,14953134.3,103
2025-03-05,1319.7,1265.1,1265.3,3084,3953048.1,63
2025-03-06,1290.6,1260.0,1262.0,2827,3595839.2,53
2025-03-09,1270.0,1251.0,1251.0,2722,3414012.0,40
2025-03-10,1256.0,1232.0,1238.6,3188,3970467.7,57
2025-03-11,1263.0,1225.0,1263.0,2796,3457566.3,58
2025-03-12,1255.0,1238.0,1255.0,1221,1518552.5,30
2025-03-16,1259.0,1230.0,1259.0,1544,1913212.4,51
2025-03-17,1244.0,1229.0,1244.0,1604,1978564.7,46
2025-03-18,1250.0,1215.0,1239.0,3998,4909238.6,75
2025-03-19,1255.0,1222.1,1230.0,3150,3915862.0,34
2025-03-20,1230.0,1210.0,1215.08,1991,2421314.5,59
2025-03-23,1225.0,1168.0,1175.74,4167,4956035.0,106
2025-03-24,1223.0,1152.3,1191.94,3334,3966865.6,52
2025-03-25,1190.0,1100.0,1151.86,4096,4737056.4,99
2025-03-26,1174.0,1160.1,1165.48,1438,1674091.8,33
2025-03-27,1206.0,1165.0,1198.74,4088,4885571.8,64
2025-03-30,1220.0,1185.0,1201.0,1883,2269654.8,47
2025-04-01,1190.0,1177.1,1189.33,1018,1203617.7,24
2025-04-02,1190.0,1176.0,1187.11,737,870844.9,19
2025-04-03,1199.0,1181.0,1187.05,4791,5699305.4,82
2025-04-07,1199.0,1142.0,1168.81,3699,4323664.2,61
2025-04-08,1182.9,1160.0,1164.24,5562,6464455.1,71
2025-04-09,1183.0,1155.0,1162.0,1190,1387183.6,57
2025-04-10,1183.0,1161.0,1179.16,2792,3282332.4,50
2025-04-13,1170.0,1156.1,1160.01,2948,3423758.2,73
2025-04-15,1182.0,1160.1,1172.4,1785,2091837.5,41
2025-04-16,1192.0,1157.1,1159.17,4149,4816758.1,87
2025-04-17,1165.0,1140.0,1156.98,4591,5293648.1,109
2025-04-20,1169.0,1150.0,1156.27,2867,3313032.5,55
2025-04-21,1155.0,1145.0,1149.67,2445,2805627.2,88
2025-04-22,1164.0,1142.1,1149.3,2944,3372530.2,94
2025-04-23,1147.5,1136.0,1137.29,2965,3374243.2,119
2025-04-24,1140.0,1112.1,1126.95,5021,5652524.4,192
2025-04-27,1132.0,1104.5,1111.93,6206,6917082.4,190
2025-04-28,1123.9,1090.0,1096.76,7601,8367747.1,181
2025-04-29,1094.0,1085.1,1086.81,5454,5940387.8,112
2025-04-30,1104.0,1087.0,1092.18,1311,1431187.0,62
2025-05-04,1105.0,1075.1,1080.89,2936,3179017.9,103
2025-05-05,1080.0,1059.3,1067.64,7120,7573864.2,123
2025-05-06,1087.9,1075.0,1076.71,2126,2295918.0,54
2025-05-07,1097.0,1066.0,1081.6,4020,4345952.0,85
2025-05-08,1118.0,1070.1,1086.43,4768,5205897.9,99
2025-05-11,1086.0,1075.0,1075.45,2575,2779316.5,79
2025-05-13,1074.6,1064.0,1066.12,3562,3804605.3,84
2025-05-14,1075.0,1065.0,1075.0,1135,1215782.0,39
2025-05-15,1075.0,1065.0,1072.05,2329,2489707.6,60
2025-05-18,1080.0,1065.0,1072.63,2551,2728251.9,60
2025-05-19,1092.0,1073.0,1081.2,4818,5203994.8,70
2025-05-20,1090.0,1070.1,1089.28,2712,2940960.3,57
2025-05-21,1134.9,1095.0,1095.68,3908,4307582.6,85
2025-05-22,1186.4,1095.0,1174.0,14133,16218329.0,282
2025-05-25,1200.0,1180.0,1192.29,10801,12878864.0,150
2025-05-26,1214.9,1143.0,1151.12,13435,15775611.4,150
2025-05-27,1150.0,1130.0,1138.7,2471,2815775.8,55
2025-05-28,1150.0,1121.5,1142.98,2464,2799332.5,50
2025-06-02,1158.9,1125.0,1136.73,3501,3986992.5,77
2025-06-03,1138.0,1116.0,1116.76,3064,3445264.8,57
2025-06-04,1120.0,1097.2,1111.15,1625,1799131.9,31
2025-06-05,1130.0,1090.0,1107.46,6248,6843289.9,79
2025-06-08,1109.0,1086.0,1089.81,10739,11759967.7,76
2025-06-09,1113.8,1091.0,1104.82,4115,4540510.9,60
2025-06-10,1124.0,1087.5,1110.0,2088,2313341.3,40
2025-06-11,1125.0,1094.0,1114.79,4962,5486074.9,69
2025-06-12,1111.0,1091.0,1093.35,6518,7140610.2,99
2025-06-15,1100.0,1087.0,1089.57,3082,3362932.6,63
2025-06-16,1099.0,1085.1,1088.35,3551,3865375.7,71
2025-06-17,1122.0,1100.0,1111.24,5967,6631940.6,80
2025-06-18,1115.0,1100.0,1112.5,1542,1706891.2,44
2025-06-19,1113.0,1090.3,1097.14,2561,2814144.7,53
2025-06-22,1106.0,1085.0,1095.7,3655,3979929.1,62
2025-06-23,1100.0,1081.0,1084.43,1778,1929599.1,46
2025-06-24,1099.0,1075.0,1082.08,2392,2582126.9,48
2025-06-25,1089.0,1072.3,1081.69,2337,2531683.6,49
2025-06-26,1093.3,1072.5,1080.77,2141,2326085.0,33
2025-06-29,1110.0,1076.0,1097.6,2886,3144610.8,59
2025-06-30,1104.0,1090.0,1094.65,2564,2808644.8,43
2025-07-01,1132.0,1100.0,1130.05,5856,6563419.1,115
2025-07-02,1160.0,1131.0,1140.86,8178,9391191.5,116
2025-07-03,1147.0,1130.0,1130.69,1916,2174344.6,40
2025-07-06,1199.0,1121.1,1136.0,3575,4085103.5,78
2025-07-07,1158.7,1125.0,1129.87,4924,5578471.0,72
2025-07-08,1146.5,1129.0,1133.58,943,1073207.1,18
2025-07-09,1154.5,1112.3,1138.77,2626,2992605.6,41
2025-07-10,1161.5,1132.1,1156.56,5328,6115544.8,83
2025-07-13,1215.0,1179.6,1211.45,11722,14110902.4,224
2025-07-14,1224.0,1195.5,1200.17,11009,13257407.0,141
2025-07-15,1210.0,1175.0,1199.84,6263,7425856.8,84
2025-07-16,1319.8,1196.0,1293.86,11971,14636334.3,153
2025-07-17,1301.5,1244.6,1295.66,19680,25273784.6,262
2025-07-20,1319.0,1255.0,1273.74,23263,29828496.0,261
2025-07-21,1285.0,1255.0,1269.61,6040,7665565.1,153
2025-07-22,1320.6,1280.0,1299.37,18548,24186695.5,266
2025-07-23,1324.4,1264.0,1292.56,6847,8759603.0,171
2025-07-24,1305.0,1270.0,1290.53,9335,12022711.2,155
2025-07-27,1310.0,1265.0,1289.67,14446,18659958.9,161
2025-07-28,1308.0,1264.0,1276.7,7964,10111790.6,123
2025-07-29,1302.0,1277.0,1282.74,22521,29057128.9,196
2025-07-30,1280.1,1250.0,1250.99,7997,10103055.5,148
2025-07-31,1276.0,1235.6,1253.92,7121,8936879.7,103
2025-08-03,1276.0,1201.1,1210.83,6311,7728855.7,118
2025-08-04,1235.0,1206.0,1212.46,5582,6786698.9,113
2025-08-05,1240.0,1210.1,1222.24,5739,7031714.4,91
