Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,232.0,228.0,228.5,120563,27609909.8,584
2024-12-04,233.0,225.5,228.2,147819,33768289.8,526
2024-12-05,230.0,225.4,225.8,137659,31336776.4,524
2024-12-08,226.0,220.0,221.9,197930,44100818.4,873
2024-12-09,224.9,220.0,221.0,97044,21564456.0,439
2024-12-10,224.7,220.0,221.7,76310,16906155.2,380
2024-12-11,235.0,221.0,232.5,168543,38268064.4,608
2024-12-12,237.1,226.0,226.0,166841,38264412.9,635
2024-12-16,227.9,222.5,224.0,95717,21412232.6,408
2024-12-17,239.0,220.1,228.0,117092,26555865.4,482
2024-12-18,230.0,223.9,224.3,71990,16256768.9,385
2024-12-19,226.3,221.0,222.0,72133,16065850.4,416
2024-12-22,223.9,217.6,218.5,94349,20702193.5,513
2024-12-23,231.8,218.0,229.5,76892,17085032.05,431
2024-12-24,230.5,225.5,227.0,88682,20208874.3,444
2024-12-26,238.0,225.0,233.0,159743,37107804.3,702
2024-12-29,237.5,229.0,229.5,131859,30675016.9,625
2024-12-31,234.0,223.7,227.0,103637,23380597.9,468
2025-01-01,228.0,225.0,225.1,39532,8923047.2,224
2025-01-02,229.6,223.1,223.7,63412,14210844.0,300
2025-01-05,225.0,222.2,222.2,83950,18705201.7,384
2025-01-06,226.0,222.0,225.0,95564,21416757.5,437
2025-01-07,229.5,223.0,223.6,75783,16984329.7,409
2025-01-08,228.0,222.2,223.9,64344,14378767.3,409
2025-01-09,226.0,221.5,223.0,58693,13050657.7,378
2025-01-12,227.4,221.0,223.0,50922,11300884.6,262
2025-01-13,224.0,220.5,222.0,55050,12194313.9,324
2025-01-15,223.0,220.1,220.7,61369,13590379.6,374
2025-01-16,222.0,216.5,217.5,117005,25589940.8,569
2025-01-19,219.0,214.0,217.7,110151,23775267.6,453
2025-01-20,226.0,220.0,221.0,186777,41603662.7,635
2025-01-21,223.0,218.1,219.0,82396,18090557.0,455
2025-01-22,223.9,219.0,223.0,91812,20321152.3,455
2025-01-23,225.4,219.0,219.5,80906,17941087.4,529
2025-01-26,223.5,215.2,220.6,66588,14704136.1,370
2025-01-27,223.0,216.2,218.5,66281,14537111.5,364
2025-01-28,220.8,218.0,218.9,79802,17440867.1,409
2025-02-02,223.0,219.0,222.0,168526,37412365.5,753
2025-02-03,228.0,222.5,224.0,200495,45130844.7,757
2025-02-04,226.9,221.0,221.5,71936,16004840.0,425
2025-02-05,223.9,220.0,220.7,86860,19145413.6,447
2025-02-06,221.3,218.5,218.6,103061,22625743.4,549
2025-02-09,221.0,218.0,219.2,119895,26359972.9,361
2025-02-10,221.0,215.0,218.0,124839,27368057.1,474
