Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,2450.0,2351.0,2373.0,4576,10942127.4,138
2024-12-04,2450.0,2365.1,2439.0,3984,9538705.7,107
2024-12-05,2470.0,2270.1,2280.0,12822,30036100.1,188
2024-12-08,2322.0,2151.0,2225.0,8483,18866398.7,165
2024-12-09,2269.5,2181.1,2200.0,2929,6472334.0,68
2024-12-10,2285.0,2200.0,2260.0,2411,5406850.0,55
2024-12-11,2300.0,2201.1,2260.0,2469,5532636.4,70
2024-12-12,2240.0,2130.0,2150.0,7193,15695749.8,200
2024-12-16,2110.1,2020.0,2030.0,4816,9918367.9,176
2024-12-17,2232.0,2002.1,2201.0,9792,21090435.7,264
2024-12-18,2330.0,2180.0,2204.0,5636,12616936.2,155
2024-12-19,2205.0,2117.0,2125.0,4558,9784416.9,115
2024-12-22,2193.0,2085.1,2144.9,3725,7931789.8,142
2024-12-23,2185.0,2105.1,2160.0,3692,7929463.2,100
2024-12-24,2376.0,2160.1,2376.0,11487,26848763.5,333
2024-12-26,2612.9,2423.5,2550.0,19247,48873697.0,589
2024-12-29,2670.0,2455.0,2460.1,18350,47536896.4,493
2024-12-31,2490.0,2250.0,2290.0,9496,22132317.3,247
2025-01-01,2375.0,2332.9,2350.0,2726,6410049.5,93
2025-01-02,2380.0,2305.0,2350.1,1881,4412846.6,74
2025-01-05,2397.0,2331.3,2394.0,4534,10694385.0,110
2025-01-06,2441.0,2400.0,2405.1,4958,11955220.1,123
2025-01-07,2444.9,2360.0,2394.0,2248,5357276.7,71
2025-01-08,2470.0,2351.3,2400.0,2208,5336364.3,89
2025-01-09,2400.0,2298.0,2301.0,6398,14920998.4,171
2025-01-12,2380.0,2272.0,2318.0,2767,6387832.5,99
2025-01-13,2411.2,2294.0,2330.0,3502,8185213.0,116
2025-01-15,2398.8,2305.0,2340.0,1184,2749009.1,45
2025-01-16,2374.9,2312.2,2350.0,3121,7264190.0,74
2025-01-19,2397.0,2303.2,2381.1,4442,10484752.5,136
2025-01-20,2499.9,2401.0,2450.0,9194,22687916.3,285
2025-01-21,2460.0,2361.0,2380.0,3551,8544411.2,109
2025-01-22,2425.0,2346.1,2360.0,4112,9766229.5,129
2025-01-23,2407.0,2340.0,2350.0,5115,12145980.6,129
2025-01-26,2440.0,2361.0,2370.0,3300,7864051.6,95
2025-01-27,2400.0,2338.0,2378.0,2469,5897868.5,72
2025-01-28,2408.0,2352.0,2352.0,3998,9486887.2,119
2025-02-02,2473.0,2361.0,2465.0,6809,16589667.7,207
2025-02-03,2490.0,2425.0,2460.0,5293,12982223.9,165
2025-02-04,2533.0,2450.0,2450.0,5326,13203627.7,142
2025-02-05,2475.0,2395.0,2425.9,3319,8082717.5,140
2025-02-06,2463.0,2397.2,2399.0,3866,9363112.8,112
2025-02-09,2424.0,2370.0,2370.0,1698,4053758.4,68
2025-02-10,2400.0,2360.0,2364.0,1706,4050122.8,77
2025-02-11,2399.0,2362.2,2367.1,1434,3418528.0,51
2025-02-12,2450.0,2367.1,2391.0,886,2129929.6,47
2025-02-13,2438.0,2355.1,2381.0,2024,4815816.4,96
2025-02-16,2619.1,2400.0,2619.1,10031,25860582.1,228
2025-02-17,2881.0,2671.4,2881.0,5276,15180142.4,145
