Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,10.26,9.87,10.26,13050,131042.0,16
2024-12-04,10.37,10.2,10.37,2800,28985.0,5
2024-12-05,10.44,10.2,10.4,35161,362315.44,18
2024-12-08,10.35,10.25,10.32,5750,59238.0,10
2024-12-09,10.34,10.14,10.3,45448,467082.32,11
2024-12-10,10.27,10.1,10.14,46500,472048.0,15
2024-12-11,10.2,10.1,10.2,41750,422599.0,11
2024-12-12,10.15,10.12,10.15,157449,1596926.35,14
2024-12-16,10.07,10.01,10.01,19375,194909.5,14
2024-12-17,10.0,9.9,10.0,31900,315875.0,14
2024-12-18,10.15,9.9,10.1,18100,183050.0,9
2024-12-19,10.1,10.0,10.0,4200,42190.0,9
2024-12-22,10.18,10.01,10.1,119350,1197726.5,30
2024-12-23,10.17,9.9,10.17,121810,1237556.0,17
2024-12-24,10.15,10.13,10.13,23200,235241.0,13
2024-12-26,10.24,10.0,10.03,21480,216990.2,9
2024-12-29,10.03,10.0,10.01,1200,12023.0,9
2024-12-31,10.0,9.97,9.97,1000,9991.0,6
2025-01-01,10.04,9.78,10.01,33200,332830.0,21
2025-01-02,10.09,9.9,10.09,10550,106379.0,6
2025-01-05,10.05,9.98,10.0,32150,322385.0,20
2025-01-06,10.15,10.0,10.01,78800,794434.0,24
2025-01-07,10.1,9.9,10.01,4100,41012.0,13
2025-01-08,10.1,9.85,10.03,495650,4975247.0,74
2025-01-09,10.09,9.9,10.09,601100,6047472.0,34
2025-01-12,10.09,9.71,9.92,36500,363422.8,20
2025-01-13,10.03,9.87,9.89,187741,1880766.49,11
2025-01-15,10.08,9.88,10.07,8500,85509.0,14
2025-01-16,10.17,9.87,10.01,101150,1013519.5,8
2025-01-19,10.06,9.87,10.0,4600,46140.0,12
2025-01-20,10.08,9.75,9.77,4985,49140.3,18
2025-01-21,9.96,9.67,9.92,1105,10899.6,7
2025-01-22,10.08,9.76,10.08,2250,22360.0,13
2025-01-23,10.05,9.88,10.05,16250,163236.5,10
2025-01-26,10.05,9.89,9.97,7900,79212.0,10
2025-01-27,10.0,9.78,9.97,9950,97694.0,14
2025-01-28,10.0,9.81,9.9,1700,16800.0,9
2025-02-02,10.15,9.83,9.98,9230,92355.5,20
2025-02-03,10.15,10.0,10.03,104363,1053453.39,28
2025-02-04,10.08,9.9,10.0,143687,1444796.46,22
2025-02-05,10.18,9.9,9.98,1550,15499.0,7
2025-02-06,9.99,9.98,9.98,21600,215569.0,7
2025-02-09,10.09,9.9,10.02,93860,940714.6,21
2025-02-10,9.91,9.89,9.91,2500,24773.0,4
2025-02-11,10.1,9.92,9.93,2300,22884.0,6
2025-02-12,10.1,10.0,10.1,2350,23605.0,10
2025-02-13,10.17,10.0,10.17,4350,43690.5,13
2025-02-16,10.18,9.99,10.03,20890,210764.0,12
2025-02-17,10.1,9.9,10.1,155900,1566764.0,13
2025-02-18,10.18,9.99,10.06,17000,172163.0,19
2025-02-20,10.0,9.86,10.0,700,6967.0,7
2025-02-23,10.1,10.0,10.05,56310,565945.5,22
2025-02-24,10.21,10.0,10.06,307440,3101110.4,42
2025-02-25,10.21,10.0,10.2,17550,178918.5,24
2025-02-27,10.21,10.0,10.11,8650,88004.0,23
2025-03-02,10.25,10.0,10.25,86265,878449.5,17
2025-03-03,10.25,10.09,10.24,87850,899810.7,47
2025-03-04,10.35,10.15,10.2,37400,383977.8,31
2025-03-05,10.2,10.0,10.12,192570,1930212.0,27
2025-03-06,10.32,10.1,10.32,15370,157605.5,20
2025-03-09,10.38,10.1,10.38,376710,3813397.2,29
2025-03-10,10.2,10.08,10.2,1900,19284.0,15
2025-03-11,10.21,10.0,10.21,3700,37569.0,16
2025-03-12,10.3,10.1,10.18,43750,444158.0,19
2025-03-16,10.3,9.99,10.21,12500,127494.0,19
2025-03-17,10.21,10.01,10.21,19600,199871.0,24
2025-03-18,10.3,10.05,10.21,31850,325671.5,14
2025-03-19,10.4,10.2,10.35,18100,187305.0,16
2025-03-20,10.35,10.3,10.32,36820,380340.2,18
2025-03-23,10.32,10.2,10.23,4350,44677.0,18
2025-03-24,10.27,10.07,10.25,2100,21459.0,9
2025-03-25,10.25,10.17,10.17,5000,51014.0,11
2025-03-26,10.21,10.0,10.21,2050,20862.0,6
2025-03-27,10.6,10.1,10.58,22300,233430.0,16
2025-03-30,10.79,10.29,10.51,6100,64073.0,16
2025-04-01,10.3,10.2,10.3,10900,111281.0,11
2025-04-02,10.6,10.11,10.5,63114,662876.7,21
2025-04-03,10.71,10.3,10.31,11700,120823.0,15
2025-04-07,10.4,10.12,10.39,5400,55897.0,12
2025-04-08,10.59,10.2,10.33,117171,1214949.48,27
2025-04-09,10.69,10.29,10.55,110543,1159701.5,39
2025-04-10,10.56,10.36,10.5,3200,33426.0,10
2025-04-13,10.51,10.31,10.4,11216,117693.16,14
2025-04-15,10.6,10.25,10.42,11700,123749.0,8
2025-04-16,10.5,10.22,10.4,17140,178508.4,22
2025-04-17,10.8,10.1,10.62,24867,263479.2,20
2025-04-20,10.61,10.41,10.54,3000,31330.0,16
2025-04-21,10.75,10.34,10.55,5000,52611.0,16
2025-04-22,10.58,10.57,10.58,1400,14811.0,10
2025-04-23,10.7,10.58,10.67,31850,340344.5,13
2025-04-24,10.59,10.5,10.5,11900,125922.0,12
2025-04-27,10.7,10.53,10.55,107200,1134599.0,20
2025-04-28,10.81,10.55,10.65,2150,22867.5,17
2025-04-29,10.65,10.61,10.61,1800,19158.0,4
2025-04-30,10.8,10.5,10.8,6723,71556.4,13
2025-05-04,10.86,10.65,10.7,1800,19353.0,7
2025-05-05,10.73,10.72,10.73,600,6434.0,5
2025-05-06,10.94,10.73,10.94,1625,17588.5,6
2025-05-07,10.94,10.73,10.73,3700,39829.0,10
2025-05-08,10.7,10.57,10.61,17150,183174.0,16
2025-05-11,10.9,10.63,10.89,13900,150211.0,17
2025-05-13,10.81,10.6,10.8,504075,5448726.0,21
2025-05-14,10.85,10.6,10.85,2180,23403.0,13
2025-05-15,10.97,10.52,10.59,1010000,10629566.0,21
2025-05-18,10.8,10.62,10.7,4810,51422.0,22
2025-05-19,10.9,10.5,10.72,1003330,10825837.5,14
2025-05-20,10.96,10.75,10.9,12150,132164.0,17
2025-05-21,10.9,10.71,10.71,10100,110071.0,6
2025-05-22,10.95,10.73,10.84,24650,269208.3,21
2025-05-25,10.9,10.71,10.74,1200,12895.0,10
2025-05-26,11.0,10.77,10.79,3500,37965.0,13
2025-05-27,10.82,10.79,10.81,2650,28657.5,7
2025-05-28,11.0,10.8,11.0,17210,187710.0,25
2025-06-02,11.11,10.92,11.05,4500,49538.7,17
2025-06-03,11.05,10.89,11.0,4130,45377.2,12
2025-06-04,11.3,10.92,11.11,87630,970626.2,34
2025-06-05,11.44,11.11,11.44,7700,86965.0,16
2025-06-08,11.46,11.17,11.46,27000,306133.0,32
2025-06-09,11.4,11.24,11.26,6900,78217.0,18
2025-06-10,11.35,11.13,11.18,2720,30536.4,14
2025-06-11,11.22,10.99,11.0,122400,1346452.0,20
2025-06-12,11.22,10.84,11.06,9900,109058.0,15
2025-06-15,11.2,10.85,11.08,5308,59193.32,12
2025-06-16,11.2,11.0,11.01,2701800,29725402.0,37
