Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1330.0,1310.1,1314.0,30446,40117606.8,620
2024-12-04,1340.2,1315.0,1317.0,30118,39728334.2,457
2024-12-05,1327.7,1307.0,1309.0,40780,53713679.8,525
2024-12-08,1315.0,1299.1,1303.0,42985,56176903.4,629
2024-12-09,1400.0,1320.0,1381.0,204307,279150633.5,3083
2024-12-10,1408.6,1360.0,1368.0,81507,112766108.8,1441
2024-12-11,1375.0,1350.0,1365.0,35830,48694094.5,684
2024-12-12,1392.3,1350.0,1350.0,46380,62981905.5,851
2024-12-16,1360.0,1320.2,1325.5,46468,61927269.55,998
2024-12-17,1350.0,1323.1,1339.0,33508,44699424.2,580
2024-12-18,1350.0,1331.0,1335.0,24392,32618290.7,419
2024-12-19,1348.0,1329.0,1334.0,23779,31708741.9,467
2024-12-22,1351.0,1307.4,1335.0,43485,58116149.1,661
2024-12-23,1352.0,1336.0,1344.1,21622,29011036.1,379
2024-12-24,1355.0,1345.0,1349.0,31452,42435274.4,567
2024-12-26,1370.0,1325.0,1364.0,41025,55815634.7,653
2024-12-29,1384.0,1365.0,1366.0,46258,63349352.9,758
2024-12-31,1393.3,1351.0,1357.0,41178,56041462.8,767
2025-01-01,1384.1,1350.0,1359.0,29771,40402256.4,537
2025-01-02,1386.1,1359.0,1361.0,87034,118587708.7,1387
2025-01-05,1231.0,1190.0,1196.0,73273,87861615.2,1610
2025-01-06,1208.0,1194.0,1198.4,39488,47276922.6,705
2025-01-07,1205.0,1193.1,1195.0,31411,37596706.0,622
2025-01-08,1218.9,1190.1,1191.0,24199,28928647.4,474
2025-01-09,1200.0,1176.1,1177.0,31237,36943184.2,696
2025-01-12,1200.5,1160.2,1160.2,20874,24450676.7,507
2025-01-13,1176.4,1155.0,1156.0,30750,35685358.1,634
2025-01-15,1177.7,1154.0,1157.9,21571,25022807.5,426
2025-01-16,1180.0,1142.0,1142.0,36499,41950789.3,720
2025-01-19,1158.0,1136.0,1143.0,26902,30754122.0,561
2025-01-20,1161.0,1140.0,1160.0,32256,37021641.7,508
2025-01-21,1180.0,1164.0,1170.0,23387,27444973.8,418
2025-01-22,1192.9,1171.0,1181.0,27501,32485443.7,429
2025-01-23,1204.6,1165.0,1168.5,20051,23620270.4,471
2025-01-26,1175.0,1156.0,1162.0,18292,21344427.4,433
2025-01-27,1178.0,1156.0,1158.9,22290,25821647.2,408
2025-01-28,1169.9,1155.0,1155.5,33458,38784407.3,569
2025-02-02,1192.0,1150.0,1190.0,50996,59876313.5,763
2025-02-03,1244.4,1191.5,1232.0,78357,95943993.4,1038
2025-02-04,1256.6,1210.0,1217.0,41508,50904525.9,578
2025-02-05,1228.9,1199.1,1202.0,44430,53790309.4,533
2025-02-06,1210.0,1181.1,1198.0,56538,67348051.3,679
2025-02-09,1205.0,1190.1,1194.0,27673,33098927.2,439
2025-02-10,1200.0,1187.0,1193.0,23264,27697301.2,372
2025-02-11,1241.0,1200.0,1208.0,68395,82933826.9,999
2025-02-12,1232.0,1191.3,1195.2,29842,35881190.5,599
2025-02-13,1209.0,1185.0,1189.0,31079,36940341.8,588
2025-02-16,1212.7,1185.0,1187.0,32253,38409958.6,554
2025-02-17,1200.0,1187.0,1191.0,28262,33728758.4,452
2025-02-18,1205.0,1192.2,1193.3,37849,45379109.3,580
2025-02-20,1210.0,1192.0,1194.0,20520,24532989.2,418
2025-02-23,1198.0,1175.0,1193.0,39726,47320906.0,638
2025-02-24,1200.0,1190.0,1193.0,33587,40115244.1,583
2025-02-25,1200.0,1185.4,1192.0,48378,57706682.1,909
2025-02-27,1225.0,1196.1,1209.0,53986,65032313.3,905
2025-03-02,1329.9,1210.0,1329.9,190562,243816602.1,2529
2025-03-03,1400.0,1352.0,1365.0,263168,363784983.4,3557
2025-03-04,1392.3,1315.0,1315.2,105536,140909161.6,1699
2025-03-05,1315.0,1268.0,1272.0,111138,142738855.5,1716
2025-03-06,1309.0,1272.0,1283.0,80408,103600348.5,1156
2025-03-09,1289.0,1247.0,1249.0,86460,108921796.5,1365
2025-03-10,1270.0,1235.5,1241.2,56054,70086782.7,875
2025-03-11,1258.3,1211.0,1214.9,48872,60005520.6,892
2025-03-12,1237.0,1210.0,1214.9,47687,58188905.0,803
2025-03-16,1238.0,1200.0,1218.0,56101,68029918.1,905
2025-03-17,1241.0,1218.0,1227.0,34503,42345749.2,609
2025-03-18,1251.0,1225.2,1230.0,39895,49235446.1,583
2025-03-19,1242.0,1217.0,1220.8,30450,37232614.0,527
2025-03-20,1233.0,1207.0,1211.35,39812,48322979.3,757
2025-03-23,1212.0,1191.0,1192.69,53250,63879302.0,916
2025-03-24,1216.0,1190.0,1209.92,40309,48532524.9,688
2025-03-25,1234.1,1187.0,1188.43,53908,64424289.0,956
2025-03-26,1211.0,1187.0,1199.05,38439,46029196.6,620
2025-03-27,1215.0,1195.0,1204.23,42681,51283341.7,650
2025-03-30,1225.0,1204.0,1212.12,50331,61264575.0,727
2025-04-01,1215.0,1195.0,1204.79,37684,45301990.8,610
2025-04-02,1223.9,1205.0,1216.2,35947,43628433.2,482
2025-04-03,1229.5,1209.0,1214.5,38525,46858178.1,538
2025-04-07,1224.0,1196.0,1198.84,38593,46396039.1,607
2025-04-08,1199.0,1185.0,1189.93,33652,40040729.7,633
2025-04-09,1205.0,1190.0,1191.36,24011,28709645.7,446
2025-04-10,1204.0,1190.1,1194.5,19516,23321599.8,328
2025-04-13,1200.0,1192.0,1195.48,30487,36462752.8,451
2025-04-15,1211.8,1195.0,1204.82,29043,34957474.4,461
2025-04-16,1225.0,1195.0,1200.8,21085,25408367.6,346
2025-04-17,1214.0,1200.0,1201.54,35434,42689328.0,583
2025-04-20,1210.0,1195.0,1195.55,33523,40218145.1,563
2025-04-21,1200.0,1190.0,1193.87,30182,36022863.9,549
2025-04-22,1210.0,1191.0,1195.18,30940,37109961.1,450
2025-04-23,1200.0,1188.0,1190.17,26250,31266105.0,452
2025-04-24,1195.0,1183.0,1185.74,34344,40718730.4,613
2025-04-27,1208.0,1180.0,1185.56,36500,43338611.8,593
2025-04-28,1192.0,1176.3,1178.16,28970,34236841.3,531
2025-04-29,1190.0,1170.0,1171.41,30733,36165635.6,568
2025-04-30,1185.0,1165.0,1168.96,35326,41276421.4,632
2025-05-04,1214.4,1175.0,1179.55,30359,35975230.4,541
2025-05-05,1185.0,1176.0,1177.27,26604,31363930.6,423
2025-05-06,1196.0,1178.0,1180.02,31901,37683083.7,521
2025-05-07,1222.0,1175.0,1207.68,43778,52215574.5,576
2025-05-08,1231.8,1190.0,1190.73,33067,39517826.5,556
2025-05-11,1200.0,1186.0,1191.08,25421,30316741.4,404
2025-05-13,1281.0,1214.9,1230.18,168272,209426319.9,2235
2025-05-14,1239.0,1212.0,1213.32,34716,42444724.7,618
2025-05-15,1221.0,1205.0,1209.67,28893,35030079.0,425
2025-05-18,1218.9,1209.0,1211.98,33706,40840201.2,502
2025-05-19,1238.0,1207.0,1215.69,41420,50715253.1,554
2025-05-20,1232.0,1215.0,1226.84,25241,30889469.0,402
2025-05-21,1265.0,1220.0,1222.45,38769,47862153.8,536
2025-05-22,1246.8,1215.0,1216.93,19421,23731359.7,388
2025-05-25,1235.0,1192.6,1213.91,30813,37577034.0,417
2025-05-26,1254.6,1213.0,1214.85,24622,30123061.4,390
2025-05-27,1220.0,1210.0,1216.48,23109,28133942.9,282
2025-05-28,1238.0,1192.2,1224.18,22491,27414035.3,330
2025-06-02,1240.0,1215.0,1216.96,34797,42547278.9,505
2025-06-03,1240.0,1203.0,1210.15,26343,31918531.8,464
2025-06-04,1230.0,1201.1,1204.39,36845,44591379.0,481
2025-06-05,1210.0,1190.1,1193.52,34803,41691424.5,591
2025-06-08,1199.0,1190.0,1193.52,31561,37689378.4,515
2025-06-09,1200.9,1190.0,1199.47,21013,25142652.7,358
2025-06-10,1210.0,1198.0,1201.93,41790,50298278.7,471
2025-06-11,1222.0,1177.9,1199.08,22187,26670235.5,369
2025-06-12,1206.0,1194.0,1194.16,43114,51613105.6,633
2025-06-15,1200.0,1190.0,1194.25,32333,38619382.0,540
2025-06-16,1202.0,1190.2,1195.69,40151,48064196.8,526
2025-06-17,1205.0,1192.0,1193.83,23991,28711808.0,387
2025-06-18,1209.0,1190.0,1192.81,22772,27184920.4,327
2025-06-19,1202.0,1188.0,1189.14,38168,45450374.7,608
2025-06-22,1194.0,1181.0,1184.83,33978,40372012.0,529
2025-06-23,1200.0,1180.1,1182.3,18365,21763620.1,350
2025-06-24,1195.0,1179.0,1180.69,31114,36813059.0,517
2025-06-25,1185.0,1175.3,1176.97,24712,29143170.8,394
2025-06-26,1181.0,1175.3,1177.12,28039,33021431.9,460
2025-06-29,1188.0,1174.1,1179.31,32059,37783026.8,527
2025-06-30,1200.0,1185.0,1196.82,23639,28204639.6,379
2025-07-01,1205.0,1188.0,1191.66,35865,42768424.6,522
2025-07-02,1204.8,1194.0,1198.42,33813,40489588.6,469
2025-07-03,1210.0,1196.0,1202.2,33804,40621807.2,468
2025-07-06,1240.0,1203.0,1232.12,83384,101620151.1,965
2025-07-07,1247.0,1215.0,1216.02,52595,64332629.8,613
2025-07-08,1220.0,1210.0,1218.46,30108,36615333.0,382
2025-07-09,1227.0,1214.0,1220.62,38106,46417955.9,408
2025-07-10,1229.5,1216.0,1224.64,38039,46474463.1,520
2025-07-13,1268.0,1230.0,1239.75,52379,64933342.8,745
2025-07-14,1250.0,1225.0,1235.4,32677,40246835.1,452
2025-07-15,1240.0,1226.0,1231.22,26619,32743066.6,413
2025-07-16,1245.0,1230.0,1236.54,41553,51414194.0,553
2025-07-17,1275.0,1241.0,1270.14,94208,118949953.8,1190
2025-07-20,1305.0,1266.0,1273.13,119461,154037514.5,1546
2025-07-21,1280.0,1255.3,1268.38,74212,93977138.2,944
2025-07-22,1362.0,1271.1,1335.6,224831,295899690.9,2449
2025-07-23,1362.0,1310.0,1326.63,111384,148462358.1,1417
2025-07-24,1342.0,1305.0,1321.12,89508,118323594.8,1082
2025-07-27,1418.0,1325.0,1381.88,386101,532548837.7,4016
2025-07-28,1475.0,1381.0,1461.99,544215,769914556.2,5276
2025-07-29,1540.0,1489.2,1525.68,424463,644138275.1,4172
2025-07-30,1556.1,1481.0,1486.43,485702,732984967.9,3946
2025-07-31,1496.0,1450.1,1459.83,471530,690951767.5,3793
2025-08-03,1489.0,1385.2,1397.72,416417,588285216.3,3774
2025-08-04,1420.0,1354.0,1387.99,271656,375851164.4,2263
2025-08-05,1400.0,1345.0,1348.37,138867,189271388.0,1601
2025-08-06,1359.9,1330.0,1340.33,131256,176505433.8,1379
2025-08-07,1385.0,1340.2,1373.93,109838,150299326.3,1112
2025-08-11,1401.0,1350.0,1351.89,195027,267095331.8,1393
2025-08-12,1351.89,1330.0,1332.27,117650,157465152.6,1036
2025-08-13,1350.0,1326.0,1333.51,74775,99828926.2,747
2025-08-14,1360.1,1339.0,1345.83,134746,181526125.8,1317
2025-08-17,1370.0,1330.0,1331.6,115887,155154864.9,1129
2025-08-18,1384.9,1331.0,1375.52,130428,176672866.2,1075
2025-08-19,1408.0,1370.0,1394.92,203014,283766228.5,1800
2025-08-20,1403.0,1360.0,1361.85,76962,105719087.9,836
2025-08-21,1378.0,1352.5,1371.91,95557,130824447.2,779
2025-08-24,1474.0,1344.5,1421.28,1274225,1757930386.4,3576
2025-08-25,1422.2,1395.0,1405.87,146976,206600376.0,1404
2025-08-26,1424.0,1390.0,1398.6,120204,168409343.0,860
2025-08-27,1443.4,1387.0,1440.03,305367,434007681.1,2044
2025-08-28,1459.0,1416.1,1419.3,243935,350421793.4,1918
2025-08-31,1447.0,1389.0,1390.98,187677,263326384.2,1329
2025-09-01,1414.0,1384.0,1408.63,155571,218118788.1,1012
2025-09-02,1434.0,1380.5,1391.87,101739,142690461.6,812
2025-09-03,1419.7,1383.1,1386.49,86112,119771725.4,709
2025-09-04,1400.0,1359.0,1387.6,113372,157176836.6,906
2025-09-07,1409.0,1360.0,1389.86,115065,160510739.7,835
2025-09-08,1417.6,1363.5,1370.04,105991,145782478.3,901
2025-09-18,1342.7,1289.9,1298.0,31517,40878592.5,252
2025-09-21,1380.0,1280.0,1376.98,178470,240748457.9,1775
2025-09-23,1404.5,1365.7,1380.1,131212,181688456.8,1076
2025-09-24,1400.0,1352.5,1365.0,70897,97285638.5,631
2025-09-25,1392.3,1340.1,1363.0,40576,55439095.0,413
2025-09-28,1390.2,1360.0,1369.0,50082,68534959.2,467
2025-10-07,1396.3,1340.0,1349.0,72023,97234115.2,773
2025-10-08,1375.9,1321.0,1340.0,91435,121546240.2,836
2025-10-09,1394.0,1339.0,1349.8,123099,167169134.8,894
2025-10-12,1376.7,1300.1,1310.0,131646,173269970.2,1158
2025-10-13,1340.0,1300.2,1335.0,63115,83353072.5,567
2025-10-14,1347.0,1311.1,1314.0,53937,71513270.7,442
2025-10-15,1339.0,1305.0,1312.0,66160,87254883.4,428
2025-10-16,1338.0,1310.0,1310.0,71639,94253662.6,502
2025-10-19,1360.0,1330.0,1339.0,189121,253651651.8,2062
2025-10-26,1360.0,1337.0,1347.0,69533,93548733.7,939
2025-10-28,1394.0,1355.0,1388.0,90202,124654183.7,985
2025-10-29,1415.7,1370.0,1375.5,81716,113203915.5,924
2025-10-30,1403.0,1362.0,1382.9,89423,123216026.5,1002
2025-11-02,1410.5,1384.0,1397.0,120580,168685144.5,1155
2025-11-03,1408.0,1390.0,1390.0,76265,106669291.8,816
2025-11-04,1400.0,1370.0,1377.0,95630,132320385.2,981
2025-11-05,1404.5,1370.0,1382.0,237258,327029175.1,2195
2025-11-06,1215.0,1170.0,1186.0,234436,278516389.8,2931
2025-11-09,1194.0,1170.5,1170.5,83613,98481688.2,1139
2025-11-10,1184.0,1156.0,1160.0,43436,50536214.9,759
2025-11-11,1165.0,1150.1,1159.0,31193,36079554.0,511
2025-11-12,1182.1,1151.0,1152.0,28879,33351766.1,440
2025-11-13,1142.0,1118.0,1125.3,123142,139170063.7,1395
2025-11-16,1147.8,1118.1,1124.0,30268,34037255.8,509
2025-11-17,1134.0,1112.2,1118.9,53474,60015066.3,649
2025-11-18,1130.0,1118.0,1121.0,27107,30492110.5,439
2025-11-19,1129.8,1108.0,1108.0,50200,55831254.9,703
2025-11-20,1130.1,1103.0,1114.4,30697,34149218.0,440
2025-11-23,1137.9,1118.0,1135.1,44331,50082736.7,517
2025-11-24,1164.9,1135.5,1158.0,66492,76724407.9,599
2025-11-25,1200.0,1135.0,1192.0,114895,135843865.7,995
2025-11-26,1233.0,1190.0,1232.0,192731,234168526.6,1347
2025-11-27,1256.6,1207.1,1210.0,117994,144659108.3,1059
2025-11-30,1232.0,1193.7,1198.0,141456,170817051.6,968
2025-12-01,1203.0,1180.0,1180.0,68330,81176312.9,651
2025-12-02,1190.0,1171.5,1175.5,29579,34891974.8,415
2025-12-03,1269.0,1170.0,1170.0,57595,68089697.9,588
