Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,689.0,660.0,674.9,34585,23284557.9,148
2024-12-04,682.0,668.1,670.3,24661,16675973.8,81
2024-12-05,677.0,660.2,661.1,16500,11026905.0,111
2024-12-08,674.0,648.2,648.4,15611,10189976.8,124
2024-12-09,650.0,640.0,642.0,12482,8042791.4,112
2024-12-10,654.8,640.0,641.0,11281,7277416.5,66
2024-12-11,653.7,640.7,648.0,5319,3423981.4,51
2024-12-12,652.0,640.0,642.0,19004,12220634.7,111
2024-12-16,645.6,630.0,635.0,11858,7547172.2,91
2024-12-17,660.6,632.7,642.9,7352,4726846.0,69
2024-12-18,646.0,632.0,636.0,9157,5847703.6,76
2024-12-19,640.0,625.2,625.2,24516,15471344.0,117
2024-12-22,636.0,620.1,630.0,13676,8533698.7,105
2024-12-23,631.8,619.5,624.0,24850,15451881.8,166
2024-12-24,640.0,625.0,625.0,12186,7692656.1,104
2024-12-26,629.4,615.0,615.1,21668,13424589.0,156
2024-12-29,620.0,610.0,619.5,25537,15668295.3,129
2024-12-31,613.0,598.0,612.0,7868,4755045.6,89
2025-01-01,612.0,600.0,606.0,11341,6861031.9,75
2025-01-02,617.9,606.0,615.0,8467,5194036.4,69
2025-01-05,628.5,615.0,622.0,10121,6294388.3,68
2025-01-06,630.9,622.0,630.0,11804,7428923.0,85
2025-01-07,638.0,627.0,634.0,11778,7440309.5,79
2025-01-08,646.6,617.4,627.0,24884,15642398.2,159
2025-01-09,624.6,618.0,618.0,14803,9191146.8,102
2025-01-12,630.3,617.9,618.0,8304,5143810.6,44
2025-01-13,625.0,608.4,612.1,18321,11222647.8,98
2025-01-15,624.0,603.1,606.2,12118,7372884.3,83
2025-01-16,616.4,605.0,615.0,14607,8872100.1,96
2025-01-19,615.0,606.0,613.0,5530,3386260.8,56
2025-01-20,621.0,611.5,616.0,6286,3872949.9,56
2025-01-21,647.0,603.7,642.6,53232,33641571.5,327
2025-01-22,664.9,644.0,663.0,41562,27206357.4,279
2025-01-23,674.0,642.0,650.0,23515,15287583.8,180
2025-01-26,659.0,640.0,643.0,17431,11275617.2,129
2025-01-27,654.0,634.0,638.0,10247,6577711.7,116
2025-01-28,653.0,628.0,642.0,30119,19334467.9,131
2025-02-02,671.1,650.0,667.0,54876,36481391.6,290
2025-02-03,710.0,674.0,682.9,178955,123817738.1,824
2025-02-04,696.5,668.0,672.0,39019,26384043.6,255
2025-02-05,683.0,667.0,670.4,33100,22286797.4,152
2025-02-06,675.0,660.4,670.0,32721,21807831.7,206
2025-02-09,683.4,658.0,670.0,19289,12912425.9,121
2025-02-10,676.0,661.0,668.9,29780,19786827.4,202
2025-02-11,670.0,657.0,657.0,15054,9994038.8,99
2025-02-12,652.0,638.2,644.0,53115,34251766.6,347
2025-02-13,643.0,635.1,636.9,25912,16544076.9,159
2025-02-16,642.0,633.0,639.0,12290,7864873.0,120
2025-02-17,660.0,641.0,650.1,26307,17139603.0,199
2025-02-18,662.0,652.0,654.1,18019,11798517.7,121
2025-02-20,675.1,651.1,662.0,35453,23530884.3,196
2025-02-23,661.5,647.7,653.0,21374,13948854.7,136
2025-02-24,655.0,643.1,649.9,26045,16934970.9,133
2025-02-25,650.0,638.0,644.8,39789,25505753.9,252
2025-02-27,650.0,637.1,648.5,19412,12468071.3,135
2025-03-02,673.0,650.0,672.0,58205,38600317.3,226
2025-03-03,685.0,660.0,663.0,55954,37672885.7,283
2025-03-04,680.0,656.0,660.0,35858,24039014.6,195
2025-03-05,665.0,648.0,654.8,32941,21616836.5,148
2025-03-06,667.0,644.0,653.0,26380,17114529.3,130
2025-03-09,660.0,637.0,642.0,26159,16808081.4,191
2025-03-10,650.0,630.0,639.9,24375,15506463.0,127
2025-03-11,640.0,626.0,633.9,25977,16441829.5,134
2025-03-12,644.8,630.4,637.0,16569,10594568.9,83
2025-03-16,637.0,625.0,626.9,8285,5216483.7,77
2025-03-17,634.8,623.0,629.9,7629,4783248.2,71
2025-03-18,634.9,625.0,629.0,7598,4765969.7,69
2025-03-19,631.0,620.0,621.8,10510,6555267.6,93
2025-03-20,620.0,613.6,613.82,12287,7555571.6,105
2025-03-23,610.0,598.0,599.5,25318,15262309.8,229
2025-03-24,611.4,593.2,604.55,10797,6515497.2,93
2025-03-25,599.0,584.1,590.04,27369,16164842.7,206
2025-03-26,602.0,585.2,600.0,11614,6904749.8,90
2025-03-27,610.9,590.0,606.42,19585,11766896.4,99
2025-03-30,618.3,605.3,614.13,14257,8753633.5,118
2025-04-01,614.1,597.0,601.79,17986,10841461.7,106
2025-04-02,613.0,592.0,609.08,9047,5485728.1,69
2025-04-03,612.0,602.0,604.16,9918,6034898.0,74
2025-04-07,607.0,592.0,592.68,9010,5382645.5,80
2025-04-08,604.5,582.1,597.87,17267,10171935.1,100
2025-04-09,607.0,595.0,600.27,21236,12753038.3,72
2025-04-10,603.9,595.0,599.7,7102,4251130.9,50
2025-04-13,596.5,590.0,591.18,6897,4079788.8,55
2025-04-15,609.0,591.0,598.96,15086,9037068.4,86
2025-04-16,605.0,600.0,603.95,9262,5573270.0,48
2025-04-17,615.0,601.8,613.35,12179,7420739.8,101
2025-04-20,617.6,605.0,609.3,4547,2767292.7,39
2025-04-21,607.0,597.5,598.38,9043,5432825.5,61
2025-04-22,600.0,595.0,597.12,9574,5722492.3,73
2025-04-23,595.0,575.0,588.51,31559,18472111.9,172
2025-04-24,589.0,578.0,580.61,34503,20020692.3,121
2025-04-27,592.2,573.0,577.54,22085,12776753.8,130
2025-04-28,587.0,577.1,579.19,6458,3744839.9,71
2025-04-29,579.0,566.6,570.39,18571,10593808.7,118
2025-04-30,575.0,564.1,567.0,17715,10079705.6,98
2025-05-04,577.0,564.0,566.36,11368,6480673.3,106
2025-05-05,577.0,561.2,564.69,14847,8401822.8,74
2025-05-06,571.0,559.0,565.21,24647,13912851.8,128
2025-05-07,587.9,555.0,585.52,20948,12147902.9,109
2025-05-08,595.0,574.0,581.49,16284,9495621.5,88
2025-05-11,585.0,572.1,572.73,8418,4837864.2,91
2025-05-13,582.9,572.0,574.2,12600,7236254.3,87
2025-05-14,573.0,565.3,567.19,16078,9156005.0,76
2025-05-15,578.5,564.0,565.88,10592,6005357.6,92
2025-05-18,574.0,560.5,564.89,8460,4793356.6,70
2025-05-19,577.0,557.0,567.83,19715,11262397.2,92
2025-05-20,589.8,565.0,585.68,14582,8389007.4,88
2025-05-21,621.0,580.0,580.42,30809,18205668.8,148
2025-05-22,583.0,560.0,578.6,28314,16204827.4,137
