Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,514.0,505.6,514.0,36804,18798336.7,263
2024-12-04,535.0,512.5,525.0,56552,29735284.6,423
2024-12-05,525.0,509.6,510.0,37922,19607672.3,282
2024-12-08,513.0,495.0,509.0,46230,23285712.2,245
2024-12-09,518.0,497.1,514.0,26677,13513147.8,219
2024-12-10,521.0,502.5,504.0,27255,13852481.6,163
2024-12-11,519.9,501.1,519.9,23213,11879667.5,193
2024-12-12,535.0,512.0,512.0,55500,29170259.2,363
2024-12-16,522.0,502.0,504.0,28739,14523015.6,172
2024-12-17,527.9,497.3,525.0,47723,24703252.3,349
2024-12-18,537.0,517.5,523.0,44082,23203276.2,266
2024-12-19,526.0,506.0,511.5,30950,16015467.7,204
2024-12-22,536.0,511.4,522.0,63609,33271862.3,353
2024-12-23,544.0,522.0,538.7,56150,29920164.0,445
2024-12-24,555.0,530.1,554.0,91113,49515189.7,677
2024-12-26,555.0,531.0,538.7,56310,30436471.0,370
2024-12-29,549.4,500.8,507.1,56653,29561535.2,288
2024-12-31,507.0,456.4,490.5,62939,30813690.4,336
2025-01-01,499.9,480.0,495.0,21502,10548847.1,151
2025-01-02,513.0,492.8,507.0,28662,14441129.4,208
2025-01-05,520.0,500.1,520.0,28077,14461879.8,225
2025-01-06,533.2,520.0,527.3,39672,20966127.9,303
2025-01-07,536.0,507.1,522.0,53727,28257249.4,337
2025-01-08,551.0,523.0,545.0,81872,44309310.7,542
2025-01-09,577.0,534.1,559.9,82776,46493635.0,610
2025-01-12,569.0,540.0,546.9,21005,11546218.7,192
2025-01-13,557.0,530.0,533.0,39871,21404283.4,255
2025-01-15,548.0,523.2,536.3,41866,22620011.9,246
2025-01-16,572.0,525.7,562.5,81056,45505395.1,555
2025-01-19,578.9,559.3,575.0,50924,29064636.8,416
2025-01-20,592.6,575.0,585.0,55238,32292649.3,494
2025-01-21,587.0,560.1,562.0,67563,38550908.3,393
2025-01-22,574.9,545.0,571.0,47437,27064264.1,338
2025-01-23,582.0,567.2,576.0,31685,18198754.0,303
2025-01-26,585.0,564.0,564.0,51928,29869448.8,344
2025-01-27,587.9,562.0,580.9,74412,43054603.7,441
2025-01-28,605.0,572.1,596.0,71544,42494550.1,492
2025-02-02,614.0,591.1,596.0,70583,42650208.9,504
2025-02-03,601.0,578.2,580.0,44630,26130718.5,336
2025-02-04,591.0,575.0,579.9,27663,16045427.2,216
2025-02-05,594.0,569.0,576.1,29244,17077402.3,212
2025-02-06,604.8,568.0,598.9,56434,33469252.4,420
2025-02-09,635.0,592.1,613.0,81715,50457814.7,588
2025-02-10,618.0,591.4,596.0,46807,28119092.5,318
2025-02-11,610.0,586.0,604.0,25211,15137448.0,238
2025-02-12,615.0,591.0,602.0,36099,21845295.1,283
2025-02-13,612.0,595.3,595.3,29106,17514106.5,240
2025-02-16,602.8,584.0,590.0,32868,19554862.9,305
2025-02-17,625.0,585.0,597.0,46312,27846589.7,347
2025-02-18,613.0,585.0,589.4,36253,21453591.7,344
2025-02-20,593.9,580.0,580.0,33401,19521193.1,290
2025-02-23,591.0,570.0,591.0,43037,25056811.6,428
2025-02-24,602.0,575.0,581.5,37184,21726774.6,368
2025-02-25,597.0,570.1,586.4,38217,22498925.7,351
2025-02-27,603.9,575.0,590.9,20678,12190700.8,245
2025-03-02,603.0,580.0,590.0,35006,20590372.9,336
2025-03-03,607.4,576.3,585.0,30016,17580969.0,308
2025-03-04,595.09,566.0,575.0,22981,13204616.5,303
2025-03-05,605.0,553.0,580.0,21077,11984026.4,243
2025-03-06,602.0,570.0,578.9,18857,10912689.2,240
2025-03-09,603.0,560.6,562.0,21214,12074780.2,227
