Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,264.0,257.5,259.1,154867,40262855.31,532
2024-12-04,265.0,257.6,258.6,113115,29547670.1,540
2024-12-05,260.0,253.2,254.0,144582,36951675.5,544
2024-12-08,257.0,248.5,248.6,138694,34786138.5,561
2024-12-09,254.0,248.2,251.0,65432,16385815.0,402
2024-12-10,253.0,248.0,248.5,59090,14767557.8,310
2024-12-11,254.0,246.7,254.0,326528,81317981.5,574
2024-12-12,257.0,249.9,249.9,79664,20073271.2,416
2024-12-16,250.0,243.1,244.0,102083,25122761.5,440
2024-12-17,246.8,241.7,243.0,91884,22375207.6,415
2024-12-18,245.0,240.0,241.0,90082,21758239.8,353
2024-12-19,243.1,234.0,234.1,90144,21388330.3,506
2024-12-22,240.0,229.5,232.8,86622,20127094.2,404
2024-12-23,239.9,230.0,237.4,67190,15857578.1,340
2024-12-24,242.1,238.0,239.5,78642,18894092.4,378
2024-12-26,243.9,236.4,242.7,93504,22550158.7,448
2024-12-29,240.0,233.3,234.9,93411,22076252.4,416
2024-12-31,232.5,226.0,229.9,93920,21453344.5,454
2025-01-01,234.3,225.4,232.0,42754,9887129.5,242
2025-01-02,234.5,228.4,231.0,49251,11349880.5,330
2025-01-05,234.0,229.1,233.0,59306,13728562.9,310
2025-01-06,242.0,232.5,242.0,112178,26565508.5,505
2025-01-07,246.8,240.0,242.9,76468,18615163.7,460
2025-01-08,247.7,240.2,245.6,88707,21742326.5,379
2025-01-09,247.8,241.5,242.5,98600,23989401.6,345
2025-01-12,247.3,237.0,240.4,59964,14393376.0,215
2025-01-13,241.0,233.0,235.0,76132,17970368.2,335
2025-01-15,238.0,232.1,232.1,41208,9682764.6,245
2025-01-16,236.0,227.0,231.7,100292,23116273.5,365
2025-01-19,240.0,229.2,233.6,85116,19877509.3,391
2025-01-20,238.2,233.0,234.9,37747,8897525.6,263
2025-01-21,240.0,231.0,236.9,59830,14161806.7,325
2025-01-22,257.8,237.0,257.0,359894,90416366.3,1387
2025-01-23,264.9,252.0,252.8,216378,55547956.1,822
2025-01-26,257.8,248.0,249.0,148144,37198502.7,588
2025-01-27,253.2,243.0,243.9,125084,30946112.7,461
2025-01-28,252.0,243.0,249.0,146352,36452190.9,504
2025-02-02,268.0,250.0,264.5,298050,77689908.9,1047
2025-02-03,284.0,261.7,265.0,428830,115655773.9,1232
2025-02-04,270.3,261.0,262.1,168102,44497414.8,655
2025-02-05,264.3,259.0,260.0,168019,43905010.1,634
2025-02-06,265.0,259.0,261.9,121772,31823319.3,518
2025-02-09,265.5,257.0,257.9,100044,25976425.2,408
2025-02-10,260.0,253.1,255.9,113917,29156938.4,414
2025-02-11,258.0,251.4,254.0,86887,22046089.2,393
2025-02-12,258.0,253.0,256.0,130832,33384164.9,449
2025-02-13,265.0,254.0,263.0,351110,92334291.7,965
2025-02-16,276.0,262.9,271.0,522847,142143519.4,1556
2025-02-17,278.1,270.0,270.0,319163,87460437.9,855
2025-02-18,274.3,265.3,268.0,198103,53464709.6,634
2025-02-20,270.0,262.7,264.0,151316,40218001.5,505
2025-02-23,283.0,255.1,274.0,421597,114197169.7,1110
2025-02-24,289.0,276.0,285.5,1087247,310280808.9,2615
2025-02-25,302.0,286.0,298.0,1003779,297577433.2,2895
2025-02-27,310.0,292.1,299.0,614915,185221227.2,1672
2025-03-02,304.9,290.1,298.0,565551,167258948.8,1547
2025-03-03,306.0,298.0,299.0,723046,217791410.6,1835
2025-03-04,304.0,292.0,292.3,450812,134427060.2,1249
2025-03-05,295.0,285.0,290.0,500149,144694064.8,1278
2025-03-06,292.9,286.0,288.0,248935,71840949.8,901
2025-03-09,289.0,278.4,279.0,305110,85900557.1,1033
2025-03-10,285.0,272.0,274.0,237950,65950859.7,821
2025-03-11,279.4,268.0,268.0,278347,75725783.4,800
2025-03-12,277.3,266.7,277.3,220117,60169404.3,686
2025-03-16,278.0,270.0,271.7,215254,58636489.4,550
2025-03-17,278.0,268.0,273.5,191405,52362167.0,490
2025-03-18,278.9,270.0,271.0,121492,33126704.6,451
2025-03-19,274.3,265.0,266.0,132074,35387847.9,440
2025-03-20,268.5,260.7,266.4,147825,39223434.6,435
2025-03-23,268.0,257.1,257.92,182324,47697236.4,672
2025-03-24,266.9,252.8,264.8,161450,42459355.1,579
2025-03-25,264.8,255.3,257.36,150982,38922447.1,529
2025-03-26,265.0,252.3,263.45,170794,44680541.6,488
2025-03-27,272.0,262.0,270.63,236780,63529695.5,596
2025-03-30,283.0,270.0,276.91,351548,98030346.5,1053
2025-04-01,280.0,270.0,273.42,283267,77421562.4,624
2025-04-02,278.9,268.0,275.03,140359,38672901.5,423
2025-04-03,279.1,272.0,274.99,231903,63824896.8,621
2025-04-07,278.9,270.0,271.7,208865,57315064.5,540
2025-04-08,273.0,266.3,271.23,152730,41196988.0,454
2025-04-09,279.1,265.9,276.66,253367,70251382.6,591
2025-04-10,279.9,275.0,276.79,148266,41144491.2,420
2025-04-13,289.9,275.0,288.18,579092,165097589.0,1569
2025-04-15,300.0,287.2,294.75,777416,230672232.7,1932
2025-04-16,302.0,290.2,293.1,387969,114704670.5,1041
2025-04-17,318.3,291.1,313.1,1608899,496114559.3,4381
2025-04-20,326.0,314.0,317.29,1090237,349186888.4,2978
2025-04-21,329.4,315.0,325.19,1341570,434597129.5,2852
2025-04-22,328.0,311.0,312.87,831789,264938930.3,2018
2025-04-23,312.9,300.0,303.88,1044422,318462354.8,2274
2025-04-24,320.0,295.0,315.74,919186,282818979.2,2201
2025-04-27,335.0,315.0,330.8,1604962,527453595.1,3911
2025-04-28,340.0,318.0,319.06,907767,295586050.7,2374
2025-04-29,328.0,315.1,317.78,743497,238521447.0,1642
2025-04-30,325.9,314.1,319.49,761583,244479396.3,1536
2025-05-04,325.0,306.0,307.59,746760,233899911.3,1633
2025-05-05,310.0,301.0,304.38,624608,190185065.6,1328
2025-05-06,311.0,298.3,303.95,551624,168730108.2,1169
2025-05-07,311.0,299.1,305.61,693958,212221520.5,1370
2025-05-08,318.9,304.1,311.43,970157,304189344.1,1839
2025-05-11,317.6,296.0,299.05,813386,248311266.6,1319
2025-05-13,303.5,292.0,292.5,569699,168727215.2,1451
2025-05-14,296.5,284.8,285.83,359414,104218843.0,1079
2025-05-15,291.0,285.0,288.79,311585,89584618.9,854
2025-05-18,294.0,287.3,288.26,229807,66806784.4,700
2025-05-19,295.5,282.5,292.03,232221,67805811.0,592
2025-05-20,310.0,286.2,302.8,322114,95967299.0,888
2025-05-21,319.0,300.0,301.03,526134,161345659.5,1190
2025-05-22,308.0,295.1,300.11,307238,92823966.7,747
2025-05-25,303.9,294.0,295.38,244603,72687476.6,574
2025-05-26,307.0,293.3,295.19,393349,117414021.8,705
2025-05-27,300.0,292.0,295.96,229154,67898536.1,426
2025-05-28,301.9,294.1,296.45,354811,105556531.2,668
2025-06-02,316.0,300.3,314.62,1199802,372945116.9,2574
2025-06-03,320.9,306.2,307.82,378399,117219517.2,1089
2025-06-04,314.9,301.7,308.57,386005,119416733.8,850
2025-06-05,314.0,302.4,311.7,462000,143295124.8,1043
2025-06-08,317.0,309.6,311.08,744969,232864969.5,1378
2025-06-09,315.0,304.9,310.48,391739,121437163.3,729
2025-06-10,323.0,305.5,315.31,834832,265156434.9,1888
2025-06-11,319.0,309.1,311.15,441373,138034086.6,857
2025-06-12,314.0,305.0,307.49,314896,97418761.8,866
2025-06-15,313.9,302.0,304.08,511875,156183941.1,971
2025-06-16,309.0,298.0,300.03,460874,139607440.6,988
2025-06-17,304.0,295.0,297.27,261826,78063919.7,716
2025-06-18,304.5,291.4,301.6,301193,90849511.4,655
2025-06-19,304.5,295.0,295.9,361070,107557106.9,817
2025-06-22,299.6,287.3,288.08,346558,100958934.0,891
2025-06-23,293.9,284.0,292.53,219563,63600819.8,657
2025-06-24,298.3,290.0,290.17,175791,51310771.8,495
2025-06-25,290.0,285.0,285.67,213052,61068926.5,608
2025-06-26,289.8,283.2,284.37,227498,65121448.0,550
2025-06-29,286.9,282.0,283.98,299476,85049985.1,579
2025-06-30,288.0,283.0,284.39,210365,59903183.1,512
2025-07-01,299.9,278.8,297.39,332209,96897756.6,877
2025-07-02,303.3,293.1,293.91,179721,53232632.0,621
2025-07-03,304.9,288.1,291.2,162900,47565040.2,625
2025-07-06,298.0,285.4,293.62,290983,85828862.2,790
2025-07-07,297.8,290.6,292.09,162411,47535966.3,476
2025-07-08,295.0,286.5,291.49,124860,36327931.9,414
