Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,630.0,615.0,617.9,19965,12371156.4,125
2024-12-04,625.0,615.0,615.3,27495,16985100.8,143
2024-12-05,619.8,605.1,606.0,26388,16084332.2,161
2024-12-08,608.9,595.2,600.0,29281,17606404.0,215
2024-12-09,612.0,596.0,601.9,18980,11447295.3,150
2024-12-10,613.0,595.3,598.0,14261,8542048.5,121
2024-12-11,610.0,598.4,608.0,15157,9181208.1,129
2024-12-12,613.0,598.0,599.0,20412,12322382.3,164
2024-12-16,610.9,585.3,589.0,28044,16567098.1,191
2024-12-17,596.0,590.0,592.9,13553,8030239.5,125
2024-12-18,595.9,589.0,591.0,10933,6465258.8,88
2024-12-19,588.0,576.0,577.0,31462,18336808.3,223
2024-12-22,578.0,566.0,567.0,22839,13018853.2,202
2024-12-23,575.0,565.0,574.0,13767,7854573.3,104
2024-12-24,590.0,575.0,590.0,18680,10935457.7,163
2024-12-26,595.0,579.1,579.1,11234,6527957.1,114
2024-12-29,582.0,570.0,571.1,10235,5884972.5,109
2024-12-31,573.2,562.0,565.0,11487,6486121.2,121
2025-01-01,576.0,564.6,568.2,6101,3478089.4,61
2025-01-02,576.0,567.1,571.6,10918,6251053.6,75
2025-01-05,577.0,569.0,573.0,13500,7759027.4,116
2025-01-06,585.0,573.0,582.1,15273,8870576.4,121
2025-01-07,601.8,580.0,601.8,25393,14960543.6,169
2025-01-08,613.8,590.0,590.0,23748,14108646.4,162
2025-01-09,590.0,580.0,580.0,26711,15575551.2,171
2025-01-12,580.0,570.6,570.6,12330,7072135.0,88
2025-01-13,578.0,562.1,574.5,24118,13733092.1,157
2025-01-15,578.9,565.0,566.0,12786,7285168.7,92
2025-01-16,588.8,562.9,564.0,11128,6297735.8,113
2025-01-19,583.0,564.0,583.0,31431,18057305.4,150
2025-01-20,586.0,573.0,579.2,10435,6024376.7,106
2025-01-21,605.9,570.2,594.2,46881,27891740.9,296
2025-01-22,606.5,591.4,605.0,51501,30920473.3,208
2025-01-23,607.0,592.0,593.0,19535,11668725.1,160
2025-01-26,597.0,587.0,588.0,17967,10608766.1,147
2025-01-27,587.0,576.0,579.0,28837,16745772.2,236
2025-01-28,587.0,575.0,586.0,13420,7799901.1,126
2025-02-02,606.9,586.0,600.0,39180,23419147.5,252
2025-02-03,642.0,604.0,622.0,140505,88411749.3,785
2025-02-04,634.4,609.5,610.0,35530,21868588.4,236
2025-02-05,614.0,603.0,604.0,25797,15661163.8,173
2025-02-06,612.0,588.0,591.0,75356,44880573.9,503
2025-02-09,602.8,582.0,582.9,33626,19812419.2,231
2025-02-10,592.9,582.1,587.0,24276,14272434.0,163
2025-02-11,598.0,583.0,596.0,35652,20963445.4,206
2025-02-12,607.9,590.0,603.0,51988,31128445.7,238
2025-02-13,614.0,596.0,607.0,56771,34356441.8,333
2025-02-16,620.0,601.5,620.0,49821,30532719.3,295
2025-02-17,632.0,620.0,622.0,86937,54470343.6,469
2025-02-18,625.0,612.0,615.0,38619,23897146.4,242
2025-02-20,622.0,599.0,599.0,68029,41636781.0,352
2025-02-23,609.8,591.0,603.0,56116,33802659.4,303
2025-02-24,610.9,595.0,608.0,65270,39408740.6,324
2025-02-25,621.0,607.0,614.1,63589,39153752.3,325
2025-02-27,632.2,610.0,632.1,72834,45422837.0,357
2025-03-02,653.8,635.1,651.2,138160,89511742.7,688
2025-03-03,664.2,641.0,642.2,69069,44926784.8,431
2025-03-04,650.0,626.0,629.0,52354,33386875.6,316
2025-03-05,634.0,615.0,620.0,54865,34042073.2,319
2025-03-06,634.0,620.0,634.0,48239,30228021.1,302
2025-03-09,635.0,615.0,622.0,91970,57706302.7,369
2025-03-10,633.9,607.0,618.0,48486,29970297.9,266
2025-03-11,623.0,606.1,606.2,36678,22565471.6,226
2025-03-12,616.0,606.3,608.0,25392,15488776.6,157
2025-03-16,620.0,600.2,604.5,20085,12129440.7,162
2025-03-17,609.8,602.0,607.0,24288,14729040.9,171
2025-03-18,615.0,602.1,604.0,22220,13524551.1,152
2025-03-19,606.9,590.0,597.0,31839,18993171.3,248
2025-03-20,599.9,588.2,590.73,15030,8900183.7,163
2025-03-23,591.0,570.0,571.28,45464,26307639.9,314
2025-03-24,587.0,568.2,576.09,18554,10659694.9,174
2025-03-25,574.0,555.0,559.57,40565,22692520.6,308
2025-03-26,572.9,551.0,568.89,24606,13877917.61,184
2025-03-27,585.0,560.1,583.77,20773,11971295.8,178
2025-03-30,592.0,580.0,584.23,29369,17288828.8,215
2025-04-01,582.0,570.4,572.0,20480,11745803.0,158
2025-04-02,580.5,570.0,570.28,20147,11541603.2,152
2025-04-03,578.0,569.0,570.56,16320,9334008.8,143
2025-04-07,577.8,561.0,564.27,17413,9878845.7,121
2025-04-08,574.0,553.1,563.1,20328,11367100.6,162
2025-04-09,570.0,561.5,562.23,12674,7175764.5,102
2025-04-10,571.0,562.0,563.61,18470,10454927.0,135
2025-04-13,573.9,555.1,565.14,14842,8351719.9,91
2025-04-15,576.4,565.0,571.56,21184,12111749.2,119
2025-04-16,580.0,570.5,574.69,15668,9010977.4,91
2025-04-17,590.0,569.1,582.96,21560,12625067.8,147
2025-04-20,588.0,571.5,572.06,11378,6555351.3,83
2025-04-21,575.0,567.2,570.55,6952,3974082.4,54
2025-04-22,577.0,565.0,569.82,15535,8836010.3,86
2025-04-23,568.8,555.1,562.11,31706,17771332.5,203
2025-04-24,560.0,550.0,557.81,32203,17880514.8,206
2025-04-27,580.2,551.0,553.73,20774,11617618.7,158
2025-04-28,560.0,553.0,554.14,17839,9892648.5,113
2025-04-29,559.0,548.0,548.87,31533,17358418.8,168
2025-04-30,559.8,546.0,549.63,24464,13508216.9,127
2025-05-04,560.0,548.8,549.92,15571,8564464.0,126
2025-05-05,558.0,545.0,545.18,11067,6055863.5,85
2025-05-06,552.0,540.0,542.59,17215,9387539.2,149
2025-05-07,561.0,543.8,556.18,24743,13683414.4,171
2025-05-08,560.9,550.0,556.05,17268,9614763.7,140
2025-05-11,557.0,546.0,549.83,27099,14976373.4,144
2025-05-13,553.0,539.0,544.58,30615,16689483.3,159
2025-05-14,555.0,540.0,540.9,18640,10118942.3,104
2025-05-15,547.0,535.0,536.43,11372,6127328.8,125
2025-05-18,539.0,528.0,529.38,20764,11060607.5,167
2025-05-19,552.8,531.1,551.48,26523,14416088.4,169
