Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,410.7,380.8,410.7,135359,55574134.3,437
2024-12-04,451.7,418.9,451.7,685647,303069225.3,2757
2024-12-05,490.0,447.0,475.0,296709,139726596.6,1710
2024-12-08,476.0,427.5,427.5,237245,104887144.8,1229
2024-12-09,444.9,418.0,443.0,288268,124694768.7,1122
2024-12-10,479.2,415.2,477.0,163312,72485620.6,701
2024-12-11,467.5,429.3,437.8,227140,98536381.3,899
2024-12-12,464.1,406.9,414.0,352579,152283987.7,1012
2024-12-16,455.2,422.2,452.9,424322,188945562.6,1618
2024-12-17,461.0,438.0,448.0,101089,45747424.4,700
2024-12-18,457.0,441.0,454.1,118327,53290187.5,490
2024-12-19,463.0,442.0,459.9,169989,77259303.9,742
2024-12-22,461.9,441.1,450.1,96812,43671954.2,506
2024-12-23,492.3,433.2,482.5,261529,117638700.6,800
2024-12-24,521.6,445.9,511.4,417753,192720466.9,1316
2024-12-26,510.4,460.3,460.3,202519,93633818.4,874
2024-12-29,451.1,414.3,420.0,183594,77931640.0,959
2024-12-31,411.6,380.0,397.0,144099,56752966.1,812
2025-01-01,434.7,395.0,433.9,101145,42064120.1,504
2025-01-02,449.8,425.3,442.8,141354,62332429.6,659
2025-01-05,447.0,428.0,433.0,90170,39675727.1,428
2025-01-06,452.0,431.2,447.0,144073,64293626.5,549
2025-01-07,470.0,439.3,445.0,205659,91919576.0,786
2025-01-08,444.0,423.4,429.0,120658,51843189.4,711
2025-01-09,434.9,415.9,423.0,61364,25998043.1,456
2025-01-12,430.0,418.2,424.1,42476,18041808.5,274
2025-01-13,427.9,413.6,420.0,58987,24602783.4,377
2025-01-15,441.6,403.4,427.0,100995,43820420.2,606
2025-01-16,434.0,422.3,429.6,53908,23056372.5,235
2025-01-19,441.0,422.0,441.0,75596,32976874.5,467
2025-01-20,466.8,412.0,421.0,216274,93568458.7,756
2025-01-21,424.0,407.0,411.3,104895,43436531.8,479
2025-01-22,427.0,412.0,427.0,55513,23233086.8,296
2025-01-23,430.0,415.0,416.0,58120,24365517.5,327
2025-01-26,424.3,408.0,408.0,46909,19344064.6,313
2025-01-27,420.0,406.0,410.0,51728,21254948.2,331
2025-01-28,415.0,408.0,415.0,82890,34005415.1,466
2025-02-02,423.0,411.6,412.0,83467,34752067.7,490
2025-02-03,420.2,406.1,410.8,62884,25755973.4,395
2025-02-04,451.8,407.9,451.8,396385,174204334.4,1740
2025-02-05,488.5,435.0,445.0,394693,184360157.8,2345
2025-02-06,455.0,435.9,436.0,105491,46567821.0,782
2025-02-09,440.6,417.0,425.0,134297,56952713.2,790
2025-02-10,429.9,418.1,421.0,42276,17893724.3,369
2025-02-11,425.0,417.0,419.0,61624,25891956.2,379
2025-02-12,435.7,419.5,422.0,72983,31063222.3,389
2025-02-13,425.0,417.0,419.5,49436,20826431.2,344
2025-02-16,427.8,419.0,421.0,68817,28964877.7,350
2025-02-17,436.0,420.0,428.6,78210,33558662.6,444
2025-02-18,434.0,421.0,424.0,52229,22355826.0,358
2025-02-20,425.0,416.0,417.0,64071,26852388.0,353
2025-02-23,419.9,408.0,415.9,58062,24072891.8,363
2025-02-24,423.0,410.0,416.9,45279,18773725.3,326
2025-02-25,421.0,411.0,415.0,51874,21537748.2,312
2025-02-27,423.0,411.3,414.5,40878,16940599.2,291
2025-03-02,425.0,407.0,424.9,60389,25439327.0,362
2025-03-03,435.0,417.0,419.0,73223,31006757.9,391
2025-03-04,424.9,414.9,416.9,59599,24933635.2,351
2025-03-05,420.0,410.6,411.0,39940,16512203.6,324
2025-03-06,415.0,410.0,410.0,34396,14157495.0,235
2025-03-09,415.0,405.0,405.3,51569,21110969.8,320
2025-03-10,411.1,401.0,403.0,35940,14586073.4,254
2025-03-11,407.0,395.0,396.0,39060,15632692.5,272
2025-03-12,400.9,393.0,393.0,36045,14293214.4,258
2025-03-16,397.8,383.1,383.1,40067,15598759.1,281
2025-03-17,389.0,381.0,383.0,34692,13320432.5,244
2025-03-18,390.6,378.0,380.0,20380,7781661.5,167
2025-03-19,385.0,374.0,376.9,32125,12200542.9,191
2025-03-20,384.4,372.0,372.52,27408,10253877.3,193
2025-03-23,378.9,360.0,361.76,45462,16649706.4,287
2025-03-24,372.1,358.9,364.51,24428,8928589.4,187
2025-03-25,361.0,340.0,344.54,58034,20237997.8,403
2025-03-26,357.0,342.2,350.77,33137,11633555.9,248
2025-03-27,362.0,350.0,357.72,28647,10228043.4,193
2025-03-30,393.4,352.0,393.26,105225,40366928.3,681
