Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,2672.4,2590.0,2665.0,787,2087868.8,37
2024-12-04,2699.0,2635.3,2650.1,378,1008491.1,16
2024-12-05,2705.0,2600.0,2650.0,1338,3568015.6,51
2024-12-08,2868.0,2600.1,2639.0,673,1782429.3,41
2024-12-09,2625.0,2591.3,2591.3,648,1696356.0,32
2024-12-10,2630.0,2566.3,2566.3,558,1441952.0,24
2024-12-11,2813.1,2551.0,2813.1,4246,11464320.5,148
2024-12-12,3040.0,2648.0,3000.0,7541,20643861.6,199
2024-12-16,3300.0,2700.0,3300.0,16260,44734740.6,362
2024-12-17,3234.0,2970.0,2970.0,2140,6365307.0,51
2024-12-18,2910.6,2673.0,2676.0,13345,35741111.3,282
2024-12-19,2717.0,2590.0,2645.0,4183,10998572.4,117
2024-12-22,2680.0,2591.0,2615.0,3262,8492069.0,79
2024-12-23,2640.0,2590.0,2600.0,3944,10258402.3,95
2024-12-24,2760.0,2652.0,2709.0,5741,15552032.7,178
2024-12-26,2665.0,2511.9,2587.0,2798,7250118.9,123
2024-12-29,2600.0,2450.0,2537.0,4466,11226125.1,123
2024-12-31,2491.0,2398.0,2405.0,2235,5459970.3,86
2025-01-01,2496.0,2362.0,2470.0,1408,3443314.8,61
2025-01-02,2478.6,2420.0,2462.0,1251,3048810.9,62
2025-01-05,2494.0,2445.1,2468.0,1352,3336580.8,44
2025-01-06,2525.0,2460.0,2525.0,1610,3993323.0,61
2025-01-07,2556.0,2510.0,2550.0,1388,3525029.0,62
2025-01-08,2529.0,2499.0,2502.0,1372,3439293.7,60
2025-01-09,2551.0,2459.0,2510.0,1351,3372798.0,49
2025-01-12,2500.0,2462.1,2500.0,612,1522685.5,16
2025-01-13,2550.0,2475.0,2490.0,696,1756409.2,35
2025-01-15,2550.0,2483.0,2485.1,1561,3920404.5,40
2025-01-16,2485.1,2430.0,2450.0,1335,3271056.5,40
2025-01-19,2490.0,2450.2,2457.0,877,2159621.5,27
2025-01-20,2480.0,2436.0,2440.0,1164,2859382.0,38
2025-01-21,2460.0,2435.0,2445.0,1539,3761837.5,49
2025-01-22,2490.0,2450.0,2476.0,1114,2745195.0,38
2025-01-23,2483.6,2430.0,2479.9,1407,3443855.9,64
2025-01-26,2490.0,2440.0,2468.0,1277,3136353.0,47
2025-01-27,2479.0,2440.1,2443.1,1442,3535792.9,52
2025-01-28,2485.0,2440.1,2475.0,1232,3027744.8,42
2025-02-02,2490.0,2450.0,2485.0,2099,5202907.2,70
2025-02-03,2534.0,2486.0,2509.0,1819,4561446.3,58
2025-02-04,2549.8,2480.0,2499.0,1478,3708122.6,53
2025-02-05,2497.0,2430.0,2438.0,1405,3436264.7,67
2025-02-06,2480.0,2425.1,2460.0,737,1806550.7,30
2025-02-09,2499.0,2430.0,2446.0,763,1871901.6,35
2025-02-10,2468.4,2420.0,2430.0,1035,2526915.2,37
2025-02-11,2469.9,2425.0,2457.7,752,1828054.0,36
2025-02-12,2490.0,2440.2,2476.0,428,1050472.4,22
2025-02-13,2474.0,2435.1,2460.0,635,1553601.3,32
2025-02-16,2500.0,2435.0,2480.0,1901,4733559.7,66
2025-02-17,2728.0,2460.0,2728.0,9940,26598995.0,143
2025-02-18,3000.8,2631.0,2702.0,3908,10946136.7,162
2025-02-20,2740.0,2601.0,2659.0,1699,4509723.6,58
2025-02-23,2665.0,2502.8,2600.0,1305,3414202.4,45
2025-02-24,2737.0,2558.0,2649.0,2459,6530743.6,66
2025-02-25,2700.0,2601.1,2650.0,326,869302.6,16
2025-02-27,2696.0,2611.0,2635.0,1257,3300261.8,40
2025-03-02,2658.0,2590.1,2646.0,1514,3959111.4,55
2025-03-03,2625.0,2525.0,2551.0,1224,3153941.7,50
2025-03-04,2716.0,2516.5,2600.0,538,1392656.2,36
2025-03-05,2600.0,2515.0,2600.0,821,2082272.6,30
2025-03-06,2680.0,2516.0,2590.0,2585,6717803.9,84
2025-03-09,2570.9,2515.0,2516.0,1316,3323429.0,43
2025-03-10,2580.0,2521.0,2523.1,1890,4781492.5,27
2025-03-11,2550.0,2455.0,2501.2,1055,2651089.1,41
2025-03-12,2538.9,2455.1,2520.0,710,1762893.5,34
2025-03-16,2549.0,2385.0,2420.0,1541,3748712.8,38
2025-03-17,2467.9,2380.0,2458.2,1357,3289743.5,43
2025-03-18,2490.0,2410.0,2435.0,529,1290974.4,20
2025-03-19,2543.0,2450.0,2490.0,608,1506747.0,22
2025-03-20,2519.9,2405.1,2405.25,446,1100664.0,20
2025-03-23,2625.0,2370.0,2469.72,1849,4508208.0,78
2025-03-24,2519.0,2421.0,2500.57,1417,3535376.8,46
2025-03-25,2450.6,2402.0,2408.4,734,1774969.0,32
2025-03-26,2447.0,2361.0,2390.55,1465,3513741.4,59
2025-03-27,2438.0,2343.0,2431.03,1296,3127669.0,59
2025-03-30,2579.0,2352.1,2387.44,6609,15933567.4,206
2025-04-01,2435.0,2295.0,2344.1,2234,5210120.2,88
2025-04-02,2379.5,2335.0,2336.76,1341,3141081.6,49
2025-04-03,2344.0,2242.2,2262.25,2952,6758413.9,140
2025-04-07,2280.0,2180.0,2193.74,1918,4234432.9,84
2025-04-08,2200.0,2100.0,2199.81,3026,6470794.5,107
2025-04-09,2238.0,2185.4,2207.15,849,1874563.3,42
2025-04-10,2248.0,2200.0,2218.23,672,1484874.5,27
2025-04-13,2201.0,2175.2,2189.08,797,1748010.4,21
2025-04-15,2230.0,2146.0,2187.66,1404,3081000.5,50
2025-04-16,2224.0,2180.0,2194.19,488,1071734.4,25
2025-04-17,2228.9,2190.0,2193.91,981,2161262.2,49
2025-04-20,2200.0,2156.1,2170.0,864,1882656.3,44
2025-04-21,2199.0,2135.0,2140.82,422,906686.0,24
2025-04-22,2180.0,2137.0,2164.12,984,2118229.8,39
2025-04-23,2225.0,2141.0,2197.3,1308,2849584.9,46
2025-04-24,2224.0,2104.1,2116.93,1620,3465211.7,62
2025-04-27,2237.0,2102.0,2111.88,860,1836556.5,35
2025-04-28,2149.9,2071.0,2085.0,1031,2147810.0,41
2025-04-29,2118.4,2020.0,2037.81,696,1438769.9,38
2025-04-30,2090.0,1990.0,2000.19,1655,3344441.0,63
2025-05-04,2037.9,1870.0,1889.37,2692,5175702.3,113
2025-05-05,1938.1,1890.0,1925.5,829,1584177.2,45
2025-05-06,1950.0,1912.1,1943.42,749,1443977.3,38
2025-05-07,2040.0,1910.2,1976.45,951,1868422.3,38
2025-05-08,2000.0,1940.0,1980.33,985,1955879.0,26
2025-05-11,2014.0,1952.1,1958.58,495,974358.8,24
2025-05-13,1990.0,1915.0,1918.3,795,1544824.4,21
2025-05-14,2019.0,1916.0,1918.96,1310,2550302.5,39
2025-05-15,1930.0,1892.0,1905.0,415,792788.0,23
2025-05-18,1912.0,1876.1,1881.86,998,1891698.0,30
2025-05-19,1995.0,1881.86,1973.52,1137,2225890.1,46
2025-05-20,1995.0,1936.0,1980.0,331,654616.0,19
2025-05-21,2057.9,1966.9,1994.65,875,1751906.6,45
2025-05-22,2030.0,1880.0,1988.33,481,936178.5,29
2025-05-25,1989.0,1930.3,1936.08,239,465991.1,18
2025-05-26,1974.8,1938.0,1941.23,401,781489.4,18
2025-05-27,1980.0,1902.5,1930.0,811,1565104.2,29
2025-05-28,1940.0,1902.2,1926.0,322,613992.6,17
2025-06-02,1950.0,1900.0,1921.0,399,764396.9,20
2025-06-03,1923.0,1860.0,1880.11,865,1630228.0,24
2025-06-04,1900.0,1880.0,1880.1,348,656204.2,17
2025-06-05,1910.0,1850.0,1854.62,836,1556744.2,32
2025-06-08,1891.7,1830.0,1841.23,453,837105.6,20
2025-06-09,1878.0,1835.2,1857.66,443,817985.7,17
2025-06-10,1894.8,1862.0,1875.11,648,1215734.0,18
2025-06-11,1905.0,1840.0,1883.75,397,740167.4,17
2025-06-12,1918.9,1847.0,1876.14,542,1017671.1,24
2025-06-15,1880.0,1860.1,1870.13,338,631519.5,13
2025-06-16,1921.9,1885.0,1917.9,1827,3474900.0,38
2025-06-17,1955.5,1916.0,1924.52,680,1316279.6,18
2025-06-18,1926.0,1890.0,1892.0,458,869662.5,15
2025-06-19,1917.6,1860.0,1894.78,753,1417298.2,19
2025-06-22,1924.0,1843.0,1855.66,677,1264322.4,21
2025-06-23,1890.0,1855.0,1860.95,459,854323.0,15
2025-06-24,1930.0,1860.0,1890.0,207,391018.0,11
2025-06-25,1890.0,1823.0,1890.0,780,1436621.0,25
2025-06-26,1919.1,1870.0,1899.9,513,967704.0,18
2025-06-29,1887.0,1850.2,1859.4,451,842208.0,17
2025-06-30,1920.0,1861.0,1890.22,187,351992.5,14
2025-07-01,1908.0,1873.2,1884.18,314,594702.9,16
2025-07-02,2010.0,1906.0,1965.0,1703,3334570.9,62
2025-07-03,1967.0,1926.1,1930.28,653,1263148.0,31
2025-07-06,1969.9,1940.0,1963.97,404,790098.5,22
2025-07-07,1955.0,1906.0,1910.0,244,469193.4,15
2025-07-08,1936.0,1910.0,1920.0,184,355091.0,13
2025-07-09,1950.0,1911.2,1924.75,578,1116198.9,22
2025-07-10,1955.0,1915.0,1918.26,437,840691.4,20
2025-07-13,1995.0,1922.0,1922.0,837,1625806.1,30
2025-07-14,1960.0,1900.0,1900.0,458,887017.0,15
2025-07-15,1938.0,1900.0,1906.4,502,957216.5,15
2025-07-16,1943.0,1906.4,1910.1,577,1105950.2,18
2025-07-17,1985.0,1945.0,1965.0,950,1862834.4,39
2025-07-20,2080.0,1923.0,2027.17,2173,4421613.5,93
2025-07-21,2045.0,2000.0,2041.31,1018,2073242.4,36
2025-07-22,2080.0,2021.0,2072.12,2029,4160861.4,61
2025-07-23,2189.0,2031.0,2140.0,1068,2242317.0,40
2025-07-24,2180.0,2095.0,2127.8,231,489588.0,15
2025-07-27,2170.0,2058.0,2073.74,1620,3385869.6,55
2025-07-28,2104.9,2025.0,2079.0,558,1145943.0,25
2025-07-29,2114.0,2050.1,2072.66,203,423348.0,14
2025-07-30,2072.66,2007.0,2012.58,804,1630809.2,28
2025-07-31,2110.0,2004.1,2017.8,498,1008085.7,25
2025-08-03,2058.0,1978.0,1978.0,791,1572297.2,31
2025-08-04,1999.9,1965.0,1971.15,258,508513.6,11
2025-08-05,2060.0,1966.0,2030.0,335,672842.0,22
2025-08-06,2030.0,1990.0,2010.0,524,1054981.0,21
2025-08-07,2039.0,1975.0,2000.2,485,968906.4,21
2025-08-11,2025.0,1961.0,1970.22,968,1915151.0,30
2025-08-12,1970.0,1932.0,1940.24,563,1093275.4,23
2025-08-13,1978.0,1940.0,1967.0,280,548022.5,14
2025-08-14,1955.0,1890.0,1904.83,901,1737458.6,37
2025-08-17,1950.0,1870.0,1901.64,379,723566.0,24
2025-08-18,1939.0,1871.5,1929.27,382,728507.5,16
2025-08-19,1920.0,1900.0,1915.0,150,286602.0,7
2025-08-20,1900.0,1892.0,1894.71,229,434582.5,13
2025-08-21,1900.0,1877.0,1887.8,271,512058.0,23
2025-08-24,1963.0,1888.0,1889.37,757,1436566.5,31
2025-08-25,1900.0,1871.4,1890.0,46,86876.8,6
2025-08-26,1927.0,1890.0,1895.0,306,580353.9,12
2025-08-27,1920.0,1890.0,1914.98,181,344349.0,9
2025-08-28,1929.0,1900.0,1900.0,172,327926.0,10
2025-08-31,1885.1,1875.0,1880.0,291,546337.1,17
2025-09-01,1900.0,1850.0,1868.45,197,371066.0,14
2025-09-02,1904.0,1845.0,1892.32,610,1147374.8,31
2025-09-03,1928.9,1854.5,1866.08,356,668815.0,18
2025-09-04,1889.0,1829.0,1889.0,261,480985.0,14
2025-09-07,1860.1,1860.0,1860.07,151,280871.0,7
2025-09-08,1850.0,1794.0,1803.68,520,950163.0,31
2025-09-18,1767.7,1767.7,1767.7,40,70708.0,1
2025-09-21,1892.0,1750.0,1826.0,662,1194188.9,33
2025-09-23,1889.0,1820.0,1889.0,324,602605.0,18
2025-09-24,1880.0,1870.0,1870.0,100,187528.0,6
2025-09-25,1862.0,1854.0,1861.0,155,288082.5,7
2025-09-28,1869.8,1840.2,1869.8,190,351689.0,8
2025-10-07,1907.0,1836.0,1836.2,355,654660.6,9
2025-10-08,1872.9,1800.0,1835.5,639,1158173.0,28
2025-10-09,1872.2,1800.3,1802.0,411,748187.8,18
