Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,354.5,328.7,354.5,55181,19529912.7,261
2024-12-04,389.9,361.5,389.9,453578,173478305.1,1570
2024-12-05,428.8,391.0,428.8,316522,132693170.1,1693
2024-12-08,471.6,397.7,471.6,327937,137812709.4,1437
2024-12-09,462.2,424.5,432.9,178926,76178518.5,687
2024-12-10,475.0,399.5,465.5,212195,90715859.1,936
2024-12-11,456.2,419.0,419.0,146490,61932934.0,645
2024-12-12,417.5,391.0,400.0,128534,52450155.6,546
2024-12-16,424.3,393.0,406.9,182652,73847640.9,771
2024-12-17,414.0,383.3,397.9,171383,68109167.4,505
2024-12-18,405.8,385.0,395.9,82073,32339815.8,344
2024-12-19,397.8,377.0,380.0,79949,30568696.1,415
2024-12-22,385.0,369.2,378.0,58911,22104897.7,322
2024-12-23,390.0,368.0,390.0,74215,27984007.8,348
2024-12-24,399.9,383.4,388.5,76640,29925041.0,375
2024-12-26,392.7,380.8,388.0,54860,21191179.2,276
2024-12-29,383.0,366.0,367.9,55983,20924061.0,297
2024-12-31,361.1,338.1,347.0,62616,21729743.7,375
2025-01-01,365.0,336.2,361.0,38733,13635286.9,225
2025-01-02,380.0,355.1,379.0,59309,21942016.1,245
2025-01-05,388.0,371.5,380.0,62457,23895481.2,280
2025-01-06,414.0,365.0,411.0,176991,72203516.7,834
2025-01-07,418.0,403.0,411.8,64066,26242012.9,357
2025-01-08,418.0,392.5,400.0,79887,31959899.8,362
2025-01-09,407.0,393.1,393.7,44467,17629783.2,267
2025-01-12,401.5,377.9,378.1,49155,19031079.1,283
2025-01-13,397.8,372.5,397.8,67721,25807490.1,379
2025-01-15,429.3,382.2,429.3,144196,57674008.8,493
2025-01-16,420.8,386.4,390.0,242793,96107050.4,1103
2025-01-19,400.0,382.2,393.9,154068,60057274.5,756
2025-01-20,398.0,380.0,384.6,74202,28657152.8,459
2025-01-21,389.1,373.0,378.0,46455,17570398.7,283
2025-01-22,383.5,373.0,377.0,62063,23515065.5,339
2025-01-23,382.0,368.0,373.0,76205,28348950.9,479
2025-01-26,382.0,373.2,376.0,45760,17269164.3,325
2025-01-27,382.0,372.0,374.9,50562,19006107.6,263
2025-01-28,386.0,373.0,385.0,77016,29281382.8,402
2025-02-02,397.0,378.6,381.9,76474,29613726.9,397
2025-02-03,387.8,375.0,380.0,52709,20029252.8,294
2025-02-04,408.0,377.0,401.0,169326,66428223.5,822
2025-02-05,417.0,400.0,402.9,111890,45733132.5,658
2025-02-06,407.9,390.0,394.5,84317,33530129.7,491
2025-02-09,401.0,388.0,389.5,64483,25383442.5,363
2025-02-10,395.0,380.1,382.0,57847,22188873.5,313
2025-02-11,389.0,375.0,380.0,36153,13803857.4,267
2025-02-12,389.0,378.0,381.0,40547,15562075.5,275
2025-02-13,388.0,378.0,378.6,37389,14243361.4,204
2025-02-16,384.9,372.0,381.0,33100,12626299.4,214
2025-02-17,393.4,378.0,386.0,42650,16578456.2,258
2025-02-18,395.0,371.9,371.9,44069,16807590.6,274
2025-02-20,382.0,372.0,375.0,29491,11071169.5,232
2025-02-23,377.4,368.0,373.0,32456,12122035.0,206
2025-02-24,384.0,370.0,377.0,31386,11881657.7,198
2025-02-25,383.9,370.3,371.9,23916,8981407.8,148
2025-02-27,386.0,365.0,376.0,36156,13516388.5,238
2025-03-02,392.1,370.0,384.0,36101,13802900.0,209
2025-03-03,390.0,378.1,380.0,45071,17300020.3,288
2025-03-04,397.0,380.1,388.0,102999,40045520.1,512
2025-03-05,395.0,383.0,388.0,43955,17061672.3,221
2025-03-06,395.0,379.0,380.0,32736,12526528.4,205
2025-03-09,387.0,372.4,375.0,32986,12417199.0,211
2025-03-10,382.0,370.0,374.8,23934,8923080.2,148
2025-03-11,380.4,367.0,370.0,38072,14134549.0,246
2025-03-12,376.9,362.6,367.0,38615,14246872.2,226
2025-03-16,379.0,360.0,363.0,23068,8374772.0,169
2025-03-17,370.2,357.5,359.0,25952,9362174.4,170
2025-03-18,379.5,355.2,359.0,14912,5381239.2,126
2025-03-19,366.0,352.9,356.5,17464,6231713.3,125
2025-03-20,363.0,346.0,347.6,30784,10751910.8,216
2025-03-23,350.0,331.0,331.81,36688,12382654.0,259
2025-03-24,343.0,326.0,340.78,28059,9430063.5,161
2025-03-25,342.7,324.0,325.66,32469,10705165.2,191
2025-03-26,335.0,325.7,333.52,15282,5061203.1,92
2025-03-27,339.0,333.1,335.41,13672,4585956.2,100
2025-03-30,367.2,339.0,354.56,40563,14328602.4,272
2025-04-01,361.6,340.1,350.31,28106,9814438.2,173
2025-04-02,356.0,349.0,349.97,11238,3953605.0,89
2025-04-03,356.9,342.1,345.55,18816,6539986.5,114
2025-04-07,359.0,340.3,340.68,20438,7063691.7,110
2025-04-08,340.0,333.0,339.18,13576,4560509.3,96
2025-04-09,353.0,340.2,343.85,11701,4058687.8,85
2025-04-10,350.0,342.2,346.26,6367,2192687.6,61
2025-04-13,350.0,341.0,341.35,7658,2629640.8,57
2025-04-15,350.0,335.0,346.81,15224,5256355.3,111
2025-04-16,352.9,342.0,350.85,17345,6050828.6,99
2025-04-17,359.0,348.1,354.36,13582,4825194.7,111
2025-04-20,359.9,347.0,349.03,10479,3682414.3,87
2025-04-21,354.0,343.0,349.06,17313,6027427.5,89
2025-04-22,356.0,348.1,352.86,21909,7705646.9,102
2025-04-23,355.8,346.2,350.05,16870,5899412.1,68
2025-04-24,350.4,343.0,345.96,18768,6517466.7,96
2025-04-27,353.9,345.0,346.83,25927,9061717.8,103
2025-04-28,360.0,344.0,344.56,14280,4968990.2,72
2025-04-29,350.0,340.5,342.5,9317,3204756.0,58
2025-04-30,356.2,337.1,341.54,19094,6509457.9,98
2025-05-04,355.1,340.0,340.96,19543,6712608.6,82
2025-05-05,344.0,338.1,339.01,15693,5324644.9,71
2025-05-06,341.0,335.2,336.91,11171,3773220.7,79
2025-05-07,348.0,331.0,346.93,23440,8048167.7,130
2025-05-08,360.0,345.0,351.54,15292,5396333.0,126
2025-05-11,383.1,352.0,371.45,98127,36196005.3,523
2025-05-13,380.0,360.1,362.64,25357,9333055.2,176
2025-05-14,369.8,349.0,349.98,18536,6641435.7,116
2025-05-15,350.0,341.0,343.48,19588,6749368.5,129
2025-05-18,350.0,337.0,341.77,22313,7638436.0,141
2025-05-19,351.0,343.0,344.32,10207,3519160.6,76
2025-05-20,357.0,340.5,352.0,28034,9864978.5,120
2025-05-21,373.0,350.0,350.48,22170,7925990.9,160
2025-05-22,355.0,346.3,347.12,12741,4447670.6,92
2025-05-25,350.0,344.2,344.92,12821,4435542.1,72
2025-05-26,353.0,342.1,343.02,11803,4074351.0,80
2025-05-27,347.9,340.0,344.16,14456,4951359.6,98
2025-05-28,350.0,340.3,345.83,18022,6206368.4,76
2025-06-02,352.0,343.0,345.13,13514,4680338.6,96
2025-06-03,349.0,340.0,342.42,16458,5612705.7,95
2025-06-04,346.0,337.0,337.74,9816,3328830.5,93
2025-06-05,344.4,331.1,337.25,16116,5423185.8,109
2025-06-08,356.7,340.1,342.87,18818,6491090.2,126
2025-06-09,349.0,340.0,346.17,11286,3904496.7,73
2025-06-10,360.0,347.3,349.69,27290,9622764.5,138
2025-06-11,352.0,340.0,342.58,20639,7126763.8,100
2025-06-12,355.9,340.1,342.29,17877,6183614.1,86
2025-06-15,354.0,345.1,347.79,26875,9380104.3,142
2025-06-16,359.9,343.0,351.52,35292,12531321.2,221
2025-06-17,356.7,345.6,350.22,22792,7966724.4,107
2025-06-18,373.3,343.3,370.19,65179,23607252.0,357
2025-06-19,380.0,360.0,362.62,82504,30659617.2,456
2025-06-22,369.8,353.5,355.53,37453,13397595.3,219
2025-06-23,367.0,348.6,362.68,24557,8826713.9,152
2025-06-24,392.7,355.5,384.34,131425,50515345.7,727
2025-06-25,420.0,392.0,402.65,208326,84181602.1,1196
2025-06-26,410.7,386.0,392.29,90926,35863568.1,606
2025-06-29,395.0,386.0,390.76,64627,25161742.0,420
2025-06-30,411.9,383.0,390.46,44484,17471375.5,317
2025-07-01,399.6,382.7,393.4,48352,19036266.3,342
2025-07-02,432.7,401.2,432.7,191048,81244990.1,854
2025-07-03,475.9,441.3,463.71,332418,154806030.0,2171
2025-07-06,468.0,434.0,438.54,213446,94775255.5,1360
2025-07-07,443.8,427.0,434.08,114839,49770887.3,786
2025-07-08,450.8,430.0,446.76,75163,33247935.6,550
2025-07-09,450.0,435.0,436.52,106263,46763572.1,836
2025-07-10,445.2,428.0,429.11,264826,114476878.5,1811
2025-07-13,291.0,269.8,291.0,26118,7591531.0,116
2025-07-14,314.0,294.0,299.66,242233,72941188.7,1628
2025-07-15,304.9,291.0,293.45,88002,25864659.9,515
2025-07-16,297.0,290.1,291.34,50805,14901902.7,284
2025-07-17,305.0,292.1,297.81,59603,17714988.7,317
2025-07-20,320.0,299.0,300.82,87623,26868876.1,528
2025-07-21,307.0,300.0,300.76,62390,18877135.5,279
2025-07-22,306.6,295.0,302.81,60671,18394728.9,281
2025-07-23,305.0,297.0,299.95,71868,21618611.6,319
2025-07-24,305.9,295.0,296.5,58375,17396025.0,360
2025-07-27,300.0,290.0,290.39,61030,17940463.8,445
2025-07-28,293.0,282.0,288.26,48410,13859957.2,349
2025-07-29,294.0,288.0,290.07,29520,8562244.5,213
2025-07-30,292.5,283.0,283.32,23320,6673713.0,189
2025-07-31,283.0,275.0,278.48,27804,7745492.9,215
2025-08-03,281.0,270.0,271.25,32538,8974337.0,264
2025-08-04,270.5,265.1,268.21,29272,7847873.1,230
2025-08-05,270.0,263.0,264.32,21584,5748112.0,170
2025-08-06,264.0,261.0,263.16,12703,3344430.0,123
2025-08-07,281.0,263.8,279.44,27404,7468573.8,260
2025-08-11,285.6,276.0,278.02,24882,7000725.6,210
2025-08-12,280.0,268.0,268.95,15186,4103563.7,133
2025-08-13,269.9,265.0,265.88,11062,2950683.5,84
2025-08-14,271.1,266.0,270.81,13992,3771297.3,98
2025-08-17,271.5,266.1,266.72,7650,2047083.6,74
2025-08-18,272.0,266.1,268.43,10333,2790106.9,73
2025-08-19,272.9,268.0,268.91,6242,1687400.4,67
2025-08-20,273.0,264.0,267.21,9411,2503711.6,77
2025-08-21,270.0,261.9,264.2,14010,3710968.5,103
2025-08-24,265.0,260.7,261.36,7425,1946690.4,60
2025-08-25,265.0,253.0,254.49,22613,5803728.2,168
2025-08-26,260.0,253.0,253.0,4411,1123907.2,57
2025-08-27,258.0,252.0,257.94,10458,2675238.2,86
2025-08-28,261.9,254.1,256.24,10582,2728031.4,80
2025-08-31,259.5,244.1,246.67,18861,4696961.9,131
2025-09-01,249.0,240.1,243.07,10867,2627229.9,105
2025-09-02,250.4,238.3,242.53,16782,4055589.2,120
2025-09-03,242.6,237.7,238.67,13542,3235016.9,84
2025-09-04,243.4,235.4,238.75,15198,3623071.2,97
2025-09-07,240.0,225.0,233.57,11326,2639579.7,75
2025-09-08,238.2,225.2,226.39,13390,3049187.7,98
2025-09-18,230.0,230.0,230.0,100,23000.0,2
2025-09-21,247.0,225.0,243.83,26986,6340138.7,190
2025-09-23,248.0,237.0,247.5,13130,3230336.3,102
2025-09-24,246.8,240.0,242.0,11359,2772216.8,53
2025-09-25,245.6,238.0,241.0,11491,2775645.5,74
2025-09-28,245.7,241.1,244.0,6202,1516416.7,44
2025-10-07,247.9,238.0,242.5,16791,4030991.5,71
2025-10-08,240.0,232.0,233.0,14480,3396284.8,73
2025-10-09,250.0,235.0,235.0,17412,4158084.5,99
2025-10-12,232.5,226.0,229.0,12003,2742173.8,68
2025-10-13,229.0,223.2,227.0,4319,977690.0,45
2025-10-14,228.0,224.0,225.0,5531,1247808.7,47
2025-10-15,229.5,222.2,227.0,4755,1082733.0,34
2025-10-16,227.2,216.7,221.0,6160,1362071.0,78
2025-10-19,229.3,222.0,229.3,8222,1839021.9,58
2025-10-26,228.0,216.0,221.6,2635,589214.6,29
2025-10-28,234.0,225.0,234.0,19695,4542039.8,48
2025-10-29,257.4,236.0,257.4,57020,14461422.9,194
2025-10-30,278.4,262.5,273.0,100517,27403512.2,605
2025-11-02,274.0,255.8,260.0,74610,19602746.9,284
2025-11-03,262.5,249.0,251.9,35754,9061734.9,183
2025-11-04,266.0,252.8,256.8,33890,8823062.9,240
2025-11-05,266.0,247.0,253.0,18300,4584595.2,119
2025-11-06,257.8,249.0,251.0,13832,3484512.4,75
2025-11-09,251.0,237.7,245.0,21065,5132369.2,88
2025-11-10,249.3,237.2,241.9,23127,5609714.1,104
2025-11-11,255.7,239.2,248.0,13759,3365146.1,96
2025-11-12,250.0,240.6,240.6,11452,2829345.1,73
2025-11-13,245.0,236.0,238.0,18575,4458565.1,103
2025-11-16,242.7,235.0,238.5,9596,2275193.8,47
2025-11-17,256.5,238.0,249.0,21612,5265632.6,130
2025-11-18,256.9,250.0,253.0,24860,6283829.1,135
2025-11-19,256.0,245.2,251.5,10497,2616017.7,83
2025-11-20,251.4,244.1,251.4,19902,4936106.4,92
2025-11-23,260.0,250.1,256.0,20754,5301721.1,120
2025-11-24,260.8,251.0,251.5,20564,5231683.9,107
2025-11-25,256.0,252.0,255.0,13896,3528293.8,77
2025-11-26,260.0,250.2,254.0,12377,3151601.9,86
2025-11-27,258.0,253.6,256.0,9117,2328524.9,74
2025-11-30,260.0,246.2,248.0,21453,5358698.2,113
2025-12-01,252.0,241.0,250.0,16750,4106118.6,98
2025-12-02,253.0,246.0,247.0,5919,1462713.6,44
2025-12-03,254.9,245.2,248.0,12394,3058665.4,71
