Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,560.0,543.1,556.0,41738,23147018.5,178
2024-12-04,574.0,552.2,566.0,64940,36486635.7,270
2024-12-05,571.2,549.0,550.0,39191,21954074.1,142
2024-12-08,556.9,529.4,540.0,28890,15464720.6,106
2024-12-09,546.0,530.0,534.9,12012,6409493.3,68
2024-12-10,541.0,527.5,540.0,17101,9084607.5,72
2024-12-11,555.0,531.2,546.0,21187,11470160.5,99
2024-12-12,553.0,537.2,537.2,25864,14005791.9,81
2024-12-16,538.9,527.2,537.0,14423,7648034.3,74
2024-12-17,538.0,526.4,533.0,13013,6947967.0,68
2024-12-18,537.0,526.0,530.0,6205,3288325.8,36
2024-12-19,539.7,522.0,527.0,18695,9870829.7,68
2024-12-22,532.0,517.1,529.0,8165,4270821.8,52
2024-12-23,532.6,512.0,528.0,6810,3574605.8,40
2024-12-24,537.0,520.0,520.0,16620,8783544.8,120
2024-12-26,528.0,515.1,527.8,7754,4076999.4,45
2024-12-29,530.0,521.0,524.9,8753,4570258.9,81
2024-12-31,530.0,510.0,515.0,18599,9612524.2,76
2025-01-01,522.0,513.0,522.0,5135,2659602.2,44
2025-01-02,544.0,518.5,539.0,24940,13196524.2,129
2025-01-05,509.0,490.0,500.0,3715,1846476.7,53
2025-01-06,535.0,492.1,531.9,30428,15680320.1,139
2025-01-07,539.0,511.0,529.9,12377,6499135.3,70
2025-01-08,537.0,519.4,534.3,16870,8986956.4,90
2025-01-09,555.0,526.1,555.0,55855,30416083.2,217
2025-01-12,555.0,530.5,535.0,24480,13199964.6,100
2025-01-13,545.7,520.0,528.0,18291,9616378.4,87
2025-01-15,560.0,527.8,548.0,65048,35509952.8,260
2025-01-16,560.0,550.7,557.0,55408,30784330.8,250
2025-01-19,566.0,551.0,557.4,40108,22393545.3,179
2025-01-20,564.0,546.2,556.0,33843,18794699.7,186
2025-01-21,567.1,530.0,540.0,68341,36848764.9,180
2025-01-22,558.0,533.0,554.0,35379,19538261.0,217
2025-01-23,565.0,548.0,553.9,35612,19659104.8,241
2025-01-26,569.0,552.0,562.9,57276,32099906.7,266
2025-01-27,572.0,551.9,555.0,33866,18982849.3,218
2025-01-28,580.0,555.0,558.0,54497,30807882.1,236
2025-02-02,571.0,560.0,562.1,64184,36285022.2,223
2025-02-03,586.0,565.6,585.0,89336,51589235.2,399
2025-02-04,643.5,577.0,632.1,188121,116275369.9,752
2025-02-05,652.4,611.6,625.5,224442,140124134.8,581
