Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1059.0,1059.0,1059.0,0,0.0,0
2024-12-04,1061.0,1061.0,1061.0,25,26525.0,1
2024-12-05,1061.0,1061.0,1061.0,0,0.0,0
2024-12-08,1060.1,1060.1,1060.1,20,21202.0,1
2024-12-09,1080.0,1080.0,1080.0,25,27000.0,1
2024-12-10,1080.0,1080.0,1080.0,0,0.0,0
2024-12-11,1080.0,1080.0,1080.0,0,0.0,0
2024-12-12,1070.0,1070.0,1070.0,25,26750.0,1
2024-12-16,1070.0,1070.0,1070.0,0,0.0,0
2024-12-17,1070.0,1065.0,1066.0,80,85350.0,3
2024-12-18,1075.0,1064.1,1075.0,50,53477.0,3
2024-12-19,1075.0,1075.0,1075.0,0,0.0,0
2024-12-22,1075.0,1075.0,1075.0,0,0.0,0
2024-12-23,1100.0,1096.5,1100.0,370,406650.0,3
2024-12-24,1100.0,1100.0,1100.0,0,0.0,0
2024-12-26,1100.0,1100.0,1100.0,0,0.0,0
2024-12-29,1100.0,1100.0,1100.0,0,0.0,0
2024-12-31,1100.0,1100.0,1100.0,0,0.0,0
2025-01-01,1100.0,1100.0,1100.0,0,0.0,0
2025-01-02,1080.0,1080.0,1080.0,15,16200.0,1
2025-01-05,1081.0,1081.0,1081.0,25,27025.0,1
2025-01-06,1102.6,1102.5,1102.6,413,455372.8,3
2025-01-07,1102.6,1102.6,1102.6,0,0.0,0
2025-01-08,1102.6,1102.6,1102.6,0,0.0,0
2025-01-09,1102.6,1102.6,1102.6,0,0.0,0
2025-01-12,1102.6,1102.6,1102.6,0,0.0,0
2025-01-13,1102.6,1102.6,1102.6,0,0.0,0
2025-01-15,1102.6,1102.6,1102.6,0,0.0,0
2025-01-16,1102.6,1102.6,1102.6,0,0.0,0
2025-01-19,1102.6,1102.6,1080.6,1,1080.6,1
2025-01-20,1080.6,1080.6,1065.0,1,1065.0,1
2025-01-21,1051.0,1051.0,1051.0,35,36785.0,1
2025-01-22,1051.0,1051.0,1051.0,0,0.0,0
2025-01-23,1051.0,1051.0,1051.0,0,0.0,0
2025-01-26,1047.1,1045.1,1047.1,49,51257.9,2
2025-01-27,1047.1,1047.1,1047.1,0,0.0,0
2025-01-28,1050.9,1050.9,1050.9,25,26272.5,1
2025-02-02,1060.0,1060.0,1060.0,52,55120.0,2
2025-02-03,1065.0,1065.0,1065.0,25,26625.0,1
2025-02-04,1065.0,1065.0,1065.0,0,0.0,0
2025-02-05,1048.0,1047.0,1067.9,58,60813.7,3
2025-02-06,1049.0,1049.0,1049.0,100,104900.0,1
2025-02-09,1049.0,1049.0,1049.0,0,0.0,0
2025-02-10,1085.0,1069.9,1085.0,204,220977.6,2
2025-02-11,1085.0,1085.0,1085.0,0,0.0,0
2025-02-12,1064.0,1064.0,1064.0,100,106400.0,1
2025-02-13,1064.0,1064.0,1064.0,0,0.0,0
2025-02-16,1064.0,1064.0,1064.0,0,0.0,0
2025-02-17,1064.0,1064.0,1064.0,0,0.0,0
2025-02-18,1064.0,1064.0,1064.0,0,0.0,0
2025-02-20,1058.0,1058.0,1058.0,25,26450.0,1
2025-02-23,1070.0,1060.0,1070.0,324,344680.0,4
2025-02-24,1070.0,1070.0,1070.0,0,0.0,0
2025-02-25,1070.0,1070.0,1070.0,0,0.0,0
2025-02-27,1070.0,1070.0,1070.0,0,0.0,0
2025-03-02,1055.0,1050.0,1050.0,100,105250.0,2
2025-03-03,1050.0,1050.0,1050.0,0,0.0,0
2025-03-04,1070.0,1050.0,1070.0,150,160000.0,2
2025-03-05,1070.0,1070.0,1070.0,0,0.0,0
2025-03-06,1065.0,1065.0,1065.0,25,26625.0,1
2025-03-09,1065.0,1065.0,1065.0,75,79875.0,3
2025-03-10,1045.0,1045.0,1045.0,200,209000.0,2
2025-03-11,1060.0,1045.0,1060.0,100,105999.9,4
2025-03-12,1050.0,1050.0,1050.0,100,105000.0,1
2025-03-16,1050.0,1050.0,1050.0,0,0.0,0
2025-03-17,1050.0,1050.0,1051.6,2,2103.2,1
2025-03-18,1051.6,1051.6,1051.6,0,0.0,0
2025-03-19,1051.6,1051.6,1051.6,0,0.0,0
2025-03-20,1062.0,1041.3,1062.0,75,79132.5,2
2025-03-23,1062.0,1062.0,1044.0,1,1044.0,1
2025-03-24,1044.0,1044.0,1042.1,2,2084.2,1
2025-03-25,1050.0,1050.0,1050.0,50,52500.0,2
2025-03-26,1050.0,1050.0,1050.0,0,0.0,0
2025-03-27,1050.0,1047.8,1047.8,50,52445.0,2
2025-03-30,1047.8,1047.8,1052.1,2,2104.2,1
2025-04-01,1073.0,1052.1,1072.27,28,30023.7,3
2025-04-02,1054.3,1054.3,1054.3,25,26357.5,1
2025-04-03,1060.0,1060.0,1060.0,25,26500.0,1
2025-04-07,1056.0,1056.0,1056.0,50,52800.0,1
2025-04-08,1070.0,1069.9,1070.0,115,123042.5,2
2025-04-09,1070.0,1070.0,1070.0,0,0.0,0
2025-04-10,1070.0,1070.0,1070.0,0,0.0,0
2025-04-13,1091.4,1069.0,1090.15,645,702619.0,5
2025-04-15,1090.15,1090.15,1090.15,0,0.0,0
2025-04-16,1090.15,1090.15,1090.15,0,0.0,0
2025-04-17,1087.0,1080.0,1086.0,200,216953.5,4
2025-04-20,1104.0,1104.0,1104.0,645,712080.0,1
2025-04-21,1093.0,1092.0,1093.0,36,39338.0,2
2025-04-22,1091.6,1091.6,1091.6,100,109160.0,1
2025-04-23,1091.6,1091.6,1091.6,0,0.0,0
2025-04-24,1091.6,1091.6,1091.6,0,0.0,0
2025-04-27,1091.6,1091.6,1091.6,0,0.0,0
2025-04-28,1104.0,1104.0,1104.0,251,277104.0,1
2025-04-29,1090.1,1090.1,1090.1,25,27252.5,1
2025-04-30,1092.0,1092.0,1092.1,27,29484.2,2
2025-05-04,1096.1,1096.1,1096.0,26,28498.5,3
2025-05-05,1096.0,1096.0,1097.0,1,1097.0,1
2025-05-06,1097.0,1097.0,1097.0,0,0.0,0
2025-05-07,1097.0,1097.0,1097.0,0,0.0,0
2025-05-08,1097.0,1097.0,1097.0,0,0.0,0
2025-05-11,1100.0,1100.0,1100.0,30,33000.0,1
2025-05-13,1100.0,1100.0,1100.0,0,0.0,0
2025-05-14,1095.0,1095.0,1095.1,101,110595.1,2
2025-05-15,1110.0,1110.0,1110.0,46,51060.0,3
2025-05-18,1110.0,1110.0,1110.0,0,0.0,0
2025-05-19,1104.0,1104.0,1104.0,126,139104.0,1
2025-05-20,1099.0,1099.0,1099.0,25,27475.0,1
2025-05-21,1099.0,1099.0,1099.0,0,0.0,0
2025-05-22,1100.0,1100.0,1100.0,110,121000.0,2
2025-05-25,1100.0,1100.0,1100.0,0,0.0,0
2025-05-26,1104.0,1094.0,1094.0,75,82460.0,4
2025-05-27,1094.0,1094.0,1094.0,0,0.0,0
2025-05-28,1094.0,1094.0,1094.0,0,0.0,0
2025-06-02,1094.0,1094.0,1094.0,0,0.0,0
2025-06-03,1094.0,1094.0,1094.0,0,0.0,0
2025-06-04,1094.0,1094.0,1094.0,0,0.0,0
2025-06-05,1094.0,1094.0,1094.0,0,0.0,0
2025-06-08,1100.0,1100.0,1100.0,25,27500.0,1
2025-06-09,1104.0,1099.9,1100.0,294,323455.1,5
2025-06-10,1100.0,1100.0,1100.0,0,0.0,0
2025-06-11,1100.0,1100.0,1100.0,0,0.0,0
2025-06-12,1100.0,1100.0,1100.0,0,0.0,0
2025-06-15,1100.0,1100.0,1100.0,0,0.0,0
2025-06-16,1100.0,1100.0,1100.0,0,0.0,0
2025-06-17,1100.0,1100.0,1100.0,0,0.0,0
2025-06-18,1100.0,1100.0,1100.0,0,0.0,0
2025-06-19,1100.0,1100.0,1100.0,0,0.0,0
2025-06-22,1100.0,1100.0,1100.0,0,0.0,0
2025-06-23,1100.0,1100.0,1100.0,0,0.0,0
2025-06-24,1100.0,1100.0,1100.0,0,0.0,0
2025-06-25,1100.0,1100.0,1100.0,0,0.0,0
2025-06-26,1100.0,1100.0,1100.0,0,0.0,0
2025-06-29,1100.0,1100.0,1100.0,0,0.0,0
2025-06-30,1100.0,1100.0,1100.0,0,0.0,0
2025-07-01,1100.0,1100.0,1100.0,0,0.0,0
2025-07-02,1100.0,1100.0,1100.0,0,0.0,0
2025-07-03,1100.0,1100.0,1100.0,0,0.0,0
2025-07-06,1100.0,1100.0,1100.0,0,0.0,0
2025-07-07,1080.0,1080.0,1080.0,25,27000.0,1
2025-07-08,1080.0,1080.0,1080.0,0,0.0,0
2025-07-09,1080.0,1080.0,1080.0,0,0.0,0
2025-07-10,1080.0,1080.0,1080.0,0,0.0,0
2025-07-13,1080.0,1080.0,1080.0,0,0.0,0
2025-07-14,1080.0,1080.0,1080.0,25,27000.0,1
2025-07-15,1080.0,1080.0,1080.0,25,27000.0,1
2025-07-16,1100.0,1100.0,1100.0,11,12100.0,1
2025-07-17,1100.0,1100.0,1100.0,0,0.0,0
2025-07-20,1100.0,1100.0,1100.0,0,0.0,0
2025-07-21,1100.0,1100.0,1100.0,0,0.0,0
2025-07-22,1100.0,1100.0,1100.0,0,0.0,0
2025-07-23,1100.0,1100.0,1100.0,0,0.0,0
2025-07-24,1085.0,1085.0,1085.0,15,16275.0,1
2025-07-27,1085.0,1085.0,1085.0,0,0.0,0
2025-07-28,1075.0,1065.0,1072.81,128,137320.0,5
2025-07-29,1065.0,1065.0,1065.0,25,26625.0,1
2025-07-30,1055.0,1055.0,1055.0,25,26375.0,1
2025-07-31,1041.3,1041.3,1041.3,25,26032.5,1
2025-08-03,1041.3,1041.3,1041.3,0,0.0,0
2025-08-04,1054.0,1048.0,1052.0,75,78900.0,4
2025-08-05,1052.0,1052.0,1052.0,0,0.0,0
2025-08-06,1044.4,1044.4,1044.4,25,26110.0,1
2025-08-07,1044.4,1044.4,1044.4,0,0.0,0
2025-08-11,1044.4,1044.4,1044.4,0,0.0,0
2025-08-12,1050.0,1050.0,1050.0,10,10500.0,1
2025-08-13,1050.0,1050.0,1050.0,0,0.0,0
2025-08-14,1050.0,1050.0,1050.0,0,0.0,0
2025-08-17,1050.0,1050.0,1050.0,0,0.0,0
2025-08-18,1050.0,1050.0,1050.0,0,0.0,0
2025-08-19,1050.0,1050.0,1050.0,0,0.0,0
2025-08-20,1050.0,1050.0,1050.0,0,0.0,0
2025-08-21,1052.1,1052.1,1052.1,25,26302.5,1
2025-08-24,1052.1,1052.1,1052.1,0,0.0,0
2025-08-25,1052.1,1052.1,1052.1,0,0.0,0
