Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,226.0,221.0,223.5,79583,17784471.9,324
2024-12-04,228.3,223.0,223.5,69457,15660760.8,296
2024-12-05,223.0,217.3,217.8,59062,13010580.7,272
2024-12-08,219.2,210.0,213.0,80086,17068627.6,371
2024-12-09,216.0,212.0,212.7,32797,7008912.7,186
2024-12-10,215.0,209.5,211.5,37631,7943420.9,191
2024-12-11,216.0,210.3,215.6,33619,7185962.2,164
2024-12-12,217.9,212.1,213.9,51499,11007873.1,167
2024-12-16,213.0,206.0,208.9,45897,9558978.3,229
2024-12-17,210.8,205.1,207.9,32070,6682458.2,162
2024-12-18,211.0,203.0,205.0,40494,8329890.5,244
2024-12-19,207.0,200.4,200.4,44869,9073501.1,213
2024-12-22,206.0,198.2,199.5,30263,6061153.7,200
2024-12-23,202.5,198.0,201.5,33500,6720600.4,182
2024-12-24,205.6,202.0,203.6,33528,6857387.1,186
2024-12-26,206.9,199.6,202.0,28754,5843827.7,152
2024-12-29,206.0,199.0,199.1,36809,7365201.2,199
2024-12-31,200.0,195.0,196.0,36400,7155357.0,185
2025-01-01,198.5,195.0,197.9,22108,4337462.0,148
2025-01-02,199.1,195.0,195.1,26852,5297447.8,189
2025-01-05,203.0,195.0,200.1,35854,7186369.0,234
2025-01-06,211.5,200.0,211.0,57729,11985120.5,308
2025-01-07,225.0,211.0,217.5,125837,27660392.6,694
2025-01-08,221.7,214.0,214.0,59870,13027778.2,311
2025-01-09,216.2,209.7,211.9,53127,11279268.5,251
2025-01-12,214.9,207.0,207.3,17576,3689312.5,137
2025-01-13,209.0,203.9,205.0,37980,7817901.3,217
2025-01-15,209.1,205.1,209.1,33696,6998536.9,154
2025-01-16,213.0,204.0,205.0,56010,11601492.5,194
2025-01-19,209.0,204.0,207.0,35350,7334974.5,177
2025-01-20,213.0,207.6,209.0,42623,9004861.3,195
2025-01-21,211.9,207.0,207.0,18902,3940956.7,116
2025-01-22,214.9,205.0,210.0,53317,11273608.5,237
2025-01-23,218.0,207.3,209.1,37490,7875543.1,193
2025-01-26,210.0,205.0,205.3,38737,8017491.4,213
2025-01-27,213.5,206.0,207.0,48613,10166958.0,224
2025-01-28,211.0,207.0,210.0,48038,10055319.8,204
2025-02-02,221.0,210.0,215.0,152957,33175349.6,517
2025-02-03,220.9,214.0,214.0,77615,16793556.7,340
2025-02-04,217.9,211.0,214.0,44789,9568769.0,180
2025-02-05,218.0,211.0,214.6,60330,13021684.3,234
2025-02-06,219.0,213.0,215.0,71452,15474087.4,258
2025-02-09,216.0,211.0,211.0,28060,5982119.9,164
2025-02-10,218.0,207.0,207.3,36656,7723167.5,159
2025-02-11,209.0,207.0,207.9,26948,5595630.1,136
2025-02-12,212.0,206.0,208.0,34107,7081933.7,161
2025-02-13,208.0,206.0,207.0,20254,4191223.5,128
2025-02-16,210.8,203.1,210.0,85457,17648875.8,356
2025-02-17,209.0,205.0,207.8,162781,33703280.3,706
2025-02-18,210.0,205.0,205.0,271389,56150607.3,592
2025-02-20,209.1,202.1,203.0,123991,25231435.7,483
2025-02-23,203.9,199.0,203.6,145420,29335172.7,556
2025-02-24,206.5,200.5,202.0,200729,40997799.3,562
2025-02-25,206.0,202.6,204.9,170263,34743130.1,492
2025-02-27,225.3,204.5,225.3,664456,144993814.0,1608
2025-03-02,243.0,229.8,237.9,553805,130164233.2,1676
2025-03-03,240.0,227.4,228.0,361772,83831993.9,1353
2025-03-04,239.9,225.0,230.0,627467,147142118.4,1667
2025-03-05,235.8,226.9,228.5,304912,70343006.6,845
2025-03-06,231.5,226.2,228.5,206883,47310757.3,626
2025-03-09,230.0,219.0,222.0,247313,55352270.9,809
2025-03-10,225.0,214.0,216.5,207088,45398019.0,609
2025-03-11,219.5,211.0,211.7,154812,33079292.4,496
2025-03-12,220.0,212.0,219.0,159009,34297109.2,508
2025-03-16,221.3,213.1,215.0,155901,33649646.6,458
2025-03-17,219.2,213.0,214.6,105773,22843717.0,365
2025-03-18,219.3,215.0,216.0,86003,18684660.4,260
2025-03-19,218.0,213.0,214.8,129144,27790181.1,317
2025-03-20,217.8,213.0,213.38,102458,21991706.0,287
2025-03-23,217.6,205.1,206.04,152842,31881274.3,529
2025-03-24,213.0,202.1,209.48,107413,22462339.8,403
2025-03-25,209.7,204.0,205.31,86398,17793239.9,376
2025-03-26,210.0,205.3,208.34,71355,14854393.0,253
2025-03-27,212.0,205.7,211.35,106788,22444580.3,320
2025-03-30,218.8,207.5,214.56,156202,33758079.3,489
2025-04-01,216.0,209.1,211.28,80514,17020394.5,278
2025-04-02,215.0,207.0,210.15,87191,18302596.6,302
2025-04-03,213.9,206.0,207.54,154519,32258867.0,457
2025-04-07,211.1,204.0,207.57,119747,24910803.7,325
2025-04-08,209.0,205.8,208.0,105237,21769814.9,328
2025-04-09,211.7,206.6,207.35,77694,16185720.3,223
2025-04-10,210.9,206.0,207.36,105479,21891284.3,282
2025-04-13,211.0,206.7,207.16,56126,11654615.5,177
2025-04-15,213.0,207.0,208.37,104691,22020539.1,322
2025-04-16,216.0,208.1,215.24,131308,27910166.5,456
2025-04-17,221.9,215.1,215.28,151475,33016251.9,511
2025-04-20,216.9,210.5,210.92,109559,23320817.5,318
2025-04-21,219.5,206.9,215.59,184436,39779876.8,508
2025-04-22,221.0,214.0,215.42,177693,38729537.8,527
2025-04-23,219.7,208.0,209.29,125049,26354056.9,338
2025-04-24,213.0,208.0,210.75,76851,16138630.3,267
2025-04-27,217.2,210.0,213.81,176894,38064033.3,408
2025-04-28,232.0,215.4,223.95,609046,137342466.4,1778
2025-04-29,227.9,217.0,218.16,161424,35786992.2,571
2025-04-30,227.9,217.0,223.48,275239,61580824.0,731
2025-05-04,228.7,218.0,220.13,208170,46392719.9,653
2025-05-05,224.5,215.0,216.19,151721,32870045.2,482
2025-05-06,223.3,217.0,220.27,188454,41530566.5,562
2025-05-07,232.0,222.0,227.13,441644,100798121.9,1244
2025-05-08,235.2,224.0,232.31,654539,151545257.5,1444
2025-05-11,242.0,225.0,225.9,334137,77656347.1,845
2025-05-13,230.0,218.1,219.29,221571,49161107.0,651
