Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,9.81,9.62,9.76,4700,45952.0,8
2024-12-04,9.8,9.66,9.8,7004,68505.12,8
2024-12-05,9.8,9.72,9.8,3960,38782.0,7
2024-12-08,9.8,9.67,9.72,2005100,19649801.0,18
2024-12-09,9.81,9.54,9.81,16150,158130.0,7
2024-12-10,9.74,9.5,9.74,2400,23078.0,9
2024-12-11,9.89,9.56,9.75,20300,200701.0,6
2024-12-12,9.8,9.57,9.8,10200,98640.3,9
2024-12-16,9.8,9.61,9.79,7400,71156.0,7
2024-12-17,9.6,9.6,9.6,700,6720.0,3
2024-12-18,9.65,9.55,9.61,12100,115840.0,7
2024-12-19,9.6,9.42,9.6,700,6702.0,3
2024-12-22,9.42,9.26,9.3,24020,224332.8,12
2024-12-23,9.32,9.3,9.32,3400,31654.0,7
2024-12-24,9.56,9.2,9.38,7510,70542.0,9
2024-12-26,9.56,9.42,9.5,7000,66574.0,7
2024-12-29,9.49,9.31,9.41,37100,349165.0,5
2024-12-31,9.6,9.23,9.43,12480,118344.6,19
2025-01-01,9.61,9.5,9.5,7300,70024.0,7
2025-01-02,9.58,9.31,9.58,7000,65897.0,10
2025-01-05,9.5,9.45,9.5,1000,9490.0,3
2025-01-06,9.69,9.5,9.69,28845,279470.05,11
2025-01-07,9.5,9.5,9.5,3200,30400.0,4
2025-01-08,9.45,9.45,9.45,200,1890.0,1
2025-01-09,9.63,9.63,9.63,100,963.0,1
2025-01-12,9.45,9.4,9.45,900,8500.0,4
2025-01-13,9.48,9.3,9.31,1900,17815.0,8
2025-01-15,9.4,9.23,9.35,2270,21194.6,5
2025-01-16,9.24,9.24,9.24,100,924.0,1
2025-01-19,9.37,9.12,9.25,4800,44443.0,8
2025-01-20,9.3,9.15,9.3,8500,78975.0,3
2025-01-21,9.39,9.13,9.22,17454,161559.88,13
2025-01-22,9.56,9.19,9.56,9680,91997.8,14
2025-01-23,9.75,9.36,9.72,3800,36252.0,9
2025-01-26,9.89,9.53,9.53,2100,20493.0,6
2025-01-27,9.44,9.16,9.3,9400,86792.0,14
2025-01-28,9.35,9.28,9.3,230,2138.5,3
