Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,260.6,253.4,256.0,56620,14484867.7,193
2024-12-04,261.1,254.0,255.0,50815,12998562.5,138
2024-12-05,255.8,250.3,252.2,30287,7644507.4,156
2024-12-08,255.0,244.1,245.0,117332,29207929.7,246
2024-12-09,248.0,241.4,244.8,53587,13098956.4,184
2024-12-10,249.4,244.0,246.0,52844,12971280.5,165
2024-12-11,253.9,240.1,252.0,140336,34630410.3,428
2024-12-12,252.0,244.0,245.0,51679,12774764.1,219
2024-12-16,243.9,238.0,238.0,51052,12221876.8,192
2024-12-17,242.0,235.0,238.2,52244,12418648.4,161
2024-12-18,240.0,236.1,239.0,25541,6064005.4,122
2024-12-19,241.0,235.5,236.7,53379,12649176.3,142
2024-12-22,244.4,231.0,233.0,63798,14918508.9,175
2024-12-23,234.9,230.0,234.9,121962,28208349.1,164
2024-12-24,239.0,232.2,234.1,86212,20386015.0,207
2024-12-26,247.0,232.0,236.0,204039,48921522.9,549
2024-12-29,245.0,236.0,238.1,152453,36664794.5,365
2024-12-31,236.9,232.6,233.0,107850,25284607.8,262
2025-01-01,237.6,225.0,232.0,103211,23604613.0,182
2025-01-02,234.2,224.8,230.0,157678,36140428.9,292
2025-01-05,231.0,228.6,230.0,68518,15736825.5,129
2025-01-06,237.5,228.0,237.0,273155,63139218.9,263
2025-01-07,238.6,233.0,238.0,51475,12170974.8,126
2025-01-08,240.0,233.0,233.5,82568,19320379.8,186
2025-01-09,238.1,230.8,234.5,52531,12314592.1,151
2025-01-12,239.1,229.0,229.7,24835,5723658.3,118
2025-01-13,234.2,219.8,226.0,211815,47487848.7,505
2025-01-15,228.8,220.0,223.0,41494,9300289.8,167
2025-01-16,225.9,219.6,225.0,59827,13257715.9,185
2025-01-19,226.0,221.0,226.0,29191,6547588.4,128
2025-01-20,229.3,224.0,227.2,69094,15652559.5,189
2025-01-21,225.0,220.3,223.0,53332,11843160.1,163
2025-01-22,227.4,220.1,227.0,59617,13419325.0,198
2025-01-23,231.5,224.0,224.0,56200,12787510.0,183
2025-01-26,224.9,221.0,222.9,36493,8124109.4,149
2025-01-27,225.0,221.0,222.5,40743,9061257.9,124
2025-01-28,224.9,219.0,223.0,49037,10918710.9,184
2025-02-02,232.0,225.1,232.0,103692,23703693.4,322
2025-02-03,239.0,230.0,231.1,173393,40611302.7,420
2025-02-04,238.7,229.0,231.1,80578,18878361.5,247
2025-02-05,236.4,224.0,231.9,240049,54950093.5,254
2025-02-06,234.5,231.0,233.0,62396,14502995.0,179
2025-02-09,235.0,226.0,226.0,146882,33679311.9,252
2025-02-10,235.1,225.8,227.0,77637,17664326.2,152
2025-02-11,230.0,225.0,226.3,137075,30974724.2,146
2025-02-12,232.0,225.5,228.5,44904,10234191.3,127
2025-02-13,231.5,225.0,229.9,64159,14704442.0,157
2025-02-16,232.8,227.6,227.6,130643,29973875.1,260
2025-02-17,236.5,227.7,234.0,253204,58720213.7,437
2025-02-18,238.6,229.4,234.0,240495,56189739.5,348
2025-02-20,234.8,230.1,232.9,78007,18068079.0,179
2025-02-23,234.6,228.0,233.0,142923,33172948.3,234
2025-02-24,236.0,230.1,231.1,69281,16162395.3,184
2025-02-25,235.0,230.0,230.3,89492,20813764.7,176
2025-02-27,246.9,234.9,240.6,367356,87776989.1,909
2025-03-02,248.0,235.8,247.0,342036,82654811.4,663
2025-03-03,253.9,242.0,244.0,346084,85567744.4,591
2025-03-04,245.3,238.5,241.5,151032,36533829.8,340
2025-03-05,244.9,235.5,236.2,162296,38757996.7,259
2025-03-06,238.8,234.1,237.0,93838,22161989.5,222
2025-03-09,236.0,233.2,234.0,73206,17162857.1,208
2025-03-10,235.8,230.0,232.0,68335,15866485.1,215
2025-03-11,234.5,228.5,229.7,57247,13179415.7,210
2025-03-12,232.2,228.0,230.0,47359,10909214.0,172
2025-03-16,232.4,226.0,227.2,48753,11112006.0,174
2025-03-17,231.8,227.1,228.9,31095,7148624.3,118
2025-03-18,233.4,227.0,228.0,57579,13112874.7,138
2025-03-19,230.9,227.1,228.0,60247,13766043.5,145
2025-03-20,230.5,225.0,228.19,52203,11939365.7,128
2025-03-23,228.8,223.3,223.87,64747,14617056.2,196
2025-03-24,227.0,219.4,225.98,41307,9293752.2,157
2025-03-25,224.9,220.0,220.68,90357,20013368.6,226
2025-03-26,228.0,221.0,224.97,98122,21995794.0,189
2025-03-27,229.5,223.3,228.23,47995,10924641.4,146
2025-03-30,234.5,226.5,228.85,110306,25506420.6,282
2025-04-01,229.5,221.0,225.93,116993,26075709.8,151
2025-04-02,230.4,222.5,227.84,46677,10619801.4,116
2025-04-03,238.6,226.0,230.78,131307,30673989.6,338
2025-04-07,233.0,226.0,226.09,94899,21685969.0,169
2025-04-08,229.0,223.6,228.48,46411,10476800.0,168
2025-04-09,231.0,221.0,226.95,58127,13201138.4,122
2025-04-10,230.0,226.0,226.3,86878,19713163.1,135
2025-04-13,228.9,225.5,225.89,249268,56380212.9,128
2025-04-15,230.0,223.5,227.08,31228,7110160.9,122
2025-04-16,230.6,225.0,227.89,46859,10671366.5,137
2025-04-17,232.5,227.4,230.12,99387,22862535.0,242
2025-04-20,234.0,227.8,228.68,82568,18993680.0,223
2025-04-21,227.4,225.0,225.89,78523,17749308.5,182
2025-04-22,226.8,222.3,222.8,72603,16291667.4,175
2025-04-23,225.0,220.5,222.55,54381,12066233.8,150
2025-04-24,223.9,221.0,223.47,68501,15235775.5,137
2025-04-27,224.0,218.5,219.51,112359,24760683.2,282
2025-04-28,220.0,217.0,217.43,72931,15906156.7,239
2025-04-29,219.7,213.0,213.56,109035,23412782.4,336
2025-04-30,215.0,212.0,212.43,64532,13750036.5,206
2025-05-04,216.6,213.0,213.99,59959,12854589.2,212
2025-05-05,214.5,210.8,211.36,48272,10222015.0,157
2025-05-06,213.5,211.2,211.79,42454,9007346.0,145
2025-05-07,220.5,210.0,218.41,90329,19484062.4,214
2025-05-08,222.0,215.3,217.45,69997,15231527.8,210
2025-05-11,217.9,210.9,212.39,86699,18519472.2,241
2025-05-13,216.6,212.0,212.33,45249,9650945.3,148
2025-05-14,213.5,211.0,211.55,31502,6676903.8,126
2025-05-15,214.3,208.6,211.18,50649,10686668.0,180
2025-05-18,214.0,209.1,211.96,66316,14024952.0,164
2025-05-19,216.0,211.5,213.4,80901,17296400.0,179
2025-05-20,223.0,210.3,218.77,66597,14527391.3,193
2025-05-21,232.0,217.0,219.52,412192,90208592.1,384
2025-05-22,232.0,215.4,230.84,263711,59789549.3,577
2025-05-25,235.4,224.8,227.93,294951,67687706.5,384
2025-05-26,240.0,225.5,226.85,179222,41255105.8,403
2025-05-27,231.2,223.5,228.27,57541,13105244.5,132
2025-05-28,236.0,226.0,234.82,112443,26029536.5,327
2025-06-02,239.5,229.0,230.33,138797,32396749.4,353
2025-06-03,230.0,222.0,222.45,124969,28022531.0,252
2025-06-04,225.0,218.0,220.16,100422,22216613.8,249
2025-06-05,222.0,216.5,217.46,93104,20341388.6,281
2025-06-08,220.0,216.6,217.01,237220,52108681.3,175
2025-06-09,219.5,216.1,216.48,62412,13564374.5,166
2025-06-10,220.7,215.5,219.56,168117,36558489.0,293
2025-06-11,222.0,216.0,218.32,82423,17931852.1,183
2025-06-12,220.0,215.0,217.02,138212,29881518.1,231
2025-06-15,218.9,215.1,216.81,50751,10968017.3,120
2025-06-16,219.0,216.0,218.26,65567,14242602.5,160
2025-06-17,223.0,213.9,218.32,56071,12280979.4,131
2025-06-18,220.1,216.7,217.29,70886,15446277.9,150
2025-06-19,220.0,215.5,215.93,53802,11651625.9,162
2025-06-22,220.0,212.1,213.63,80383,17280081.2,219
2025-06-23,215.0,212.0,213.63,50380,10746727.1,163
2025-06-24,221.3,215.1,216.28,63229,13760138.7,198
2025-06-25,218.0,215.0,217.2,31544,6844168.1,114
2025-06-26,218.0,215.5,217.12,32838,7114474.5,116
2025-06-29,222.7,215.0,221.61,59849,13112320.1,179
2025-06-30,226.0,219.0,220.75,54776,12078153.8,150
2025-07-01,223.0,218.0,221.05,65715,14455962.6,176
2025-07-02,227.0,220.1,225.44,95352,21349887.1,242
2025-07-03,229.9,225.0,226.76,97923,22156333.6,261
2025-07-06,230.0,225.0,228.04,80259,18351746.8,207
2025-07-07,229.0,223.5,225.79,76232,17347208.6,190
2025-07-08,228.0,222.1,226.32,66284,14952342.6,208
2025-07-09,233.0,226.6,232.76,110345,25479374.1,294
2025-07-10,244.8,233.4,240.94,371357,89470375.6,1002
2025-07-13,260.0,245.0,249.57,468706,117152530.0,1147
2025-07-14,252.0,242.0,242.63,299218,73072907.9,628
