Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,758.0,727.0,729.1,169602,124597485.2,811
2024-12-04,746.5,732.1,736.5,98747,72988887.4,514
2024-12-05,740.0,721.9,728.6,36567,26827074.6,261
2024-12-08,735.0,710.0,713.9,41146,29532087.6,302
2024-12-09,728.1,707.0,709.0,41474,29564997.2,251
2024-12-10,717.0,704.2,706.0,28256,20022219.3,254
2024-12-11,718.0,701.2,718.0,25691,18224171.7,179
2024-12-12,718.0,704.0,706.0,38550,27468265.6,248
2024-12-16,728.0,700.0,720.0,94079,67377721.6,388
2024-12-17,735.0,720.0,730.0,103364,75499617.5,571
2024-12-18,739.0,720.0,728.0,83189,60860760.2,327
2024-12-19,730.0,715.0,715.3,47907,34541389.3,323
2024-12-22,726.0,705.0,719.5,44097,31610647.3,259
2024-12-23,721.0,718.0,718.2,37631,27063275.3,248
2024-12-24,731.6,718.2,728.2,118654,86306627.3,686
2024-12-26,650.0,623.0,624.0,33595,21249574.5,278
2024-12-29,625.0,605.0,608.0,24123,14726137.2,216
2024-12-31,619.0,590.0,597.9,28526,17005569.7,213
2025-01-01,600.0,586.0,586.6,21223,12535527.7,148
2025-01-02,594.9,585.0,589.7,20072,11808299.7,145
2025-01-05,600.0,585.0,586.2,14482,8532495.5,140
2025-01-06,609.0,590.0,604.0,21869,13180144.5,184
2025-01-07,607.9,600.0,604.0,29363,17719970.0,164
2025-01-08,621.0,601.8,620.0,19896,12161427.2,202
2025-01-09,624.5,610.0,620.0,25471,15746908.6,202
2025-01-12,629.5,612.5,614.0,19364,11909504.9,130
2025-01-13,622.0,610.0,611.0,15481,9476379.4,149
2025-01-15,623.0,604.0,607.0,25323,15459029.4,153
2025-01-16,610.0,600.3,602.0,25413,15349761.4,183
2025-01-19,606.0,599.0,600.0,25047,15046898.2,175
2025-01-20,610.9,598.4,600.0,42443,25587445.5,183
2025-01-21,609.7,595.3,596.0,15549,9316643.2,129
2025-01-22,615.0,600.0,602.7,42785,25861732.1,243
2025-01-23,612.0,601.2,604.0,39444,23885670.6,191
2025-01-26,605.0,595.0,595.0,69012,41275299.9,319
2025-01-27,652.0,595.0,629.9,434775,263673594.1,932
2025-01-28,680.0,620.0,640.0,218725,138119282.7,704
2025-02-02,638.0,623.0,627.0,255499,160481324.2,886
2025-02-03,646.0,612.0,619.0,190304,118245768.1,710
2025-02-04,620.0,608.0,609.0,97950,59831797.0,377
2025-02-05,628.3,608.0,615.0,83420,51304648.9,345
2025-02-06,627.3,609.5,613.0,104094,64189919.2,412
2025-02-09,622.0,596.0,600.0,94205,57125245.1,444
2025-02-10,611.7,595.6,595.8,67141,40192672.5,350
2025-02-11,607.7,595.0,595.0,71462,42683092.8,318
2025-02-12,610.0,595.0,599.0,56898,34271953.3,280
2025-02-13,609.0,595.2,596.0,41115,24582218.4,234
2025-02-16,607.8,597.0,597.8,51554,30872636.1,330
2025-02-17,605.0,598.4,598.7,67519,40534287.9,385
2025-02-18,609.0,597.0,599.0,74701,44943397.2,327
2025-02-20,610.9,598.0,598.2,70802,42500166.0,309
2025-02-23,603.0,592.1,601.0,68704,41119936.6,307
2025-02-24,604.0,598.0,598.0,103761,62279200.3,374
2025-02-25,601.9,596.5,600.0,38659,23169082.2,223
2025-02-27,610.0,598.1,603.5,53137,31964650.9,301
2025-03-02,627.9,609.0,623.0,71317,44110332.3,458
2025-03-03,632.0,619.0,619.0,75344,47020334.1,462
2025-03-04,627.0,605.0,605.0,70540,43269163.7,355
2025-03-05,610.0,600.0,607.0,70391,42598284.0,301
2025-03-06,612.0,595.0,606.4,41289,24984758.7,254
2025-03-09,607.0,596.0,601.0,32644,19658952.1,216
2025-03-10,605.0,595.1,595.1,29843,17887539.7,221
2025-03-11,602.0,590.2,594.5,19015,11323861.1,167
2025-03-12,601.0,595.0,600.0,17927,10732210.6,167
2025-03-16,600.0,592.3,596.0,42954,25581301.9,234
2025-03-17,604.0,591.0,591.0,14805,8775581.4,149
2025-03-18,597.0,590.1,590.1,19202,11373792.6,141
2025-03-19,598.0,589.3,589.3,22352,13200366.4,158
2025-03-20,592.0,586.1,590.03,16764,9889347.3,133
2025-03-23,589.7,578.2,579.6,22208,12954236.45,222
2025-03-24,583.8,571.2,581.11,15557,9003285.5,139
2025-03-25,581.0,566.1,569.25,29647,16969683.4,213
2025-03-26,590.0,570.0,576.06,17936,10298275.6,137
2025-03-27,587.9,575.2,582.95,17275,10011999.4,138
2025-03-30,591.6,575.1,585.5,40815,23951196.3,338
2025-04-01,586.0,580.0,585.84,24115,14051541.1,194
2025-04-02,595.0,581.0,588.15,40384,23838216.9,210
2025-04-03,614.0,580.0,590.82,272011,165071945.3,459
2025-04-07,602.6,584.0,584.83,52030,30671433.5,271
2025-04-08,583.9,575.0,580.15,38128,22068719.2,234
2025-04-09,588.0,576.3,579.14,21019,12218992.9,169
2025-04-10,583.0,575.2,578.57,24846,14357252.6,179
2025-04-13,587.7,571.0,583.68,50324,28986524.9,275
2025-04-15,592.0,580.0,583.13,28712,16766874.4,168
2025-04-16,590.0,573.0,588.31,52558,30626936.4,246
2025-04-17,603.5,588.5,591.11,49579,29529788.0,305
2025-04-20,599.0,583.0,584.33,27555,16248531.9,191
2025-04-21,591.0,578.2,583.29,20350,11920188.0,148
2025-04-22,588.0,571.7,578.51,111964,64937099.7,262
2025-04-23,580.0,569.2,574.13,87372,50087787.6,270
