Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,493.0,464.0,480.0,66856,32255954.1,599
2024-12-04,519.0,480.0,487.0,75831,38310514.2,665
2024-12-05,513.5,483.1,490.0,59439,29427959.6,430
2024-12-08,510.0,480.3,499.0,61754,30564049.7,497
2024-12-09,506.0,491.1,497.1,45329,22662245.5,387
2024-12-10,506.9,493.0,502.0,32313,16234035.4,289
2024-12-11,550.0,497.0,530.3,45613,23854567.0,535
2024-12-12,559.0,519.7,554.0,51876,28140120.3,497
2024-12-16,570.0,525.0,525.2,41573,22003743.0,336
2024-12-17,558.0,516.0,550.0,65892,35207102.1,445
2024-12-18,582.6,539.0,577.3,57354,31814876.3,450
2024-12-19,588.8,532.2,539.0,78314,43034822.4,351
2024-12-22,535.0,505.0,506.0,79541,40914422.5,460
2024-12-23,540.0,496.0,533.9,53889,28021582.0,390
2024-12-24,542.0,513.0,518.0,48505,25612626.2,401
2024-12-26,516.0,500.2,508.0,52385,26518660.1,326
2024-12-29,519.1,497.9,508.8,36416,18513485.9,245
2024-12-31,518.9,482.1,514.0,49414,24406758.5,277
2025-01-01,524.2,493.6,504.1,67401,34164209.7,294
2025-01-02,513.0,494.1,503.0,19533,9777636.8,172
2025-01-05,511.0,498.0,506.5,33348,16785033.3,244
2025-01-06,550.0,500.0,550.0,96600,51619652.3,618
2025-01-07,583.0,539.0,565.9,73322,40410350.1,513
2025-01-08,602.0,543.4,602.0,114616,64624667.7,598
2025-01-09,598.0,550.0,551.1,105865,59467768.7,495
2025-01-12,562.1,529.2,541.9,36477,19522064.2,229
2025-01-13,571.0,517.0,571.0,75386,40157317.5,367
2025-01-15,559.6,530.0,538.1,35012,19113174.2,226
2025-01-16,550.0,535.3,542.0,32266,17482469.1,256
2025-01-19,563.0,532.0,558.0,56486,31435871.0,378
2025-01-20,566.0,548.1,560.0,54837,30751420.3,342
2025-01-21,580.0,549.0,570.1,88853,50541429.9,472
2025-01-22,590.0,565.0,573.9,68600,39728892.2,411
2025-01-23,597.0,565.0,577.0,53342,30595712.0,400
2025-01-26,588.5,569.0,578.8,71120,41172775.7,424
2025-01-27,590.0,570.0,582.0,64647,37562025.4,474
2025-01-28,617.5,570.4,603.0,138066,82769516.9,682
2025-02-02,627.0,578.0,592.0,94662,56225319.5,628
2025-02-03,607.0,561.0,605.0,115954,66484547.3,581
2025-02-04,610.0,570.1,577.0,95694,55607661.4,527
2025-02-05,588.5,560.6,569.9,67413,38244351.7,433
2025-02-06,582.0,560.0,579.0,65656,37390634.5,384
2025-02-09,589.9,568.0,570.0,61613,35731477.7,395
2025-02-10,587.8,555.0,587.8,72553,41206865.4,423
2025-02-11,584.2,569.4,576.7,54519,31373218.8,342
2025-02-12,581.0,570.0,570.0,41695,23952780.5,286
2025-02-13,579.9,561.2,564.4,31623,17902017.3,260
