Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,580.0,561.1,568.0,34693,19813351.2,264
2024-12-04,580.0,559.0,565.0,56392,32208004.9,303
2024-12-05,575.0,546.0,550.0,48170,26965658.5,247
2024-12-08,570.0,546.0,548.0,51245,28606093.9,297
2024-12-09,560.0,550.0,552.0,42418,23518911.8,243
2024-12-10,562.0,545.0,550.0,22992,12678497.6,157
2024-12-11,557.0,546.0,557.0,27764,15342777.0,156
2024-12-12,569.0,553.0,560.0,45299,25444472.5,270
2024-12-16,556.0,529.0,534.9,38175,20567392.0,253
2024-12-17,540.0,526.1,529.9,24227,12876443.0,172
2024-12-18,539.0,520.0,525.0,16587,8754271.8,125
2024-12-19,529.7,512.0,515.0,34742,18012757.6,210
2024-12-22,525.0,507.1,513.0,25496,13122896.2,159
2024-12-23,530.0,512.6,525.0,12181,6346587.1,104
2024-12-24,534.5,525.0,526.9,23197,12293536.6,150
2024-12-26,525.1,512.1,515.0,18393,9544237.9,116
2024-12-29,529.3,507.1,529.3,33282,17036628.3,146
2024-12-31,539.8,498.0,529.0,31035,15771853.9,199
2025-01-01,528.0,510.1,521.9,8100,4195653.5,53
2025-01-02,532.3,513.0,528.0,17314,9097037.2,96
2025-01-05,540.0,525.0,534.8,31202,16567515.5,179
2025-01-06,554.1,534.8,549.7,39115,21379255.8,260
2025-01-07,560.6,538.0,555.0,40693,22447639.2,244
2025-01-08,565.0,550.0,563.0,68578,38456810.4,347
2025-01-09,575.0,551.9,560.0,53597,30265035.5,314
2025-01-12,570.0,550.0,560.0,21550,11963510.1,119
2025-01-13,563.0,532.4,550.0,41994,22815722.8,223
2025-01-15,560.0,545.0,550.0,28457,15717240.3,173
2025-01-16,587.0,539.0,565.4,93763,53610182.0,505
2025-01-19,594.6,567.6,591.9,131151,77010405.6,687
2025-01-20,603.7,577.0,577.0,102191,60078680.9,579
2025-01-21,585.0,560.0,568.0,46016,26415704.1,292
2025-01-22,590.0,557.0,579.0,53326,30992621.1,303
2025-01-23,594.0,580.0,581.5,60798,35716407.6,365
2025-01-26,610.0,587.1,603.0,128873,77155573.0,698
2025-01-27,615.0,593.9,593.9,101168,60739671.0,451
2025-01-28,615.1,595.0,606.0,100128,60921115.1,508
2025-02-02,617.9,588.0,594.0,99205,59527230.5,498
2025-02-03,605.8,582.9,592.0,68008,40541794.1,400
2025-02-04,605.0,580.2,595.0,57060,34136895.6,318
2025-02-05,628.0,590.0,620.0,126670,78328903.1,730
2025-02-06,632.0,613.0,619.0,73174,45362429.6,400
2025-02-09,624.9,600.3,604.9,55986,34168058.7,341
2025-02-10,614.5,590.1,590.1,53638,32217045.1,341
2025-02-11,607.0,580.2,597.6,59591,35564161.4,293
2025-02-12,608.9,590.0,594.9,37461,22410253.5,260
2025-02-13,605.0,583.1,586.6,36362,21457957.9,233
2025-02-16,594.0,575.6,588.0,43288,25407418.5,299
2025-02-17,594.0,583.0,587.0,60623,35718344.7,306
2025-02-18,598.6,575.5,580.0,65745,38230167.6,310
2025-02-20,590.0,570.0,589.9,47674,27862292.5,305
2025-02-23,591.0,567.0,584.9,47268,27527601.7,285
2025-02-24,594.0,575.0,579.0,40057,23381141.5,287
2025-02-25,586.5,570.3,580.0,36435,21116095.7,192
2025-02-27,599.0,581.0,592.0,44993,26490723.0,269
2025-03-02,599.0,590.0,594.0,48072,28487448.5,310
2025-03-03,607.9,583.0,585.0,60308,35978338.9,373
2025-03-04,594.0,575.0,579.0,37239,21615740.5,349
2025-03-05,583.9,568.0,571.9,45070,25867399.7,285
2025-03-06,577.0,562.3,566.0,42765,24248965.2,294
2025-03-09,575.0,554.0,564.0,36602,20571010.8,221
2025-03-10,571.0,555.0,558.9,21765,12159006.9,206
2025-03-11,557.0,540.0,540.6,40877,22365030.8,300
2025-03-12,550.0,529.8,548.0,63659,34496836.8,197
2025-03-16,566.0,546.0,564.0,24899,13784586.7,178
2025-03-17,576.0,555.1,562.1,43477,24749307.6,212
2025-03-18,571.9,551.2,557.7,23907,13350962.3,144
2025-03-19,561.0,550.0,557.9,30441,16823645.7,137
2025-03-20,555.0,540.1,547.49,17151,9382590.2,114
2025-03-23,550.0,526.0,529.97,55952,30291145.3,194
2025-03-24,545.0,526.5,538.29,19872,10702030.7,163
2025-03-25,540.0,521.0,524.92,43208,22765183.4,169
2025-03-26,536.0,522.3,530.85,16997,9008199.1,118
2025-03-27,549.0,530.0,538.29,12681,6837330.1,100
2025-03-30,555.0,530.2,540.61,32795,17896916.4,199
2025-04-01,546.0,532.0,541.63,35941,19315427.1,155
2025-04-02,564.8,545.0,554.88,34702,19301301.2,212
2025-04-03,557.0,541.0,546.24,28778,15776582.9,152
2025-04-07,555.0,535.3,536.48,44300,24001474.0,211
2025-04-08,569.0,524.3,558.17,58571,31518110.4,219
2025-04-09,569.0,545.0,559.25,65718,36542215.1,261
2025-04-10,584.7,558.0,580.77,121294,69111328.5,507
2025-04-13,587.0,569.2,570.44,68186,39231281.4,304
2025-04-15,579.0,564.0,566.86,23981,13698044.8,156
2025-04-16,578.0,560.0,563.98,35420,20024739.5,176
2025-04-17,570.0,560.0,563.69,70000,39456176.4,226
2025-04-20,567.0,551.0,555.02,27290,15181455.7,156
2025-04-21,566.1,551.0,555.5,32010,17890498.2,158
2025-04-22,565.0,553.2,557.55,20740,11586967.2,93
2025-04-23,564.0,543.0,545.59,25964,14243069.2,131
2025-04-24,550.0,541.3,543.34,21023,11441017.7,126
2025-04-27,550.0,536.7,539.93,26299,14278586.0,152
2025-04-28,545.0,534.0,534.73,22927,12303394.3,157
2025-04-29,543.0,534.8,537.44,15172,8160572.5,100
2025-04-30,541.0,525.0,529.92,21447,11412592.5,139
2025-05-04,536.0,528.0,530.6,19004,10098318.5,136
2025-05-05,551.0,524.0,525.27,19759,10436727.0,147
2025-05-06,537.0,525.0,525.92,23275,12334058.4,126
2025-05-07,547.0,525.0,537.12,15281,8230619.7,126
2025-05-08,547.8,533.2,534.84,38720,20841721.9,183
2025-05-11,545.0,525.0,526.74,28049,14916032.0,157
2025-05-13,532.0,517.0,519.83,20706,10849067.4,137
2025-05-14,520.0,503.0,506.25,30446,15547334.3,190
2025-05-15,516.09,506.0,507.56,11781,5990432.6,115
2025-05-18,515.0,497.0,499.2,17391,8715071.7,169
2025-05-19,503.0,491.0,495.13,18956,9406633.2,146
2025-05-20,517.0,486.3,508.0,14352,7154333.5,141
2025-05-21,525.1,498.1,499.48,21882,11132727.6,190
2025-05-22,509.0,497.0,501.31,15584,7813626.5,126
2025-05-25,506.0,495.0,496.4,5750,2867106.5,67
2025-05-26,516.0,490.7,495.34,17591,8764886.5,108
2025-05-27,503.0,490.0,491.92,10129,5005498.5,81
2025-05-28,508.0,490.0,503.7,21219,10562247.1,139
2025-06-02,513.7,494.9,496.87,9943,4978070.1,125
2025-06-03,505.0,490.0,496.23,7406,3667302.0,62
2025-06-04,506.0,491.0,491.47,4660,2292000.7,53
2025-06-05,497.0,490.0,491.35,8114,3995833.5,90
2025-06-08,492.0,481.0,483.77,17884,8703754.1,130
2025-06-09,505.0,475.5,499.32,17999,8948035.4,129
2025-06-10,510.0,500.0,500.24,15040,7579513.1,106
2025-06-11,499.0,483.5,496.4,23180,11373860.4,123
2025-06-12,520.0,498.0,512.13,39154,20090903.9,260
2025-06-15,511.7,503.1,508.39,20068,10194279.8,106
2025-06-16,534.0,505.0,514.7,32543,16957724.0,255
2025-06-17,523.0,505.3,507.27,12993,6660075.0,96
2025-06-18,514.0,495.0,501.46,22653,11338630.6,145
2025-06-19,510.0,498.3,503.4,13964,7055424.4,103
2025-06-22,504.9,490.0,490.36,19150,9514294.2,112
2025-06-23,498.4,488.2,496.6,9272,4554990.0,77
2025-06-24,520.0,498.0,503.93,18853,9513118.5,118
2025-06-25,540.0,501.0,532.1,46947,24557367.6,330
2025-06-26,559.9,533.8,535.61,91199,49738329.8,485
2025-06-29,544.0,525.0,527.92,43369,23025602.7,239
2025-06-30,540.0,523.1,528.71,40181,21246011.2,151
2025-07-01,535.0,519.0,522.93,36182,18980171.7,191
2025-07-02,534.4,516.1,529.8,36359,19258403.2,210
2025-07-03,555.0,528.0,549.71,79661,43472455.4,461
2025-07-06,555.0,528.0,531.66,34496,18586987.8,270
2025-07-07,540.0,520.0,521.82,26361,13918297.1,161
2025-07-08,525.0,509.6,517.36,29853,15466774.7,152
2025-07-09,535.0,509.0,528.06,17958,9450827.0,142
2025-07-10,538.0,520.0,525.27,27040,14229576.4,195
2025-07-13,532.0,516.0,517.45,20918,10904183.9,207
2025-07-14,524.9,507.0,511.33,26576,13631440.4,195
2025-07-15,520.0,507.2,517.05,18053,9308569.7,134
2025-07-16,537.0,518.0,520.1,29724,15596829.4,178
2025-07-17,550.8,509.7,544.09,57235,31090356.9,295
2025-07-20,554.9,534.0,535.41,48635,26399704.2,324
2025-07-21,544.9,529.0,531.92,45317,24351185.4,241
2025-07-22,552.0,538.1,550.49,57994,31769173.7,354
2025-07-23,559.8,537.0,548.12,56931,31345344.4,323
2025-07-24,563.0,544.0,560.03,78107,43624814.0,384
2025-07-27,570.0,542.0,547.43,69541,38661711.3,421
2025-07-28,600.0,542.5,596.46,241865,138271031.4,1028
