Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,9.65,9.5,9.6,29600,284208.0,44
2024-12-04,9.75,9.5,9.75,64050,618628.5,37
2024-12-05,9.7,9.46,9.5,29045,276335.7,19
2024-12-08,9.61,9.4,9.55,38700,366408.0,42
2024-12-09,9.55,9.36,9.4,33170,311827.0,32
2024-12-10,9.46,9.24,9.33,27600,257825.5,30
2024-12-11,9.53,9.15,9.53,76488,721434.1,39
2024-12-12,9.91,9.3,9.32,70474,670792.6,52
2024-12-16,9.65,9.12,9.16,30525,281015.7,46
2024-12-17,9.66,9.0,9.59,69661,641659.45,43
2024-12-18,9.78,9.19,9.2,17956,167953.54,36
2024-12-19,9.53,9.02,9.02,67757,616748.26,42
2024-12-22,9.35,8.85,9.29,41446,379272.55,45
2024-12-23,9.65,9.28,9.48,67796,641408.44,38
2024-12-24,9.66,9.11,9.39,48650,452415.5,44
2024-12-26,9.57,9.13,9.34,4600,42482.0,19
2024-12-29,9.65,9.0,9.4,64380,593823.0,57
2024-12-31,9.55,8.94,9.35,15750,143745.5,29
2025-01-01,9.59,8.92,9.38,9650,89157.5,31
2025-01-02,9.55,9.08,9.31,8350,77363.5,32
2025-01-05,9.31,9.13,9.15,57920,530154.0,31
2025-01-06,9.18,9.0,9.1,16150,146869.5,34
2025-01-07,9.15,9.0,9.13,28250,256656.5,32
2025-01-08,9.19,9.01,9.06,29870,271534.2,26
2025-01-09,9.21,8.88,9.1,77788,704010.44,41
2025-01-12,9.23,9.05,9.23,30776,281649.3,28
2025-01-13,9.19,8.95,9.0,45650,411187.66,40
2025-01-15,9.37,8.86,9.1,44355,401733.0,47
2025-01-16,9.27,9.0,9.11,12080,109369.4,36
2025-01-19,9.29,8.96,9.01,27650,250294.5,49
2025-01-20,9.3,9.01,9.15,48700,445861.0,39
2025-01-21,9.18,8.98,9.18,9200,83479.0,16
2025-01-22,9.3,9.02,9.08,24000,219462.0,34
2025-01-23,9.2,8.93,9.1,26000,235116.0,55
2025-01-26,9.45,8.96,9.2,21724,199034.69,37
2025-01-27,9.56,9.0,9.18,34339,317355.48,90
2025-01-28,9.34,8.91,9.17,30650,276611.4,42
2025-02-02,9.36,9.0,9.03,35139,321829.02,78
2025-02-03,9.37,9.03,9.25,43484,396761.05,43
2025-02-04,9.31,8.91,9.0,30812,279150.5,39
2025-02-05,9.18,9.0,9.07,29406,267203.88,42
2025-02-06,9.18,9.0,9.18,11200,101196.0,19
2025-02-09,9.15,9.01,9.11,20689,187211.43,29
2025-02-10,9.15,9.01,9.08,75665,688497.5,37
2025-02-11,9.18,9.01,9.11,74081,670439.81,43
