Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,34.0,34.0,34.0,0,0.0,0
2024-12-04,34.0,34.0,34.0,0,0.0,0
2024-12-05,34.0,34.0,34.0,0,0.0,0
2024-12-08,34.0,34.0,34.0,0,0.0,0
2024-12-09,34.0,34.0,34.0,0,0.0,0
2024-12-10,34.0,34.0,34.0,0,0.0,0
2024-12-11,34.0,34.0,34.0,0,0.0,0
2024-12-12,34.0,34.0,34.0,0,0.0,0
2024-12-16,34.0,34.0,34.0,0,0.0,0
2024-12-17,34.0,34.0,34.0,0,0.0,0
2024-12-18,34.0,34.0,34.0,0,0.0,0
2024-12-19,34.0,34.0,34.0,0,0.0,0
2024-12-22,34.0,34.0,34.0,0,0.0,0
2024-12-23,34.0,34.0,34.0,0,0.0,0
2024-12-24,34.0,34.0,34.0,0,0.0,0
2024-12-26,34.0,34.0,34.0,0,0.0,0
2024-12-29,34.0,34.0,34.0,0,0.0,0
2024-12-31,34.0,34.0,34.0,0,0.0,0
2025-01-01,34.0,34.0,34.0,0,0.0,0
2025-01-02,34.0,34.0,34.0,0,0.0,0
2025-01-05,34.0,34.0,34.0,0,0.0,0
2025-01-06,34.0,34.0,34.0,0,0.0,0
2025-01-07,34.0,34.0,34.0,0,0.0,0
2025-01-08,34.0,34.0,34.0,0,0.0,0
2025-01-09,34.0,34.0,34.0,0,0.0,0
2025-01-12,34.0,34.0,34.0,0,0.0,0
2025-01-13,34.0,34.0,34.0,0,0.0,0
2025-01-15,34.0,34.0,34.0,0,0.0,0
2025-01-16,34.0,34.0,34.0,0,0.0,0
2025-01-19,34.0,34.0,34.0,0,0.0,0
2025-01-20,34.0,34.0,34.0,0,0.0,0
2025-01-21,34.0,34.0,34.0,0,0.0,0
2025-01-22,34.0,34.0,34.0,0,0.0,0
2025-01-23,34.0,34.0,34.0,0,0.0,0
2025-01-26,34.0,34.0,34.0,0,0.0,0
2025-01-27,34.0,34.0,34.0,0,0.0,0
2025-01-28,34.0,34.0,34.0,0,0.0,0
2025-02-02,34.0,34.0,34.0,0,0.0,0
2025-02-03,34.0,34.0,34.0,0,0.0,0
2025-02-04,34.0,34.0,34.0,0,0.0,0
2025-02-05,34.0,34.0,34.0,0,0.0,0
2025-02-06,34.0,34.0,34.0,0,0.0,0
2025-02-09,34.0,34.0,34.0,0,0.0,0
2025-02-10,34.0,34.0,34.0,0,0.0,0
2025-02-11,34.0,34.0,34.0,0,0.0,0
2025-02-12,34.0,34.0,34.0,0,0.0,0
2025-02-13,34.0,34.0,34.0,0,0.0,0
2025-02-16,34.0,34.0,34.0,0,0.0,0
2025-02-17,34.0,34.0,34.0,0,0.0,0
2025-02-18,34.0,34.0,34.0,0,0.0,0
2025-02-20,34.0,34.0,34.0,0,0.0,0
2025-02-23,34.0,34.0,34.0,0,0.0,0
2025-02-24,34.0,34.0,34.0,0,0.0,0
2025-02-25,34.0,34.0,34.0,0,0.0,0
2025-02-27,34.0,34.0,34.0,0,0.0,0
2025-03-02,34.0,34.0,34.0,0,0.0,0
2025-03-03,34.0,34.0,34.0,0,0.0,0
2025-03-04,34.0,34.0,34.0,0,0.0,0
2025-03-05,34.0,34.0,34.0,0,0.0,0
2025-03-06,34.0,34.0,34.0,0,0.0,0
2025-03-09,34.0,34.0,34.0,0,0.0,0
2025-03-10,34.0,34.0,34.0,0,0.0,0
2025-03-11,34.0,34.0,34.0,0,0.0,0
2025-03-12,34.0,34.0,34.0,0,0.0,0
2025-03-16,34.0,34.0,34.0,0,0.0,0
2025-03-17,34.0,34.0,34.0,0,0.0,0
2025-03-18,34.0,34.0,34.0,0,0.0,0
2025-03-19,34.0,34.0,34.0,0,0.0,0
2025-03-20,34.0,34.0,34.0,0,0.0,0
2025-03-23,34.0,34.0,34.0,0,0.0,0
2025-03-24,34.0,34.0,34.0,0,0.0,0
2025-03-25,34.0,34.0,34.0,0,0.0,0
2025-03-26,34.0,34.0,34.0,0,0.0,0
2025-03-27,34.0,34.0,34.0,0,0.0,0
2025-03-30,34.0,34.0,34.0,0,0.0,0
2025-04-01,34.0,34.0,34.0,0,0.0,0
2025-04-02,34.0,34.0,34.0,0,0.0,0
2025-04-03,34.0,34.0,34.0,0,0.0,0
2025-04-07,34.0,34.0,34.0,0,0.0,0
2025-04-08,34.0,34.0,34.0,0,0.0,0
2025-04-09,34.0,34.0,34.0,0,0.0,0
2025-04-10,34.0,34.0,34.0,0,0.0,0
2025-04-13,34.0,34.0,34.0,0,0.0,0
2025-04-15,34.0,34.0,34.0,0,0.0,0
2025-04-16,34.0,34.0,34.0,0,0.0,0
2025-04-17,34.0,34.0,34.0,0,0.0,0
2025-04-20,34.0,34.0,34.0,0,0.0,0
2025-04-21,34.0,34.0,34.0,0,0.0,0
2025-04-22,34.0,34.0,34.0,0,0.0,0
