Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,744.0,729.0,729.1,19055,13992921.0,113
2024-12-04,770.0,726.0,752.4,30094,22559615.3,207
2024-12-05,773.0,743.0,749.0,28044,21061351.0,164
2024-12-08,763.9,734.8,740.0,15875,11816138.4,97
2024-12-09,753.0,729.0,735.0,26020,19207524.4,119
2024-12-10,749.0,730.5,737.0,13987,10354243.2,93
2024-12-11,762.9,737.0,762.9,24877,18689971.0,110
2024-12-12,770.5,748.1,754.8,10126,7665201.4,73
2024-12-16,757.0,729.0,736.0,54599,40228031.8,142
2024-12-17,742.0,728.0,733.0,11047,8119398.8,78
2024-12-18,746.0,725.0,725.0,10236,7473924.1,65
2024-12-19,739.5,710.6,715.0,20405,14688646.6,84
2024-12-22,742.9,701.5,742.0,40412,28598384.4,144
2024-12-23,754.8,670.0,754.8,11452,7984571.4,85
2024-12-24,753.0,710.7,725.0,23542,17032117.6,120
2024-12-26,739.0,703.0,727.0,10615,7603800.1,69
2024-12-29,720.0,702.4,710.0,3684,2595429.0,47
2024-12-31,709.6,695.0,709.0,8667,6077292.2,56
2025-01-01,714.9,695.1,700.0,5514,3880773.9,36
2025-01-02,710.0,691.6,705.0,5180,3637093.9,37
2025-01-05,735.0,708.0,735.0,18662,13584222.4,139
2025-01-06,793.0,722.2,780.0,139071,102587981.2,311
2025-01-07,828.0,764.4,820.1,76070,61367027.4,444
2025-01-08,849.9,805.0,840.1,30422,25362044.0,256
2025-01-09,854.0,811.0,849.0,27662,23231652.6,275
2025-01-12,857.9,832.1,845.1,29606,25208565.5,246
2025-01-13,858.0,837.0,851.0,37689,31990474.1,181
2025-01-15,906.0,866.0,903.9,59070,52783682.2,358
2025-01-16,921.0,890.0,907.6,31691,28588002.6,231
2025-01-19,922.0,878.2,889.9,47077,42002171.0,321
2025-01-20,920.0,886.0,898.0,33469,30231869.4,278
2025-01-21,914.0,883.0,891.0,20384,18145731.4,166
2025-01-22,925.3,885.0,925.3,57001,51607245.5,328
2025-01-23,940.0,885.0,930.0,28365,25813111.9,253
2025-01-26,920.0,850.0,850.0,52159,45710069.6,297
2025-01-27,877.0,804.1,804.1,59705,49780648.8,375
2025-01-28,829.8,783.1,790.0,84362,67047655.6,414
2025-02-02,850.0,790.0,840.0,57489,46640263.3,300
2025-02-03,840.0,824.0,830.0,45658,38010656.6,225
2025-02-04,840.1,820.0,833.0,28875,24083086.9,169
2025-02-05,835.0,822.5,827.2,31627,26220190.8,131
2025-02-06,843.7,812.1,822.0,40437,33272719.3,124
2025-02-09,835.0,816.0,827.0,46571,38273112.3,198
2025-02-10,845.0,813.2,836.0,18502,15511930.5,136
2025-02-11,892.0,840.0,892.0,52245,45281602.4,291
2025-02-12,914.9,883.0,896.0,37402,33391088.7,197
