Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,250.0,235.0,249.0,693207,168604661.2,2042
2024-12-04,254.0,239.7,242.0,504328,124782480.0,1463
2024-12-05,246.7,233.0,234.9,258757,61515062.9,799
2024-12-08,235.0,224.0,224.0,249136,56861202.3,682
2024-12-09,230.8,223.6,226.0,126920,28714466.7,430
2024-12-10,230.5,222.5,224.2,90925,20472622.3,277
2024-12-11,229.0,220.0,229.0,96028,21691391.5,340
2024-12-12,231.5,222.5,223.5,130847,29486922.5,380
2024-12-16,232.4,219.2,232.4,145915,32230571.3,506
2024-12-17,227.8,220.0,223.0,154611,34433854.4,569
2024-12-18,227.4,218.9,219.0,95208,21012655.5,364
2024-12-19,220.8,216.0,216.8,139364,30348966.2,482
2024-12-22,221.0,213.7,214.0,119808,25914878.6,421
2024-12-23,220.4,214.0,217.6,84627,18448549.2,297
2024-12-24,221.1,217.0,218.2,111999,24594633.1,376
2024-12-26,219.9,216.5,217.9,67315,14654651.1,247
2024-12-29,219.0,213.8,214.0,70184,15123235.4,274
2024-12-31,214.9,207.0,209.0,160107,33558156.6,506
2025-01-01,212.0,208.0,208.8,46695,9781141.6,210
2025-01-02,212.9,208.1,211.0,47740,10043387.9,233
2025-01-05,213.0,208.2,210.2,60345,12692015.9,237
2025-01-06,228.3,212.0,226.0,166519,36352307.5,544
2025-01-07,226.0,220.0,221.0,108155,24110440.5,392
2025-01-08,224.0,220.0,220.9,85160,18917011.2,247
2025-01-09,223.0,218.0,220.5,122290,26947932.9,323
2025-01-12,224.9,216.0,218.0,58637,12792465.0,201
2025-01-13,221.0,213.5,213.9,63666,13676592.6,260
2025-01-15,217.9,212.2,212.4,53123,11400160.5,205
2025-01-16,215.4,211.0,213.7,58351,12421584.0,212
2025-01-19,217.5,213.1,214.0,43255,9297815.9,203
2025-01-20,218.9,213.0,217.3,57781,12516168.8,229
2025-01-21,219.5,214.0,215.0,28117,6051344.1,152
2025-01-22,223.0,215.0,221.9,148030,32554710.3,477
2025-01-23,225.9,218.0,218.8,93841,20789965.8,327
2025-01-26,220.0,216.1,216.1,63694,13902746.4,244
2025-01-27,218.9,214.1,215.5,92470,20028402.4,262
2025-01-28,221.3,215.0,220.0,115410,25222565.7,343
2025-02-02,226.9,223.0,226.0,253230,57068916.4,689
2025-02-03,230.0,221.1,223.9,136807,30815868.9,472
2025-02-04,226.5,220.1,221.7,113464,25369286.6,379
2025-02-05,227.0,222.0,223.7,156275,35091798.43,402
2025-02-06,228.0,222.3,222.9,122661,27503920.5,411
2025-02-09,227.3,220.2,220.5,114776,25582428.65,327
2025-02-10,224.8,217.0,217.6,79206,17339390.7,263
2025-02-11,220.8,216.0,218.0,59490,13003732.1,187
2025-02-12,221.9,217.0,218.0,91807,20155974.2,295
2025-02-13,221.3,216.4,217.5,75735,16498946.4,267
2025-02-16,225.4,216.0,222.9,126377,28013850.1,406
2025-02-17,226.8,220.0,221.8,134193,30008953.5,380
2025-02-18,225.0,217.1,218.2,92376,20358813.9,295
2025-02-20,220.0,216.4,217.0,77528,16861593.7,284
2025-02-23,230.2,213.0,218.6,164776,36073124.7,428
2025-02-24,224.4,218.0,219.0,135805,30018759.7,428
2025-02-25,221.1,218.1,218.2,66143,14525518.7,249
2025-02-27,232.0,218.1,228.0,350899,79426907.9,856
2025-03-02,236.5,228.3,236.5,272332,63355302.5,885
2025-03-03,241.2,228.0,228.6,191298,44454159.5,770
2025-03-04,239.7,225.2,231.0,316360,74046999.5,957
2025-03-05,234.0,226.1,228.7,196079,45079967.3,520
