Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,9.13,8.95,9.13,7280,66313.4,8
2024-12-04,9.0,8.95,9.0,200,1795.0,2
2024-12-05,9.22,8.87,9.09,9000,82433.0,9
2024-12-08,9.26,8.98,9.15,4600,42130.0,7
2024-12-09,9.15,9.15,9.15,1500,13725.0,2
2024-12-10,9.0,8.84,8.84,400,3566.0,3
2024-12-11,9.0,8.78,8.88,900,8012.0,8
2024-12-12,9.0,8.73,8.96,1200,10735.0,8
2024-12-16,8.96,8.9,8.96,1400,12486.0,8
2024-12-17,9.07,8.79,9.06,2200,19776.0,9
2024-12-18,9.1,8.88,8.9,1800,16079.0,12
2024-12-19,8.76,8.73,8.76,200,1749.0,2
2024-12-22,8.8,8.63,8.7,2010,17592.0,10
2024-12-23,8.68,8.53,8.68,800,6906.0,7
2024-12-24,8.87,8.65,8.87,2010,17652.0,8
2024-12-26,9.05,8.87,8.87,2700,24100.0,12
2024-12-29,8.87,8.66,8.87,2300,20227.0,9
2024-12-31,8.9,8.7,8.75,233900,2047439.0,14
2025-01-01,8.73,8.64,8.64,235814,2037982.96,8
2025-01-02,8.81,8.65,8.7,1000,8735.0,6
2025-01-05,8.88,8.54,8.56,6960,60565.7,15
2025-01-06,8.7,8.54,8.6,1003600,8651983.0,44
2025-01-07,8.88,8.47,8.88,12100,105362.0,9
2025-01-08,8.88,8.7,8.8,558900,4918163.0,16
2025-01-09,8.8,8.68,8.68,17400,152388.0,12
2025-01-12,8.55,8.51,8.55,830,7071.3,4
2025-01-13,8.72,8.4,8.55,2200,18886.0,12
2025-01-15,8.51,8.38,8.51,5700,48485.0,8
2025-01-16,8.52,8.51,8.51,1600,13617.0,9
2025-01-19,8.84,8.5,8.51,10900,95771.0,13
2025-01-20,8.6,8.51,8.6,2048,17479.96,13
2025-01-21,8.6,8.46,8.55,1200,10249.0,8
2025-01-22,8.77,8.46,8.77,2700,23460.0,7
2025-01-23,8.65,8.51,8.51,700,6017.0,5
2025-01-26,8.82,8.6,8.77,3125,27182.5,8
2025-01-27,8.83,8.6,8.6,46930,404445.5,15
2025-01-28,8.52,8.25,8.42,324100,2703594.0,31
2025-02-02,8.5,8.4,8.5,3700,31196.0,11
2025-02-03,8.8,8.37,8.8,338904,2928457.56,21
2025-02-04,8.86,8.7,8.8,20319,178925.2,14
2025-02-05,9.05,8.65,9.05,168873,1492693.4,22
2025-02-06,9.22,8.58,9.22,503430,4620245.1,25
2025-02-09,9.04,8.7,8.87,7400,65588.0,10
2025-02-10,8.87,8.55,8.55,10253,88097.15,19
2025-02-11,8.72,8.55,8.62,4932,42708.92,15
2025-02-12,8.79,8.51,8.68,1500,13007.0,6
2025-02-13,8.68,8.54,8.58,1300,11180.0,4
2025-02-16,8.6,8.45,8.5,207300,1766997.0,27
2025-02-17,8.62,8.45,8.55,3400,28927.0,6
2025-02-18,8.72,8.43,8.72,1400,11980.0,8
2025-02-20,8.75,8.56,8.7,9700,84352.5,8
2025-02-23,8.6,8.53,8.6,1600,13672.0,9
2025-02-24,8.68,8.44,8.68,68320,587581.0,14
2025-02-25,8.51,8.44,8.5,9970,84712.5,18
2025-02-27,8.73,8.33,8.73,1890,16149.4,5
2025-03-02,8.8,8.6,8.8,6450,55873.0,11
2025-03-03,9.1,8.64,9.1,37100,331814.0,23
2025-03-04,8.92,8.7,8.75,14150,124711.0,18
2025-03-05,8.86,8.61,8.69,37800,331556.6,27
2025-03-06,8.65,8.55,8.65,699,6025.36,6
2025-03-09,8.99,8.8,8.99,500,4425.0,4
2025-03-10,8.99,8.99,8.99,0,0.0,0
2025-03-11,8.82,8.6,8.7,21975,191664.5,21
2025-03-12,8.58,8.5,8.58,9700,82972.0,7
2025-03-16,8.75,8.58,8.6,53599,465583.4,17
