Date,High,Low,Close,Volume,Value_NPR,Trades
2025-04-07,0.0,0.0,0.0,0,0.0,0
2025-04-08,332.5,302.3,332.5,210,68624.0,21
2025-04-09,365.7,332.6,365.7,170,60856.0,17
2025-04-10,402.2,373.0,402.2,277,110382.9,28
2025-04-13,442.4,410.2,442.4,210,91147.0,21
2025-04-15,486.6,449.7,486.6,230,110614.0,23
2025-04-16,535.2,496.3,535.2,330,175662.0,33
2025-04-17,588.7,536.3,588.7,370,216289.0,37
2025-04-20,647.5,600.4,647.5,440,283744.0,44
2025-04-21,712.2,660.4,712.2,530,376195.0,53
2025-04-22,783.4,712.2,783.4,590,459384.0,59
2025-04-23,861.7,799.0,861.7,650,558564.0,65
2025-04-24,947.8,878.9,947.8,530,500643.0,53
2025-04-27,1042.5,966.7,1042.5,940,978092.0,94
2025-04-28,1146.7,1042.0,1146.7,850,971581.0,85
2025-04-29,1261.3,1169.6,1261.3,840,1057242.0,84
2025-04-30,1387.4,1238.5,1387.4,810,1118666.0,81
2025-05-04,1526.1,1387.6,1526.1,1410,2147703.0,141
2025-05-05,1678.7,1556.6,1678.7,1500,2510172.0,150
2025-05-06,1846.5,1712.0,1846.5,1540,2840310.0,154
2025-05-07,2031.1,1883.4,2031.1,4840,9823949.0,484
2025-05-08,2234.2,2071.7,2234.2,15950,35623382.0,1595
2025-05-11,2457.6,2278.8,2457.6,29180,71697241.0,2876
2025-05-13,2703.3,2274.0,2304.7,217680,512531348.2,19436
2025-05-14,2310.0,2080.1,2081.02,145890,310363492.0,14570
2025-05-15,2255.0,1960.0,2190.06,59233,125400472.5,5466
2025-05-18,2180.0,2018.0,2025.07,51818,107261698.0,3186
2025-05-19,2060.0,1939.0,1955.69,59401,117971125.5,3196
2025-05-20,1990.0,1891.0,1965.58,45780,88140469.5,3147
2025-05-21,2040.0,1907.0,1913.7,27915,54128686.5,1573
2025-05-22,2055.0,1872.0,1988.55,74610,147968103.0,3030
2025-05-25,2023.0,1933.6,1992.7,35397,70140995.3,1641
2025-05-26,2073.0,1936.5,1952.32,20489,40318242.1,1175
2025-05-27,1940.0,1896.7,1899.79,22118,42404383.6,1342
2025-05-28,1900.0,1805.0,1822.27,34583,63717963.5,1814
2025-06-02,1854.0,1766.0,1823.42,67547,122350614.6,2414
2025-06-03,1890.0,1800.0,1808.45,29581,54539213.4,1424
2025-06-04,1835.0,1801.0,1822.85,23969,43655099.4,898
2025-06-05,1831.0,1766.3,1769.73,27046,48452119.9,1228
2025-06-08,1755.0,1592.8,1595.79,57804,95728132.0,2346
2025-06-09,1720.0,1536.0,1711.76,46686,76547474.1,1840
2025-06-10,1820.0,1680.0,1794.47,35039,62835627.8,972
2025-06-11,1830.0,1725.0,1776.05,37091,65774292.7,903
2025-06-12,1795.5,1656.3,1676.88,29692,50961454.3,973
2025-06-15,1800.0,1650.1,1721.91,32045,56088741.2,1017
2025-06-16,1756.0,1680.0,1680.71,13065,22190594.8,651
2025-06-17,1700.0,1646.7,1650.29,14120,23442685.0,623
2025-06-18,1703.4,1636.0,1651.26,16159,26832291.8,692
2025-06-19,1664.0,1578.0,1583.13,19737,31656926.1,921
2025-06-22,1640.0,1565.0,1610.02,35602,57493418.0,1267
2025-06-23,1669.0,1576.0,1588.29,15124,24180286.8,590
2025-06-24,1614.0,1560.0,1566.31,13256,21018535.6,560
2025-06-25,1646.0,1561.3,1599.75,25556,41222425.7,882
2025-06-26,1621.0,1545.5,1562.4,15548,24482280.7,486
2025-06-29,1593.6,1535.0,1539.8,12591,19520906.6,503
2025-06-30,1649.9,1510.0,1613.24,25055,39895851.3,679
2025-07-01,1634.0,1585.0,1589.27,11319,18125037.5,534
2025-07-02,1620.0,1572.9,1579.88,12221,19456123.3,510
2025-07-03,1620.0,1560.0,1585.18,17321,27655561.9,706
2025-07-06,1625.0,1570.0,1573.58,14120,22509141.8,583
2025-07-07,1630.0,1578.1,1586.46,18218,29217877.9,664
2025-07-08,1601.0,1571.5,1582.28,6222,9890946.0,316
2025-07-09,1590.0,1570.0,1577.98,12345,19482366.2,430
2025-07-10,1590.0,1561.1,1566.66,12347,19397320.1,465
2025-07-13,1611.0,1555.0,1562.2,12136,19026327.3,432
2025-07-14,1570.0,1543.0,1544.88,10437,16182372.7,387
2025-07-15,1560.0,1525.1,1552.39,13423,20637156.4,466
2025-07-16,1575.0,1542.1,1559.4,15166,23683016.7,472
2025-07-17,1624.0,1545.0,1612.91,20790,33203335.2,726
2025-07-20,1750.0,1601.0,1732.81,55287,94039235.1,1236
2025-07-21,1770.0,1682.1,1759.08,36273,62920133.0,1071
2025-07-22,1762.0,1723.0,1755.71,19093,33255671.7,646
2025-07-23,1745.0,1725.1,1735.45,16219,28157634.9,524
2025-07-24,1744.0,1711.0,1718.72,22432,38674997.1,521
2025-07-27,1744.0,1688.0,1696.39,25569,43910187.1,751
2025-07-28,1707.0,1670.1,1687.28,15451,26020671.2,616
2025-07-29,1724.6,1656.0,1700.91,21645,36916363.5,776
2025-07-30,1720.0,1651.0,1670.64,14102,23739621.4,521
2025-07-31,1669.0,1640.0,1649.06,13709,22667228.9,568
2025-08-03,1639.0,1590.0,1593.31,16154,25942779.9,769
2025-08-04,1625.0,1565.0,1586.95,10841,17133138.9,592
2025-08-05,1589.0,1555.0,1561.61,13463,21073329.2,558
2025-08-06,1581.0,1541.6,1562.28,8557,13373798.9,412
2025-08-07,1589.9,1550.0,1563.64,6140,9614199.2,367
2025-08-11,1570.0,1540.5,1544.21,8007,12435294.1,409
2025-08-12,1555.0,1525.0,1530.28,7915,12141367.5,407
2025-08-13,1560.0,1520.0,1545.47,13868,21226197.6,454
2025-08-14,1555.0,1507.1,1514.59,9882,15046818.2,345
2025-08-17,1519.0,1476.0,1480.45,12339,18428288.8,454
2025-08-18,1482.0,1439.7,1443.05,10713,15629307.4,389
2025-08-19,1465.0,1435.0,1442.17,8594,12417545.0,272
2025-08-20,1450.0,1416.2,1420.9,7580,10863492.3,304
2025-08-21,1430.0,1382.0,1396.26,14599,20458373.2,447
2025-08-24,1420.0,1350.0,1364.3,14832,20293320.5,468
2025-08-25,1390.0,1338.4,1380.89,12715,17259058.0,410
2025-08-26,1379.9,1352.0,1374.83,11015,15004672.0,266
2025-08-27,1460.0,1351.0,1450.85,19628,28057058.3,598
2025-08-28,1460.6,1400.0,1403.88,13440,19193678.0,370
2025-08-31,1410.0,1360.0,1362.46,12836,17568161.0,350
2025-09-01,1380.0,1340.0,1355.93,7116,9623360.0,277
2025-09-02,1365.0,1339.0,1340.42,5278,7098350.9,222
2025-09-03,1350.0,1290.2,1300.85,12664,16663860.9,360
2025-09-04,1300.0,1277.0,1286.27,8463,10893475.8,327
2025-09-07,1285.0,1250.0,1255.73,8870,11195900.2,339
2025-09-08,1240.0,1190.0,1199.97,29023,35050564.5,607
2025-09-18,1180.1,1080.0,1080.0,2716,2996134.0,65
2025-09-21,1140.0,1036.0,1131.0,16809,18534522.7,563
2025-09-23,1191.3,1109.0,1191.3,10937,12676454.7,339
2025-09-24,1199.0,1150.0,1159.0,7365,8545686.5,216
2025-09-25,1155.0,1141.1,1146.0,6054,6945147.0,146
2025-09-28,1168.0,1130.1,1145.0,3322,3802230.9,91
2025-10-07,1188.0,1125.0,1130.0,10754,12304220.8,242
2025-10-08,1130.0,1080.0,1100.0,7672,8462461.5,211
2025-10-09,1165.0,1113.4,1115.0,10618,12004571.4,209
2025-10-12,1182.0,1080.1,1182.0,75415,83809467.7,403
2025-10-13,1300.2,1158.1,1300.2,41237,51679359.9,790
2025-10-14,1377.0,1300.5,1354.0,34826,46767984.8,689
2025-10-15,1379.0,1301.0,1355.0,32940,44379875.6,398
2025-10-16,1375.9,1250.0,1375.9,21789,28328987.6,473
2025-10-19,1403.4,1310.0,1325.0,13678,18088282.9,189
2025-10-26,1347.0,1254.4,1316.0,6094,7865896.6,159
2025-10-28,1386.9,1291.0,1373.0,18567,25057746.3,353
2025-10-29,1416.7,1340.0,1348.0,13066,18019252.4,257
2025-10-30,1458.0,1326.5,1458.0,24969,33694040.9,415
2025-11-02,1438.0,1373.0,1405.0,57947,81549962.7,477
2025-11-03,1418.9,1345.0,1364.0,16840,23118816.1,276
2025-11-04,1476.0,1327.1,1335.0,11461,15670188.2,280
2025-11-05,1361.7,1335.1,1355.0,4865,6549399.1,166
2025-11-06,1369.7,1325.0,1337.0,5358,7163209.2,138
2025-11-09,1356.6,1275.0,1356.6,13620,17665478.8,319
2025-11-10,1347.0,1285.1,1296.5,6585,8543737.0,175
2025-11-11,1321.0,1270.6,1280.0,2257,2901499.5,107
2025-11-12,1328.0,1244.7,1328.0,6900,8704144.2,228
2025-11-13,1354.0,1260.0,1264.0,6216,7921065.2,176
2025-11-16,1367.0,1240.1,1340.0,6039,7651514.3,225
2025-11-17,1315.0,1265.0,1297.0,4899,6284946.2,172
2025-11-18,1300.0,1280.0,1299.0,6023,7765738.1,168
2025-11-19,1295.0,1260.1,1260.1,5276,6732145.8,137
2025-11-20,1325.0,1241.0,1280.0,10869,14018575.5,224
2025-11-23,1377.0,1260.0,1332.0,11517,15147513.1,419
2025-11-24,1339.9,1306.0,1327.9,10193,13424023.1,257
2025-11-25,1380.0,1302.0,1325.0,8068,10676907.6,230
2025-11-26,1320.0,1300.0,1314.0,7586,9881160.9,212
2025-11-27,1317.0,1292.0,1296.3,4742,6165127.9,193
2025-11-30,1375.0,1287.3,1300.0,6201,8063946.3,247
2025-12-01,1324.0,1282.1,1282.1,2619,3377288.5,117
2025-12-02,1333.8,1281.1,1289.0,2699,3474546.8,122
2025-12-03,1313.0,1284.0,1296.0,15683,20340553.0,291
