Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,479.0,466.2,470.0,32565,15343741.8,384
2024-12-04,483.0,461.0,469.9,27797,13121594.1,338
2024-12-05,470.0,451.1,460.0,33713,15518142.4,358
2024-12-08,461.9,445.1,447.0,30256,13694349.8,315
2024-12-09,459.0,439.1,454.0,29777,13249879.3,329
2024-12-10,454.0,445.1,453.0,11808,5293151.5,181
2024-12-11,466.0,444.1,466.0,16853,7640678.3,239
2024-12-12,474.0,448.9,450.0,24082,11057105.6,263
2024-12-16,450.0,440.0,441.0,23961,10618920.0,252
2024-12-17,448.0,435.3,438.5,9890,4373912.1,219
2024-12-18,447.0,430.1,437.0,13746,6009606.2,209
2024-12-19,440.0,428.1,433.0,16998,7352859.1,208
2024-12-22,441.6,427.0,433.9,14527,6294745.4,198
2024-12-23,445.0,430.0,444.8,16757,7397821.6,261
2024-12-24,457.9,438.0,449.8,20945,9387914.6,303
2024-12-26,449.0,432.6,440.0,43117,18860812.9,418
2024-12-29,447.5,432.1,438.9,9071,3977081.9,194
2024-12-31,431.0,419.5,430.0,35170,14930060.3,356
2025-01-01,438.4,422.1,424.9,14111,6041521.3,188
2025-01-02,430.0,421.5,424.9,11497,4878467.5,195
2025-01-05,430.0,420.0,427.0,12808,5469598.6,251
2025-01-06,442.0,422.0,441.0,26300,11471760.2,371
2025-01-07,449.8,432.2,443.0,19810,8779030.7,259
2025-01-08,449.9,434.2,440.5,18727,8282494.3,239
2025-01-09,445.0,431.7,434.9,25719,11246730.5,255
2025-01-12,469.0,429.0,456.1,60008,27118738.5,552
2025-01-13,461.0,445.0,445.1,41646,18797710.8,336
2025-01-15,469.0,440.2,462.0,42249,19529933.8,457
2025-01-16,475.3,456.2,463.0,72564,33704747.2,452
2025-01-19,504.8,462.0,497.1,209217,102603899.5,1393
2025-01-20,507.0,478.0,493.0,147973,73007352.7,895
2025-01-21,512.0,484.0,510.2,119584,59839673.4,787
2025-01-22,520.0,502.0,505.0,147410,75784962.5,867
2025-01-23,539.0,505.0,537.0,251343,131721391.2,1566
2025-01-26,546.0,519.5,527.0,159793,85327577.2,981
2025-01-27,533.0,508.3,512.0,134996,69928135.6,765
2025-01-28,551.0,510.0,548.0,292463,157744699.9,1578
2025-02-02,573.2,551.0,561.0,204884,115462330.3,1278
2025-02-03,588.5,537.0,550.0,173669,95171540.5,930
2025-02-04,571.0,534.0,535.0,157501,86271756.5,837
2025-02-05,543.8,519.1,532.0,115015,60703554.6,745
2025-02-06,556.0,521.4,552.0,208158,113388461.1,929
2025-02-09,563.0,544.7,554.0,206740,114407748.7,780
2025-02-10,605.0,545.0,603.0,424300,244478099.9,2371
2025-02-11,619.0,587.0,593.0,207722,125242687.8,1281
2025-02-12,601.6,573.3,584.0,212568,125289224.5,1160
2025-02-13,599.0,569.0,595.0,255634,149466679.8,1246
2025-02-16,606.9,585.1,590.0,141787,84355101.2,755
2025-02-17,605.0,580.0,600.0,195709,115617822.7,1039
2025-02-18,615.0,593.1,595.0,161310,97264075.0,1004
2025-02-20,596.0,581.0,590.0,88361,51989974.4,603
2025-02-23,622.0,567.0,613.0,203940,122402893.5,1309
2025-02-24,622.1,585.1,591.0,149910,90786006.8,1055
2025-02-25,600.0,580.0,580.0,87023,51243639.7,761
2025-02-27,598.5,576.0,583.0,111054,65379548.6,828
2025-03-02,596.9,582.0,587.0,80476,47480663.0,672
2025-03-03,645.0,589.2,590.0,332013,201290765.5,1982
2025-03-04,590.0,546.0,546.0,308933,174557196.0,2104
2025-03-05,548.0,535.0,543.0,71939,38899231.2,636
2025-03-06,557.8,538.0,538.5,77991,42393844.2,671
2025-03-09,542.0,516.0,516.0,107428,56457283.8,812
2025-03-10,534.9,505.7,526.0,78376,41289139.2,634
2025-03-11,536.5,511.0,512.0,56232,29225792.5,515
2025-03-12,523.0,510.0,517.0,34685,17945374.7,382
2025-03-16,519.0,494.0,507.9,90028,45436668.3,573
2025-03-17,512.9,497.1,503.0,25109,12603804.0,326
2025-03-18,512.5,496.0,499.9,23073,11581438.2,264
2025-03-19,500.0,486.0,492.0,38073,18717395.5,379
2025-03-20,493.0,480.0,482.49,39732,19270690.2,361
2025-03-23,483.0,461.6,463.88,58090,27269818.4,447
2025-03-24,479.0,451.0,469.12,36273,16948998.8,302
2025-03-25,468.0,446.0,449.02,43749,19860715.2,342
2025-03-26,468.0,447.0,462.58,33210,15255843.9,318
2025-03-27,488.0,457.1,482.19,51021,24286696.9,447
2025-03-30,516.0,466.9,507.63,102321,51651825.6,845
2025-04-01,513.9,490.0,503.03,68975,34425292.9,457
2025-04-02,511.0,493.0,503.13,35587,17970994.0,382
2025-04-03,510.0,493.0,496.61,52416,26256716.5,379
2025-04-07,496.9,480.0,481.21,32734,15917877.1,335
2025-04-08,489.9,471.0,485.97,30464,14547566.0,284
2025-04-09,495.5,486.0,488.05,22035,10803795.0,187
2025-04-10,492.0,474.6,476.1,61712,29716602.0,344
2025-04-13,484.8,467.0,471.56,32705,15537208.1,272
2025-04-15,494.0,467.3,482.32,38797,18814544.7,333
2025-04-16,492.0,476.2,480.22,31857,15324338.5,261
2025-04-17,496.0,480.4,491.01,64335,31575997.3,509
2025-04-20,495.0,476.3,478.98,21964,10616846.5,257
2025-04-21,484.6,471.0,473.55,40422,19282539.0,281
2025-04-22,482.6,466.1,474.33,45908,21758359.6,295
2025-04-23,475.0,466.2,469.24,19459,9131671.0,190
2025-04-24,480.0,462.0,463.77,29338,13722175.3,254
2025-04-27,469.0,460.0,461.06,38004,17598567.4,325
2025-04-28,474.3,455.0,463.02,22266,10361106.9,203
2025-04-29,479.0,454.0,469.91,63217,29705699.4,347
2025-04-30,476.4,460.6,462.22,37850,17647747.1,232
2025-05-04,471.4,462.22,463.99,22149,10303885.6,219
2025-05-05,471.0,450.2,453.64,35311,16128057.2,243
2025-05-06,459.9,451.0,452.38,21124,9593830.4,215
2025-05-07,472.0,450.0,469.6,28283,13007961.0,290
2025-05-08,478.9,460.0,462.01,34285,15936509.5,318
2025-05-11,472.3,460.0,464.98,28780,13405232.2,256
2025-05-13,471.0,456.0,460.67,24854,11558248.0,244
2025-05-14,479.0,455.8,465.19,40944,19244574.3,372
2025-05-15,469.0,457.1,460.71,22875,10542076.0,223
2025-05-18,475.0,461.0,469.39,40203,18904659.4,383
2025-05-19,483.9,470.0,475.13,48331,23056670.6,439
2025-05-20,485.0,468.2,483.12,38026,18144584.0,376
2025-05-21,505.0,475.0,475.38,49996,24185763.8,345
2025-05-22,479.0,470.0,471.51,17467,8261406.7,191
2025-05-25,475.0,461.0,464.38,24554,11443438.4,242
2025-05-26,473.6,458.0,460.13,21560,9986076.9,215
2025-05-27,462.0,452.8,454.98,21624,9874380.3,242
2025-05-28,463.9,453.6,456.49,21815,9990272.0,258
2025-06-02,475.3,456.8,466.93,24349,11298203.7,306
2025-06-03,469.0,458.0,459.68,13207,6116563.2,206
2025-06-04,462.0,450.5,456.39,11759,5365454.0,198
2025-06-05,463.3,452.5,453.31,22844,10394946.9,190
2025-06-08,455.0,448.0,449.82,34346,15467527.3,315
2025-06-09,465.0,445.2,459.77,19067,8706530.2,228
2025-06-10,468.0,457.0,462.33,23362,10804373.7,237
2025-06-11,462.0,452.1,453.69,14098,6422004.8,153
2025-06-12,454.0,448.0,451.73,38651,17441067.0,283
2025-06-15,459.0,448.0,452.62,28672,13000470.7,332
2025-06-16,465.0,451.0,460.66,38447,17621654.5,337
2025-06-17,464.5,455.0,457.51,16718,7664504.1,189
2025-06-18,458.0,453.2,455.19,22384,10184158.7,187
2025-06-19,464.0,448.3,449.77,31174,14070408.6,267
2025-06-22,458.5,439.0,441.02,20986,9314607.9,241
2025-06-23,445.0,436.0,436.24,20394,8943973.5,192
2025-06-24,450.0,433.1,433.79,18960,8307785.0,174
2025-06-25,439.9,429.2,433.89,20617,8911402.7,201
2025-06-26,440.0,430.0,431.6,23630,10252917.4,205
2025-06-29,440.0,425.1,430.76,27889,11996528.2,253
2025-06-30,443.5,432.0,436.53,15455,6759097.0,183
2025-07-01,439.3,433.0,436.56,12054,5259557.8,168
2025-07-02,449.4,434.2,448.3,27562,12292276.4,251
2025-07-03,464.0,442.0,461.28,40289,18306316.6,397
2025-07-06,475.0,456.5,465.59,59091,27654620.7,477
2025-07-07,474.9,457.7,458.47,44193,20503576.8,347
2025-07-08,460.0,450.1,454.09,20821,9478007.0,175
2025-07-09,460.5,448.1,458.01,10749,4898807.4,183
2025-07-10,462.0,453.0,456.17,27827,12693443.2,239
2025-07-13,478.0,456.1,457.5,14589,6728826.6,195
