Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1099.0,1056.0,1082.0,221018,238723457.6,1031
2024-12-04,1134.0,1060.4,1123.0,264757,295649955.1,1373
2024-12-05,1139.0,1090.1,1115.0,260140,290383035.5,1205
2024-12-08,1148.5,1040.7,1114.8,296843,326461569.1,1191
2024-12-09,1205.0,1048.6,1182.0,319374,352720449.0,1080
2024-12-10,1158.4,1063.8,1079.9,175487,189620303.4,985
2024-12-11,1070.8,1031.3,1050.0,113222,118147936.5,494
2024-12-12,1070.0,1017.3,1030.0,69967,72519112.5,355
2024-12-16,1020.0,981.0,984.0,266787,264590330.9,712
2024-12-17,1003.0,978.3,981.1,90572,89520870.8,297
2024-12-18,998.0,968.2,971.0,118065,116076906.0,279
2024-12-19,980.0,941.0,941.4,84400,80626698.6,459
2024-12-22,955.8,937.2,948.9,34436,32528855.5,211
2024-12-23,955.0,938.0,948.9,46861,44372248.8,240
2024-12-24,978.0,943.0,959.0,64795,61886824.8,376
2024-12-26,955.0,940.0,945.0,43698,41339551.7,253
2024-12-29,1030.0,930.0,999.0,153652,153478594.9,867
2024-12-31,1041.0,995.9,1017.0,116896,119461560.8,742
2025-01-01,1105.0,1000.0,1040.0,207873,218217349.6,775
2025-01-02,1060.0,1025.0,1034.0,95859,99318630.2,453
2025-01-05,1053.9,1025.5,1040.0,122903,127910090.9,587
2025-01-06,1097.0,1040.2,1090.0,270408,290992363.7,1115
2025-01-07,1107.69,1070.0,1088.9,90251,98294882.2,626
2025-01-08,1100.0,1070.2,1074.0,143212,154290475.4,457
2025-01-09,1086.3,1060.2,1086.0,163771,175531796.4,595
2025-01-12,1127.0,1087.0,1114.0,183915,204153872.4,895
2025-01-13,1177.0,1117.0,1135.0,394464,452551675.0,1673
2025-01-15,1212.0,1147.1,1187.0,275271,324944718.2,1212
2025-01-16,1210.0,1157.1,1171.0,180019,211832077.9,1019
2025-01-19,1177.6,1130.0,1139.9,234834,268525595.3,938
2025-01-20,1181.0,1133.0,1166.0,140679,163467574.3,749
2025-01-21,1189.0,1151.0,1172.0,114074,133832653.3,618
2025-01-22,1221.0,1175.0,1207.8,514706,613648220.5,1404
2025-01-23,1231.9,1193.0,1210.0,177140,213875177.0,821
2025-01-26,1276.0,1190.0,1264.0,286043,358738046.1,1424
2025-01-27,1294.0,1245.1,1277.9,211545,268928887.8,1049
2025-01-28,1329.0,1253.0,1322.0,223130,288739953.0,1115
2025-02-02,1394.0,1300.1,1389.9,311505,419702052.2,1297
2025-02-03,1401.0,1340.0,1346.0,259998,353075016.7,1210
2025-02-04,1355.0,1324.0,1349.8,230660,308713792.3,896
2025-02-05,1371.0,1340.0,1361.0,140360,189764537.7,673
2025-02-06,1369.9,1334.0,1349.9,105502,142646956.4,552
2025-02-09,1365.1,1327.1,1344.1,230712,311683395.7,748
2025-02-10,1370.0,1342.0,1350.0,107087,144790620.1,503
2025-02-11,1373.0,1333.1,1350.0,145504,196947393.9,806
2025-02-12,1435.0,1330.2,1419.0,284696,396022636.2,1681
2025-02-13,1447.0,1403.0,1415.0,238947,341475174.7,942
2025-02-16,1448.4,1405.3,1411.0,235576,335475129.3,1015
2025-02-17,1445.0,1410.0,1440.0,184331,264758352.8,885
2025-02-18,1475.0,1411.3,1450.0,155993,226835335.4,849
2025-02-20,1490.0,1435.0,1483.0,150393,220685123.3,898
2025-02-23,1533.0,1450.0,1523.0,269863,406867792.3,1430
2025-02-24,1539.9,1485.1,1499.9,297727,449474414.6,1220
2025-02-25,1517.0,1485.2,1486.0,183748,274863840.1,985
2025-02-27,1580.0,1485.0,1554.8,306570,467953156.6,1358
2025-03-02,1600.0,1549.0,1590.0,211449,333512691.0,1078
2025-03-03,1651.3,1565.0,1606.0,147509,236896969.6,975
2025-03-04,1617.0,1573.0,1577.0,115314,183371931.8,866
2025-03-05,1595.0,1560.1,1570.0,188891,297645360.0,847
2025-03-06,1578.0,1523.0,1538.0,220401,341775061.7,1101
2025-03-09,1530.0,1475.0,1475.0,366888,550945773.0,1552
2025-03-10,1495.0,1425.0,1438.9,199400,290215769.8,1030
2025-03-11,1440.0,1394.0,1396.1,221680,314701632.8,848
2025-03-12,1462.9,1370.0,1458.0,352866,493676733.4,1340
2025-03-16,1487.1,1414.0,1418.0,135954,194777081.3,781
2025-03-17,1429.0,1391.0,1405.0,146761,205975346.6,588
2025-03-18,1428.0,1401.1,1407.3,79481,112362901.8,428
2025-03-19,1429.0,1397.2,1404.0,165720,234619398.6,593
2025-03-20,1425.0,1402.4,1407.83,55498,78395391.1,416
2025-03-23,1435.9,1366.0,1376.42,261161,359953017.6,667
2025-03-24,1409.9,1363.1,1386.92,68721,95555996.3,532
2025-03-25,1414.6,1355.1,1367.88,109205,148821624.2,675
2025-03-26,1416.9,1365.0,1411.82,74727,104508412.9,575
2025-03-27,1499.0,1412.0,1495.89,172777,253365464.0,1245
2025-03-30,1579.9,1481.0,1556.61,255431,396885116.7,1577
2025-04-01,1614.0,1541.1,1607.48,288687,456014218.5,1735
2025-04-02,1680.0,1611.0,1662.18,160515,266665237.5,1333
2025-04-03,1715.0,1665.0,1684.61,253507,429795105.2,1530
2025-04-07,1685.1,1625.0,1631.12,261611,432177772.7,1382
2025-04-08,1678.8,1590.1,1674.13,365552,591442548.0,1655
2025-04-09,1738.9,1681.0,1717.43,248605,427568477.9,1542
2025-04-10,1750.0,1660.0,1696.25,208201,352918503.8,1101
2025-04-13,1773.5,1686.0,1763.47,255676,444659347.7,1597
2025-04-15,1884.0,1760.0,1860.92,228998,422239048.7,1734
2025-04-16,1907.0,1821.0,1859.64,217957,403655950.9,1382
2025-04-17,1953.0,1866.0,1900.01,325758,624650567.2,1853
2025-04-20,1930.0,1881.0,1901.55,176981,337034148.0,1241
2025-04-21,1930.0,1881.0,1916.17,165146,315407278.7,1135
2025-04-22,1925.0,1880.0,1883.61,124588,236245619.8,842
2025-04-23,1895.0,1840.0,1878.4,277817,516369427.1,1302
2025-04-24,2020.0,1859.0,2003.48,270074,525232175.7,1768
2025-04-27,2105.0,1940.0,2038.67,276426,563865865.0,1838
2025-04-28,2050.0,1996.2,2001.13,144512,290733784.7,1123
2025-04-29,2020.0,1970.0,1977.86,129480,257381336.1,997
2025-04-30,2045.0,1965.0,2028.44,166963,335456211.5,1259
2025-05-04,2132.0,2040.0,2102.25,240924,505693534.2,1795
2025-05-05,2144.2,2070.0,2108.18,179385,376949684.4,1191
2025-05-06,2159.0,2107.0,2113.21,127473,272122679.4,998
2025-05-07,2135.0,2081.0,2100.43,135841,286011819.2,971
2025-05-08,2125.0,2050.0,2065.05,174293,363703603.9,1264
2025-05-11,2098.0,2011.0,2024.0,151967,309833675.4,1064
2025-05-13,2080.0,2008.0,2040.16,115140,235657264.3,976
2025-05-14,2091.0,2011.0,2020.6,140877,288700908.5,841
2025-05-15,2060.0,1982.0,1985.04,79630,159185565.1,731
2025-05-18,2035.0,1955.0,1995.04,257140,513661884.5,890
2025-05-19,2049.1,1980.0,2002.8,100363,202154274.0,647
2025-05-20,2080.0,1994.0,2070.59,136046,278435876.5,827
2025-05-21,2140.0,2085.0,2093.92,166081,349111614.2,807
2025-05-22,2135.7,2050.0,2055.34,113220,235210250.2,795
2025-05-25,2060.0,2020.0,2026.53,84567,172155825.9,657
2025-05-26,2079.0,2000.3,2010.4,90682,183558155.0,591
2025-05-27,2033.0,1985.0,1994.6,70859,142056916.3,556
2025-05-28,2034.4,1981.0,2003.39,55144,110599775.7,471
2025-06-02,2065.0,2011.1,2047.02,124737,255383689.6,767
2025-06-03,2069.0,2000.0,2006.88,77314,156538304.32,511
2025-06-04,2024.9,1990.0,1996.09,47200,94353395.2,422
2025-06-05,2005.0,1965.0,1980.1,66273,131371964.0,554
2025-06-08,2060.0,1950.0,1970.78,146011,293761403.2,622
2025-06-09,2060.2,1985.1,2051.82,196726,398937514.1,1054
2025-06-10,2115.0,2010.0,2085.89,201634,418253854.9,1130
2025-06-11,2110.9,2050.0,2056.37,75316,156667735.5,705
2025-06-12,2068.9,2035.0,2062.34,195390,401959838.3,676
2025-06-15,2103.0,2009.0,2015.97,60516,122954297.2,562
2025-06-16,2030.0,1996.0,2000.35,70933,142466039.1,561
2025-06-17,2020.0,1981.1,1984.6,49250,98253189.2,388
2025-06-18,2019.0,1982.0,1984.26,45426,90371460.6,346
2025-06-19,2000.0,1971.0,1986.87,62136,123117892.3,449
2025-06-22,2001.0,1950.0,1951.84,51979,102182045.0,493
2025-06-23,1975.0,1912.9,1959.97,44606,87674713.1,331
2025-06-24,2050.0,1970.0,2039.25,114174,230078109.3,835
2025-06-25,2074.0,2000.0,2037.51,177011,361660004.5,678
2025-06-26,2050.0,2000.0,2013.12,49876,100977490.0,390
2025-06-29,2030.5,1973.0,2004.49,53558,108022769.9,341
2025-06-30,2055.0,1999.0,2038.88,108380,220509262.9,534
2025-07-01,2174.0,2043.0,2159.01,218760,461646160.0,1624
2025-07-02,2255.0,2108.0,2247.59,252012,555321313.1,1552
2025-07-03,2284.0,2191.1,2200.13,100621,223973180.1,1061
2025-07-06,2219.9,2170.0,2182.69,131397,288495942.0,1037
2025-07-07,2244.8,2140.0,2216.04,108838,241708460.1,951
2025-07-08,2265.0,2172.1,2245.26,74794,167140909.4,680
2025-07-09,2325.0,2232.0,2318.62,153873,351822938.9,1317
2025-07-10,2364.9,2230.0,2305.75,252627,570577213.8,888
2025-07-13,2330.0,2251.0,2260.49,125166,285353743.9,870
2025-07-14,2305.0,2237.0,2268.94,180709,408853464.0,931
2025-07-15,2325.0,2230.1,2303.91,130730,300857457.4,626
2025-07-16,2319.9,2275.0,2279.19,140047,322157263.4,714
2025-07-17,2400.9,2291.0,2380.6,161572,380028497.7,1039
2025-07-20,2428.2,2341.0,2349.98,108455,258610966.4,911
2025-07-21,2400.0,2335.0,2348.15,59274,139972060.6,597
2025-07-22,2400.0,2336.0,2364.38,86213,203285022.7,800
2025-07-23,2390.0,2341.0,2345.16,85868,202594975.6,762
2025-07-24,2407.0,2345.0,2395.96,90823,216187585.0,810
2025-07-27,2444.0,2350.5,2364.23,98551,236064059.1,841
2025-07-28,2361.0,2329.0,2336.68,81470,190432377.9,750
2025-07-29,2360.0,2311.0,2327.28,75438,176173444.0,645
2025-07-30,2350.0,2266.0,2269.17,78108,179741415.2,724
2025-07-31,2326.0,2235.4,2252.01,90002,204692173.7,706
2025-08-03,2297.0,2220.0,2226.15,56617,126737767.3,543
2025-08-04,2259.0,2206.0,2245.5,53296,118888192.9,493
2025-08-05,2300.0,2202.0,2211.16,51195,113827675.9,367
2025-08-06,2340.0,2212.0,2330.57,103843,238406038.3,1076
2025-08-07,2366.0,2300.1,2305.62,44155,102594814.2,525
2025-08-11,2351.7,2225.0,2242.63,99462,225558730.4,537
2025-08-12,2270.0,2230.0,2247.23,35970,80892073.9,368
2025-08-13,2295.0,2216.0,2221.6,85185,191283884.0,599
2025-08-14,2300.0,2201.1,2208.78,188453,417715788.6,833
2025-08-17,2240.0,2170.0,2178.68,102203,224287988.5,542
2025-08-18,2249.0,2184.0,2231.17,84308,187547457.5,607
2025-08-19,2280.0,2210.0,2217.79,53287,119727934.8,496
