Date,High,Low,Close,Volume,Value_NPR,Trades
2025-05-04,297.0,270.0,297.0,160,45910.0,16
2025-05-05,326.7,293.3,326.7,80,25028.0,8
2025-05-06,359.3,326.6,359.3,120,42142.0,12
2025-05-07,395.2,359.0,395.2,150,57835.0,15
2025-05-08,434.7,399.7,434.7,190,81302.0,19
2025-05-11,478.1,443.3,478.1,220,104326.0,22
2025-05-13,525.9,477.5,525.9,300,156320.0,30
2025-05-14,578.4,525.8,578.4,390,223490.0,39
2025-05-15,636.2,578.3,636.2,460,290351.0,46
2025-05-18,699.8,647.9,699.8,460,320098.0,46
2025-05-19,769.7,713.7,769.7,350,268019.0,35
2025-05-20,846.6,769.6,846.6,420,352515.0,42
2025-05-21,931.2,831.5,931.2,590,544985.0,59
2025-05-22,1024.3,931.1,1024.3,1250,1277609.0,125
2025-05-25,1126.7,1044.7,1126.7,1140,1282425.0,114
2025-05-26,1239.3,1149.2,1239.3,950,1175125.0,95
2025-05-27,1363.2,1264.0,1363.2,1180,1606140.0,118
2025-05-28,1499.5,1390.4,1499.5,4169,6248740.5,207
2025-06-02,1649.4,1529.4,1649.4,4370,7192933.0,437
2025-06-03,1814.3,1649.4,1813.43,160034,283395122.2,15096
2025-06-04,1994.7,1750.0,1994.7,55110,105383988.6,5509
2025-06-05,2167.2,1796.0,1809.24,91850,176017126.7,8805
2025-06-08,1790.0,1628.4,1628.4,67440,112446763.0,6735
2025-06-09,1675.0,1533.0,1658.57,57950,91336467.0,5795
2025-06-10,1650.0,1580.0,1590.58,45590,73205243.8,2119
2025-06-11,1600.0,1530.2,1537.76,45848,71128830.1,2136
2025-06-12,1532.0,1493.0,1497.54,38860,58566262.0,1820
2025-06-15,1545.0,1460.0,1503.04,35948,53962717.0,1832
2025-06-16,1527.0,1470.0,1472.69,25232,37387667.8,1062
2025-06-17,1501.0,1436.0,1438.7,23609,34514780.9,1067
2025-06-18,1451.4,1399.5,1405.88,26955,38133418.2,1289
2025-06-19,1402.0,1325.0,1337.12,40713,55710899.3,1705
2025-06-22,1328.0,1266.0,1273.69,31556,40679569.3,1621
2025-06-23,1299.0,1249.0,1278.97,18172,23162029.1,840
2025-06-24,1404.0,1280.2,1381.47,28909,39214725.8,1057
2025-06-25,1480.0,1383.0,1442.07,31551,45772834.7,1125
2025-06-26,1445.0,1341.0,1354.71,21242,29453393.3,788
2025-06-29,1354.0,1314.0,1330.3,16246,21618092.0,630
2025-06-30,1404.9,1325.0,1359.26,17727,24204799.9,676
2025-07-01,1390.0,1355.2,1372.7,12998,17870448.4,463
2025-07-02,1387.8,1346.1,1350.92,17532,23922765.7,538
2025-07-03,1390.0,1351.0,1363.98,20498,28171046.2,610
2025-07-06,1373.0,1351.0,1356.24,13616,18528719.4,556
2025-07-07,1393.9,1340.0,1350.97,15380,21046328.9,571
2025-07-08,1367.0,1340.2,1356.24,9492,12844547.2,382
2025-07-09,1367.0,1350.4,1355.33,14632,19838310.7,436
2025-07-10,1389.9,1356.0,1379.73,23836,32750430.5,691
2025-07-13,1434.0,1380.0,1388.3,21545,30223346.2,715
2025-07-14,1409.9,1370.3,1375.69,10017,13802731.5,297
2025-07-15,1458.0,1365.2,1450.45,31191,44145971.5,880
2025-07-16,1539.0,1430.0,1517.76,48599,73656675.5,1191
2025-07-17,1551.0,1518.0,1520.14,21520,33044155.0,656
2025-07-20,1548.8,1490.0,1492.46,28372,42972378.2,854
2025-07-21,1509.0,1458.1,1465.32,25426,37527803.2,706
2025-07-22,1522.8,1468.0,1509.26,26600,40024839.6,891
2025-07-23,1525.0,1481.0,1522.08,51956,78013771.5,784
2025-07-24,1586.0,1510.0,1561.37,35424,55341289.2,1019
2025-07-27,1590.0,1520.0,1521.39,27178,42207622.5,752
2025-07-28,1549.9,1500.0,1505.14,25051,37868135.7,720
2025-07-29,1560.0,1509.2,1518.25,16886,25914478.8,643
2025-07-30,1539.1,1470.0,1474.09,17265,25793398.0,575
2025-07-31,1477.9,1445.1,1451.59,20598,29971814.0,600
2025-08-03,1510.0,1416.0,1420.93,14992,21576687.8,705
2025-08-04,1430.0,1390.1,1405.37,18346,25810542.6,657
2025-08-05,1428.0,1370.0,1373.19,11218,15576521.3,552
2025-08-06,1405.0,1353.0,1386.56,8596,11926165.0,407
2025-08-07,1420.0,1386.1,1414.48,8446,11901094.2,439
2025-08-11,1442.0,1390.0,1396.51,8162,11472145.0,397
2025-08-12,1424.0,1371.0,1375.61,6248,8626221.5,296
2025-08-13,1394.0,1370.0,1371.64,6410,8821405.3,265
2025-08-14,1389.0,1354.1,1358.84,7444,10163945.6,297
2025-08-17,1370.0,1340.0,1342.38,10210,13833041.1,426
2025-08-18,1363.9,1325.0,1351.36,7027,9471359.8,336
2025-08-19,1382.0,1335.0,1361.37,7418,10150884.6,300
2025-08-20,1369.0,1348.3,1349.98,4637,6278051.8,215
2025-08-21,1358.0,1340.0,1342.66,7188,9690778.0,288
2025-08-24,1359.0,1315.9,1338.54,5580,7485392.8,265
2025-08-25,1360.0,1323.2,1336.66,4643,6206711.2,233
2025-08-26,1357.0,1310.0,1342.0,34447,45881130.8,466
2025-08-27,1385.0,1326.5,1370.79,7856,10713637.3,350
2025-08-28,1397.0,1323.0,1330.31,13313,17926586.6,343
2025-08-31,1340.0,1300.0,1300.55,13304,17466995.3,381
2025-09-01,1319.0,1296.0,1309.34,8958,11709269.9,309
2025-09-02,1315.0,1285.0,1285.98,8354,10813281.2,289
2025-09-03,1295.0,1245.1,1249.74,9971,12599140.2,326
2025-09-04,1240.0,1212.0,1233.22,12159,14912343.0,384
2025-09-07,1249.0,1209.0,1210.34,6919,8425585.1,246
2025-09-08,1230.0,1187.0,1190.38,9148,11003153.4,299
2025-09-18,1166.6,1121.2,1121.2,90,102728.0,9
2025-09-21,1180.0,1079.0,1167.24,16052,17960579.3,489
2025-09-23,1225.0,1152.0,1214.5,9280,11106344.5,320
2025-09-24,1243.0,1196.0,1229.9,8975,10908691.6,230
2025-09-25,1238.0,1205.4,1212.7,9885,12019946.3,178
2025-09-28,1214.0,1190.1,1213.8,5814,6981512.4,160
2025-10-07,1200.0,1145.0,1154.9,12327,14379640.0,300
2025-10-08,1174.0,1114.0,1139.0,7720,8726433.3,223
2025-10-09,1230.0,1135.0,1149.9,10768,12543796.0,227
2025-10-12,1149.0,1098.0,1101.0,7517,8360812.0,270
2025-10-13,1194.9,1095.0,1179.0,20366,23216760.6,406
2025-10-14,1215.0,1158.7,1199.0,16186,19267203.7,354
2025-10-15,1236.4,1166.3,1187.0,6322,7561975.5,199
2025-10-16,1173.0,1143.0,1152.0,11945,13795507.0,230
2025-10-19,1215.0,1146.0,1199.0,11494,13709377.9,275
2025-10-26,1204.5,1172.0,1180.1,7644,9087273.8,165
2025-10-28,1219.9,1180.0,1217.8,10296,12442957.9,268
2025-10-29,1275.9,1220.0,1229.0,24276,30347666.2,378
2025-10-30,1264.7,1210.0,1245.0,9577,11905040.2,265
2025-11-02,1280.0,1240.0,1263.0,14222,17971340.7,313
2025-11-03,1288.0,1245.0,1246.0,8900,11202304.2,214
2025-11-04,1251.0,1215.0,1216.1,6224,7646200.7,200
2025-11-05,1215.1,1190.7,1214.0,7252,8718453.5,206
2025-11-06,1222.0,1181.0,1190.1,8558,10267353.2,184
2025-11-09,1199.0,1160.0,1165.0,7034,8245273.0,253
2025-11-10,1180.9,1148.0,1159.0,8130,9410487.0,194
2025-11-11,1182.0,1146.0,1157.0,4285,4974387.8,151
2025-11-12,1170.0,1126.1,1133.0,5787,6590720.1,196
2025-11-13,1149.9,1124.19,1146.0,4995,5684195.2,161
2025-11-16,1168.9,1128.1,1130.0,3886,4406491.0,155
2025-11-17,1150.0,1123.0,1135.1,3895,4435827.5,155
2025-11-18,1160.0,1131.5,1140.0,4396,5037696.5,142
2025-11-19,1183.0,1136.0,1180.0,11941,13802819.8,265
2025-11-20,1233.0,1180.0,1195.9,22132,26733019.5,469
2025-11-23,1220.0,1180.0,1198.7,7858,9490796.2,255
2025-11-24,1217.0,1191.1,1192.2,10067,12071007.7,256
2025-11-25,1192.0,1170.0,1180.0,8729,10286967.2,228
2025-11-26,1199.9,1170.0,1179.0,7681,9017568.8,204
2025-11-27,1264.0,1160.0,1247.0,38132,46858381.2,659
2025-11-30,1278.0,1223.0,1228.0,25206,31572576.6,550
2025-12-01,1239.9,1209.0,1215.0,10546,12843013.7,262
2025-12-02,1225.0,1201.0,1225.0,11587,14045019.9,225
2025-12-03,1330.0,1200.5,1311.0,72151,92283090.5,1066
