Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1100.0,1095.0,1098.0,100,109700.0,4
2024-12-04,1094.5,1094.5,1094.5,50,54725.0,2
2024-12-05,1094.5,1094.5,1094.5,0,0.0,0
2024-12-08,1095.3,1095.3,1095.3,25,27382.5,1
2024-12-09,1122.0,1098.0,1122.0,160,178272.0,5
2024-12-10,1122.0,1122.0,1122.0,0,0.0,0
2024-12-11,1130.0,1110.0,1110.0,75,84125.0,3
2024-12-12,1110.0,1110.0,1110.0,0,0.0,0
2024-12-16,1112.0,1112.0,1112.0,25,27800.0,1
2024-12-17,1134.2,1134.2,1134.2,10,11342.0,1
2024-12-18,1116.0,1116.0,1116.0,25,27900.0,1
2024-12-19,1116.0,1116.0,1138.3,1,1138.3,1
2024-12-22,1130.0,1111.0,1113.0,100,112100.0,3
2024-12-23,1173.0,1113.0,1150.0,580,678905.5,8
2024-12-24,1131.0,1131.0,1131.0,100,113100.0,1
2024-12-26,1153.6,1131.0,1153.6,93,106701.8,6
2024-12-29,1153.0,1133.0,1133.0,140,159545.0,3
2024-12-31,1135.0,1120.0,1120.0,80,90425.0,3
2025-01-01,1117.0,1117.0,1117.0,30,33510.0,1
2025-01-02,1139.3,1117.0,1125.0,79,89647.2,3
2025-01-05,1170.0,1125.0,1170.0,658,769158.0,6
2025-01-06,1170.0,1170.0,1170.0,0,0.0,0
2025-01-07,1148.0,1148.0,1148.0,100,114800.0,1
2025-01-08,1145.0,1145.0,1145.0,50,57250.0,2
2025-01-09,1145.0,1145.0,1145.0,25,28625.0,1
2025-01-12,1130.0,1130.0,1130.0,75,84750.0,2
2025-01-13,1152.6,1121.0,1152.6,157,178397.1,9
2025-01-15,1129.6,1129.6,1129.6,100,112960.0,1
2025-01-16,1129.6,1129.6,1129.6,0,0.0,0
2025-01-19,1169.0,1125.1,1125.1,781,906876.5,11
2025-01-20,1132.0,1111.0,1133.2,80,89863.5,7
2025-01-21,1133.0,1111.0,1111.0,50,56100.0,2
2025-01-22,1129.0,1111.0,1111.0,20065,22652215.0,4
2025-01-23,1116.0,1111.0,1116.0,82,91387.0,3
2025-01-26,1105.0,1105.0,1105.0,25,27625.0,1
2025-01-27,1127.1,1105.0,1105.0,140,156931.5,5
2025-01-28,1111.0,1111.0,1111.0,75,83325.0,2
2025-02-02,1169.0,1111.0,1160.0,697,814094.0,4
2025-02-03,1155.0,1137.0,1137.0,75,86175.0,2
2025-02-04,1137.0,1137.0,1137.0,0,0.0,0
2025-02-05,1169.0,1091.1,1173.0,2524,2763373.52,10
2025-02-06,1150.0,1127.0,1127.0,90,102580.0,2
2025-02-09,1219.7,1149.5,1171.5,2128,2593123.0,6
2025-02-10,1155.0,1155.0,1155.0,699,807345.0,2
2025-02-11,1155.0,1155.0,1155.0,0,0.0,0
2025-02-12,1132.0,1121.0,1130.0,225,253500.0,4
2025-02-13,1121.1,1121.1,1121.1,25,28027.5,1
2025-02-16,1120.0,1120.0,1120.0,25,28000.0,1
2025-02-17,1142.4,1121.0,1121.0,36,40591.4,2
2025-02-18,1126.0,1125.0,1126.0,50,56275.0,2
2025-02-20,1117.1,1115.1,1117.1,75,83730.0,3
2025-02-23,1155.0,1117.1,1155.0,311,358253.3,4
2025-02-24,1155.0,1155.0,1155.0,0,0.0,0
2025-02-25,1155.0,1135.0,1155.0,50,57250.0,2
2025-02-27,1155.0,1155.0,1155.0,0,0.0,0
2025-03-02,1155.0,1155.0,1155.0,0,0.0,0
2025-03-03,1155.0,1155.0,1155.0,0,0.0,0
2025-03-04,1150.0,1139.9,1150.0,56,64087.0,3
