Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,253.0,245.0,246.0,139872,34642552.4,383
2024-12-04,252.0,245.0,245.5,144473,35882717.0,482
2024-12-05,247.5,240.0,242.0,114892,27840865.9,385
2024-12-08,243.2,235.2,238.0,92242,21950469.0,309
2024-12-09,241.0,234.6,236.0,70087,16568316.4,238
2024-12-10,243.5,234.2,235.0,60635,14328658.8,233
2024-12-11,242.0,233.9,240.9,78002,18599229.3,225
2024-12-12,245.0,234.5,234.7,52814,12512972.3,190
2024-12-16,233.0,226.0,227.2,136659,31279480.8,422
2024-12-17,229.7,225.6,227.9,44034,10023191.0,209
2024-12-18,230.0,225.0,225.3,38904,8811983.2,150
2024-12-19,226.0,220.0,220.0,71851,15944962.2,289
2024-12-22,227.0,215.7,218.0,58811,12888050.4,240
2024-12-23,227.0,216.3,226.0,58160,12995951.2,222
2024-12-24,230.0,220.5,223.2,64758,14561186.6,262
2024-12-26,225.4,220.5,221.0,40666,9038348.2,201
2024-12-29,224.5,219.0,219.8,36801,8135278.9,194
2024-12-31,223.0,215.6,219.5,63072,13694502.8,245
2025-01-01,222.4,216.3,217.5,39764,8685180.8,175
2025-01-02,221.0,216.0,217.6,69441,15190279.6,221
2025-01-05,221.9,216.7,220.0,43749,9612876.6,194
2025-01-06,231.1,218.1,228.8,96585,21989603.0,315
2025-01-07,233.3,226.8,227.0,60886,13922096.6,246
2025-01-08,233.0,225.0,230.5,106425,24513641.6,316
2025-01-09,238.5,231.0,232.0,139980,32792246.7,398
2025-01-12,233.0,225.5,226.0,37537,8572618.4,147
2025-01-13,227.9,221.5,222.0,44628,9968732.8,201
2025-01-15,226.0,221.0,223.0,53259,11872201.4,212
2025-01-16,227.4,220.5,221.5,64533,14339822.8,187
2025-01-19,224.4,219.0,222.0,54395,12028878.0,227
2025-01-20,229.0,223.3,225.4,68041,15358637.4,230
2025-01-21,229.5,223.6,224.5,45519,10202670.9,138
2025-01-22,233.0,225.0,230.9,102305,23489110.3,327
2025-01-23,235.4,226.3,231.0,79684,18371921.47,251
2025-01-26,237.0,228.0,231.9,96933,22581672.0,340
2025-01-27,237.8,227.3,232.9,101345,23659047.0,303
2025-01-28,246.0,231.3,244.0,195849,46991678.7,577
2025-02-02,258.6,239.2,249.6,331599,83337772.2,906
