Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,528.4,515.0,517.0,41703,21773507.2,638
2024-12-04,530.0,514.2,523.0,56469,29594945.3,908
2024-12-05,526.5,518.0,521.0,54710,28558537.0,604
2024-12-08,524.9,511.1,515.9,52931,27288180.5,595
2024-12-09,520.1,512.0,516.0,44413,22887073.1,476
2024-12-10,526.3,512.0,513.5,23492,12118799.4,417
2024-12-11,523.0,508.0,520.0,22016,11302114.7,409
2024-12-12,522.2,512.0,513.1,34927,18055168.4,501
2024-12-16,513.0,505.3,506.9,30117,15300578.8,449
2024-12-17,510.0,500.3,506.2,17408,8813435.1,433
2024-12-18,510.0,500.0,505.0,20015,10132549.2,334
2024-12-19,505.0,499.5,500.0,50963,25530824.6,444
2024-12-22,504.0,495.3,495.3,24847,12402211.7,464
2024-12-23,505.0,492.3,500.5,18605,9276879.0,449
2024-12-24,507.0,496.6,503.8,22033,11075353.6,432
2024-12-26,505.8,495.1,499.0,18280,9134415.0,409
2024-12-29,500.0,493.8,495.8,21638,10743057.7,452
2024-12-31,495.6,485.9,494.9,25897,12683647.8,428
2025-01-01,495.0,490.1,494.8,12359,6087119.6,299
2025-01-02,503.0,492.1,500.8,16004,7983531.9,412
2025-01-05,501.0,493.0,498.2,15619,7782730.5,459
2025-01-06,509.0,497.0,507.0,34052,17180735.6,690
2025-01-07,516.0,505.7,515.0,47641,24367176.5,664
2025-01-08,523.5,512.1,519.0,33319,17304335.4,632
2025-01-09,518.0,507.6,510.0,32872,16802071.4,513
2025-01-12,510.0,506.2,507.9,15393,7808154.8,385
2025-01-13,512.9,500.0,509.0,29103,14678477.3,485
2025-01-15,515.0,502.0,511.0,22572,11533621.2,497
2025-01-16,514.9,504.0,513.0,18714,9515162.0,439
2025-01-19,517.0,503.0,515.0,26260,13472675.5,602
2025-01-20,520.0,510.1,515.5,31337,16178097.7,543
2025-01-21,524.9,506.1,524.9,37482,19530748.0,787
2025-01-22,529.0,521.8,526.8,55332,29113116.8,735
2025-01-23,534.0,521.2,526.0,49465,26100041.2,750
2025-01-26,530.0,521.2,522.5,34774,18277801.5,692
2025-01-27,530.0,514.1,522.8,41287,21637298.6,596
2025-01-28,527.0,517.0,522.8,54502,28394229.5,697
2025-02-02,540.0,522.5,539.0,97068,51889679.5,1203
2025-02-03,555.8,527.0,548.0,208551,114217115.74,1316
2025-02-04,562.0,545.2,559.9,124843,69411044.2,1285
2025-02-05,565.0,556.0,563.9,113932,63814648.9,929
2025-02-06,574.9,555.0,557.0,140028,78378075.7,738
2025-02-09,565.0,550.1,554.0,108711,60498980.4,790
2025-02-10,554.0,544.0,549.0,96850,52985140.1,675
2025-02-11,556.9,550.1,552.9,90570,50045751.0,707
2025-02-12,573.2,552.0,562.0,105966,59579781.9,832
2025-02-13,569.0,553.0,553.0,65148,36425313.8,625
2025-02-16,564.0,550.1,562.0,67471,37801712.6,983
2025-02-17,570.0,562.0,568.0,99661,56515145.4,874
2025-02-18,577.0,562.0,567.0,164742,93769778.4,1000
2025-02-20,575.0,556.0,573.0,159295,90399563.5,1101
2025-02-23,576.0,556.0,575.0,174237,99530851.5,1075
2025-02-24,578.0,560.0,560.0,94899,54042190.7,903
2025-02-25,566.0,553.1,554.0,45631,25437621.85,840
2025-02-27,576.0,554.0,567.0,124023,70307203.5,1035
2025-03-02,590.0,567.0,582.9,186981,108524780.4,1433
2025-03-03,593.0,575.0,581.0,194373,113799557.1,1396
2025-03-04,590.0,568.0,570.0,135852,78934100.9,981
2025-03-05,571.9,560.1,569.8,118893,67246434.2,888
2025-03-06,574.0,560.2,574.0,61586,34936522.0,724
2025-03-09,581.0,560.2,563.1,104344,59040868.1,861
2025-03-10,570.9,558.1,563.0,107896,60599324.6,738
2025-03-11,572.0,550.0,552.0,87554,49046337.1,693
2025-03-12,570.0,552.0,570.0,101273,56727748.66,879
2025-03-16,577.0,566.3,575.0,141638,80563281.4,896
2025-03-17,583.0,566.5,575.0,129451,73943650.3,732
2025-03-18,586.5,562.1,565.0,87850,49776887.8,485
2025-03-19,566.0,549.0,550.0,63467,35150543.9,511
2025-03-20,555.0,542.1,547.34,69391,37817742.9,512
2025-03-23,548.7,531.5,531.77,110510,59716845.1,553
2025-03-24,545.0,521.0,536.84,85320,45276737.1,579
2025-03-25,537.0,515.0,521.23,74570,39297633.9,431
2025-03-26,545.0,519.2,535.87,70480,37371007.1,503
2025-03-27,549.0,520.0,544.22,100760,54216930.5,635
2025-03-30,555.0,536.0,552.22,174878,95773793.8,842
2025-04-01,554.9,540.0,549.91,79154,43266872.4,491
2025-04-02,555.0,541.0,549.0,51578,28415891.6,427
2025-04-03,554.5,543.0,543.79,114506,62762469.7,508
2025-04-07,547.0,533.3,537.12,45587,24639841.8,408
2025-04-08,538.0,524.0,528.53,45108,23845555.4,442
2025-04-09,539.0,528.0,534.33,78993,42251981.9,444
2025-04-10,545.0,534.1,538.4,38220,20543406.6,395
2025-04-13,540.0,532.0,533.75,11672,6229760.5,308
2025-04-15,538.0,525.1,529.72,22102,11782540.5,394
2025-04-16,548.0,523.0,539.35,58647,31487889.2,488
2025-04-17,561.0,540.1,546.8,81681,44581889.5,671
2025-04-20,544.8,535.1,535.72,32171,17411849.4,357
2025-04-21,544.0,528.1,538.12,32847,17559580.5,435
2025-04-22,540.0,526.0,527.41,49396,26189719.7,448
2025-04-23,534.8,520.0,520.33,43023,22466936.8,367
2025-04-24,523.0,514.0,518.52,53032,27459961.8,398
2025-04-27,535.0,516.0,523.69,112455,59580047.8,581
2025-04-28,534.8,518.0,519.73,90906,47860905.0,432
2025-04-29,523.9,514.0,514.93,29381,15208886.0,318
2025-04-30,520.0,513.2,515.02,52613,27123798.9,326
2025-05-04,519.0,510.5,514.37,64447,33212831.6,476
2025-05-05,534.3,496.0,504.46,224490,113241160.4,706
2025-05-06,524.7,505.3,514.01,101001,52130103.1,564
2025-05-07,527.5,515.1,522.38,190103,99125605.4,979
2025-05-08,530.0,510.0,510.96,174426,90050829.7,865
2025-05-11,516.9,506.6,509.14,83109,42343171.1,566
2025-05-13,518.0,503.3,504.43,75396,38218946.9,672
2025-05-14,509.9,498.0,498.81,56922,28598143.8,689
2025-05-15,506.8,494.3,496.2,68476,34087036.6,687
2025-05-18,505.9,493.4,496.13,48662,24212012.3,570
2025-05-19,503.0,496.1,497.23,21048,10506257.1,454
2025-05-20,518.0,497.0,514.74,46394,23585372.3,589
2025-05-21,545.0,515.9,517.36,102289,53636051.2,664
2025-05-22,527.7,515.0,516.83,49440,25649289.1,606
2025-05-25,527.1,512.0,513.61,32153,16585626.9,518
2025-05-26,534.2,511.6,512.51,52388,27062218.3,541
2025-05-27,522.6,507.1,508.7,42156,21533111.9,471
2025-05-28,513.9,506.1,509.95,24481,12455962.6,403
2025-06-02,519.8,512.1,513.37,55405,28597890.7,626
2025-06-03,517.9,510.0,511.54,38169,19548138.9,506
2025-06-04,520.0,501.4,510.89,26180,13306489.2,467
2025-06-05,513.9,505.0,508.98,37635,19142527.4,483
2025-06-08,514.5,505.5,506.99,88911,45243686.4,1110
2025-06-09,455.0,440.0,444.8,50168,22316118.7,554
2025-06-10,457.9,446.0,452.56,26927,12186117.5,430
2025-06-11,454.9,446.1,447.88,18780,8426103.3,258
2025-06-12,447.0,442.0,443.95,20647,9176376.5,352
2025-06-15,447.0,443.0,444.45,14184,6308587.7,378
2025-06-16,447.0,440.5,444.18,19820,8819456.7,365
2025-06-17,448.0,441.2,444.36,17202,7640992.5,286
2025-06-18,448.5,442.4,443.9,12894,5721995.4,331
2025-06-19,450.0,441.0,442.48,22663,10025891.5,332
2025-06-22,441.0,433.2,433.84,30116,13113085.7,461
2025-06-23,441.0,432.0,435.5,15422,6718002.1,310
2025-06-24,440.0,433.0,434.06,11544,5028946.1,275
2025-06-25,436.0,431.2,432.83,10860,4702309.1,280
2025-06-26,435.9,430.0,430.42,21505,9290372.4,330
2025-06-29,439.0,430.0,437.35,20776,9025085.6,357
2025-06-30,444.5,436.0,439.76,15057,6632589.2,290
2025-07-01,450.0,440.0,448.83,16532,7365164.0,377
2025-07-02,462.7,446.0,459.5,41545,18973789.2,523
2025-07-03,480.0,455.7,479.7,203534,95893545.9,866
2025-07-06,485.0,473.7,474.62,97161,46556898.4,700
2025-07-07,480.0,468.0,471.33,163996,77825234.4,572
2025-07-08,476.3,465.0,472.7,25563,11992488.4,351
2025-07-09,478.0,470.5,472.92,30840,14595442.0,339
2025-07-10,480.0,465.2,476.45,27983,13289608.5,429
2025-07-13,485.0,472.3,474.4,58025,27624543.3,448
2025-07-14,473.0,466.0,467.92,20220,9479935.7,316
2025-07-15,474.0,461.3,471.85,19662,9223748.7,302
2025-07-16,480.0,471.1,476.68,83840,40065325.1,365
2025-07-17,494.0,475.0,492.08,133635,65476964.5,760
2025-07-20,510.0,488.0,493.82,149947,74931160.2,982
2025-07-21,496.0,482.0,492.86,56981,27986471.5,591
2025-07-22,513.0,492.0,510.42,172965,87433302.2,1327
2025-07-23,520.0,493.0,509.94,138802,69929038.7,1053
2025-07-24,520.9,509.0,515.49,189096,97412332.4,1032
2025-07-27,526.0,507.0,512.47,186861,96927075.2,1193
2025-07-28,514.9,502.4,512.59,67664,34386766.7,859
2025-07-29,521.9,504.0,517.72,148900,77099117.9,1281
2025-07-30,522.0,504.0,505.14,53155,27070910.2,720
2025-07-31,510.0,495.3,496.84,99581,50043190.2,819
2025-08-03,497.5,484.0,485.45,77607,37835375.6,982
2025-08-04,490.0,481.2,489.39,31899,15479232.0,689
2025-08-05,490.0,480.5,482.2,24667,11951173.3,509
2025-08-06,485.0,476.0,477.25,21983,10512253.9,428
2025-08-07,498.0,472.0,484.84,56464,27466344.2,559
2025-08-11,504.3,481.1,484.94,117489,57678806.3,639
2025-08-12,482.0,478.3,479.54,13537,6492078.1,427
2025-08-13,490.0,475.0,475.75,39713,19136555.3,445
2025-08-14,484.1,473.0,473.57,16108,7652603.9,397
2025-08-17,480.0,466.1,474.34,121451,57141896.6,892
2025-08-18,482.4,464.9,479.68,70925,33846938.3,547
2025-08-19,485.0,476.1,483.3,90215,43572401.1,630
2025-08-20,488.0,475.5,476.02,57854,27903183.9,533
2025-08-21,484.5,475.0,477.27,37313,17891601.5,508
2025-08-24,494.0,469.0,474.59,104290,50620456.6,582
2025-08-25,476.0,466.0,475.65,21228,10028343.1,425
2025-08-26,482.9,472.1,476.78,27492,13187817.1,359
2025-08-27,498.0,473.0,489.23,177939,86087162.4,761
2025-08-28,495.0,478.5,479.95,85710,41969158.9,539
2025-08-31,480.0,469.3,469.76,41368,19521917.9,541
2025-09-01,479.1,467.0,472.66,70711,33446127.9,455
2025-09-02,474.0,466.0,466.56,25274,11865289.1,511
2025-09-03,470.0,463.0,463.6,17682,8224095.4,420
2025-09-04,469.4,458.7,461.1,26402,12171094.5,428
2025-09-07,465.9,453.3,455.04,26746,12230279.5,449
2025-09-08,459.0,447.0,448.43,34612,15604694.9,336
2025-09-18,439.5,423.0,424.0,2739,1179713.6,45
2025-09-21,453.9,416.0,447.89,53038,23169007.6,757
2025-09-23,480.0,440.0,467.0,96077,45015093.2,504
2025-09-24,474.9,462.0,468.5,56386,26453923.0,291
2025-09-25,464.9,456.0,461.9,18500,8508226.5,207
2025-09-28,477.9,463.2,472.0,61784,29116136.4,227
2025-10-07,467.0,450.0,451.3,36241,16506381.7,364
2025-10-08,452.0,440.1,448.8,29176,12966252.6,329
2025-10-09,474.0,448.8,453.0,27174,12384870.2,295
2025-10-12,450.0,436.2,437.0,31142,13759932.5,352
2025-10-13,447.6,430.0,447.6,22100,9656953.4,359
2025-10-14,449.8,442.0,444.0,17573,7812171.1,231
2025-10-15,445.0,436.0,441.0,13728,6037786.0,185
2025-10-16,441.0,434.1,436.0,13100,5721013.6,188
2025-10-19,440.0,431.2,434.3,8029,3497631.9,152
2025-10-26,439.8,432.0,439.0,11807,5131268.0,167
