Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,3600.1,3458.0,3476.0,1196,4199150.4,67
2024-12-04,3615.0,3420.0,3521.0,1194,4138755.0,44
2024-12-05,3500.0,3391.0,3406.0,1107,3818298.5,48
2024-12-08,3549.0,3356.0,3450.0,2869,9843797.9,55
2024-12-09,3587.0,3451.0,3587.0,942,3313440.8,44
2024-12-10,3658.0,3490.0,3647.3,676,2426741.5,36
2024-12-11,3690.0,3551.0,3600.0,550,1964493.7,21
2024-12-12,3685.0,3585.0,3586.0,1145,4153088.6,52
2024-12-16,3719.0,3470.0,3470.0,616,2168594.5,35
2024-12-17,3570.0,3410.0,3540.0,1171,4055210.9,47
2024-12-18,3824.0,3469.2,3550.5,956,3440885.3,42
2024-12-19,3609.0,3431.0,3431.0,542,1885542.3,33
2024-12-22,3733.0,3318.5,3386.0,2026,6947796.5,96
2024-12-23,3450.0,3383.0,3385.0,404,1370742.5,32
2024-12-24,3501.0,3445.0,3501.0,1510,5224659.2,55
2024-12-26,3597.0,3433.0,3597.0,916,3232419.2,45
2024-12-29,3650.0,3509.9,3509.9,1585,5673299.9,66
2024-12-31,3579.0,3440.0,3445.1,441,1532432.1,34
2025-01-01,3576.0,3445.0,3500.0,345,1208237.0,23
2025-01-02,3500.0,3416.1,3489.0,882,3039507.0,34
2025-01-05,3494.0,3420.1,3487.1,646,2230025.7,25
2025-01-06,3546.0,3470.0,3480.0,641,2246287.6,36
2025-01-07,3540.0,3400.0,3464.0,698,2410975.4,42
2025-01-08,3533.0,3430.0,3460.0,675,2341235.9,31
2025-01-09,3460.0,3347.0,3375.0,782,2661331.2,46
2025-01-12,3382.0,3320.0,3320.0,516,1722468.5,23
2025-01-13,3386.0,3254.0,3288.0,1288,4233382.0,62
2025-01-15,3353.7,3224.2,3224.2,594,1933598.2,35
2025-01-16,3347.0,3217.0,3300.0,329,1080821.3,18
2025-01-19,3309.9,3251.1,3308.0,505,1663486.4,25
2025-01-20,3386.0,3300.0,3330.0,616,2050891.6,34
2025-01-21,3336.0,3280.0,3336.0,456,1499331.6,20
2025-01-22,3469.0,3290.0,3468.0,738,2511627.7,50
2025-01-23,3480.0,3346.0,3400.0,573,1937247.6,26
2025-01-26,3400.0,3350.0,3350.0,441,1479761.6,32
2025-01-27,3550.0,3340.0,3397.0,757,2560565.3,51
2025-01-28,3455.0,3350.0,3352.4,379,1278630.6,24
2025-02-02,3445.0,3332.0,3445.0,1006,3417176.0,51
2025-02-03,3514.0,3400.0,3487.0,857,2965669.6,44
2025-02-04,3544.0,3401.0,3430.0,720,2472751.3,40
2025-02-05,3470.1,3381.0,3400.0,655,2240196.4,37
2025-02-06,3465.0,3400.0,3449.0,1231,4219782.2,47
2025-02-09,3475.0,3400.0,3410.0,481,1643630.0,27
2025-02-10,3470.0,3390.0,3390.0,676,2324963.4,34
2025-02-11,3430.0,3373.0,3405.0,433,1468584.5,20
2025-02-12,3400.0,3367.0,3400.0,333,1127545.0,12
2025-02-13,3400.0,3362.2,3400.0,112,378578.0,7
2025-02-16,3467.0,3350.0,3395.0,1137,3848452.8,50
2025-02-17,3734.5,3450.0,3683.9,4982,17951591.6,212
2025-02-18,3710.0,3600.0,3600.0,797,2900941.4,53
2025-02-20,3750.0,3551.0,3694.0,1434,5315316.0,75
2025-02-23,3670.0,3550.0,3595.0,803,2900324.6,42
2025-02-24,3600.0,3500.0,3500.0,1047,3724044.2,49
2025-02-25,3600.0,3430.0,3540.0,643,2244156.2,61
2025-02-27,3610.0,3480.0,3539.0,599,2114844.8,50
2025-03-02,3468.3,3185.1,3185.1,16169,51822531.5,586
2025-03-03,3122.0,2866.6,2866.6,5265,15080228.6,190
2025-03-04,2809.3,2580.0,2698.2,7043,18297791.7,257
2025-03-05,2968.0,2428.4,2968.0,7373,20168747.3,342
2025-03-06,3087.0,2940.0,2966.0,1410,4219526.3,98
2025-03-09,2906.7,2669.4,2750.0,2202,6057345.3,111
2025-03-10,2808.0,2689.4,2690.0,2477,6768594.4,101
2025-03-11,2739.9,2635.0,2650.0,1270,3384114.5,70
2025-03-12,2702.0,2570.0,2600.0,1343,3505516.5,69
2025-03-16,2652.0,2562.7,2615.0,1318,3442058.4,85
2025-03-17,2666.0,2563.0,2611.0,1168,3036859.9,64
2025-03-18,2635.0,2595.0,2598.0,343,894229.0,31
2025-03-19,2621.0,2582.1,2614.0,548,1430004.1,21
2025-03-20,2623.9,2572.0,2585.86,524,1360294.0,35
2025-03-23,2580.0,2485.1,2506.51,1159,2926593.8,55
2025-03-24,2595.0,2499.0,2585.0,636,1622169.9,34
