Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1119.5,1119.5,1119.5,35,39182.5,2
2024-12-04,1119.5,1119.5,1119.5,0,0.0,0
2024-12-05,1119.5,1119.5,1119.5,0,0.0,0
2024-12-08,1119.5,1119.5,1119.5,0,0.0,0
2024-12-09,1150.0,1119.0,1150.0,145,164595.0,12
2024-12-10,1150.0,1150.0,1150.0,0,0.0,0
2024-12-11,1150.0,1150.0,1150.0,0,0.0,0
2024-12-12,1150.0,1150.0,1150.0,0,0.0,0
2024-12-16,1150.0,1150.0,1150.0,0,0.0,0
2024-12-17,1150.0,1150.0,1150.0,0,0.0,0
2024-12-18,1150.0,1150.0,1150.0,0,0.0,0
2024-12-19,1150.0,1150.0,1150.0,0,0.0,0
2024-12-22,1150.0,1150.0,1150.0,0,0.0,0
2024-12-23,1150.0,1150.0,1150.0,0,0.0,0
2024-12-24,1150.0,1150.0,1150.0,0,0.0,0
2024-12-26,1150.0,1150.0,1150.0,0,0.0,0
2024-12-29,1150.0,1150.0,1150.0,0,0.0,0
2024-12-31,1150.0,1150.0,1150.0,0,0.0,0
2025-01-01,1150.0,1150.0,1150.0,0,0.0,0
2025-01-02,1150.0,1150.0,1150.0,0,0.0,0
2025-01-05,1150.0,1150.0,1150.0,0,0.0,0
2025-01-06,1150.0,1150.0,1150.0,0,0.0,0
2025-01-07,1150.0,1150.0,1150.0,0,0.0,0
2025-01-08,1150.0,1150.0,1150.0,0,0.0,0
2025-01-09,1150.0,1150.0,1150.0,0,0.0,0
2025-01-12,1150.0,1150.0,1150.0,0,0.0,0
2025-01-13,1127.0,1127.0,1127.0,20035,22579445.0,1
2025-01-15,1127.0,1127.0,1127.0,0,0.0,0
2025-01-16,1127.0,1127.0,1127.0,0,0.0,0
2025-01-19,1127.0,1127.0,1127.0,0,0.0,0
2025-01-20,1127.0,1127.0,1127.0,0,0.0,0
2025-01-21,1127.0,1127.0,1127.0,0,0.0,0
2025-01-22,1127.0,1127.0,1127.0,0,0.0,0
2025-01-23,1127.0,1127.0,1127.0,0,0.0,0
2025-01-26,1104.5,1104.5,1104.5,10,11045.0,1
2025-01-27,1104.5,1104.5,1104.5,0,0.0,0
2025-01-28,1090.0,1069.2,1090.0,200,216115.5,6
2025-02-02,1080.0,1076.4,1076.4,75,80910.0,3
2025-02-03,1076.4,1076.4,1076.4,0,0.0,0
2025-02-04,1080.0,1080.0,1080.0,67,72360.0,1
2025-02-05,1080.0,1080.0,1080.0,0,0.0,0
2025-02-06,1101.6,1080.6,1101.6,209,229689.0,3
2025-02-09,1101.6,1101.6,1101.6,0,0.0,0
2025-02-10,1101.6,1101.6,1101.6,0,0.0,0
2025-02-11,1101.6,1101.6,1101.6,0,0.0,0
2025-02-12,1101.6,1101.6,1101.6,0,0.0,0
2025-02-13,1101.6,1101.6,1101.6,0,0.0,0
2025-02-16,1101.6,1101.6,1101.6,0,0.0,0
2025-02-17,1080.6,1080.6,1080.6,25,27015.0,1
2025-02-18,1080.6,1080.6,1080.6,0,0.0,0
2025-02-20,1080.6,1080.6,1080.6,0,0.0,0
2025-02-23,1080.6,1080.6,1080.6,0,0.0,0
2025-02-24,1080.6,1080.6,1080.6,0,0.0,0
2025-02-25,1080.6,1080.6,1080.6,0,0.0,0
2025-02-27,1080.6,1080.6,1080.6,0,0.0,0
2025-03-02,1080.6,1080.6,1080.6,0,0.0,0
2025-03-03,1080.6,1080.6,1080.6,0,0.0,0
2025-03-04,1080.6,1080.6,1080.6,0,0.0,0
2025-03-05,1080.6,1080.6,1080.6,0,0.0,0
2025-03-06,1080.6,1080.6,1080.6,0,0.0,0
2025-03-09,1078.0,1078.0,1078.0,140,150920.0,4
2025-03-10,1078.0,1078.0,1075.5,25,26937.5,2
2025-03-11,1075.5,1075.5,1075.5,0,0.0,0
2025-03-12,1075.5,1075.5,1075.5,0,0.0,0
