Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,324.9,314.6,317.0,85541,27158547.0,204
2024-12-04,323.3,314.3,316.5,68254,21676813.5,171
2024-12-05,317.0,310.2,313.8,99424,31365803.0,235
2024-12-08,314.0,308.2,310.0,68129,21156903.6,291
2024-12-09,313.0,304.0,307.0,65636,20129670.3,274
2024-12-10,310.0,306.9,307.5,55930,17245873.7,166
2024-12-11,316.0,305.0,316.0,50740,15765133.7,211
2024-12-12,322.3,309.3,310.9,32942,10307418.9,178
2024-12-16,315.0,304.0,308.6,59124,18143350.0,240
2024-12-17,310.0,303.6,304.1,45154,13802203.7,213
2024-12-18,310.0,301.0,306.0,57468,17469023.4,197
2024-12-19,309.0,300.0,300.1,108839,32823415.0,210
2024-12-22,303.9,294.1,299.0,43436,12953470.0,211
2024-12-23,302.9,293.5,302.9,71110,21073105.8,258
2024-12-24,306.0,297.0,301.0,36105,10943733.1,184
2024-12-26,315.0,296.6,307.0,70976,21762116.3,271
2024-12-29,309.0,302.0,302.1,49463,15071068.3,179
2024-12-31,302.0,296.0,299.9,46404,13823632.4,220
2025-01-01,304.5,296.0,297.9,48546,14436250.7,163
2025-01-02,300.0,294.0,299.0,36139,10738783.8,139
2025-01-05,301.9,295.9,296.7,37798,11228881.4,148
2025-01-06,302.0,295.0,302.0,44537,13330930.6,197
2025-01-07,303.0,295.1,297.0,43497,12926655.9,223
2025-01-08,300.0,294.1,296.0,48776,14450188.2,192
2025-01-09,298.9,292.3,294.5,63592,18722126.8,255
2025-01-12,297.0,292.2,292.7,18665,5474734.6,86
2025-01-13,294.8,291.2,291.4,43380,12657722.0,159
2025-01-15,297.0,290.0,290.0,37012,10790528.6,150
2025-01-16,294.0,288.0,291.5,52439,15258253.7,151
2025-01-19,300.9,293.5,299.8,109119,32494432.8,281
2025-01-20,302.0,292.1,293.0,28373,8406652.9,165
2025-01-21,298.0,292.0,293.0,52970,15552164.7,164
2025-01-22,302.0,292.0,298.0,114454,34048996.2,272
2025-01-23,303.9,293.5,299.0,61456,18272735.2,263
2025-01-26,299.0,293.1,293.2,62843,18507693.1,238
2025-01-27,298.0,292.1,292.6,60205,17630171.6,160
2025-01-28,295.0,291.1,291.1,63824,18662588.1,225
2025-02-02,301.0,294.0,298.5,61381,18320634.9,270
2025-02-03,304.9,292.6,298.8,75074,22589653.3,266
2025-02-04,304.0,295.1,296.9,87887,26322446.3,274
2025-02-05,300.0,294.4,300.0,48269,14350437.2,151
2025-02-06,303.0,294.2,295.0,47712,14145184.9,210
2025-02-09,300.0,292.1,292.9,63785,18774358.7,202
2025-02-10,297.9,290.1,290.1,69863,20487586.5,197
2025-02-11,294.9,285.0,290.2,65129,18979035.7,225
2025-02-12,299.0,290.1,290.5,56156,16415724.8,195
2025-02-13,296.3,290.0,293.1,29949,8752280.1,162
2025-02-16,298.0,293.0,297.0,67686,19992271.0,260
2025-02-17,304.0,294.1,303.3,137788,41341714.8,419
2025-02-18,309.0,302.2,305.0,125867,38504499.8,455
2025-02-20,311.0,300.1,306.0,121664,37257000.0,354
2025-02-23,308.0,298.0,304.0,144013,43889284.1,342
2025-02-24,312.0,304.0,305.5,70744,21694772.9,231
2025-02-25,311.0,305.2,307.0,71756,21999816.0,238
2025-02-27,323.0,311.0,317.5,230178,72728739.5,715
2025-03-02,325.0,318.0,322.8,169981,54496581.8,556
2025-03-03,329.2,318.0,318.2,139589,44916147.3,526
2025-03-04,324.0,314.0,315.2,133010,41961273.9,346
2025-03-05,316.9,309.2,309.4,71733,22340619.0,332
2025-03-06,312.5,307.2,309.3,94166,29137816.2,267
2025-03-09,313.0,307.0,309.5,70173,21730913.9,301
2025-03-10,312.0,307.2,308.0,73489,22738893.6,250
2025-03-11,312.0,305.0,306.9,68977,21209676.6,191
2025-03-12,310.0,305.0,307.0,40434,12385163.0,170
2025-03-16,310.0,301.0,304.0,69086,21041436.6,217
2025-03-17,308.0,301.2,305.0,25458,7780278.9,137
2025-03-18,311.1,303.0,303.5,29742,9061064.5,144
2025-03-19,306.8,302.2,302.2,41091,12493597.0,189
2025-03-20,306.0,301.0,302.05,47430,14341143.2,154
2025-03-23,307.8,297.1,298.22,69542,20846131.3,269
2025-03-24,304.0,297.0,299.8,33861,10151333.0,189
2025-03-25,299.0,294.3,295.64,54652,16195505.7,214
2025-03-26,300.1,295.0,299.84,48219,14411429.0,149
2025-03-27,305.8,299.1,300.92,35512,10688481.9,156
2025-03-30,307.0,301.0,302.11,68603,20832019.5,261
2025-04-01,306.0,297.7,299.21,47261,14222401.4,198
2025-04-02,305.1,298.0,299.8,42612,12746990.4,165
2025-04-03,308.0,295.0,302.75,82831,25051193.2,266
2025-04-07,303.0,299.2,299.96,49490,14877101.8,156
2025-04-08,301.0,297.4,299.74,30326,9063249.4,135
2025-04-09,307.8,298.0,299.05,41431,12402093.7,174
2025-04-10,305.0,298.0,298.72,39031,11689233.0,156
2025-04-13,304.6,298.0,300.9,55598,16627176.1,151
2025-04-15,306.0,300.0,303.14,34972,10645823.8,125
2025-04-16,309.0,300.0,303.72,70491,21422016.5,183
2025-04-17,310.0,301.0,306.23,67985,20827383.7,253
2025-04-20,313.0,307.0,309.54,113708,35233967.3,306
2025-04-21,315.7,305.0,311.91,79029,24501253.5,276
2025-04-22,313.0,307.5,312.19,106834,33168731.5,290
2025-04-23,312.4,308.1,309.29,62979,19496040.5,233
2025-04-24,310.5,306.2,306.89,36881,11339061.3,188
2025-04-27,314.0,305.8,306.45,83669,25785020.7,273
2025-04-28,307.5,304.0,304.99,65185,19938017.6,229
2025-04-29,308.0,302.0,302.95,71644,21767339.5,198
2025-04-30,305.0,299.5,300.22,73493,22100288.5,242
2025-05-04,307.0,301.0,302.59,119322,36027487.3,269
2025-05-05,305.8,300.0,300.48,64221,19374072.9,210
2025-05-06,302.0,300.0,301.17,50795,15296187.1,180
2025-05-07,310.0,299.7,307.33,65397,19956745.3,205
2025-05-08,311.0,305.0,306.06,64704,19867843.2,221
2025-05-11,310.0,306.1,307.75,44591,13725004.5,183
2025-05-13,312.0,306.0,307.34,36313,11149580.8,185
2025-05-14,307.0,304.5,305.5,31542,9627219.6,130
2025-05-15,306.0,302.5,305.28,35608,10864067.8,120
2025-05-18,310.0,304.5,305.06,51355,15698168.4,174
2025-05-19,308.0,304.5,306.93,94844,29077363.9,188
2025-05-20,315.0,305.0,312.27,72557,22532612.3,247
2025-05-21,331.0,312.7,313.22,174529,55647580.4,533
2025-05-22,327.0,314.0,322.79,214988,69148518.2,643
2025-05-25,328.0,319.0,321.93,212212,68319191.3,493
2025-05-26,336.6,319.1,322.24,233558,75810989.7,534
2025-05-27,322.0,317.7,320.36,75832,24276305.4,231
2025-05-28,325.9,318.0,323.52,176948,56976704.7,406
2025-06-02,332.0,320.5,322.94,155647,50676360.4,481
2025-06-03,324.0,314.9,315.6,241564,77089380.5,459
2025-06-04,316.0,312.4,313.91,67800,21273075.6,214
2025-06-05,317.0,312.0,313.15,42569,13369876.3,177
2025-06-08,315.0,310.0,310.35,53426,16643150.7,210
2025-06-09,314.9,309.0,311.53,50600,15736210.6,189
2025-06-10,321.9,311.5,319.5,80971,25637637.8,257
2025-06-11,324.0,315.0,317.39,73912,23618982.8,172
2025-06-12,320.0,315.0,316.11,59034,18677007.0,234
2025-06-15,321.9,315.0,315.15,50935,16114434.8,217
2025-06-16,319.0,313.0,316.81,91828,29021166.3,235
2025-06-17,319.9,315.0,315.7,31074,9820987.9,131
2025-06-18,318.1,315.0,317.5,74698,23678824.1,199
2025-06-19,317.9,315.1,315.52,72985,23092424.1,204
2025-06-22,317.0,312.0,314.05,90379,28395160.5,260
2025-06-23,314.5,311.0,312.2,63573,19841617.4,202
2025-06-24,318.4,313.0,315.2,78069,24550988.2,200
2025-06-25,319.9,314.0,314.87,61365,19347744.6,190
2025-06-26,318.8,314.0,317.81,70007,22185236.3,247
2025-06-29,324.3,315.5,322.24,145817,46679361.2,415
2025-06-30,328.6,320.0,323.87,177081,57096640.7,381
2025-07-01,335.0,322.0,334.0,276887,90986839.5,639
2025-07-02,342.0,329.1,339.53,249688,83521174.3,693
2025-07-03,340.1,333.2,337.75,251083,84663617.7,574
2025-07-06,342.0,335.0,339.43,333919,113209205.3,663
2025-07-07,344.0,336.0,339.1,310871,105687513.9,513
2025-07-08,343.0,334.3,334.92,186306,62680293.9,378
2025-07-09,343.5,334.1,341.71,252008,85436903.1,530
2025-07-10,362.7,340.0,358.11,747527,263498456.6,1861
2025-07-13,372.0,361.0,364.49,688601,251832642.6,1716
2025-07-14,367.8,355.2,356.27,691096,247506407.8,1101
2025-07-15,368.0,355.3,364.91,545695,197389578.0,1020
2025-07-16,379.0,364.0,374.77,778295,290864161.3,1371
2025-07-17,380.0,372.0,374.37,699852,262665453.5,1385
2025-07-20,381.0,362.0,365.11,606857,226811648.9,1246
2025-07-21,371.2,361.0,368.48,236215,86970945.1,719
2025-07-22,380.0,369.0,378.21,453292,169864064.1,1221
2025-07-23,381.0,372.0,376.04,467323,175546873.6,890
2025-07-24,380.0,373.0,378.76,372020,140366285.2,714
2025-07-27,386.3,379.0,381.53,366520,140085964.2,1015
2025-07-28,383.0,371.3,379.61,247302,93133053.5,823
2025-07-29,390.9,380.0,389.28,721481,279860826.6,1301
2025-07-30,391.0,382.0,383.86,337152,130056193.1,843
2025-07-31,384.0,374.0,375.2,299881,113415148.7,723
2025-08-03,382.6,363.1,367.67,281339,103735921.9,890
2025-08-04,376.0,361.1,368.62,291347,106768142.6,660
2025-08-05,378.0,365.2,366.8,168642,62404680.5,507
2025-08-06,370.0,363.0,364.84,124227,45346815.2,384
2025-08-07,371.0,366.1,369.57,135292,49959109.5,425
2025-08-11,380.0,371.0,371.67,351117,131081251.6,849
2025-08-12,372.5,368.3,369.16,139371,51569420.4,434
2025-08-13,385.0,366.0,368.57,153105,56641643.1,465
2025-08-14,372.0,365.2,367.83,88505,32616919.5,319
2025-08-17,373.0,365.0,366.09,125549,46277410.6,527
2025-08-18,369.7,364.9,365.9,114410,41877225.6,361
2025-08-19,372.0,367.0,368.62,88465,32633288.3,307
2025-08-20,372.0,365.0,367.12,115928,42529418.4,301
2025-08-21,370.0,365.0,367.43,125269,45964175.8,342
