Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,9.6,9.45,9.55,7600,72581.0,10
2024-12-04,9.73,9.55,9.6,23028,223314.34,12
2024-12-05,9.7,9.41,9.59,10350,99168.5,14
2024-12-08,9.6,9.41,9.44,2600,24672.0,13
2024-12-09,9.91,9.29,9.72,101445,995383.5,23
2024-12-10,9.63,9.45,9.63,39650,378617.5,14
2024-12-11,9.5,9.44,9.5,2400,22729.0,7
2024-12-12,9.57,9.36,9.57,19035,180704.45,11
2024-12-16,9.5,9.4,9.45,32100,303295.0,13
2024-12-17,9.4,9.32,9.33,26700,249089.0,12
2024-12-18,9.33,9.23,9.31,6550,60858.0,17
2024-12-19,9.36,9.18,9.25,3489,32334.04,6
2024-12-22,9.25,9.07,9.11,1900,17298.0,9
2024-12-23,9.2,9.02,9.09,3500,32035.0,6
2024-12-24,9.26,9.07,9.15,12450,113072.5,12
2024-12-26,9.2,9.0,9.2,12400,113882.0,9
2024-12-29,9.13,9.05,9.13,700,6367.0,7
2024-12-31,9.13,9.13,9.13,300,2739.0,2
2025-01-01,10.01,9.3,9.31,1734589,17334672.32,53
2025-01-02,9.67,9.31,9.32,19613,186683.71,12
2025-01-05,9.16,8.99,9.06,1300,11827.0,11
2025-01-06,9.1,9.0,9.1,1600,14501.0,13
2025-01-07,9.14,8.99,9.12,2150,19541.0,9
2025-01-08,9.3,9.12,9.16,14900,137005.0,7
2025-01-09,9.3,9.2,9.3,17000,156480.0,8
2025-01-12,9.29,9.12,9.29,5100,46890.0,10
2025-01-13,9.16,9.11,9.15,13380,122476.0,13
2025-01-15,9.24,9.02,9.09,4400,39990.0,12
2025-01-16,9.06,9.06,9.06,1100,9966.0,3
2025-01-19,9.18,9.0,9.1,4200,38122.0,11
2025-01-20,9.15,9.1,9.15,3250,29601.0,5
2025-01-21,9.11,9.0,9.11,2450,22239.0,12
2025-01-22,9.25,9.05,9.2,13230,121202.7,20
2025-01-23,9.2,9.1,9.1,17300,158284.0,11
2025-01-26,9.1,9.01,9.05,9150,83152.5,17
2025-01-27,9.2,9.02,9.02,900,8244.0,5
2025-01-28,9.1,8.96,9.1,11352,102247.44,21
2025-02-02,9.25,9.02,9.15,14000,128987.0,15
