Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,332.5,320.3,324.8,21927,7055626.7,117
2024-12-04,331.2,320.6,324.0,24433,7924584.0,126
2024-12-05,323.9,317.0,320.0,46163,14732599.4,148
2024-12-08,320.0,305.1,308.9,82416,25586427.4,330
2024-12-09,311.9,304.5,307.9,29981,9180459.3,156
2024-12-10,309.8,301.0,307.0,75207,22861320.0,258
2024-12-11,314.0,305.1,313.8,39339,12184432.2,151
2024-12-12,320.0,310.0,310.1,34515,10759953.0,117
2024-12-16,309.8,304.2,309.0,43002,13169580.9,110
2024-12-17,310.9,305.2,308.5,19018,5838152.2,91
2024-12-18,314.0,304.0,313.9,30048,9229357.2,122
2024-12-19,310.0,300.0,309.0,44686,13664465.1,147
2024-12-22,309.0,300.0,306.0,33147,10069134.5,148
2024-12-23,311.8,298.0,304.0,67555,20283067.8,168
2024-12-24,310.0,301.0,308.0,30557,9341866.1,108
2024-12-26,315.0,302.1,311.4,57848,17922945.3,243
2024-12-29,311.5,303.0,306.0,22355,6849175.7,112
2024-12-31,306.0,296.1,299.8,28020,8373036.8,138
2025-01-01,301.0,296.0,298.0,25362,7561624.1,94
2025-01-02,300.0,295.5,297.0,18216,5420125.1,79
2025-01-05,297.0,294.6,297.0,25876,7647860.5,99
2025-01-06,302.0,293.2,300.0,37603,11222222.5,131
2025-01-07,304.0,296.0,300.0,19715,5887238.4,93
2025-01-08,306.0,299.0,300.0,13697,4109282.1,74
2025-01-09,302.9,295.3,299.0,44195,13079168.0,116
2025-01-12,303.0,294.6,295.0,16009,4736312.6,77
2025-01-13,299.0,294.1,295.5,49316,14548749.6,117
2025-01-15,297.9,290.1,293.0,33759,9850639.2,146
2025-01-16,295.0,287.5,290.0,55630,16145061.6,141
2025-01-19,290.2,285.0,290.2,20388,5862838.9,136
2025-01-20,290.2,280.0,281.0,48103,13593760.9,224
2025-01-21,283.0,276.6,277.9,30934,8615355.0,167
2025-01-22,296.8,275.0,284.9,80035,22297911.0,257
2025-01-23,290.0,278.0,282.0,66965,18827581.3,232
2025-01-26,284.0,275.1,277.0,45539,12577934.7,170
2025-01-27,279.0,272.2,274.0,48660,13291898.6,150
2025-01-28,286.0,272.0,286.0,87577,24228236.7,251
2025-02-02,289.0,274.7,286.0,97466,27694390.3,263
2025-02-03,291.0,282.0,285.0,89950,25821626.6,249
2025-02-04,292.0,281.0,283.0,68979,19767084.1,144
2025-02-05,287.6,280.0,283.7,59555,16806535.1,157
2025-02-06,287.9,279.1,280.0,61646,17383968.6,311
2025-02-09,290.7,275.0,278.2,54785,15363356.0,361
2025-02-10,283.7,275.0,279.5,37347,10396664.8,135
2025-02-11,284.0,274.0,278.9,26966,7536949.3,149
2025-02-12,285.0,274.0,278.2,35966,10054399.4,156
2025-02-13,280.0,275.0,277.0,12559,3474767.6,81
2025-02-16,283.4,275.7,280.8,53468,14958578.3,174
2025-02-17,289.6,277.0,288.4,48450,13779498.6,186
2025-02-18,294.1,284.1,289.0,75891,21979605.1,243
2025-02-20,290.0,283.3,286.4,20109,5747181.2,136
2025-02-23,298.0,281.0,288.0,65898,18915297.8,227
2025-02-24,295.0,282.3,288.0,81645,23693687.8,201
2025-02-25,293.6,281.0,290.0,37722,10892689.9,131
2025-02-27,304.0,293.5,300.9,177270,52743918.8,461
2025-03-02,310.0,294.9,309.0,103551,31670357.0,396
2025-03-03,313.0,300.0,304.0,92050,28093207.6,319
2025-03-04,314.0,298.0,305.0,129395,39274058.3,224
2025-03-05,311.0,296.0,298.0,56250,16913474.8,162
2025-03-06,303.5,295.7,296.9,26390,7844849.6,119
2025-03-09,297.0,290.0,292.0,56873,16577849.9,155
2025-03-10,295.0,286.0,289.5,22408,6495862.3,105
2025-03-11,292.0,285.5,289.7,31813,9170258.7,118
2025-03-12,294.0,288.0,291.9,10392,3024661.2,64
2025-03-16,295.8,285.0,290.0,31716,9096397.6,142
2025-03-17,294.8,284.3,289.0,13819,3985133.4,78
2025-03-18,294.7,286.1,288.0,12984,3731445.2,62
2025-03-19,290.9,286.2,287.0,24740,7131471.3,106
2025-03-20,288.0,283.0,283.31,17768,5049486.8,97
2025-03-23,283.5,278.0,278.38,35525,9910829.11,146
2025-03-24,281.5,276.0,280.7,18873,5272078.1,91
2025-03-25,279.0,275.0,276.09,26764,7374090.3,109
2025-03-26,281.0,271.5,278.05,33681,9255252.2,88
2025-03-27,293.0,280.0,289.62,45354,12967229.8,164
2025-03-30,295.6,288.0,292.72,59608,17466290.6,174
2025-04-01,292.5,286.9,290.98,24697,7162038.1,104
2025-04-02,296.7,285.2,289.76,33172,9549270.8,78
2025-04-03,299.0,285.0,290.36,39267,11509944.7,172
2025-04-07,300.0,285.0,288.29,11041,3173047.0,73
2025-04-08,293.5,282.0,284.42,14208,4033771.9,91
2025-04-09,290.0,282.7,283.86,10388,2958763.8,68
2025-04-10,294.0,282.3,284.39,7474,2118664.1,61
2025-04-13,289.9,280.2,283.37,9054,2559236.0,81
2025-04-15,289.0,282.5,284.95,17057,4860855.1,86
2025-04-16,290.0,284.6,288.77,15599,4464954.5,107
2025-04-17,295.0,286.2,291.4,35560,10362525.3,139
2025-04-20,301.0,283.1,286.08,34008,9781406.6,121
2025-04-21,291.0,279.4,280.22,33749,9498343.1,161
2025-04-22,284.0,277.0,277.49,45426,12672177.6,112
2025-04-23,276.5,272.3,272.79,78824,21618221.3,205
2025-04-24,279.9,271.0,272.84,24886,6798083.4,111
2025-04-27,277.9,270.0,270.23,69775,18903246.2,163
2025-04-28,275.0,270.0,270.03,33158,8969705.6,134
2025-04-29,275.3,264.6,265.59,41478,11070184.3,162
2025-04-30,270.9,261.0,267.08,45402,12022430.2,146
2025-05-04,272.0,266.4,267.95,71483,19204416.2,189
2025-05-05,271.0,264.0,265.59,44496,11848139.0,158
2025-05-06,268.9,262.5,262.93,46151,12170553.3,154
2025-05-07,275.0,261.0,271.0,64545,17239684.0,192
2025-05-08,275.5,266.1,269.55,47752,12870661.0,157
2025-05-11,273.9,264.2,271.24,47947,13001891.5,119
2025-05-13,276.9,268.2,274.11,35715,9770718.5,143
2025-05-14,276.5,271.0,274.06,48604,13304656.7,108
2025-05-15,276.0,271.0,272.05,34117,9303944.3,106
2025-05-18,276.5,270.0,273.58,48070,13081948.2,108
2025-05-19,279.0,273.0,277.07,82173,22523340.3,142
2025-05-20,287.5,275.1,286.06,35429,9962259.5,134
2025-05-21,303.0,286.8,287.26,88074,25748382.9,263
2025-05-22,305.0,288.0,298.47,160944,47697462.0,372
2025-05-25,303.0,292.7,297.98,110871,33104803.6,270
2025-05-26,309.0,298.9,299.98,79993,24003390.4,208
2025-05-27,304.0,295.0,302.83,166265,49685282.1,206
2025-05-28,307.7,297.0,304.72,81458,24559559.5,205
2025-06-02,311.0,305.1,306.14,113892,35012493.6,261
2025-06-03,306.0,299.0,300.13,90287,27283771.0,157
2025-06-04,302.0,297.0,298.59,45760,13689135.5,114
2025-06-05,300.0,293.3,295.22,42600,12646214.9,112
2025-06-08,295.0,291.0,293.12,59740,17520543.5,113
2025-06-09,298.8,292.1,297.4,65005,19178427.2,104
2025-06-10,303.0,295.0,301.66,76324,22903921.3,178
2025-06-11,305.0,299.3,302.52,446787,135051938.6,153
2025-06-12,306.5,300.3,305.01,65909,20064061.4,179
2025-06-15,307.0,299.0,304.95,53080,16174849.5,165
2025-06-16,310.0,301.0,306.78,125348,38563089.3,179
2025-06-17,310.9,305.0,308.1,52289,16151879.9,151
2025-06-18,312.0,303.0,309.79,105004,32402127.3,184
2025-06-19,312.5,307.0,307.4,81975,25317504.0,137
2025-06-22,308.0,304.0,304.19,92300,28187482.0,168
2025-06-23,306.0,300.1,304.29,47725,14481081.1,112
2025-06-24,310.0,305.0,307.43,75921,23254252.2,177
2025-06-25,310.0,303.8,305.98,79701,24377378.4,111
2025-06-26,308.0,301.8,305.59,42654,13056618.9,109
2025-06-29,311.5,305.0,310.72,82774,25509367.4,226
2025-06-30,320.0,310.5,317.29,127421,40211987.9,335
2025-07-01,331.0,317.2,329.28,164346,53411137.3,523
2025-07-02,343.9,327.0,339.48,293021,97898195.8,736
2025-07-03,341.2,333.0,338.06,269922,91381540.1,516
2025-07-06,343.0,335.1,339.85,176466,59868411.2,321
2025-07-07,347.0,336.5,342.0,282846,96735909.2,503
2025-07-08,348.8,337.0,338.15,227962,77309799.8,278
2025-07-09,344.4,338.0,343.48,249257,84849430.3,339
2025-07-10,359.0,341.9,356.96,471463,166392446.6,911
2025-07-13,376.0,359.7,365.78,504481,184298028.8,899
2025-07-14,373.0,357.1,357.73,261406,94211346.1,553
2025-07-15,377.0,356.0,374.1,468205,172295789.4,1081
2025-07-16,403.0,375.0,383.77,567833,219434580.4,1113
2025-07-17,408.0,383.2,387.23,450633,174991692.6,958
2025-07-20,394.0,377.0,380.29,448405,173233013.5,934
2025-07-21,390.0,376.4,385.01,276819,106512641.8,625
2025-07-22,404.0,380.3,393.86,444337,174023241.7,799
2025-07-23,401.0,386.0,393.32,221199,86636579.4,482
2025-07-24,399.0,388.0,388.29,202557,79106407.8,400
2025-07-27,392.5,385.0,387.32,177687,68936455.2,482
2025-07-28,391.0,380.1,389.66,279454,107642349.3,473
2025-07-29,397.4,386.4,392.25,240351,94399846.2,492
2025-07-30,397.0,382.0,384.42,130827,50719418.5,309
2025-07-31,390.0,377.1,379.74,278021,106449193.1,427
2025-08-03,386.0,363.0,366.99,179070,66550556.5,455
2025-08-04,375.0,361.1,373.92,108246,39817666.0,355
2025-08-05,381.0,367.7,373.37,72672,27313385.1,222
2025-08-06,380.6,365.0,368.4,118225,43403791.9,270
2025-08-07,373.0,369.0,371.58,68492,25429183.6,173
2025-08-11,383.0,376.0,380.32,259072,98085152.8,507
2025-08-12,383.0,372.9,376.35,109978,41399660.5,317
2025-08-13,380.6,373.0,374.89,73163,27460946.9,192
2025-08-14,378.1,368.0,369.19,179427,66516344.4,245
2025-08-17,370.3,363.7,364.11,100763,36924126.3,197
2025-08-18,366.0,356.0,364.64,163673,59122242.8,259
2025-08-19,367.5,359.0,367.01,52439,19124196.3,122
2025-08-20,367.8,360.0,363.4,45497,16575409.2,110
2025-08-21,366.0,363.1,364.44,34463,12554705.5,101
2025-08-24,367.0,360.0,361.87,54021,19517670.8,95
2025-08-25,361.8,356.6,361.19,84939,30417572.4,140
2025-08-26,365.0,360.0,362.1,44050,15992611.1,106
2025-08-27,375.0,362.0,371.47,107818,39966562.4,255
2025-08-28,380.0,369.4,376.27,141489,53169057.7,354
2025-08-31,380.0,372.0,376.42,140397,52996967.4,199
2025-09-01,390.8,373.0,388.77,443158,170531305.4,903
2025-09-02,398.8,385.4,389.22,171936,67259564.5,499
2025-09-03,392.0,380.0,381.76,197617,76268417.4,248
2025-09-04,389.0,373.7,377.82,92399,34825700.2,207
2025-09-07,380.0,373.0,375.01,127328,47884602.0,212
2025-09-08,377.9,367.8,372.25,132615,49199950.4,208
2025-09-18,365.0,344.1,364.0,12516,4448728.6,26
2025-09-21,371.0,350.1,361.04,145988,52793046.1,352
2025-09-23,366.0,358.0,362.0,45749,16504079.5,160
2025-09-24,365.0,354.5,357.6,41696,14877150.7,132
2025-09-25,358.0,352.0,356.0,18084,6404485.5,81
2025-09-28,363.1,357.3,360.0,20952,7545718.0,66
2025-10-07,365.0,353.1,353.5,32950,11713335.4,113
2025-10-08,364.0,348.0,353.0,141815,49757258.4,333
2025-10-09,374.0,356.3,357.5,99655,35942236.4,207
2025-10-12,360.0,340.0,344.9,127035,44053826.4,281
2025-10-13,351.7,341.0,347.5,64922,22380672.6,124
2025-10-14,360.0,346.1,346.3,32806,11424245.1,110
2025-10-15,352.0,342.1,346.6,33852,11767856.1,95
2025-10-16,353.0,342.1,342.9,70963,24428461.6,131
2025-10-19,353.0,342.9,351.5,32320,11280695.0,99
2025-10-26,352.0,344.5,351.0,23638,8259825.3,90
2025-10-28,366.0,344.2,361.1,70085,25034979.9,188
2025-10-29,366.0,356.2,363.0,58010,20958983.5,163
2025-10-30,364.0,357.0,363.7,185452,66821397.8,248
2025-11-02,370.0,359.0,367.0,245403,88792775.2,497
2025-11-03,349.5,345.0,345.0,64848,22490717.5,156
2025-11-04,346.0,339.2,340.0,255671,87220526.1,181
2025-11-05,345.0,336.2,338.5,35681,12083043.4,88
2025-11-06,343.0,338.5,338.5,92480,31460791.4,120
2025-11-09,339.0,331.5,335.0,54931,18312473.4,115
2025-11-10,337.5,329.5,332.0,49458,16375018.7,95
2025-11-11,335.0,327.2,335.0,92679,30583500.0,107
2025-11-12,335.0,324.4,328.8,91138,30021328.1,102
2025-11-13,334.9,325.0,326.9,33648,10976892.4,62
2025-11-16,333.0,322.0,325.5,22393,7292231.6,92
2025-11-17,348.0,320.5,320.6,89176,28838764.5,195
2025-11-18,329.7,321.7,324.0,66042,21469259.8,94
2025-11-19,327.9,321.3,322.7,16598,5385967.9,64
2025-11-20,328.7,322.5,325.9,17891,5795845.0,77
2025-11-23,332.0,326.2,331.9,30908,10191651.4,107
2025-11-24,340.0,333.0,339.6,81537,27403888.9,135
2025-11-25,342.0,336.0,341.3,63502,21627368.4,108
2025-11-26,343.4,336.2,343.4,36872,12612042.2,99
2025-11-27,352.3,341.0,352.0,123772,42954342.8,269
2025-11-30,357.9,351.0,352.3,196984,69389106.1,210
2025-12-01,354.0,347.0,352.5,62397,21879278.0,122
2025-12-02,359.0,350.0,355.0,84747,29908580.6,145
2025-12-03,355.8,349.1,352.0,41115,14458762.9,107
