Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,737.4,722.0,724.3,64733,47257573.0,503
2024-12-04,729.9,710.1,712.0,54910,39533933.0,398
2024-12-05,713.0,700.0,701.0,63236,44541027.4,378
2024-12-08,710.1,690.2,691.0,49426,34378584.2,417
2024-12-09,699.9,685.1,692.0,55904,38584568.8,369
2024-12-10,697.0,685.8,686.0,31982,22054481.4,257
2024-12-11,698.0,685.1,696.1,18707,12905374.1,212
2024-12-12,703.0,687.0,687.0,33787,23375205.3,238
2024-12-16,685.0,666.0,668.0,46274,31209496.9,324
2024-12-17,675.0,661.6,662.1,35653,23787651.3,278
2024-12-18,673.0,663.2,671.0,36765,24545029.4,240
2024-12-19,671.0,665.1,668.0,37137,24791324.0,204
2024-12-22,669.0,655.1,658.0,22795,15077100.0,224
2024-12-23,665.0,651.0,665.0,17453,11528482.6,203
2024-12-24,679.7,665.0,668.0,28038,18848568.5,267
2024-12-26,670.0,660.0,662.0,22810,15152617.0,239
2024-12-29,678.0,658.0,663.0,35820,24019161.6,326
2024-12-31,666.0,650.0,656.0,29169,19073983.4,227
2025-01-01,662.0,652.3,658.0,21011,13789001.5,193
2025-01-02,677.0,655.1,673.9,43953,29319660.5,333
2025-01-05,690.0,667.0,683.2,45129,30813182.9,431
2025-01-06,699.7,678.0,699.0,49924,34448779.9,348
2025-01-07,703.0,685.0,690.5,34477,23829407.1,286
2025-01-08,699.7,686.0,693.0,22574,15604306.2,246
2025-01-09,692.0,680.5,682.0,31858,21870871.0,266
2025-01-12,690.0,668.0,668.0,17174,11573488.1,167
2025-01-13,680.0,655.0,680.0,62294,41192766.6,375
2025-01-15,680.0,668.0,671.0,19713,13255819.2,179
2025-01-16,672.0,660.2,662.0,24042,15965263.9,206
2025-01-19,673.0,660.0,664.0,27501,18304570.4,257
2025-01-20,677.0,660.4,668.5,36487,24448367.2,258
2025-01-21,714.0,660.6,691.1,104435,72852696.5,793
2025-01-22,704.0,693.1,697.0,38123,26569723.2,378
2025-01-23,698.9,685.0,688.0,36350,25126231.4,314
2025-01-26,690.0,677.0,685.0,29534,20183977.9,315
2025-01-27,685.2,674.0,675.2,24613,16717997.4,277
2025-01-28,687.0,670.1,679.0,30878,21000946.4,332
2025-02-02,704.0,676.0,700.0,48734,33992650.4,464
2025-02-03,719.0,700.1,705.0,85919,61052308.8,562
2025-02-04,719.1,695.5,695.6,37679,26446523.8,345
2025-02-05,708.0,685.1,704.0,58921,41448536.7,393
2025-02-06,715.0,696.1,700.0,38527,27194009.8,350
2025-02-09,726.9,695.0,700.0,94495,67348567.5,604
2025-02-10,711.9,692.5,693.1,26785,18665200.4,229
2025-02-11,701.0,686.0,688.0,24971,17300124.8,215
2025-02-12,699.8,680.0,690.0,19506,13496555.2,191
2025-02-13,702.0,683.0,683.1,42765,29375764.1,311
2025-02-16,696.5,683.2,691.0,22742,15734111.4,302
2025-02-17,707.0,685.3,697.3,34926,24471007.7,401
2025-02-18,710.0,700.0,702.8,46413,32727820.3,404
2025-02-20,711.0,697.3,706.2,45844,32347547.8,378
2025-02-23,704.9,686.0,703.0,59627,41579765.6,402
2025-02-24,707.0,697.2,698.0,40706,28541854.5,370
2025-02-25,706.0,685.1,696.2,45252,31560477.4,338
2025-02-27,705.0,692.0,703.9,34824,24451304.4,342
2025-03-02,726.0,703.0,722.0,71555,51286980.0,654
2025-03-03,736.4,712.0,714.0,68469,49351682.3,610
2025-03-04,722.0,704.5,705.0,48327,34394845.2,426
2025-03-05,715.0,691.1,703.3,88727,62585523.6,450
2025-03-06,709.0,701.0,703.0,29588,20825475.9,289
2025-03-09,713.0,692.0,693.0,43488,30356184.4,352
2025-03-10,712.0,687.0,688.0,24496,16954829.8,254
2025-03-11,700.0,680.0,681.0,40895,28057485.0,377
2025-03-12,692.0,676.3,682.0,29441,20059059.1,296
2025-03-16,687.0,670.4,672.1,36899,25023822.2,355
2025-03-17,685.0,670.0,678.1,18027,12189248.0,199
2025-03-18,684.0,675.0,675.2,14665,9940646.8,174
2025-03-19,678.0,666.6,670.0,33568,22531447.2,280
2025-03-20,674.8,661.1,664.31,48870,32627173.7,620
2025-03-23,630.3,598.1,599.82,34326,20801933.2,326
2025-03-24,608.0,588.0,599.08,19791,11833497.0,208
2025-03-25,598.0,571.1,572.37,32987,19147609.2,312
2025-03-26,582.0,569.0,581.29,13224,7648890.0,150
2025-03-27,590.0,581.0,587.95,20192,11840659.5,193
2025-03-30,612.0,581.0,599.45,25778,15588777.4,291
2025-04-01,600.1,584.0,593.93,23448,13882444.8,239
2025-04-02,602.0,586.2,594.45,19772,11794392.1,176
2025-04-03,606.0,594.0,603.27,21736,13029537.9,207
2025-04-07,597.0,585.0,587.76,20620,12150273.4,199
2025-04-08,592.5,575.0,582.93,28001,16263592.3,191
2025-04-09,593.9,582.1,586.64,10635,6252254.6,119
2025-04-10,594.5,583.5,588.23,14315,8385120.9,149
2025-04-13,590.0,583.0,584.51,10462,6127343.5,137
2025-04-15,595.0,582.1,588.02,9554,5633720.5,149
2025-04-16,599.0,588.0,591.31,17009,10056803.5,128
2025-04-17,599.9,586.0,596.15,16311,9692432.8,221
2025-04-20,600.0,588.0,589.38,12071,7164339.7,160
2025-04-21,593.0,582.0,587.47,13235,7798433.3,152
2025-04-22,599.2,578.1,580.03,22780,13333478.6,187
2025-04-23,581.0,562.0,569.99,27148,15492832.4,246
2025-04-24,575.0,559.0,562.86,19837,11169468.8,227
2025-04-27,573.0,557.0,557.32,24681,13883735.3,235
2025-04-28,568.0,554.0,554.45,14044,7814971.9,171
2025-04-29,560.0,550.1,550.76,13965,7711403.0,187
2025-04-30,561.7,546.0,548.11,14208,7808698.9,159
2025-05-04,558.0,548.0,550.83,21573,11871127.1,201
2025-05-05,554.0,549.2,551.16,17385,9567659.8,130
2025-05-06,561.0,546.2,556.47,16253,9039372.2,154
2025-05-07,581.0,552.0,576.43,32768,18641312.3,255
2025-05-08,584.0,565.1,566.28,20537,11757194.7,207
2025-05-11,577.6,560.0,561.58,20408,11518044.5,203
2025-05-13,572.3,561.1,563.31,18743,10585060.2,188
2025-05-14,568.0,560.0,561.11,16260,9153762.8,174
2025-05-15,572.3,551.0,554.2,11962,6658768.8,146
2025-05-18,558.0,550.1,552.43,9035,5001777.2,142
2025-05-19,566.0,551.1,562.25,21326,11900480.2,193
2025-05-20,575.0,555.3,571.38,21336,12069601.4,185
2025-05-21,592.0,564.0,567.36,23003,13246571.4,214
2025-05-22,577.9,561.3,570.2,12087,6868172.6,143
2025-05-25,573.0,565.0,567.23,17359,9870968.9,150
2025-05-26,580.0,565.0,565.28,36723,20916407.3,238
2025-05-27,567.0,557.1,560.18,8757,4913534.3,142
2025-05-28,562.8,555.4,560.9,14142,7895354.7,171
2025-06-02,572.1,555.2,558.23,20877,11753638.0,200
2025-06-03,565.0,553.0,553.83,17272,9615887.9,157
2025-06-04,559.0,550.0,552.15,14010,7738342.3,169
2025-06-05,563.0,546.2,549.44,15732,8661247.9,146
2025-06-08,550.0,545.0,545.31,10736,5865016.4,153
2025-06-09,556.0,540.0,550.86,35206,19262860.2,233
2025-06-10,563.7,551.0,560.72,17253,9650077.8,184
2025-06-11,570.0,553.7,559.75,21513,12110416.8,180
2025-06-12,565.0,548.0,550.32,28350,15696995.2,237
2025-06-15,559.0,544.0,545.58,18560,10170401.9,219
2025-06-16,559.0,544.0,554.28,28131,15505090.9,260
2025-06-17,555.0,545.5,553.69,13081,7209444.8,194
2025-06-18,555.9,546.1,546.84,18553,10169801.8,210
2025-06-19,552.0,544.0,544.89,23744,12997601.2,219
2025-06-22,545.0,536.8,537.15,19873,10717569.7,224
2025-06-23,540.0,529.0,530.77,28954,15455519.9,293
2025-06-24,550.0,526.0,528.01,25674,13624925.4,219
2025-06-25,538.3,525.0,528.6,11100,5852495.5,169
2025-06-26,535.0,526.1,527.03,12749,6755837.7,186
2025-06-29,539.9,527.0,536.89,25703,13711883.1,211
2025-06-30,539.9,533.4,537.51,19366,10397243.4,172
2025-07-01,551.0,534.0,549.91,25524,13912307.7,212
2025-07-02,574.9,549.0,567.39,83563,47119304.7,531
2025-07-03,588.0,561.0,582.14,135720,78471938.9,704
2025-07-06,589.0,566.6,568.54,39359,22529618.2,336
2025-07-07,571.0,560.0,560.46,28051,15846215.2,227
2025-07-08,571.6,552.0,560.24,21662,12064292.3,209
2025-07-09,560.0,549.1,558.15,30699,17107749.3,246
2025-07-10,565.0,558.0,562.55,48891,27414480.4,316
2025-07-13,573.8,562.0,562.57,47904,27095336.3,327
2025-07-14,572.9,553.0,556.16,28513,15909583.8,182
2025-07-15,595.0,550.0,577.57,75581,42359998.8,414
2025-07-16,631.0,571.3,609.99,65714,39192391.2,442
2025-07-17,624.0,609.0,615.69,77984,47975971.6,608
2025-07-20,622.9,600.1,609.05,73089,44925498.6,655
2025-07-21,619.0,600.0,614.52,68107,41513721.0,518
2025-07-22,632.0,614.0,628.64,74739,46803188.6,627
2025-07-23,632.0,620.0,622.17,45897,28664537.9,438
2025-07-24,625.0,609.0,610.26,56077,34409566.2,480
2025-07-27,624.0,606.0,606.82,60822,37354070.7,543
