Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,269.0,263.1,266.0,198045,52795731.8,568
2024-12-04,269.9,262.0,263.9,139582,37242697.0,521
2024-12-05,264.0,257.0,257.1,177529,45982343.9,544
2024-12-08,260.0,250.0,252.0,178681,45237660.2,579
2024-12-09,256.0,249.0,251.0,155711,39121368.3,506
2024-12-10,255.0,250.0,251.4,85103,21371901.7,281
2024-12-11,257.9,250.0,257.9,88798,22453334.5,352
2024-12-12,259.0,250.2,251.0,114181,28953635.5,373
2024-12-16,253.0,243.2,243.8,143622,35170570.3,511
2024-12-17,247.0,240.0,245.0,112847,27484554.2,311
2024-12-18,249.6,241.4,244.0,51913,12702363.2,254
2024-12-19,245.0,238.2,239.8,115567,27753587.7,444
2024-12-22,244.0,235.0,235.0,96400,22847861.7,361
2024-12-23,242.0,233.5,240.3,76611,18244112.9,300
2024-12-24,246.0,238.0,240.0,64100,15519442.3,327
2024-12-26,244.8,237.0,240.0,55113,13245693.5,244
2024-12-29,242.0,235.3,237.0,71557,16972726.7,277
2024-12-31,236.0,227.4,230.0,123610,28464073.3,478
2025-01-01,235.3,228.0,231.3,57135,13318662.3,209
2025-01-02,236.6,231.0,236.0,59373,13894043.3,252
2025-01-05,240.0,234.1,236.1,38855,9216389.4,227
2025-01-06,245.0,232.3,245.0,140981,34127000.7,428
2025-01-07,248.0,240.7,243.0,83243,20374947.2,356
2025-01-08,245.0,241.3,243.0,85864,20883810.9,256
2025-01-09,260.0,240.0,252.8,315861,78810528.2,821
2025-01-12,262.1,254.0,258.0,636804,164957960.4,1224
2025-01-13,259.0,251.0,251.0,283186,72118882.3,582
2025-01-15,255.9,250.1,253.9,126074,31953676.4,341
2025-01-16,260.0,253.0,254.0,225837,57820296.1,686
2025-01-19,256.3,252.0,254.0,191846,48903717.2,480
2025-01-20,259.0,254.0,254.0,185338,47486313.7,494
2025-01-21,257.0,249.0,249.4,89920,22688389.1,340
2025-01-22,256.0,248.3,250.6,119018,30128044.8,453
2025-01-23,255.6,250.4,251.2,204323,51834281.3,546
2025-01-26,255.0,250.0,250.0,124886,31563880.1,435
2025-01-27,255.8,249.0,250.0,151428,38224087.1,498
