Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,495.8,482.6,486.0,41480,20202906.9,245
2024-12-04,494.0,475.4,480.0,75103,36292846.7,305
2024-12-05,480.0,468.2,468.9,61479,29096987.6,334
2024-12-08,472.0,460.0,460.0,87115,40573172.6,379
2024-12-09,465.0,455.8,455.8,64720,29796140.8,341
2024-12-10,463.0,451.1,455.5,45369,20769972.9,272
2024-12-11,465.0,446.4,465.0,26447,12151747.8,170
2024-12-12,469.8,458.0,458.0,28886,13377219.6,215
2024-12-16,467.0,450.1,467.0,86640,39889366.6,338
2024-12-17,468.5,458.6,463.0,60935,28128773.8,323
2024-12-18,450.0,441.0,441.3,35347,15746354.2,240
2024-12-19,445.5,436.0,439.9,40307,17693974.6,223
2024-12-22,443.7,432.5,439.9,40238,17549287.1,188
2024-12-23,440.0,435.0,436.6,22027,9634401.0,147
2024-12-24,449.0,437.0,441.6,33851,15012759.3,202
2024-12-26,444.0,434.0,440.0,32912,14388632.2,179
2024-12-29,440.0,424.1,426.0,41651,17875883.6,227
2024-12-31,426.0,405.1,413.0,57986,23960158.8,350
2025-01-01,420.0,404.9,405.0,73680,30278567.6,269
2025-01-02,414.8,396.9,412.5,17376,7157800.3,160
2025-01-05,419.0,408.0,410.0,42483,17506389.7,200
2025-01-06,420.0,410.0,418.2,36416,15168846.1,195
2025-01-07,427.0,418.0,424.0,45932,19383220.0,249
2025-01-08,429.0,420.0,426.0,55012,23368954.6,205
2025-01-09,430.0,418.0,420.0,25462,10705963.4,159
2025-01-12,419.0,410.1,411.2,25191,10409136.1,140
2025-01-13,413.9,407.0,407.0,31084,12741198.1,176
2025-01-15,414.9,408.3,410.0,25603,10522113.7,157
2025-01-16,417.5,406.1,411.9,26765,10951455.3,123
2025-01-19,411.0,405.6,408.0,34582,14079045.3,173
2025-01-20,411.0,405.5,407.0,17424,7112337.8,126
2025-01-21,407.0,402.0,404.0,55649,22531317.8,200
2025-01-22,414.0,406.0,410.0,60674,24911713.9,251
2025-01-23,418.0,407.0,410.0,23635,9697306.4,165
2025-01-26,411.0,402.0,402.1,41203,16687956.0,200
2025-01-27,408.0,402.0,406.0,41184,16708398.1,178
2025-01-28,435.0,403.0,434.0,151109,64093897.7,569
2025-02-02,467.0,429.0,463.0,178920,81101782.8,751
2025-02-03,476.0,449.0,460.0,184297,85150871.7,652
2025-02-04,459.2,449.0,449.1,62406,28201139.6,312
2025-02-05,454.0,445.0,450.5,54946,24650289.9,255
2025-02-06,459.2,435.0,440.0,87782,38985457.2,312
2025-02-09,452.0,437.0,440.9,50708,22522947.2,249
2025-02-10,445.5,430.0,437.0,31520,13762945.9,213
2025-02-11,443.0,430.0,439.0,42640,18661903.7,197
2025-02-12,449.9,440.0,444.1,40428,18001484.6,213
2025-02-13,448.0,433.2,437.0,40361,17675049.1,189
2025-02-16,438.0,430.1,436.0,39370,17047833.9,241
2025-02-17,444.7,434.1,436.8,49471,21603500.1,252
2025-02-18,439.9,426.0,430.0,71651,30937540.7,337
2025-02-20,436.5,425.0,427.0,53720,22937119.1,264
2025-02-23,435.5,416.5,422.0,56229,23876998.5,293
2025-02-24,434.5,413.6,423.0,48979,20905356.5,255
2025-02-25,430.0,414.6,425.8,27323,11642061.0,179
2025-02-27,437.0,429.0,436.0,51761,22421596.3,260
2025-03-02,451.1,436.0,450.0,82510,36790678.0,398
2025-03-03,456.0,437.1,441.0,66009,29370593.9,354
2025-03-04,446.0,437.9,437.9,45674,20172379.3,263
2025-03-05,440.0,429.5,433.0,51166,22217029.9,215
2025-03-06,450.0,432.0,444.0,63300,27894409.3,293
2025-03-09,444.0,433.0,433.5,34125,14934436.5,211
2025-03-10,439.6,428.0,429.0,34192,14779198.8,177
2025-03-11,449.0,426.1,437.6,182384,80335278.9,696
2025-03-12,445.0,433.7,434.0,31246,13720338.2,171
2025-03-16,442.6,425.0,430.5,51435,22057004.8,257
2025-03-17,432.5,422.1,425.1,43232,18464547.6,181
2025-03-18,432.0,425.0,427.0,29201,12451476.6,166
2025-03-19,429.9,420.0,421.0,43759,18550141.7,170
2025-03-20,424.9,416.5,417.53,35556,14947894.2,225
2025-03-23,420.0,406.0,408.79,50195,20626767.9,280
2025-03-24,422.8,402.0,417.08,36712,15126721.0,236
2025-03-25,415.9,406.0,406.47,36477,14876139.2,234
2025-03-26,412.0,402.1,409.49,26280,10736701.0,227
2025-03-27,415.0,404.0,413.4,24144,9925308.0,227
2025-03-30,421.0,413.0,417.63,37890,15860334.6,270
2025-04-01,419.0,411.0,413.26,22074,9107650.2,176
2025-04-02,418.0,411.0,414.44,27288,11285668.2,189
2025-04-03,420.5,412.0,414.87,30054,12532067.3,185
2025-04-07,417.0,409.0,410.26,30204,12414709.5,193
2025-04-08,412.8,405.9,408.73,29914,12181137.7,174
2025-04-09,415.0,408.3,410.25,22267,9156878.9,117
2025-04-10,415.0,409.1,411.27,21795,8960018.1,114
2025-04-13,415.0,405.0,406.61,35412,14429130.2,176
2025-04-15,415.0,406.0,411.62,34102,14050397.0,183
2025-04-16,418.9,411.0,412.92,41360,17157159.5,171
2025-04-17,421.5,412.2,417.79,38730,16214066.9,221
2025-04-20,422.0,410.3,416.6,35852,14996370.8,197
2025-04-21,422.0,413.1,415.74,31514,13170555.5,156
2025-04-22,420.0,408.0,411.49,41163,16966009.3,205
2025-04-23,415.9,404.0,404.99,34022,13821042.9,184
2025-04-24,410.0,404.0,405.8,26133,10605914.8,154
2025-04-27,410.0,404.2,404.51,28895,11723525.5,167
2025-04-28,407.9,403.0,403.47,35040,14151520.1,196
2025-04-29,406.0,399.5,400.07,67176,26936985.6,278
2025-04-30,402.0,394.0,396.13,52650,20911019.3,270
2025-05-04,400.0,390.0,395.01,43748,17266121.7,217
2025-05-05,399.9,393.6,394.44,26512,10482856.9,164
2025-05-06,399.0,391.2,395.85,32227,12733652.6,170
2025-05-07,413.4,392.1,406.24,34573,13964643.0,232
2025-05-08,409.0,403.0,405.16,33686,13663283.5,188
2025-05-11,413.3,405.0,409.85,44573,18247325.1,227
2025-05-13,419.0,408.0,413.13,62873,26028341.7,287
2025-05-14,424.9,410.0,414.58,94801,39513121.6,369
2025-05-15,415.9,405.3,406.59,56191,23035080.8,218
2025-05-18,410.0,402.0,402.96,43383,17531051.1,141
2025-05-19,408.0,402.0,403.58,33122,13388331.3,157
2025-05-20,416.0,401.0,413.36,40005,16424914.0,208
2025-05-21,430.0,413.1,414.02,72355,30348992.1,310
2025-05-22,418.0,412.3,412.46,36064,14978383.2,165
2025-05-25,420.0,405.1,409.68,30876,12692892.6,147
2025-05-26,426.0,409.0,410.72,34881,14415490.5,157
2025-05-27,416.1,406.7,413.15,56637,23389811.8,174
2025-05-28,415.0,410.0,413.78,61175,25222978.8,191
2025-06-02,421.0,408.0,412.92,59933,24873295.9,193
2025-06-03,415.0,402.0,403.21,51289,20881198.9,210
2025-06-04,408.0,403.0,406.71,42201,17094906.6,179
2025-06-05,411.0,401.2,402.84,42573,17206930.1,159
2025-06-08,408.8,403.0,406.98,32646,13267693.1,111
2025-06-09,410.0,403.1,407.08,20377,8298531.8,96
2025-06-10,415.2,407.5,410.16,37247,15253106.7,135
2025-06-11,412.0,400.0,401.92,116148,46983413.9,297
2025-06-12,406.9,400.4,404.43,34959,14122088.1,179
2025-06-15,407.0,402.5,404.97,27419,11095924.9,138
2025-06-16,407.5,403.1,405.29,34047,13806604.4,123
2025-06-17,407.0,400.0,401.58,47065,18899488.0,157
2025-06-18,404.0,400.0,401.29,18649,7484136.4,111
2025-06-19,403.0,401.0,401.71,31286,12559757.3,148
2025-06-22,413.8,401.0,401.29,41536,16787836.6,159
2025-06-23,405.0,397.1,399.94,60557,24215231.4,180
2025-06-24,404.0,396.0,396.71,37574,14986345.8,180
2025-06-25,400.0,395.1,396.92,31994,12688477.2,126
2025-06-26,401.9,395.0,396.62,26857,10661511.2,125
2025-06-29,399.7,392.1,399.37,23462,9265048.9,140
2025-06-30,400.5,396.5,399.51,20675,8250481.7,122
2025-07-01,402.0,398.0,401.65,29338,11733301.4,159
2025-07-02,409.0,401.0,405.22,35008,14147051.5,183
2025-07-03,413.9,405.0,409.63,59087,24281562.7,318
2025-07-06,412.0,404.0,404.99,42335,17246299.7,204
2025-07-07,406.7,400.0,402.71,37152,15028461.0,140
2025-07-08,406.4,401.0,403.1,28782,11584143.6,167
2025-07-09,406.9,403.0,405.58,24468,9912795.8,129
2025-07-10,415.5,401.0,413.35,83281,34244318.3,348
2025-07-13,430.0,413.0,420.29,105482,44315825.9,422
2025-07-14,425.0,415.0,415.65,34747,14475442.3,207
2025-07-15,420.0,415.0,418.01,55367,23123978.2,199
2025-07-16,434.8,418.0,431.97,126073,54080820.0,493
2025-07-17,445.0,433.0,439.84,116335,51078901.3,557
2025-07-20,448.0,437.1,440.86,218508,96915257.2,687
2025-07-21,459.0,439.0,451.6,318195,143811204.6,914
2025-07-22,476.0,445.0,466.49,381669,178500838.2,1047
2025-07-23,470.0,458.0,463.1,158258,73345849.6,609
2025-07-24,470.0,455.6,466.77,178635,82851457.2,518
2025-07-27,478.3,461.0,473.92,299849,141122171.1,824
2025-07-28,493.0,468.0,490.0,425513,205103865.6,1449
2025-07-29,499.0,482.2,483.46,163983,79842828.9,667
2025-07-30,485.0,461.0,463.0,131717,61901105.9,633
2025-07-31,466.0,453.0,455.52,127604,58588936.8,583
2025-08-03,460.0,438.2,440.08,147690,65557122.3,663
2025-08-04,447.7,440.0,446.19,92244,40823544.6,429
2025-08-05,455.0,440.0,440.34,66522,29471857.8,260
2025-08-06,444.0,436.0,436.39,42717,18772657.6,210
2025-08-07,444.0,434.0,436.75,39656,17330215.6,272
2025-08-11,442.9,430.0,431.05,42289,18341102.3,252
2025-08-12,434.8,427.1,428.46,23561,10113510.1,159
2025-08-13,437.0,427.0,427.98,47260,20379200.7,212
2025-08-14,434.0,427.4,430.63,33047,14224847.4,180
2025-08-17,438.0,430.0,430.88,63115,27243580.3,191
2025-08-18,435.5,428.2,431.44,50475,21792512.3,164
2025-08-19,439.0,426.0,432.55,19376,8420909.6,156
2025-08-20,434.1,428.2,431.05,41992,18090489.5,150
2025-08-21,431.05,425.2,425.75,21451,9161984.2,161
2025-08-24,430.0,419.0,419.99,24997,10543506.4,178
2025-08-25,427.0,416.2,424.24,12061,5081469.1,97
2025-08-26,427.9,424.0,427.46,9020,3845215.3,78
2025-08-27,443.9,425.2,441.54,81637,35646214.5,308
2025-08-28,443.0,430.0,430.93,61803,26991195.7,282
2025-08-31,434.4,421.1,421.43,23450,9939238.9,153
2025-09-01,428.8,421.0,423.28,18413,7792094.5,125
2025-09-02,428.9,421.7,422.08,32146,13621083.7,122
2025-09-03,427.0,416.4,419.58,22812,9606402.2,139
2025-09-04,422.7,416.4,420.38,24128,10085167.8,157
2025-09-07,423.5,417.4,419.1,10834,4553744.7,77
2025-09-08,422.0,412.0,414.79,28729,11916276.8,161
2025-09-18,410.1,382.0,390.0,5171,2002487.7,24
2025-09-21,418.0,390.0,415.7,63790,25951192.4,290
2025-09-23,426.3,410.1,424.0,45134,19071719.5,178
2025-09-24,427.0,412.0,419.9,9776,4105164.3,83
2025-09-25,420.0,415.0,417.9,11832,4933424.6,89
2025-09-28,422.0,418.0,422.0,10764,4527621.0,57
2025-10-07,421.0,412.0,415.8,15535,6436583.5,112
