Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,2550.0,2483.0,2483.0,2039,5102613.0,69
2024-12-04,2530.0,2476.5,2499.0,1707,4269444.5,65
2024-12-05,2520.0,2450.1,2490.0,2816,6951527.0,86
2024-12-08,2538.0,2435.1,2451.0,4134,10149362.2,101
2024-12-09,2475.0,2413.0,2444.0,1773,4306573.0,49
2024-12-10,2499.0,2406.1,2499.0,3129,7624195.8,99
2024-12-11,2536.0,2449.1,2509.0,2935,7237556.0,38
2024-12-12,2558.9,2414.0,2432.0,3234,7972077.5,102
2024-12-16,2523.0,2300.0,2304.0,4615,10915205.5,91
2024-12-17,2479.0,2316.2,2382.0,6260,15096933.3,147
2024-12-18,2480.0,2341.1,2418.0,3929,9549367.0,88
2024-12-19,2448.0,2351.0,2389.0,1861,4441816.6,58
2024-12-22,2432.0,2300.0,2350.0,3512,8214902.0,68
2024-12-23,2420.0,2349.1,2420.0,3052,7316999.8,62
2024-12-24,2589.0,2430.0,2560.0,8921,22460248.1,235
2024-12-26,2630.0,2510.0,2630.0,9530,24698903.7,249
2024-12-29,2893.0,2660.0,2785.0,27473,77707332.4,569
2024-12-31,2784.9,2589.0,2647.0,10685,28328747.7,212
2025-01-01,2748.0,2622.0,2666.3,5566,14854376.9,120
2025-01-02,2700.0,2613.0,2666.0,3739,9945664.0,90
2025-01-05,2760.0,2645.0,2700.0,11243,30195607.5,205
2025-01-06,2815.0,2700.0,2743.0,7433,20492899.2,187
2025-01-07,2778.0,2703.0,2715.0,3914,10670512.0,102
2025-01-08,2810.0,2660.7,2705.0,5869,15997123.0,154
2025-01-09,2720.0,2646.0,2646.0,6627,17688848.2,136
2025-01-12,2617.0,2545.0,2615.0,2538,6551704.0,77
2025-01-13,2670.0,2565.8,2600.1,5099,13341127.7,138
2025-01-15,2690.0,2587.0,2633.0,3443,9033300.5,68
2025-01-16,2669.0,2580.0,2597.4,2758,7155326.7,81
2025-01-19,2610.0,2550.0,2599.0,3156,8135777.5,93
2025-01-20,2630.0,2554.1,2575.0,2783,7215938.0,70
2025-01-21,2595.0,2530.1,2530.1,3178,8147937.4,55
2025-01-22,2569.0,2500.0,2508.1,2612,6588747.3,79
2025-01-23,2619.0,2512.0,2550.0,4257,10878524.5,115
2025-01-26,2598.0,2528.1,2528.1,3217,8202145.1,76
2025-01-27,2680.0,2515.0,2620.0,6597,17272501.6,145
2025-01-28,2703.0,2611.0,2616.0,5457,14550022.0,124
2025-02-02,2720.0,2656.0,2698.0,5793,15582486.0,136
2025-02-03,2799.8,2672.0,2710.0,8446,22950238.1,172
2025-02-04,2761.0,2680.0,2700.0,6019,16373375.6,119
2025-02-05,2749.0,2671.2,2700.0,3994,10766759.7,76
2025-02-06,2740.0,2701.0,2710.0,5524,15010007.4,120
2025-02-09,2738.0,2676.0,2676.0,4277,11552561.3,104
2025-02-10,2710.0,2643.0,2643.0,2129,5650634.0,61
2025-02-11,2681.0,2560.2,2615.0,2696,7006701.8,91
2025-02-12,2648.0,2574.0,2590.4,8094,20991559.4,116
2025-02-13,2650.0,2561.0,2605.1,2078,5425955.0,55
2025-02-16,2758.0,2560.0,2700.0,5402,14465892.5,138
2025-02-17,2907.0,2670.1,2791.0,7751,22130733.3,204
2025-02-18,2845.0,2715.1,2738.0,3486,9549122.5,111
2025-02-20,2749.0,2690.0,2730.0,2109,5742422.2,77
2025-02-23,2740.0,2631.1,2695.2,3997,10739683.8,102
2025-02-24,2739.0,2650.0,2669.0,2736,7279360.8,71
2025-02-25,2690.0,2622.0,2650.0,1518,4055844.0,56
2025-02-27,2748.9,2665.0,2665.0,3495,9430027.4,92
2025-03-02,2682.0,2627.0,2650.0,4270,11324604.9,108
2025-03-03,2698.0,2560.0,2588.0,4310,11247480.7,127
2025-03-04,2570.0,2352.0,2355.0,12711,31048559.3,319
2025-03-05,2498.0,2350.0,2430.0,3302,7987730.9,105
2025-03-06,2499.0,2400.0,2449.0,2521,6135575.9,68
2025-03-09,2449.0,2356.0,2356.0,4095,9729050.1,97
2025-03-10,2450.0,2353.0,2358.0,1949,4631767.4,77
2025-03-11,2377.0,2326.0,2335.0,2213,5170539.8,70
2025-03-12,2340.0,2290.0,2290.0,1467,3396775.3,51
2025-03-16,2292.0,2239.3,2239.5,2392,5415878.5,85
2025-03-17,2310.0,2195.1,2266.0,890,2016763.8,48
2025-03-18,2295.0,2205.5,2205.6,1702,3788559.0,72
2025-03-19,2248.8,2177.4,2179.2,1841,4055790.8,65
2025-03-20,2245.9,2162.0,2186.22,1505,3294284.4,73
2025-03-23,2250.0,2075.1,2083.65,2661,5681009.8,93
2025-03-24,2124.0,2030.0,2090.64,1492,3101151.4,38
2025-03-25,2090.0,1990.0,2002.19,1688,3420074.0,75
2025-03-26,2037.0,1976.1,2012.05,1032,2072950.9,43
2025-03-27,2213.2,2012.0,2212.41,4891,10588863.3,140
2025-03-30,2349.0,2202.0,2270.65,3903,8974801.3,108
2025-04-01,2286.0,2190.0,2210.11,1984,4396976.0,67
2025-04-02,2256.0,2185.2,2215.16,1621,3588491.5,47
2025-04-03,2259.0,2137.0,2176.4,2211,4807003.0,66
2025-04-07,2161.0,2136.0,2146.87,754,1620325.1,30
2025-04-08,2200.0,2083.3,2194.93,1104,2355992.0,50
2025-04-09,2199.9,2154.0,2168.78,456,992488.0,24
