Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,988.0,965.1,967.0,8085,7851703.9,72
2024-12-04,986.3,964.1,969.9,5892,5717972.9,62
2024-12-05,979.0,959.0,979.0,12862,12482728.4,98
2024-12-08,994.0,961.1,967.0,19675,19244609.0,115
2024-12-09,986.0,957.5,957.5,9458,9153118.0,57
2024-12-10,976.0,934.0,934.0,20300,19366343.7,88
2024-12-11,959.0,940.3,950.0,3974,3774186.2,48
2024-12-12,964.5,932.6,939.9,16562,15606355.6,86
2024-12-16,958.0,910.0,910.0,10350,9489130.9,83
2024-12-17,946.0,900.4,912.0,4795,4384546.0,63
2024-12-18,934.0,912.6,915.0,4242,3919743.5,35
2024-12-19,925.0,900.1,901.2,8274,7477038.9,71
2024-12-22,918.0,886.6,892.9,3777,3379571.2,38
2024-12-23,909.9,882.1,887.0,6628,5909983.2,51
2024-12-24,904.5,890.0,890.1,2546,2275332.3,38
2024-12-26,895.0,877.5,889.0,5659,4998853.1,57
2024-12-29,925.1,875.4,910.0,15506,14061854.4,135
2024-12-31,928.0,892.2,906.0,6966,6267593.4,61
2025-01-01,920.0,891.0,899.0,4475,4011083.3,38
2025-01-02,913.0,882.1,885.1,3501,3113335.6,39
2025-01-05,902.8,882.1,885.0,4495,3997980.0,41
2025-01-06,937.0,885.1,905.0,6767,6123884.8,62
2025-01-07,945.0,902.0,925.1,12733,11847761.4,109
2025-01-08,975.0,941.0,946.0,19223,18379605.6,133
2025-01-09,950.5,928.0,937.5,8504,7991881.4,58
2025-01-12,922.7,910.0,918.2,2993,2743254.5,51
2025-01-13,927.0,895.0,909.0,4913,4447855.7,55
2025-01-15,908.9,891.0,898.0,5744,5148776.5,52
2025-01-16,923.0,881.0,900.0,15580,14077690.0,100
2025-01-19,914.0,890.1,896.4,7341,6592644.4,67
2025-01-20,946.0,884.1,904.1,6732,6100271.4,66
2025-01-21,913.0,892.1,907.0,8168,7345789.3,64
2025-01-22,925.0,900.0,924.0,5754,5292133.3,53
2025-01-23,925.0,915.0,920.0,2559,2354499.6,36
2025-01-26,940.0,920.0,926.5,9354,8730584.1,122
2025-01-27,957.8,928.0,950.8,16701,15808867.1,122
2025-01-28,968.0,930.0,935.0,7011,6586679.4,63
2025-02-02,995.0,950.0,992.9,22807,22234060.0,177
2025-02-03,1000.0,963.0,975.0,13883,13637855.1,131
2025-02-04,995.0,972.1,982.0,12106,11975375.8,315
2025-02-05,993.0,976.0,988.0,6225,6138167.8,74
2025-02-06,992.0,975.2,980.0,14607,14342229.0,126
2025-02-09,982.0,970.0,970.4,5618,5478681.6,55
2025-02-10,980.0,960.1,960.1,11039,10716328.4,103
2025-02-11,989.0,953.0,954.0,7564,7281592.8,82
2025-02-12,971.0,954.0,959.0,7705,7368482.9,69
2025-02-13,1033.4,956.0,1013.2,71517,72495201.4,596
2025-02-16,1060.0,1020.2,1050.0,50385,52648611.6,413
2025-02-17,1075.0,1029.0,1055.0,50001,52994532.1,395
2025-02-18,1061.0,1020.0,1026.5,42007,43532361.6,361
2025-02-20,1030.0,1007.1,1007.1,21637,21968682.9,149
2025-02-23,1077.0,987.1,1054.0,64541,67073555.8,501
2025-02-24,1159.4,1033.0,1061.0,138265,148080322.6,848
2025-02-25,1053.0,1021.5,1021.6,46533,48174874.5,234
2025-02-27,1060.0,1021.6,1027.0,27525,28325254.8,165
2025-03-02,1047.0,1005.1,1025.0,53950,54865471.0,309
2025-03-03,1028.0,1000.0,1001.1,23504,23718174.1,200
2025-03-04,1018.8,990.0,992.5,27758,27808108.5,161
2025-03-05,1013.0,990.0,1010.0,34530,34565447.7,207
2025-03-06,1049.0,1012.0,1012.3,36338,37215646.7,351
2025-03-09,1026.5,996.1,997.0,18049,18173903.3,144
2025-03-10,1003.0,990.0,990.0,12443,12359968.8,114
2025-03-11,1000.0,970.2,990.9,17551,17256673.9,143
2025-03-12,994.8,980.0,981.0,9247,9094489.3,94
2025-03-16,1000.0,962.0,967.0,9080,8847386.1,95
2025-03-17,976.0,960.0,973.9,5982,5777966.0,83
2025-03-18,982.5,961.0,962.2,4383,4232092.7,76
2025-03-19,980.0,952.6,960.0,6603,6341593.9,92
2025-03-20,968.0,950.0,956.92,7705,7364544.8,87
2025-03-23,961.0,938.1,958.1,17542,16661029.7,659
2025-03-24,1002.0,943.5,982.15,8317,8083435.1,339
2025-03-25,1053.0,947.5,962.44,24039,23343530.9,343
2025-03-26,994.2,943.8,986.96,13379,13019702.3,254
2025-03-27,1003.0,958.5,1000.19,12823,12746632.5,269
2025-03-30,1005.0,980.0,985.03,13854,13739205.4,306
2025-04-01,987.0,966.0,971.18,9431,9158313.8,211
2025-04-02,990.0,965.1,972.64,10517,10241806.1,146
2025-04-03,980.0,958.0,971.65,8894,8626363.5,172
2025-04-07,970.0,953.0,955.68,8410,8075719.5,168
2025-04-08,960.5,941.0,958.87,5094,4859659.0,190
2025-04-09,981.0,955.0,970.39,10385,10122955.5,173
2025-04-10,985.0,964.5,969.44,7350,7164120.5,138
2025-04-13,969.0,954.2,960.1,2798,2683963.9,105
2025-04-15,972.0,942.0,965.98,5747,5501358.2,132
2025-04-16,985.2,966.0,977.08,9511,9294652.4,197
2025-04-17,998.3,971.1,988.64,17193,16975649.7,222
2025-04-20,1000.0,972.0,983.27,6550,6453648.0,170
2025-04-21,989.0,965.1,968.06,12518,12200682.9,137
2025-04-22,980.0,949.0,975.06,21115,20298409.5,490
2025-04-23,994.5,955.5,960.24,24481,23545431.3,396
2025-04-24,862.8,830.0,838.08,5352,4489400.9,130
2025-04-27,850.0,827.1,830.0,5405,4504580.5,80
2025-04-28,838.0,790.1,803.58,11962,9687837.1,107
2025-04-29,794.0,788.1,790.05,6846,5405275.8,102
