Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1116.9,1074.0,1109.0,2620,2832193.0,48
2024-12-04,1115.0,1004.7,1086.9,5909,6273317.9,52
2024-12-05,1119.0,1065.2,1084.0,2610,2816733.0,55
2024-12-08,1144.0,991.1,1060.0,8638,8954019.4,93
2024-12-09,1079.9,991.4,1019.0,11610,11750321.4,128
2024-12-10,1089.0,998.7,1019.0,3795,3986879.4,53
2024-12-11,1035.0,991.0,1002.0,2363,2365057.5,40
2024-12-12,1042.0,992.1,1011.0,2312,2336601.4,42
2024-12-16,1070.0,966.1,994.6,6071,6192305.0,63
2024-12-17,1014.8,980.0,1014.8,1356,1351723.6,41
2024-12-18,1029.0,990.0,990.1,2173,2172587.6,27
2024-12-19,1029.0,970.3,988.0,3287,3232398.5,59
2024-12-22,1068.0,977.7,1023.0,1899,1897284.0,45
2024-12-23,1032.9,985.0,1032.9,1860,1872416.0,56
2024-12-24,1044.0,999.6,1010.0,3542,3590885.3,61
2024-12-26,1045.5,1000.7,1000.7,3112,3196062.6,70
2024-12-29,1034.0,985.2,1016.0,1175,1183185.0,38
2024-12-31,1034.0,967.4,999.0,3288,3226009.2,66
2025-01-01,1018.0,971.3,1000.0,7345,7216426.5,108
2025-01-02,1035.0,1001.0,1025.0,1810,1838594.2,44
2025-01-05,1039.0,993.0,1021.1,2074,2094864.7,46
2025-01-06,1099.0,1030.0,1087.0,8886,9511031.0,123
2025-01-07,1156.0,1087.0,1122.0,5119,5709450.6,97
2025-01-08,1167.0,1103.0,1120.0,2482,2818251.0,67
2025-01-09,1143.0,1099.0,1142.5,6568,7401843.5,92
2025-01-12,1135.0,1097.7,1115.0,1837,2024000.0,28
2025-01-13,1115.0,1072.0,1075.3,3794,4130666.0,49
2025-01-15,1117.9,1014.0,1090.0,4275,4551897.4,66
2025-01-16,1178.0,1090.0,1096.0,4187,4622505.0,65
2025-01-19,1140.0,1074.2,1081.0,3140,3518686.0,36
2025-01-20,1100.0,1072.1,1077.2,1200,1303292.0,34
2025-01-21,1098.7,1061.0,1089.0,4048,4335029.5,80
2025-01-22,1132.0,1054.2,1112.0,6014,6659861.3,84
2025-01-23,1132.0,1080.1,1081.0,1698,1857618.6,36
2025-01-26,1124.0,1046.0,1075.5,6392,6991238.0,85
2025-01-27,1097.0,1013.0,1055.1,6390,6782858.5,68
2025-01-28,1089.0,1049.0,1050.1,9065,9642890.5,115
