Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,1284.0,1230.0,1246.0,13534,16953626.5,158
2024-12-04,1256.0,1221.1,1246.0,13006,16151135.2,117
2024-12-05,1228.0,1147.6,1170.0,33780,40050994.1,244
2024-12-08,1161.0,1120.0,1139.9,7736,8780288.2,121
2024-12-09,1160.0,1118.0,1129.0,5061,5679849.1,65
2024-12-10,1147.0,1100.0,1125.0,3381,3763054.9,50
2024-12-11,1144.0,1130.0,1143.5,7368,8390085.8,88
2024-12-12,1145.1,1075.0,1098.0,10766,11963330.3,143
2024-12-16,1094.0,1050.0,1068.6,10679,11295254.7,93
2024-12-17,1083.0,1055.2,1056.0,19755,20893072.0,49
2024-12-18,1077.0,1045.0,1045.0,39637,41544797.8,43
2024-12-19,1065.0,1036.0,1049.0,7546,7893642.5,77
2024-12-22,1069.0,1035.0,1050.0,4437,4634238.5,62
2024-12-23,1067.0,1050.1,1067.0,1367,1443805.0,40
2024-12-24,1082.0,1050.0,1077.9,2126,2261856.3,45
2024-12-26,1080.0,1050.0,1065.0,3645,3863358.3,44
2024-12-29,1080.0,1064.0,1080.0,5496,5910989.9,53
2024-12-31,1074.0,1029.0,1052.0,9548,10096227.0,51
2025-01-01,1070.0,1033.0,1057.0,5615,5932642.5,47
2025-01-02,1080.0,1040.1,1079.0,3408,3639598.1,43
2025-01-05,1121.8,1061.0,1101.0,6273,6776877.9,79
2025-01-06,1164.0,1079.0,1110.0,2517,2799712.1,47
2025-01-07,1118.9,1091.0,1110.0,4902,5389902.0,36
2025-01-08,1135.0,1101.2,1124.0,6371,7129078.2,90
2025-01-09,1197.0,1120.2,1167.0,125369,144422206.2,242
2025-01-12,1170.0,1151.0,1151.0,3807,4396452.7,63
2025-01-13,1158.0,1120.1,1145.0,92358,106847956.0,47
2025-01-15,1259.0,1145.0,1204.0,37343,44232186.0,265
2025-01-16,1205.0,1175.0,1175.1,16505,19532719.9,115
2025-01-19,1180.0,1157.0,1170.0,5858,6838233.5,47
2025-01-20,1175.0,1146.6,1163.0,7489,8643711.0,64
2025-01-21,1176.0,1151.0,1152.1,8206,9472089.7,59
2025-01-22,1185.0,1161.3,1183.0,7743,9083754.8,68
2025-01-23,1180.0,1153.0,1175.0,8030,9373607.0,73
2025-01-26,1178.0,1158.0,1158.0,5755,6696934.8,46
2025-01-27,1180.0,1151.0,1154.0,2962,3452818.0,43
2025-01-28,1247.0,1155.1,1175.0,16093,19055771.9,129
2025-02-02,1201.0,1166.0,1170.0,15327,18129567.2,121
2025-02-03,1191.0,1155.0,1155.0,8198,9555187.5,67
2025-02-04,1170.0,1125.2,1128.2,10690,12183104.8,121
2025-02-05,1150.7,1108.1,1115.1,5767,6504545.9,63
