Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,352.0,340.0,347.8,220679,76752035.7,739
2024-12-04,362.0,347.4,355.0,276953,98769437.9,975
2024-12-05,362.0,343.0,343.5,118567,41374939.4,516
2024-12-08,346.9,334.1,334.5,76940,26015348.0,327
2024-12-09,356.0,335.1,345.2,188449,65369695.7,676
2024-12-10,350.0,339.5,342.0,44256,15172390.9,212
2024-12-11,348.8,337.2,347.4,52329,18018740.6,207
2024-12-12,349.9,338.1,340.0,101988,34884828.9,291
2024-12-16,345.0,325.0,326.0,80474,26618052.1,362
2024-12-17,332.0,324.0,325.1,41059,13466571.5,223
2024-12-18,331.0,323.1,324.0,36688,11919290.5,171
2024-12-19,326.8,320.0,321.0,44364,14290827.0,185
2024-12-22,329.4,316.7,321.5,48991,15714945.1,173
2024-12-23,333.9,315.1,332.0,42107,13749810.2,207
2024-12-24,335.0,326.3,330.0,30463,10087779.4,157
2024-12-26,328.0,320.0,323.5,46108,14890951.4,191
2024-12-29,330.0,318.0,319.9,38047,12238154.1,171
2024-12-31,321.0,310.0,315.0,41386,13007562.4,201
2025-01-01,321.3,316.8,316.8,23748,7561586.4,93
2025-01-02,322.0,315.0,322.0,32313,10329611.3,135
2025-01-05,336.9,321.0,336.0,107567,35382356.7,389
2025-01-06,345.9,335.6,341.0,127686,43639229.5,426
2025-01-07,345.0,335.1,338.0,48219,16343181.9,204
2025-01-08,343.0,334.1,337.0,44472,14945653.2,167
2025-01-09,344.0,335.2,337.2,115449,39281365.3,392
2025-01-12,342.0,330.1,335.0,27995,9354844.8,135
2025-01-13,341.0,329.0,338.1,107052,36038631.0,268
2025-01-15,341.9,332.0,333.0,38752,13029255.5,159
2025-01-16,338.9,331.0,334.0,40087,13386649.3,149
2025-01-19,340.6,330.0,334.0,51478,17192384.3,183
2025-01-20,343.0,335.2,339.0,74145,25126468.6,270
2025-01-21,345.7,336.5,336.5,73477,25098624.0,264
2025-01-22,349.9,330.0,344.7,141917,48729175.2,451
2025-01-23,348.0,337.9,340.0,80101,27337362.3,312
2025-01-26,354.0,340.0,350.0,188410,65810369.2,703
2025-01-27,358.0,346.5,349.0,161814,57097126.8,570
2025-01-28,357.0,348.1,355.0,169395,59884511.5,495
2025-02-02,367.0,348.0,357.0,175981,63247026.3,651
2025-02-03,363.0,350.1,350.8,134040,47701804.2,470
2025-02-04,366.0,344.4,366.0,259321,93508640.7,897
2025-02-05,388.0,367.0,377.0,414414,157098824.0,1539
2025-02-06,398.0,372.0,389.0,417581,161984621.2,1546
2025-02-09,395.9,376.1,380.1,305796,117698349.4,971
2025-02-10,390.0,373.1,380.0,228341,86694880.3,752
2025-02-11,404.9,373.1,403.0,551103,217760247.2,1945
2025-02-12,419.0,405.0,410.0,458619,188815588.4,1547
2025-02-13,411.9,395.0,397.0,312620,125278840.3,1089
2025-02-16,396.0,386.1,390.0,242061,94668283.6,799
2025-02-17,394.0,381.3,383.1,205616,79412875.9,773
2025-02-18,391.0,380.1,382.1,206562,79411584.4,604
2025-02-20,390.0,379.1,387.3,187386,72416479.0,740
2025-02-23,405.9,375.0,398.0,318535,126196878.2,1222
2025-02-24,403.0,390.1,395.2,246550,97196985.8,650
2025-02-25,405.8,396.0,402.0,356479,142587804.7,1047
2025-02-27,418.0,399.0,411.0,400455,164335517.3,1293
2025-03-02,424.8,409.5,424.8,266849,110790510.7,890
2025-03-03,434.0,420.0,428.0,358730,152747587.7,1142
2025-03-04,439.0,419.5,431.9,312832,135406903.2,1035
2025-03-05,448.0,427.0,428.0,359675,157071816.4,1216
2025-03-06,436.5,422.0,436.5,269023,115175772.7,820
2025-03-09,445.2,430.0,435.0,216644,93737748.5,739
2025-03-10,449.0,426.0,429.0,374756,163320812.4,1135
2025-03-11,435.0,420.1,429.0,326957,138553080.8,835
2025-03-12,436.7,426.8,434.0,229719,99177323.8,701
2025-03-16,445.0,430.2,439.2,391990,171099405.5,1124
2025-03-17,443.0,433.2,434.0,260276,114125771.9,634
2025-03-18,440.9,433.0,433.9,155537,67700910.6,464
2025-03-19,442.6,433.0,438.8,252702,110799372.1,713
2025-03-20,450.0,433.2,447.52,366814,162335707.9,1184
2025-03-23,474.0,445.0,453.35,447088,204513946.7,1807
2025-03-24,462.4,440.2,443.28,265403,118356522.3,961
2025-03-25,452.1,431.5,437.6,396979,173439698.3,982
2025-03-26,442.8,432.0,438.79,243627,106658265.9,674
2025-03-27,440.5,434.0,435.85,208381,91005929.7,653
2025-03-30,444.0,430.5,437.93,334542,146776481.1,943
2025-04-01,450.0,434.0,440.38,348734,153429873.1,867
2025-04-02,449.1,441.2,442.41,157116,69929285.3,531
2025-04-03,446.9,438.4,440.15,303400,133776473.8,616
2025-04-07,448.9,439.2,441.89,234520,103804366.5,544
2025-04-08,460.0,435.0,457.39,479609,215065079.4,1201
2025-04-09,465.0,450.0,450.71,159814,72513490.9,612
2025-04-10,462.0,450.0,460.15,388422,177709208.9,922
2025-04-13,465.0,456.1,461.28,276693,127544057.5,617
2025-04-15,470.9,460.1,463.23,346207,160744773.4,722
2025-04-16,479.6,460.8,474.39,343657,161958738.8,986
2025-04-17,484.0,466.0,470.13,373287,177716410.5,1032
2025-04-20,473.0,461.0,465.95,273718,127235866.9,614
2025-04-21,475.0,465.0,472.61,189785,89567320.1,590
2025-04-22,475.0,469.6,472.03,241849,114060701.7,500
2025-04-23,477.0,471.0,473.17,308590,146093154.5,562
2025-04-24,476.5,472.2,475.02,279961,132770201.9,621
2025-04-27,485.0,475.0,480.76,416084,199923330.4,763
2025-04-28,490.3,475.0,485.42,348561,167608140.5,672
2025-04-29,498.7,481.3,490.64,213121,104722703.7,654
2025-04-30,514.0,480.9,503.86,430876,216137782.1,1334
2025-05-04,510.0,491.1,497.32,297357,147990822.4,765
2025-05-05,504.0,491.9,501.33,301047,149887712.5,784
2025-05-06,509.0,500.0,500.33,158418,79692608.6,600
2025-05-07,506.9,498.0,501.33,212264,106577705.5,632
2025-05-08,508.9,500.0,500.43,376609,188960741.6,766
2025-05-11,511.5,498.1,507.66,227445,114558493.1,679
2025-05-13,517.0,500.0,509.1,179663,91167365.0,559
2025-05-14,512.0,500.5,501.74,163664,82749499.6,511
2025-05-15,505.0,497.2,500.93,171783,86116755.6,467
2025-05-18,509.0,495.1,505.9,185355,93354108.8,527
2025-05-19,512.9,506.0,508.13,196502,100077798.2,526
2025-05-20,510.0,503.1,507.42,97255,49253167.3,368
2025-05-21,516.0,505.7,506.46,155455,78918041.3,370
2025-05-22,513.2,502.1,510.82,207958,105670907.5,552
2025-05-25,545.0,500.7,529.85,545842,288318838.4,1503
2025-05-26,530.0,515.0,515.77,233367,121483928.5,819
2025-05-27,525.0,510.5,513.95,134898,69756602.5,463
2025-05-28,517.8,509.0,510.47,273578,139865801.4,588
2025-06-02,520.6,510.0,511.24,127301,65120886.3,379
2025-06-03,518.0,512.1,512.55,119136,61108299.7,338
2025-06-04,519.0,510.2,513.54,135643,69694791.0,376
2025-06-05,522.0,505.1,514.47,211743,108264176.4,491
2025-06-08,520.0,507.9,516.21,194994,100541903.1,444
2025-06-09,519.8,508.9,517.13,120991,62465581.7,359
2025-06-10,521.0,510.1,518.9,178320,92148447.8,367
2025-06-11,528.0,516.0,521.24,183308,95572973.1,473
2025-06-12,528.0,520.0,522.51,258169,134837232.1,486
2025-06-15,528.0,521.2,523.43,137458,71888393.5,387
2025-06-16,533.0,515.0,528.09,382625,200335139.0,556
2025-06-17,540.0,520.1,537.88,252902,134916138.1,703
2025-06-18,570.0,528.0,548.63,509098,282880885.7,1637
2025-06-19,555.0,533.0,538.46,233231,125852465.2,754
2025-06-22,548.9,530.1,541.22,383579,207027836.2,700
2025-06-23,547.0,532.1,542.1,196340,105955840.3,409
2025-06-24,550.0,537.1,543.91,156043,84680095.7,381
2025-06-25,549.0,538.0,545.91,131169,71515163.1,426
2025-06-26,553.8,540.1,547.57,161546,88246207.3,469
2025-06-29,554.8,544.1,549.38,169907,93096767.9,474
2025-06-30,556.0,543.0,554.28,127831,70642832.9,453
2025-07-01,567.0,545.1,562.27,99431,55870661.4,479
2025-07-02,574.0,551.1,570.72,127824,72885058.7,577
2025-07-03,580.0,559.4,564.4,123972,70186504.9,550
2025-07-06,570.0,555.0,564.63,227290,128144403.9,478
2025-07-07,568.0,559.0,565.67,140928,79673131.5,455
2025-07-08,567.8,560.0,566.42,103114,58322121.0,300
2025-07-09,571.9,560.1,567.58,145592,82152977.7,333
2025-07-10,569.9,560.1,566.93,171104,96814870.8,447
2025-07-13,570.1,540.1,549.98,151629,84668195.0,551
2025-07-14,560.9,538.9,551.25,206397,113066040.5,596
2025-07-15,562.0,542.1,550.96,186469,103497139.9,536
2025-07-16,567.0,540.1,563.37,178317,99697475.6,561
2025-07-17,619.0,565.0,583.55,563576,329634436.9,1674
2025-07-20,605.0,567.0,569.34,332101,191577673.9,1004
2025-07-21,573.0,555.7,561.21,170079,95490856.2,718
2025-07-22,574.0,556.3,568.24,121975,69420155.3,496
2025-07-23,570.9,560.0,561.83,134347,75706385.3,530
2025-07-24,568.0,552.0,554.57,173107,96781301.4,764
2025-07-27,560.8,545.0,546.47,187751,103341591.1,786
2025-07-28,553.0,545.0,547.61,107972,59117270.9,488
2025-07-29,560.0,540.0,548.95,74195,41069781.1,362
2025-07-30,552.0,546.0,549.29,139702,76676052.7,396
2025-07-31,555.9,546.0,549.3,105399,57878251.4,354
2025-08-03,554.5,545.0,545.84,121072,66564935.6,533
2025-08-04,556.7,544.0,548.77,127200,69998871.2,396
2025-08-05,562.0,542.0,558.03,221293,122502888.0,583
2025-08-06,576.0,554.0,571.95,321866,182856203.4,1036
2025-08-07,591.3,564.1,586.61,359089,209245534.4,1437
2025-08-11,596.8,580.0,588.51,304272,178806925.5,1106
2025-08-12,600.0,582.0,592.8,246483,145497381.7,908
2025-08-13,606.0,587.0,603.79,457123,274742441.8,1622
2025-08-14,625.0,598.0,605.78,245434,148686591.9,980
2025-08-17,609.0,600.0,603.4,211811,127551427.6,775
2025-08-18,615.0,588.0,606.8,258797,155720555.4,650
2025-08-19,608.8,578.0,581.41,534227,317237872.7,1311
2025-08-20,582.0,570.0,570.79,219123,125543128.2,924
2025-08-21,581.9,569.9,574.48,95382,54555114.6,384
2025-08-24,579.4,570.0,573.4,101202,58117310.9,325
2025-08-25,575.8,570.2,573.65,88337,50568055.8,317
2025-08-26,577.0,572.1,575.42,51948,29840401.1,211
2025-08-27,584.6,572.0,581.06,76940,44605412.0,333
2025-08-28,582.0,569.8,577.81,339552,194948992.2,590
2025-08-31,579.7,573.0,576.68,96563,55613642.0,281
2025-09-01,583.0,573.0,579.29,138103,79702638.2,393
2025-09-02,581.6,571.6,576.02,169194,97416443.5,422
2025-09-03,578.0,570.0,576.47,189753,108912339.9,480
2025-09-04,579.5,570.0,577.68,115715,66480994.4,332
2025-09-07,580.0,570.0,575.95,110223,63262911.6,280
2025-09-08,577.0,570.0,575.49,288366,165444816.4,508
2025-09-18,565.0,531.3,542.0,33750,18245190.3,108
2025-09-21,563.0,531.2,557.9,143556,79449682.2,452
2025-09-23,566.0,553.7,555.9,69310,38767382.3,256
2025-09-24,554.9,545.0,549.9,85537,46939947.7,308
2025-09-25,550.0,542.0,550.0,55369,30241880.3,179
2025-09-28,554.9,544.0,554.6,56918,31227923.1,147
2025-10-07,553.0,528.3,539.9,80206,43197978.1,315
2025-10-08,548.8,512.2,522.0,268378,139280129.6,457
2025-10-09,542.6,514.1,524.0,80280,42051175.1,307
2025-10-12,525.1,495.0,510.9,156412,78901867.8,424
2025-10-13,517.0,501.0,514.0,173887,88804861.8,262
2025-10-14,518.0,504.2,512.0,47010,23861508.4,153
2025-10-15,509.9,500.0,509.0,54812,27637272.7,136
2025-10-16,510.0,500.1,510.0,152517,77207750.9,188
2025-10-19,540.0,502.1,514.0,159671,81900700.3,368
2025-10-26,519.9,512.0,513.0,67152,34471501.3,140
2025-10-28,532.0,515.0,528.8,35173,18438842.8,159
2025-10-29,535.9,518.5,533.0,228526,120385111.8,390
2025-10-30,538.7,525.4,535.0,92034,48888332.5,269
2025-11-02,545.0,530.2,542.0,73603,39720615.5,280
2025-11-03,550.0,532.3,535.0,197096,105979229.3,290
2025-11-04,539.0,527.3,532.0,61433,32737731.5,228
2025-11-05,531.0,522.3,528.0,30235,15909089.0,149
2025-11-06,540.0,526.1,528.0,156792,83260395.6,224
2025-11-09,530.0,522.2,529.0,37539,19764396.4,119
2025-11-10,533.8,525.1,528.5,39887,21034481.6,120
2025-11-11,530.0,523.1,525.9,46754,24654728.5,119
2025-11-12,530.0,518.0,526.0,32046,16890579.2,116
2025-11-13,534.0,515.5,530.0,25346,13421734.9,114
2025-11-16,531.5,523.0,527.0,29157,15346146.0,120
2025-11-17,530.0,523.3,524.5,20158,10612631.8,102
2025-11-18,534.9,525.0,533.0,30390,16145535.0,138
2025-11-19,536.9,530.0,534.3,25310,13469354.5,126
2025-11-20,535.0,530.0,535.0,34208,18238735.4,140
2025-11-23,545.7,525.0,540.0,118305,62887320.8,239
2025-11-24,548.9,529.5,540.0,90610,48584012.0,172
2025-11-25,547.0,540.0,541.2,27949,15140647.1,115
2025-11-26,545.0,538.0,542.3,69782,37701703.0,182
2025-11-27,566.9,535.1,564.7,263596,145075464.6,605
2025-11-30,580.0,555.0,566.0,177665,99864878.5,421
2025-12-01,610.0,557.1,590.9,470614,271003180.1,1392
2025-12-02,602.0,579.0,587.0,182787,106993652.6,657
2025-12-03,605.0,576.5,589.9,158142,92241842.3,381
