Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,677.0,647.4,669.4,238015,158729234.8,1001
2024-12-04,699.8,662.0,673.0,203592,139835564.0,884
2024-12-05,683.0,660.1,669.0,144049,97001157.3,788
2024-12-08,680.0,627.0,644.0,158821,102514874.0,823
2024-12-09,660.0,640.0,648.0,156827,101916680.2,506
2024-12-10,660.0,641.1,643.9,55997,36182679.4,330
2024-12-11,658.9,640.1,651.8,79180,51550512.4,374
2024-12-12,675.0,642.0,650.0,202991,134800984.7,850
2024-12-16,661.0,622.1,626.1,99185,63026271.4,535
2024-12-17,640.0,620.0,637.5,80409,50847521.4,445
2024-12-18,647.0,623.0,623.2,50405,31703756.9,283
2024-12-19,632.0,609.0,612.0,43385,26767001.8,276
2024-12-22,625.0,600.1,618.0,56427,34722204.4,374
2024-12-23,642.6,605.7,639.0,85417,54058498.2,442
2024-12-24,649.4,627.0,637.0,78867,50118348.3,402
2024-12-26,645.0,613.2,619.0,41871,26009595.5,232
2024-12-29,631.0,607.0,610.0,61682,38013559.9,249
2024-12-31,622.2,587.5,597.4,39804,23763751.1,288
2025-01-01,615.0,600.0,606.0,28702,17353883.5,221
2025-01-02,619.8,605.0,616.0,57631,35365627.0,319
2025-01-05,637.0,616.0,630.0,57050,35851473.2,330
2025-01-06,653.0,633.0,646.0,125550,80970667.9,614
2025-01-07,669.0,633.1,658.0,125595,82062286.4,579
2025-01-08,681.0,644.9,669.0,148679,99929452.4,672
2025-01-09,682.3,660.0,664.0,92503,61860073.4,516
2025-01-12,677.0,653.0,657.0,50174,33207033.2,301
2025-01-13,669.1,632.1,637.9,81263,52242777.2,399
2025-01-15,660.0,635.0,645.0,58696,37950479.6,299
2025-01-16,656.0,637.1,638.0,30811,19753429.3,202
2025-01-19,650.0,638.0,639.9,73391,47047447.8,278
2025-01-20,663.0,643.0,648.5,59439,38780490.7,329
2025-01-21,661.4,642.0,652.0,58581,38093915.9,308
2025-01-22,659.1,639.0,646.2,87544,56524974.2,323
2025-01-23,698.0,659.1,694.0,285729,195548619.1,1358
2025-01-26,735.0,682.0,722.0,229011,165030584.7,1257
2025-01-27,730.0,699.0,712.0,165929,117755644.8,925
2025-01-28,740.0,701.1,735.0,204935,147071124.6,886
