Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,2736.0,2550.0,2597.0,5870,15188989.6,136
2024-12-04,2646.0,2520.0,2525.0,3697,9478385.3,88
2024-12-05,2570.0,2491.2,2502.1,3589,9051208.0,77
2024-12-08,2535.0,2413.0,2450.0,5754,14149085.9,104
2024-12-09,2540.0,2450.0,2529.0,1922,4776796.0,50
2024-12-10,2570.0,2518.6,2520.0,1221,3087813.0,51
2024-12-11,2548.0,2432.0,2518.0,1969,4913302.0,52
2024-12-12,2722.0,2471.0,2548.9,6030,15275689.2,142
2024-12-16,2539.8,2453.0,2529.0,2557,6354841.5,72
2024-12-17,2580.0,2494.0,2550.0,4044,10211844.5,92
2024-12-18,2600.0,2450.0,2515.0,3446,8595365.0,94
2024-12-19,2543.0,2417.0,2454.9,5798,14242186.0,75
2024-12-22,2500.0,2415.0,2500.0,3223,7899113.7,78
2024-12-23,2700.0,2437.0,2500.0,6008,14784623.0,122
2024-12-24,2549.0,2450.0,2480.0,3699,9216715.3,106
2024-12-26,2497.0,2400.2,2447.0,7538,18399878.4,158
2024-12-29,2652.0,2400.2,2530.0,12104,30887314.8,256
2024-12-31,2530.0,2449.1,2490.0,3998,9885115.8,78
2025-01-01,2519.9,2450.0,2488.0,2248,5559269.4,51
2025-01-02,2495.0,2455.6,2475.0,2298,5665142.5,55
2025-01-05,2495.9,2433.0,2478.0,3273,8051242.0,79
2025-01-06,2510.0,2460.0,2496.0,4058,10075882.6,97
2025-01-07,2544.9,2450.0,2498.0,2472,6125524.2,57
2025-01-08,2540.0,2493.0,2519.0,5179,13011413.2,105
2025-01-09,2520.0,2460.0,2490.0,2914,7247500.6,87
2025-01-12,2489.0,2450.0,2477.0,1009,2484033.2,44
2025-01-13,2500.0,2450.0,2477.0,3045,7507765.0,84
2025-01-15,2524.9,2455.0,2506.0,3476,8677228.5,98
2025-01-16,2514.0,2461.0,2500.0,4050,10094899.9,80
2025-01-19,2745.0,2499.0,2670.0,11946,31453530.1,323
2025-01-20,2776.0,2616.6,2670.0,4033,10839590.8,145
2025-01-21,2699.0,2610.0,2692.0,3331,8869897.8,93
2025-01-22,2820.0,2597.0,2690.0,10078,26706323.3,154
2025-01-23,2689.0,2614.0,2640.0,4548,11968551.1,132
2025-01-26,2692.0,2590.0,2639.0,5570,14715284.3,137
2025-01-27,2705.0,2600.0,2680.0,9415,24980855.0,178
2025-01-28,2888.6,2630.0,2700.0,13647,36630231.6,248
2025-02-02,2775.0,2650.0,2762.0,8376,22840119.4,244
2025-02-03,2762.0,2685.0,2740.0,9071,24648550.4,172
2025-02-04,2738.9,2680.0,2680.0,5847,15729864.8,117
2025-02-05,2720.0,2653.3,2700.0,4846,12986600.0,81
2025-02-06,2843.9,2705.0,2797.0,20047,55908286.8,433
2025-02-09,2838.0,2687.1,2780.0,10171,28013674.1,244
2025-02-10,2798.0,2651.0,2670.0,7085,19018830.3,164
2025-02-11,2669.0,2586.0,2627.0,5956,15590005.0,178
2025-02-12,2629.0,2560.0,2588.0,5253,13557852.2,135
2025-02-13,2614.9,2536.3,2600.0,5769,14878079.5,134
2025-02-16,2705.0,2557.5,2630.2,5934,15751984.2,128
2025-02-17,2829.0,2667.0,2777.0,12528,34581961.2,322
2025-02-18,2794.0,2698.0,2712.0,5808,15969709.7,146
2025-02-20,2720.0,2658.0,2688.0,3979,10678804.0,110
2025-02-23,2699.8,2641.0,2661.0,5330,14215182.1,135
2025-02-24,2685.0,2641.0,2642.1,2833,7517852.3,86
2025-02-25,2664.0,2621.5,2630.1,3234,8533467.5,84
2025-02-27,2682.7,2640.0,2645.0,4842,12872665.5,108
2025-03-02,2699.9,2645.0,2670.0,5839,15594635.2,117
2025-03-03,2699.9,2600.0,2622.0,4242,11207482.5,100
2025-03-04,2577.0,2480.0,2485.0,13445,33708041.0,237
2025-03-05,2545.0,2460.0,2498.9,2835,7065818.0,85
2025-03-06,2558.0,2427.1,2528.9,6486,16100270.7,131
2025-03-09,2535.0,2450.0,2455.0,3431,8511820.0,90
2025-03-10,2504.0,2425.0,2425.0,3662,8968396.0,95
2025-03-11,2460.0,2400.0,2400.0,1907,4601818.5,79
2025-03-12,2430.0,2372.0,2400.0,2757,6591273.4,75
2025-03-16,2395.0,2321.1,2348.0,3117,7300398.0,108
2025-03-17,2384.0,2315.0,2330.0,3065,7178975.0,56
2025-03-18,2340.0,2306.1,2320.0,582,1355544.2,20
2025-03-19,2357.0,2314.1,2357.0,962,2239095.0,38
2025-03-20,2355.0,2321.0,2336.65,843,1968031.5,37
2025-03-23,2330.0,2275.0,2282.01,1582,3635285.4,62
2025-03-24,2317.0,2255.0,2294.09,700,1598226.4,36
2025-03-25,2290.0,2191.1,2201.44,3567,7915191.4,82
2025-03-26,2239.5,2151.1,2200.45,1244,2723228.0,42
2025-03-27,2310.0,2200.0,2257.3,2793,6304299.0,69
2025-03-30,2325.0,2212.2,2304.5,1366,3118885.1,57
2025-04-01,2280.0,2209.9,2255.0,1122,2515759.0,49
2025-04-02,2286.0,2225.0,2248.71,689,1552526.0,26
2025-04-03,2290.0,2211.0,2224.58,1547,3463614.8,36
2025-04-07,2234.0,2185.0,2188.7,1129,2478413.9,35
2025-04-08,2225.0,2160.5,2221.66,1453,3164003.7,32
2025-04-09,2258.5,2191.0,2240.0,308,689065.0,25
2025-04-10,2275.0,2207.0,2237.6,474,1061112.4,23
2025-04-13,2237.9,2181.0,2231.5,1398,3088116.5,42
2025-04-15,2264.9,2200.0,2264.9,1365,3052543.0,29
2025-04-16,2265.0,2220.0,2233.89,970,2168166.0,31
2025-04-17,2295.0,2215.0,2277.67,4284,9598131.0,80
2025-04-20,2302.0,2232.4,2265.44,400,900046.0,27
2025-04-21,2250.0,2202.0,2225.0,738,1633719.5,28
2025-04-22,2250.0,2192.0,2197.33,1537,3387285.0,38
2025-04-23,2200.0,2167.0,2185.67,1536,3345801.0,35
2025-04-24,2180.0,2156.0,2164.96,989,2141054.1,45
2025-04-27,2173.9,2131.3,2139.78,1411,3024926.0,50
2025-04-28,2135.0,2110.0,2111.35,1230,2601340.2,39
2025-04-29,2100.0,2050.1,2053.24,2564,5298735.6,86
2025-04-30,2035.0,1995.2,2011.93,2308,4633207.6,84
2025-05-04,2050.0,2000.0,2050.0,567,1151551.0,30
2025-05-05,2085.0,2026.0,2079.93,523,1084089.5,17
2025-05-06,2100.0,2017.1,2019.5,1026,2080537.0,33
2025-05-07,2141.0,2000.0,2116.76,1479,3051084.9,43
2025-05-08,2140.0,2080.0,2080.39,1221,2540919.0,24
2025-05-11,2091.0,2050.0,2059.78,213,439290.5,13
2025-05-13,2100.0,2019.0,2050.66,597,1218208.0,24
2025-05-14,2060.0,2020.0,2039.23,625,1276671.0,33
